OBJECTID,HL_DATE,HL_TYPE,SHAPEAREA,SHAPELEN
1414,2019/10/16 00:00:00+00,3,1619.46183984375,336.434850563305
1415,2019/10/16 00:00:00+00,3,19572.0230664063,4489.57624156331
1416,2019/10/16 00:00:00+00,3,136510.845714063,18740.7232551728
1417,2019/10/16 00:00:00+00,3,35429.7214375,5193.9239459954
1418,2019/10/16 00:00:00+00,3,45360.6700789063,5864.451791379
1419,2022/04/05 00:00:00+00,3,68752.4751328125,7465.85697889451
1420,2022/04/05 00:00:00+00,1,918.52193046875,146.73237073437
1421,2022/04/05 00:00:00+00,1,19052.3194921875,926.955036964534
1422,2022/04/05 00:00:00+00,4,2408.361925,322.1597225779
1423,2022/04/05 00:00:00+00,4,2923.7398484375,262.405507935055
1424,2000/03/31 00:00:00+00,1,585.30308203125,87.282776299821
1425,2022/04/05 00:00:00+00,1,27566.2631171875,654.9223145871
1426,2000/03/31 00:00:00+00,1,146678.89859375,2473.32920588955
1427,2022/04/05 00:00:00+00,3,4813.08893046875,2126.45911279194
1428,2009/04/04 00:00:00+00,1,916.25775859375,113.043348462495
1429,2017/07/14 00:00:00+00,1,2077.46958203125,165.01027340393
1430,2017/07/14 00:00:00+00,1,6023.96283515625,315.418659682754
1431,2017/07/14 00:00:00+00,1,1472.317328125,145.102671544935
1432,2017/07/14 00:00:00+00,1,271.158446875,60.2106188966711
1433,2017/07/14 00:00:00+00,1,751.6892921875,104.39004744739
1434,2017/07/14 00:00:00+00,1,1265.6572265625,130.250797865741
1435,2017/07/14 00:00:00+00,1,1006.08995234375,115.604855537091
1436,2017/07/14 00:00:00+00,1,1880.03993046875,166.886993526916
1437,2017/07/14 00:00:00+00,1,747.17545625,98.9454244771045
1438,2017/07/14 00:00:00+00,1,980.95545234375,121.703783716225
1439,2017/07/14 00:00:00+00,1,483.44578203125,86.9951688644098
1440,2017/07/14 00:00:00+00,1,98.1615609375,47.7861567148728
1441,2019/10/16 00:00:00+00,1,6256.61963984375,317.794659127488
1442,2019/10/16 00:00:00+00,1,2756.1717765625,208.266233370306
1443,2019/10/16 00:00:00+00,1,5411.819584375,301.797436623097
1444,2019/10/16 00:00:00+00,1,4113.52166328125,238.673926343936
1445,2022/04/05 00:00:00+00,1,10852.8050429687,429.692690239102
1446,2022/04/05 00:00:00+00,1,3488.537765625,275.142424133578
1447,2019/10/16 00:00:00+00,1,1022.19069609375,117.424169098728
1448,2019/10/16 00:00:00+00,1,727.82559765625,98.6111845793376
1449,2019/10/16 00:00:00+00,1,122367.246371875,1698.71846997487
1450,2022/04/05 00:00:00+00,3,12318.977303125,1521.4719032553
1451,2019/10/16 00:00:00+00,3,12742.7957578125,2089.75576441047
1452,2022/04/05 00:00:00+00,3,13868.7090734375,2157.86662626959
1453,2022/04/05 00:00:00+00,3,33887.2271617188,4653.50428630512
1454,2022/04/05 00:00:00+00,3,54391.3221765625,8308.55546955147
1455,2019/10/16 00:00:00+00,3,4176.4116625,1006.75379686309
1456,2022/04/05 00:00:00+00,3,1648.33199609375,523.583960978373
1457,2019/10/16 00:00:00+00,3,1004.45658828125,290.314227279735
1458,2019/10/16 00:00:00+00,3,1080.77169609375,350.322974256724
1459,2022/04/05 00:00:00+00,3,3344.9426015625,722.223585279693
1460,2019/10/16 00:00:00+00,3,3621.8814171875,980.949874223365
1461,2019/10/16 00:00:00+00,6,149.274671875,44.5636190763374
1462,2022/04/05 00:00:00+00,1,12912.7334851563,515.719582615187
1463,2022/04/05 00:00:00+00,1,11816.5737296875,704.068939253054
1464,2022/04/05 00:00:00+00,1,13623.1316195313,819.695643451676
1465,2022/04/05 00:00:00+00,1,4766.2086265625,406.789892488923
1466,2022/04/05 00:00:00+00,1,1723.93950703125,167.100918231615
1467,2022/04/05 00:00:00+00,1,5040.25998203125,310.882401834279
1468,2022/04/05 00:00:00+00,1,4453.737353125,483.527625075512
1469,2022/04/05 00:00:00+00,1,540.543221875,85.194195666741
1470,2000/03/31 00:00:00+00,1,57078.78959375,972.754571404971
1471,2000/03/31 00:00:00+00,1,3856.9124,242.686786702653
1472,2000/03/31 00:00:00+00,1,6257.78879140625,320.293868375607
1473,2000/03/31 00:00:00+00,1,5450.27585625,294.315146382578
1474,2000/03/31 00:00:00+00,1,5848.77043125,302.67445857288
1475,2000/03/31 00:00:00+00,3,1700.74304375,1354.5346592073
1476,2009/04/04 00:00:00+00,1,8383.0991046875,335.810326504364
1477,2009/04/04 00:00:00+00,1,3363.377359375,211.532728168909
1478,2009/04/04 00:00:00+00,1,311.59638984375,68.3765956805234
1479,2009/04/04 00:00:00+00,3,720.930059375,203.79483191602
1480,2019/10/16 00:00:00+00,1,4253.08517890625,269.410390034381
1481,2019/10/16 00:00:00+00,1,40295.8257164063,890.766397044896
1482,2019/10/16 00:00:00+00,1,5737.9513453125,407.261365114161
1483,2019/10/16 00:00:00+00,1,3217.3677078125,206.730363598341
1484,2019/10/16 00:00:00+00,3,1673.2207328125,406.538798222786
1485,2019/10/16 00:00:00+00,3,3030.29373515625,671.639329282263
1486,2019/10/16 00:00:00+00,4,259.4040421875,81.7237593158194
1487,2022/04/05 00:00:00+00,4,5051.61930234375,311.334100776056
1488,2022/04/05 00:00:00+00,6,188.44425859375,50.0221205889511
1489,2022/04/05 00:00:00+00,4,2099.83221875,264.090809244473
1490,2000/03/31 00:00:00+00,1,3430.3592234375,223.372087627187
1491,2000/03/31 00:00:00+00,1,4763.58301875,290.254212742119
1492,2000/03/31 00:00:00+00,1,2063.7294875,165.818509614865
1493,2000/03/31 00:00:00+00,1,1879.73187578125,171.164131381766
1494,2000/03/31 00:00:00+00,1,1200.04116875,146.140913447604
1495,2000/03/31 00:00:00+00,1,1021.63541875,135.877491781314
1496,2000/03/31 00:00:00+00,1,928.30910625,111.653145363441
1497,2000/03/31 00:00:00+00,1,1033.8173625,117.706397277972
1498,2000/03/31 00:00:00+00,3,3533.610475,697.799731463095
1499,2000/03/31 00:00:00+00,3,5591.69587421875,944.214181298048
1500,2000/03/31 00:00:00+00,3,1002.09254921875,198.502788130716
1501,2009/04/04 00:00:00+00,3,3407.60084609375,664.750749675386
1502,2017/07/14 00:00:00+00,1,11153.77805,533.930992994674
1503,2019/10/16 00:00:00+00,1,41457.090996875,908.084106169379
1504,2019/10/16 00:00:00+00,3,2657.47536953125,565.509307738809
1505,2019/10/16 00:00:00+00,3,3532.500415625,704.717463502856
1506,2019/10/16 00:00:00+00,3,9627.31201328125,2217.77863624545
1507,2019/10/16 00:00:00+00,3,13264.2064265625,2588.41955311636
1508,2019/10/16 00:00:00+00,3,7392.7404796875,1474.15695287591
1509,2019/10/16 00:00:00+00,4,21364.706434375,637.700231833781
1510,2019/10/30 00:00:00+00,1,233.62492265625,67.6533054201633
1511,2022/04/05 00:00:00+00,1,9903.10663671875,1470.8422915773
1512,2000/03/31 00:00:00+00,1,8091.6125546875,604.852178532221
1513,2000/03/31 00:00:00+00,3,16925.0333375,2157.93244087561
1514,2022/04/05 00:00:00+00,4,11752.539015625,574.023557366986
1515,2017/07/14 00:00:00+00,4,15289.7366539062,532.341533039397
1516,2017/07/14 00:00:00+00,4,6500.5353734375,376.528464189909
1517,2022/04/05 00:00:00+00,4,411303.951038281,3088.10443386046
1518,2017/07/14 00:00:00+00,4,458418.798025781,4196.41245860664
1519,2022/04/05 00:00:00+00,1,573364.443317188,3255.39707359994
1520,2019/10/16 00:00:00+00,1,1965.18002734375,178.17291435178
1521,2019/10/16 00:00:00+00,1,52167.5180132813,1208.64079655522
1522,2022/04/05 00:00:00+00,4,82017.7070398437,2476.05706057866
1523,2022/04/05 00:00:00+00,4,110337.141942969,1848.53752749564
