TYPE_OF_STOP,CITATION_CONTROL_NUMBER,ACTIVITY_RESULTS,OFFICER_GENDER,OFFICER_RACE,OFFICER_AGE_RANGE,ACTIVITY_DATE,ACTIVITY_TIME,ACTIVITY_LOCATION,ACTIVITY_DIVISION,ACTIVITY_BEAT,DRIVER_GENDER,DRIVER_RACE,DRIVER_AGE_RANGE,NUMBER_OF_PASSENGERS,WAS_VEHCILE_SEARCHED,REASON_FOR_SEARCH,OBJECTID
TRAFFIC VIOLATION,EF85328     ,CITATION ISSUED,M,WHITE,41 - 50,01/06/2023,18:03:00,I 0065 NORTH 55                                             ,6TH DIVISION,BEAT 2,F,BLACK,OVER 60,0,NO,,1370
TRAFFIC VIOLATION,EF85331     ,CITATION ISSUED,M,WHITE,41 - 50,01/06/2023,21:02:00,MUD LN                                                      ,7TH DIVISION,BEAT 4,F,WHITE,20 - 25,0,NO,,1371
TRAFFIC VIOLATION,EF85343     ,CITATION ISSUED,M,WHITE,41 - 50,01/06/2023,21:16:00,PRESTON HWY                                                 ,7TH DIVISION,BEAT 4,F,WHITE,20 - 25,0,NO,,1372
TRAFFIC VIOLATION,EF85344     ,CITATION ISSUED,M,WHITE,41 - 50,01/06/2023,22:01:00,MUD LN                                                      ,7TH DIVISION,BEAT 4,M,WHITE,41 - 50,0,NO,,1373
TRAFFIC VIOLATION,EF85354     ,CITATION ISSUED,M,BLACK,31 - 40,01/06/2023,00:53:00,I 0264                                                      ,5TH DIVISION,BEAT 4,M,BLACK,26 - 30,0,NO,,1374
TRAFFIC VIOLATION,EF85356     ,CITATION ISSUED,M,BLACK,21 - 30,01/06/2023,01:51:00,I 0264W/11.8                                                ,8TH DIVISION,BEAT 5,M,BLACK,51 - 60,0,NO,,1375
TRAFFIC VIOLATION,EF85357     ,CITATION ISSUED,M,WHITE,31 - 40,01/06/2023,02:30:00,I-71N @ MM 1                                                ,5TH DIVISION,BEAT 1,M,WHITE,41 - 50,0,NO,,1376
TRAFFIC VIOLATION,EF85370     ,CITATION ISSUED,M,BLACK,31 - 40,01/06/2023,01:48:00,I 0264WB @ MM#12                                            ,4TH DIVISION,BEAT 4,M,HISPANIC,20 - 25,0,YES,4.0,1377
TRAFFIC VIOLATION,EF85371     ,CITATION ISSUED,M,BLACK,31 - 40,01/09/2023,17:58:00,DIXIE HWY                                                   ,3RD DIVISION,BEAT 1,M,WHITE,31 - 40,0,NO,,1378
TRAFFIC VIOLATION,EF85373     ,CITATION ISSUED,M,BLACK,21 - 30,01/06/2023,20:59:00,GENE SNYDER FWY/9                                           ,7TH DIVISION,BEAT 6,M,WHITE,20 - 25,2,NO,,1379
TRAFFIC VIOLATION,EF85376     ,CITATION ISSUED,M,WHITE,31 - 40,01/06/2023,18:39:00,I-264WB @ MM 16                                             ,5TH DIVISION,BEAT 4,F,WHITE,20 - 25,0,NO,,1380
TRAFFIC VIOLATION,EF85431     ,CITATION ISSUED,M,BLACK,31 - 40,01/09/2023,18:13:00,DIXIE HWY                                                   ,3RD DIVISION,BEAT 1,M,WHITE,31 - 40,0,NO,,1381
TRAFFIC VIOLATION,EF85492     ,CITATION ISSUED,M,BLACK,31 - 40,01/09/2023,18:31:00,DIXIE HWY                                                   ,3RD DIVISION,BEAT 1,F,BLACK,20 - 25,0,NO,,1382
TRAFFIC VIOLATION,EF85495     ,CITATION ISSUED,M,BLACK,31 - 40,01/09/2023,18:31:00,DIXIE HWY / WELLS DR                                        ,3RD DIVISION,BEAT 1,M,BLACK,26 - 30,1,NO,,1383
TRAFFIC VIOLATION,EF85511     ,CITATION ISSUED,M,WHITE,41 - 50,01/06/2023,23:30:00,GREENBELT HWY                                               ,3RD DIVISION,BEAT 5,M,WHITE,20 - 25,0,NO,,1384
TRAFFIC VIOLATION,EF85546     ,CITATION ISSUED,M,WHITE,31 - 40,01/06/2023,18:51:00,I-264WB @ MM 14                                             ,6TH DIVISION,BEAT 1,M,WHITE,31 - 40,0,NO,,1385
TRAFFIC VIOLATION,EF85547     ,CITATION ISSUED,M,WHITE,31 - 40,01/06/2023,19:15:00,I-65SB @ MM 129                                             ,6TH DIVISION,BEAT 2,M,BLACK,41 - 50,1,NO,,1386
TRAFFIC VIOLATION,EF85555     ,CITATION ISSUED,M,WHITE,31 - 40,01/07/2023,01:21:00,I-264WB @ MM 16                                             ,5TH DIVISION,BEAT 4,M,BLACK,41 - 50,0,NO,,1387
TRAFFIC VIOLATION,EF85564     ,CITATION ISSUED,M,BLACK,21 - 30,01/14/2023,22:47:00,GEORGETOWN PL                                               ,4TH DIVISION,BEAT 3,M,BLACK,26 - 30,2,YES,,1388
TRAFFIC VIOLATION,EF85566     ,CITATION ISSUED,M,BLACK,31 - 40,01/09/2023,20:33:00,NEW CUT RD / ORCHARD HILLS                                  ,3RD DIVISION,BEAT 2,F,HISPANIC,26 - 30,0,NO,,1389
TRAFFIC VIOLATION,EF85775     ,CITATION ISSUED,M,BLACK,31 - 40,01/09/2023,20:47:00,NEW CUT RD / KENWOOD                                        ,3RD DIVISION,BEAT 2,M,WHITE,20 - 25,0,NO,,1390
TRAFFIC VIOLATION,EF85776     ,CITATION ISSUED,M,BLACK,31 - 40,01/09/2023,21:10:00,NEW CUT RD                                                  ,3RD DIVISION,BEAT 2,M,WHITE,16 - 19,0,NO,,1391
TRAFFIC VIOLATION,EF85777     ,CITATION ISSUED,M,BLACK,31 - 40,01/09/2023,21:19:00,NEW CUT RD / KENWOOD                                        ,3RD DIVISION,BEAT 2,F,WHITE,26 - 30,0,NO,,1392
TRAFFIC VIOLATION,EF85780     ,CITATION ISSUED,M,BLACK,31 - 40,01/10/2023,02:26:00,FAIRDALE RD                                                 ,3RD DIVISION,BEAT 3,M,WHITE,20 - 25,2,NO,,1393
TRAFFIC VIOLATION,EF85781     ,CITATION ISSUED,M,BLACK,31 - 40,01/10/2023,18:01:00,I 0264 @ MM11                                               ,4TH DIVISION,BEAT 6,M,BLACK,31 - 40,0,NO,,1394
TRAFFIC VIOLATION,EF85782     ,CITATION ISSUED,M,BLACK,31 - 40,01/11/2023,00:01:00,I 0264WB @ MM13                                             ,6TH DIVISION,BEAT 1,M,WHITE,16 - 19,0,NO,,1395
TRAFFIC VIOLATION,EF85783     ,CITATION ISSUED,M,BLACK,31 - 40,01/11/2023,00:13:00,I 0264WB @ MM9                                              ,4TH DIVISION,BEAT 3,M,WHITE,26 - 30,0,NO,,1396
TRAFFIC VIOLATION,EF85784     ,CITATION ISSUED,M,BLACK,31 - 40,01/11/2023,00:27:00,I 0264EB @ DIXIE HWY                                        ,,,M,BLACK,26 - 30,0,YES,4.0,1397
TRAFFIC VIOLATION,EF85785     ,CITATION ISSUED,M,BLACK,31 - 40,01/11/2023,02:17:00,I 0264 @ MM11                                               ,6TH DIVISION,BEAT 1,M,WHITE,41 - 50,0,NO,,1398
TRAFFIC VIOLATION,EF85786     ,CITATION ISSUED,M,BLACK,31 - 40,01/11/2023,02:27:00,I 0264WB @ MM9                                              ,4TH DIVISION,BEAT 3,M,BLACK,20 - 25,0,NO,,1399
TRAFFIC VIOLATION,EF85787     ,CITATION ISSUED,M,BLACK,31 - 40,01/13/2023,03:53:00,I 0264WB @ MM8                                              ,4TH DIVISION,BEAT 3,M,,31 - 40,0,NO,,1400
TRAFFIC VIOLATION,EF85788     ,CITATION ISSUED,M,BLACK,31 - 40,01/16/2023,18:18:00,I 0065NB @ MM128                                            ,7TH DIVISION,BEAT 6,M,WHITE,20 - 25,0,NO,,1401
TRAFFIC VIOLATION,EF85789     ,CITATION ISSUED,M,BLACK,31 - 40,01/16/2023,18:34:00,I 0065NB @ MM30                                             ,7TH DIVISION,BEAT 6,M,WHITE,41 - 50,0,NO,,1402
TRAFFIC VIOLATION,EF85790     ,CITATION ISSUED,M,BLACK,31 - 40,01/16/2023,20:16:00,I 0065SB @ MM127                                            ,7TH DIVISION,BEAT 6,F,BLACK,OVER 60,0,NO,,1403
TRAFFIC VIOLATION,EF85791     ,CITATION ISSUED,M,BLACK,31 - 40,01/16/2023,20:45:00,NEW CUT RD / KENWOOD                                        ,3RD DIVISION,BEAT 2,M,WHITE,31 - 40,2,NO,,1404
TRAFFIC VIOLATION,EF85792     ,CITATION ISSUED,M,BLACK,31 - 40,01/16/2023,20:57:00,NEW CUT RD / PARK                                           ,3RD DIVISION,BEAT 2,M,BLACK,20 - 25,0,NO,,1405
TRAFFIC VIOLATION,EF85793     ,CITATION ISSUED,M,BLACK,31 - 40,01/17/2023,23:08:00,ALGONQUIN PKWY                                              ,2ND DIVISION,BEAT 5,F,BLACK,26 - 30,0,NO,,1406
TRAFFIC VIOLATION,EF85794     ,CITATION ISSUED,M,BLACK,31 - 40,01/17/2023,23:47:00,I 0264 @ MM7                                                ,2ND DIVISION,BEAT 2,M,BLACK,41 - 50,0,NO,,1407
TRAFFIC VIOLATION,EF85795     ,CITATION ISSUED,M,BLACK,31 - 40,01/18/2023,00:14:00,I 0264EB @ MM6                                              ,2ND DIVISION,BEAT 6,F,BLACK,41 - 50,0,NO,,1408
TRAFFIC VIOLATION,EF85796     ,CITATION ISSUED,M,BLACK,31 - 40,01/18/2023,00:57:00,I 0264 EB @ MM7                                             ,,,M,WHITE,31 - 40,0,NO,,1409
TRAFFIC VIOLATION,EF85797     ,CITATION ISSUED,M,BLACK,31 - 40,01/18/2023,01:09:00,I 0264EB @ MM7                                              ,4TH DIVISION,BEAT 3,M,BLACK,16 - 19,0,NO,,1410
TRAFFIC VIOLATION,EF85798     ,CITATION ISSUED,M,BLACK,31 - 40,01/18/2023,01:26:00,I 0264EB @ MM8                                              ,4TH DIVISION,BEAT 3,F,BLACK,16 - 19,0,NO,,1411
TRAFFIC VIOLATION,EF85799     ,CITATION ISSUED,M,BLACK,31 - 40,01/18/2023,02:40:00,I 0264WB @ SOUTHERN PKWY                                    ,4TH DIVISION,BEAT 4,M,WHITE,20 - 25,1,YES,4.0,1412
TRAFFIC VIOLATION,EF85800     ,CITATION ISSUED,M,BLACK,31 - 40,01/18/2023,18:20:00,I 0264EB @ MM14                                             ,6TH DIVISION,BEAT 1,F,BLACK,20 - 25,0,NO,,1413
TRAFFIC VIOLATION,EF85801     ,CITATION ISSUED,M,BLACK,31 - 40,01/18/2023,18:34:00,I 0264EB @ MM18                                             ,5TH DIVISION,BEAT 4,M,WHITE,OVER 60,0,NO,,1414
TRAFFIC VIOLATION,EF85802     ,CITATION ISSUED,M,BLACK,31 - 40,01/18/2023,18:45:00,I 0264EB @ MM20                                             ,8TH DIVISION,BEAT 2,M,BLACK,31 - 40,0,NO,,1415
TRAFFIC VIOLATION,EF85803     ,CITATION ISSUED,M,BLACK,31 - 40,01/18/2023,18:54:00,I 0264WB @ MM20                                             ,8TH DIVISION,BEAT 2,M,BLACK,41 - 50,0,NO,,1416
TRAFFIC VIOLATION,EF85804     ,CITATION ISSUED,M,BLACK,31 - 40,01/18/2023,19:15:00,I 0264WB @ TAYLORSVILLE RD                                  ,5TH DIVISION,BEAT 4,M,HISPANIC,26 - 30,0,NO,,1417
TRAFFIC VIOLATION,EF85805     ,CITATION ISSUED,M,BLACK,31 - 40,01/19/2023,17:24:00,I 0064WB @ MM20                                             ,8TH DIVISION,BEAT 3,M,WHITE,16 - 19,0,NO,,1418
TRAFFIC VIOLATION,EF85806     ,CITATION ISSUED,M,BLACK,31 - 40,01/19/2023,18:06:00,I 0064 WB                                                   ,1ST DIVISION,BEAT 1,F,BLACK,41 - 50,0,NO,,1419
TRAFFIC VIOLATION,EF85807     ,CITATION ISSUED,M,BLACK,31 - 40,01/20/2023,18:06:00,I 0264EB @ MM4                                              ,2ND DIVISION,BEAT 2,M,BLACK,31 - 40,0,NO,,1420
TRAFFIC VIOLATION,EF85808     ,CITATION ISSUED,M,BLACK,31 - 40,01/20/2023,18:18:00,I 0264EB @ MM7                                              ,4TH DIVISION,BEAT 3,F,BLACK,20 - 25,0,NO,,1421
TRAFFIC VIOLATION,EF85809     ,CITATION ISSUED,M,BLACK,31 - 40,01/20/2023,18:24:00,I 0264EB @ MM7                                              ,4TH DIVISION,BEAT 3,M,BLACK,20 - 25,0,NO,,1422
TRAFFIC VIOLATION,EF85811     ,CITATION ISSUED,M,BLACK,31 - 40,01/20/2023,23:51:00,I 0264WB @ MM16                                             ,6TH DIVISION,BEAT 1,M,WHITE,16 - 19,0,NO,,1423
TRAFFIC VIOLATION,EF85812     ,CITATION ISSUED,M,BLACK,31 - 40,01/21/2023,00:14:00,I 0264WB                                                    ,4TH DIVISION,BEAT 4,M,BLACK,20 - 25,0,NO,,1424
TRAFFIC VIOLATION,EF85813     ,CITATION ISSUED,M,BLACK,31 - 40,01/21/2023,01:09:00,DIXIE HWY N/B @ ROCKFORD                                    ,,,M,BLACK,51 - 60,0,NO,,1425
TRAFFIC VIOLATION,EF85814     ,CITATION ISSUED,M,BLACK,31 - 40,01/21/2023,01:25:00,I 0264EB @ MM7                                              ,,,F,BLACK,41 - 50,0,NO,,1426
TRAFFIC VIOLATION,EF85815     ,CITATION ISSUED,M,BLACK,31 - 40,01/21/2023,02:02:00,DIXIE HWY / GAGEL                                           ,,,M,WHITE,20 - 25,0,NO,,1427
TRAFFIC VIOLATION,EF85816     ,CITATION ISSUED,M,BLACK,31 - 40,01/21/2023,02:22:00,DIXIE HWY / GAGEL                                           ,,,M,BLACK,26 - 30,0,NO,,1428
TRAFFIC VIOLATION,EF85817     ,CITATION ISSUED,M,BLACK,31 - 40,01/23/2023,16:06:00,I 0064 @ MM18                                               ,8TH DIVISION,BEAT 4,M,WHITE,OVER 60,0,NO,,1429
TRAFFIC VIOLATION,EF85818     ,CITATION ISSUED,M,BLACK,31 - 40,01/23/2023,16:35:00,I 0064WB @ MM10                                             ,5TH DIVISION,BEAT 5,M,WHITE,OVER 60,0,NO,,1430
TRAFFIC VIOLATION,EF85819     ,CITATION ISSUED,M,BLACK,31 - 40,01/23/2023,16:51:00,I 0064WB @ MM6                                              ,5TH DIVISION,BEAT 2,M,WHITE,20 - 25,0,NO,,1431
TRAFFIC VIOLATION,EF85820     ,CITATION ISSUED,M,BLACK,31 - 40,01/24/2023,17:25:00,I 0064WB @ MM16                                             ,,,M,BLACK,51 - 60,0,NO,,1432
TRAFFIC VIOLATION,EF85821     ,CITATION ISSUED,M,BLACK,31 - 40,01/24/2023,17:46:00,I 0064WB @ MM4                                              ,1ST DIVISION,BEAT 3,M,BLACK,26 - 30,0,NO,,1433
TRAFFIC VIOLATION,EF85822     ,CITATION ISSUED,M,BLACK,31 - 40,01/25/2023,17:25:00,I 0064WB @ MM20                                             ,,,F,WHITE,41 - 50,0,NO,,1434
TRAFFIC VIOLATION,EF85823     ,CITATION ISSUED,M,BLACK,31 - 40,01/25/2023,17:44:00,I 0064WB @ MM#7                                             ,5TH DIVISION,BEAT 5,M,WHITE,16 - 19,0,NO,,1435
TRAFFIC VIOLATION,EF85824     ,CITATION ISSUED,M,BLACK,31 - 40,01/26/2023,17:29:00,I 0064WB @ MM13                                             ,8TH DIVISION,BEAT 5,M,WHITE,31 - 40,0,NO,,1436
TRAFFIC VIOLATION,EF85825     ,CITATION ISSUED,M,BLACK,31 - 40,01/26/2023,17:47:00,I 0264WB @ MM7                                              ,4TH DIVISION,BEAT 4,M,WHITE,26 - 30,0,NO,,1437
TRAFFIC VIOLATION,EF85826     ,CITATION ISSUED,M,BLACK,31 - 40,01/27/2023,16:43:00,I 0064WB @ MM23                                             ,8TH DIVISION,BEAT 3,F,BLACK,26 - 30,0,NO,,1438
TRAFFIC VIOLATION,EF85827     ,CITATION ISSUED,M,BLACK,31 - 40,01/27/2023,17:07:00,I 0064WB @ MM#6                                             ,5TH DIVISION,BEAT 5,F,WHITE,41 - 50,0,NO,,1439
TRAFFIC VIOLATION,EF85828     ,CITATION ISSUED,M,BLACK,31 - 40,01/29/2023,11:12:00,I 0264EB @ MM3                                              ,1ST DIVISION,BEAT 2,M,,31 - 40,0,NO,,1440
TRAFFIC VIOLATION,EF85829     ,CITATION ISSUED,M,BLACK,31 - 40,01/29/2023,11:24:00,I 0264EB @ MM5                                              ,2ND DIVISION,BEAT 6,M,BLACK,20 - 25,0,NO,,1441
TRAFFIC VIOLATION,EF85830     ,CITATION ISSUED,M,BLACK,31 - 40,01/29/2023,17:29:00,I 0264WB @ MM4                                              ,2ND DIVISION,BEAT 1,M,BLACK,OVER 60,0,NO,,1442
TRAFFIC VIOLATION,EF85831     ,CITATION ISSUED,M,BLACK,31 - 40,01/29/2023,17:44:00,I 0264WB @ MM1                                              ,2ND DIVISION,BEAT 1,F,WHITE,20 - 25,0,NO,,1443
TRAFFIC VIOLATION,EF85832     ,CITATION ISSUED,M,BLACK,31 - 40,01/30/2023,06:20:00,I 0064EB @ MM14                                             ,,,M,WHITE,31 - 40,0,NO,,1444
TRAFFIC VIOLATION,EF85833     ,CITATION ISSUED,M,BLACK,31 - 40,01/30/2023,06:38:00,I 0064                                                      ,,,M,WHITE,51 - 60,0,NO,,1445
TRAFFIC VIOLATION,EF85834     ,CITATION ISSUED,M,BLACK,31 - 40,01/30/2023,17:34:00,I 0064WB @ MM19                                             ,8TH DIVISION,BEAT 5,F,WHITE,51 - 60,0,NO,,1446
TRAFFIC VIOLATION,EF85835     ,CITATION ISSUED,M,BLACK,31 - 40,01/30/2023,17:45:00,I 0064WB @ MM#9                                             ,5TH DIVISION,BEAT 5,F,BLACK,20 - 25,2,NO,,1447
TRAFFIC VIOLATION,EF85836     ,CITATION ISSUED,M,BLACK,31 - 40,01/31/2023,18:21:00,I 0064WB @ MM23                                             ,8TH DIVISION,BEAT 3,M,BLACK,41 - 50,0,NO,,1448
TRAFFIC VIOLATION,EF85837     ,CITATION ISSUED,M,BLACK,31 - 40,02/01/2023,06:12:00,I 0064EB @ MM4                                              ,1ST DIVISION,BEAT 3,M,WHITE,31 - 40,0,NO,,1449
TRAFFIC VIOLATION,EF85838     ,CITATION ISSUED,M,BLACK,31 - 40,02/01/2023,06:30:00,I 0064EB @ MM17                                             ,8TH DIVISION,BEAT 4,M,WHITE,41 - 50,0,NO,,1450
TRAFFIC VIOLATION,EF85839     ,CITATION ISSUED,M,BLACK,31 - 40,02/05/2023,12:51:00,I 0265EB @ PPRESTON                                         ,7TH DIVISION,BEAT 4,M,WHITE,26 - 30,0,NO,,1451
TRAFFIC VIOLATION,EF85840     ,CITATION ISSUED,M,BLACK,31 - 40,02/05/2023,15:47:00,I 0264 WB @ MM5                                             ,,,F,BLACK,31 - 40,0,NO,,1452
TRAFFIC VIOLATION,EF85841     ,CITATION ISSUED,M,BLACK,31 - 40,02/05/2023,15:55:00,I 0264WB @ MM4                                              ,2ND DIVISION,BEAT 4,M,BLACK,26 - 30,0,NO,,1453
TRAFFIC VIOLATION,EF85842     ,CITATION ISSUED,M,BLACK,31 - 40,02/05/2023,16:06:00,I 0264WB @ MM1                                              ,1ST DIVISION,BEAT 2,M,BLACK,26 - 30,0,NO,,1454
TRAFFIC VIOLATION,EF85843     ,CITATION ISSUED,M,BLACK,31 - 40,02/06/2023,18:11:00,I 0264EB @ MM8.5                                            ,4TH DIVISION,BEAT 3,F,BLACK,31 - 40,0,NO,,1455
TRAFFIC VIOLATION,EF85844     ,CITATION ISSUED,M,BLACK,31 - 40,02/06/2023,18:25:00,I 0264EB @ MM9                                              ,4TH DIVISION,BEAT 6,M,BLACK,26 - 30,0,NO,,1456
TRAFFIC VIOLATION,EF85845     ,CITATION ISSUED,M,BLACK,31 - 40,02/06/2023,18:41:00,I 0264EB @ MM19                                             ,5TH DIVISION,BEAT 4,M,WHITE,16 - 19,0,NO,,1457
TRAFFIC VIOLATION,EF85846     ,CITATION ISSUED,M,BLACK,31 - 40,02/06/2023,18:55:00,I 0264WB @ MM17                                             ,,,M,WHITE,20 - 25,0,NO,,1458
TRAFFIC VIOLATION,EF85847     ,CITATION ISSUED,M,BLACK,31 - 40,02/06/2023,19:09:00,I 0264WB @ MM9.5                                            ,4TH DIVISION,BEAT 4,M,BLACK,31 - 40,0,NO,,1459
TRAFFIC VIOLATION,EF85848     ,CITATION ISSUED,M,BLACK,31 - 40,02/06/2023,19:27:00,I 0264WB @ MM10                                             ,4TH DIVISION,BEAT 3,M,WHITE,OVER 60,0,NO,,1460
TRAFFIC VIOLATION,EF85849     ,CITATION ISSUED,M,BLACK,31 - 40,02/06/2023,19:47:00,I 0264WB @ MM7                                              ,4TH DIVISION,BEAT 3,F,WHITE,20 - 25,0,NO,,1461
TRAFFIC VIOLATION,EF85850     ,CITATION ISSUED,M,BLACK,31 - 40,02/06/2023,20:00:00,I 0264EB @ POPLAR LEVEL RD                                  ,6TH DIVISION,BEAT 3,M,BLACK,26 - 30,0,NO,,1462
TRAFFIC VIOLATION,EF85851     ,CITATION ISSUED,M,BLACK,31 - 40,02/06/2023,21:32:00,I 0264WB @ MM14                                             ,5TH DIVISION,BEAT 4,M,WHITE,31 - 40,0,NO,,1463
TRAFFIC VIOLATION,EF85852     ,CITATION ISSUED,M,BLACK,31 - 40,02/06/2023,21:53:00,I 0264WB @ MM9                                              ,4TH DIVISION,BEAT 3,F,BLACK,20 - 25,0,NO,,1464
TRAFFIC VIOLATION,EF85853     ,CITATION ISSUED,M,BLACK,31 - 40,02/06/2023,22:09:00,I 0264EB @ MM11                                             ,6TH DIVISION,BEAT 2,M,WHITE,31 - 40,0,NO,,1465
TRAFFIC VIOLATION,EF85854     ,CITATION ISSUED,M,BLACK,31 - 40,02/06/2023,22:20:00,I 0264EB @ MM14                                             ,6TH DIVISION,BEAT 1,M,HISPANIC,20 - 25,0,NO,,1466
TRAFFIC VIOLATION,EF85855     ,CITATION ISSUED,M,BLACK,31 - 40,02/06/2023,22:29:00,I 0264EB @ MM17                                             ,6TH DIVISION,BEAT 5,M,BLACK,26 - 30,0,NO,,1467
TRAFFIC VIOLATION,EF85856     ,CITATION ISSUED,M,BLACK,31 - 40,02/06/2023,22:38:00,I 0264EB @ MM19                                             ,,,M,WHITE,20 - 25,0,NO,,1468
TRAFFIC VIOLATION,EF85857     ,CITATION ISSUED,M,BLACK,31 - 40,02/06/2023,22:58:00,I 0264EB @ MM21                                             ,8TH DIVISION,BEAT 2,M,WHITE,51 - 60,0,NO,,1469
TRAFFIC VIOLATION,EF85859     ,CITATION ISSUED,M,BLACK,31 - 40,02/07/2023,00:26:00,I 0064WB @ HURSTBOURNE                                      ,8TH DIVISION,BEAT 5,M,WHITE,20 - 25,0,NO,,1470
TRAFFIC VIOLATION,EF85860     ,CITATION ISSUED,M,BLACK,31 - 40,02/07/2023,03:39:00,DIXIE HWY / KLAGES                                          ,,,F,WHITE,OVER 60,0,NO,,1471
TRAFFIC VIOLATION,EF85861     ,CITATION ISSUED,M,BLACK,31 - 40,02/07/2023,03:48:00,DIXIE HWY                                                   ,3RD DIVISION,BEAT 1,M,WHITE,20 - 25,0,NO,,1472
TRAFFIC VIOLATION,EF85862     ,CITATION ISSUED,M,BLACK,31 - 40,02/08/2023,13:49:00,I 0065NB @ MM130                                            ,7TH DIVISION,BEAT 6,M,WHITE,31 - 40,0,NO,,1473
TRAFFIC VIOLATION,EF85863     ,CITATION ISSUED,M,BLACK,31 - 40,02/08/2023,15:37:00,I 0064EB @ MM8                                              ,5TH DIVISION,BEAT 5,M,WHITE,26 - 30,0,NO,,1474
TRAFFIC VIOLATION,EF85864     ,CITATION ISSUED,M,BLACK,31 - 40,02/08/2023,15:47:00,I 0064EB @ MM12                                             ,,,F,WHITE,41 - 50,0,NO,,1475
TRAFFIC VIOLATION,EF85865     ,CITATION ISSUED,M,BLACK,31 - 40,02/08/2023,16:05:00,I 0064EB @ 264                                              ,8TH DIVISION,BEAT 5,M,WHITE,26 - 30,0,NO,,1476
TRAFFIC VIOLATION,EF85866     ,CITATION ISSUED,M,BLACK,31 - 40,02/08/2023,16:08:00,I 0064WB @ I 264                                            ,8TH DIVISION,BEAT 5,M,WHITE,OVER 60,0,NO,,1477
TRAFFIC VIOLATION,EF85867     ,CITATION ISSUED,M,BLACK,31 - 40,02/08/2023,16:17:00,I 0064WB @ MM11                                             ,,,M,WHITE,51 - 60,0,NO,,1478
TRAFFIC VIOLATION,EF85868     ,CITATION ISSUED,M,BLACK,31 - 40,02/08/2023,16:52:00,I 0264WB @ MM17                                             ,6TH DIVISION,BEAT 5,M,WHITE,26 - 30,0,NO,,1479
TRAFFIC VIOLATION,EF85869     ,CITATION ISSUED,M,BLACK,31 - 40,02/08/2023,17:42:00,I 0264WB @ MM14                                             ,6TH DIVISION,BEAT 1,M,BLACK,31 - 40,0,NO,,1480
TRAFFIC VIOLATION,EF85870     ,CITATION ISSUED,M,BLACK,31 - 40,02/08/2023,18:05:00,I 0264WB @ MM12                                             ,4TH DIVISION,BEAT 4,F,WHITE,20 - 25,0,NO,,1481
TRAFFIC VIOLATION,EF85871     ,CITATION ISSUED,M,BLACK,31 - 40,02/08/2023,18:14:00,I 0264WB @ MM10                                             ,4TH DIVISION,BEAT 4,M,WHITE,41 - 50,0,NO,,1482
TRAFFIC VIOLATION,EF85872     ,CITATION ISSUED,M,BLACK,31 - 40,02/08/2023,18:30:00,I 0264EB @ MM11                                             ,6TH DIVISION,BEAT 2,F,BLACK,26 - 30,0,NO,,1483
TRAFFIC VIOLATION,EF85873     ,CITATION ISSUED,M,BLACK,31 - 40,02/08/2023,21:44:00,I 0264WB @ MM9                                              ,4TH DIVISION,BEAT 4,M,WHITE,31 - 40,0,NO,,1484
TRAFFIC VIOLATION,EF85874     ,CITATION ISSUED,M,BLACK,31 - 40,02/09/2023,20:24:00,I 0065NB @ MM128                                            ,7TH DIVISION,BEAT 6,M,WHITE,26 - 30,0,NO,,1485
TRAFFIC VIOLATION,EF85879     ,CITATION ISSUED,M,WHITE,21 - 30,01/15/2023,21:06:00,E INDIAN TRL                                                ,6TH DIVISION,BEAT 2,M,HISPANIC,41 - 50,3,NO,,1486
TRAFFIC VIOLATION,EF86108     ,CITATION ISSUED,M,WHITE,31 - 40,01/06/2023,09:56:00,I 0264                                                      ,4TH DIVISION,BEAT 3,M,BLACK,26 - 30,0,NO,,1487
TRAFFIC VIOLATION,EF86230     ,CITATION ISSUED,M,WHITE,31 - 40,01/06/2023,10:10:00,I 0264                                                      ,4TH DIVISION,BEAT 3,M,,16 - 19,0,NO,,1488
TRAFFIC VIOLATION,EF86235     ,CITATION ISSUED,M,WHITE,31 - 40,01/06/2023,10:24:00,I 0264                                                      ,6TH DIVISION,BEAT 2,F,WHITE,41 - 50,0,NO,,1489
TRAFFIC VIOLATION,EF86239     ,CITATION ISSUED,M,WHITE,31 - 40,01/06/2023,10:55:00,I 0264                                                      ,4TH DIVISION,BEAT 4,M,BLACK,31 - 40,0,NO,,1490
TRAFFIC VIOLATION,EF86462     ,CITATION ISSUED,M,WHITE,31 - 40,01/06/2023,12:29:00,ALGONQUIN PKWY                                              ,4TH DIVISION,BEAT 3,M,WHITE,31 - 40,0,NO,,1491
TRAFFIC VIOLATION,EF86463     ,CITATION ISSUED,M,WHITE,31 - 40,01/06/2023,12:44:00,7TH ST RD                                                   ,4TH DIVISION,BEAT 3,F,BLACK,41 - 50,0,NO,,1492
TRAFFIC VIOLATION,EF86464     ,CITATION ISSUED,M,WHITE,31 - 40,01/06/2023,12:53:00,7TH ST RD                                                   ,,,F,BLACK,26 - 30,0,NO,,1493
TRAFFIC VIOLATION,EF86465     ,CITATION ISSUED,M,WHITE,31 - 40,01/06/2023,13:21:00,ARCADE AVE                                                  ,4TH DIVISION,BEAT 3,M,,41 - 50,0,NO,,1494
TRAFFIC VIOLATION,EF86466     ,CITATION ISSUED,M,WHITE,31 - 40,01/06/2023,14:00:00,DIXIE HWY                                                   ,3RD DIVISION,BEAT 1,M,WHITE,20 - 25,0,NO,,1495
