X,Y,FacilityName,FacilityID,WWInventoryURL
493897.618341212,195111.444059909,Cumberland Farms Station 4024                               ,776,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=776&option=view
498819.266133612,183126.99240051,Pike Industries (Williamstown Quarry),799,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=799&option=view
442976.829597306,42337.6972855326,VT Dept State Buildings - Bennington State Office Bldg      ,802,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=802&option=view
523837.19476372,272520.411046605,Columbia Forest Products,812,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=812&option=view
467670.59700332,44749.9191538186,Cold Brook FD 1 - Golf Course,826,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=826&option=view
467910.809058349,46723.8768051043,Cold Brook FD 1 - Base Tract,827,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=827&option=view
448517.89424988,44187.4700795448,Bennington Water Treatment Facility                         ,856,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=856&option=view
478219.640870859,56151.6448774258,Eagle River Mining,861,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=861&option=view
453863.534448409,260206.465804716,Malone 75 Swanton Road Properties,873,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=873&option=view
496039.747967137,36074.6374645786,Cersosimo Lumber Company,906,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=906&option=view
445495.215246524,176435.353524151,Pike Industries (New Haven),937,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=937&option=view
441274.763487618,158312.15623784,Cornwall,955,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=955&option=view
494406.130745007,40444.6725165322,Grafton Village Cheese Co - Brattleboro                     ,956,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=956&option=view
562041.570433632,212686.258126798,Ampersand Gilman Hydro LP,973,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=973&option=view
437331.988304854,54439.2488563078,All Out Waste Management                                    ,978,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=978&option=view
513799.285801977,128102.736021168,Irving Oil Terminals Inc.,1026,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=1026&option=view
493611.565542062,36341.4419575132,Commonwealth Dairy                                          ,1056,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=1056&option=view
476169.802986394,83234.4842951417,Chaves Excavating,1066,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=1066&option=view
482966.439504201,78648.7176456793,Imerys Talc America,1083,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=1083&option=view
456004.076351414,121587.049913751,Champlain Oil Co-McGanns Mobil                              ,1148,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=1148&option=view
535797.305639793,199532.295464817,Barnet Hydro                                                ,1169,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=1169&option=view
461946.409457792,267842.879769217,Sheldon Springs Hydro,1171,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=1171&option=view
481283.306167516,218937.809075686,Trapp Lager Brewery,1176,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=1176&option=view
480557.120507051,205608.629852309,Alchemist - Waterbury,2203,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=2203&option=view
491798.431026998,229986.149346807,Lost Nation Brewery,2209,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=2209&option=view
482778.971459039,219583.968134976,Alchemist - Stowe,2229,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=2229&option=view
460042.895879213,211083.711217146,Stone Corral Brewery,2237,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=2237&option=view
493684.825076794,83306.7137235977,Drews LLC,2238,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=2238&option=view
452541.027308989,219883.90704269,IBM,2241,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=2241&option=view
507947.585673239,112532.195853412,Windsor Brewing Company                                     ,2245,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=2245&option=view
441706.322649304,207505.542267132,Fiddlehead Brewing,2254,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=2254&option=view
446561.649955295,168420.288065214,VT AOT -Middlebury Bridge,2271,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=2271&option=view
471154.168010818,236377.14315595,Bryce Farms Inc,2380,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=2380&option=view
439866.671482847,152608.082932582,Richville Farms,2387,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=2387&option=view
437002.602231488,238765.81441416,Bayview Farm,2388,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=2388&option=view
516754.667925999,236568.440302699,Gebbie Farm,2393,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=2393&option=view
444711.666619454,179308.113782948,"Rail View Dairy, LLC",2419,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=2419&option=view
465794.238638351,243841.502987217,Sweet Farm,2423,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=2423&option=view
459781.995175188,241541.139356747,H Bar 9,2424,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=2424&option=view
460164.379324892,268389.547899766,Machia Farm,2425,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=2425&option=view
452670.362004968,246689.109760478,Sizen Dairy Farm,2430,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=2430&option=view
432894.193634399,144068.9405862,"Lucas Dairy, LLC",2440,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=2440&option=view
479149.585655883,261259.021767231,"Leach Farms, Inc",2445,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=2445&option=view
451244.513356889,249158.733969665,Boissonneault Family Farm,2446,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=2446&option=view
