word,quantity,frequency
hooray,9,0.0001
Humpty,18,0.0001
t,6,0.0
move,54,0.0004
Humpty_Dumpty,6,0.0
Dumpty,9,0.0001
help,159,0.0013
write,45,0.0004
okay,30,0.0002
comfy,6,0.0
swing,36,0.0003
football,12,0.0001
she,81,0.0007
clever,15,0.0001
funny,18,0.0001
wee,120,0.001
toilet,27,0.0002
have,132,0.0011
happy,36,0.0003
sleepy,42,0.0003
cot,6,0.0
hiya,6,0.0
paddle,3,0.0
pool,3,0.0
face,63,0.0005
Pooh_Bear,24,0.0002
poly,3,0.0
tiger,204,0.0017
whoopsie,3,0.0
fishie,9,0.0001
whale,84,0.0007
yummy,81,0.0007
giraffe,141,0.0012
uhoh,21,0.0002
penguin,108,0.0009
drive,111,0.0009
hippo,48,0.0004
food,60,0.0005
soup,6,0.0
chip,132,0.0011
tuck,15,0.0001
real,6,0.0
tomato,24,0.0002
yum,72,0.0006
sausage,30,0.0002
melon,6,0.0
try,21,0.0002
alright,15,0.0001
elephant,228,0.0019
hey,84,0.0007
pickle,6,0.0
lot,27,0.0002
bean,24,0.0002
pick,3,0.0
tellie,21,0.0002
Thomas,684,0.0056
home,6,0.0
tidy,30,0.0002
sorry,36,0.0003
morning,24,0.0002
pardon,3,0.0
three,450,0.0037
beepbeep,9,0.0001
hurt,15,0.0001
let,12,0.0001
land,3,0.0
helicopter,18,0.0001
Mum,156,0.0013
whee,228,0.0019
pop,12,0.0001
think,18,0.0001
so,9,0.0001
his,12,0.0001
monkey,213,0.0018
lie,60,0.0005
rabbit,132,0.0011
box,129,0.0011
tire,9,0.0001
chase,135,0.0011
gently,18,0.0001
quiet,27,0.0002
tasty,3,0.0
err,33,0.0003
crisp,12,0.0001
fork,9,0.0001
horrid,3,0.0
show,15,0.0001
garden,12,0.0001
wrong,30,0.0002
fence,48,0.0004
wall,12,0.0001
field,66,0.0005
bench,9,0.0001
clipclop,3,0.0
happen,165,0.0014
tunnel,24,0.0002
brilliant,3,0.0
brumm,525,0.0043
panda,129,0.0011
squeaky,6,0.0
squeaksqueak,3,0.0
Caroline,45,0.0004
pretend,24,0.0002
pear,48,0.0004
meat,3,0.0
pinch,12,0.0001
hide,48,0.0004
five,42,0.0003
tickle,27,0.0002
fat,3,0.0
bang,303,0.0025
muddle,3,0.0
parrot,30,0.0002
snake,75,0.0006
tail,93,0.0008
well,30,0.0002
horsie,93,0.0008
Carl,357,0.0029
Ryan,3,0.0
nursery,3,0.0
asleep,45,0.0004
dance,18,0.0001
frog,33,0.0003
settee,18,0.0001
set,6,0.0
pajama,6,0.0
thing,18,0.0001
breakfast,15,0.0001
bridge,339,0.0028
crash,324,0.0027
mieow,33,0.0003
wing,27,0.0002
atechoo,6,0.0
pull,45,0.0004
quick,15,0.0001
hmm,153,0.0013
smarties,3,0.0
pan,3,0.0
spill,12,0.0001
yep,9,0.0001
catch,117,0.001
throw,63,0.0005
Paddington,6,0.0
cart,3,0.0
will,27,0.0002
tell,9,0.0001
stand,51,0.0004
ow,147,0.0012
something,18,0.0001
arm,39,0.0003
coke,3,0.0
shoulder,6,0.0
quackquack,3,0.0
why,6,0.0
Duplo,9,0.0001
shark,3,0.0
space,24,0.0002
high,21,0.0002
wow,27,0.0002
cob,3,0.0
celery,3,0.0
pineapple,12,0.0001
zoo,12,0.0001
shall,3,0.0
brum,387,0.0032
steady,9,0.0001
say,24,0.0002
seaside,3,0.0
town,6,0.0
goodness,12,0.0001
sneeze,3,0.0
Granddad,186,0.0015
further,3,0.0
Kirsty,3,0.0
Emily,12,0.0001
Gran,6,0.0
sock,66,0.0005
page,87,0.0007
Momma,3,0.0
snail,18,0.0001
cold,21,0.0002
snow,18,0.0001
splash,18,0.0001
know,15,0.0001
sand,9,0.0001
dog,183,0.0015
sandwich,6,0.0
shush,3,0.0
blow,6,0.0
weed,6,0.0
poo,39,0.0003
bubble,21,0.0002
present,9,0.0001
road,6,0.0
silly,9,0.0001
Mum_Mum,6,0.0
closer,3,0.0
Rachel,15,0.0001
close,6,0.0
press,48,0.0004
lovely,6,0.0
Da_bear,9,0.0001
music,6,0.0
Ring_roses,12,0.0001
walk,66,0.0005
bit,57,0.0005
long,15,0.0001
cheeky,12,0.0001
mannie,15,0.0001
seven,39,0.0003
nine,60,0.0005
ahem,3,0.0
brick,216,0.0018
hold,27,0.0002
from,6,0.0
an,6,0.0
bibbie,6,0.0
money,48,0.0004
hole,18,0.0001
race,3,0.0
bird,33,0.0003
penny,108,0.0009
tractor,165,0.0014
park,42,0.0003
driver,57,0.0005
ss,9,0.0001
green,168,0.0014
dong,6,0.0
wet,21,0.0002
ham,3,0.0
Minny,6,0.0
din,66,0.0005
dodo,12,0.0001
lip,6,0.0
poster,6,0.0
wheel,147,0.0012
er,18,0.0001
stone,12,0.0001
coat,24,0.0002
keep,3,0.0
bow,3,0.0
