admin_date,dose,last_7days,LOADED,rolling_count,ObjectId
2021/06/26 04:00:00+00,1,4389,2022/10/10 10:04:00+00,453292,186
2021/10/16 04:00:00+00,1,4341,2022/10/10 10:04:00+00,549786,187
2021/02/20 05:00:00+00,3,46,2022/10/10 10:04:00+00,166,188
2022/06/25 04:00:00+00,3,630,2022/10/10 10:04:00+00,225270,189
2022/09/10 04:00:00+00,5,1213,2022/10/10 10:04:00+00,1706,190
2022/01/08 05:00:00+00,5,6,2022/10/10 10:04:00+00,93,191
2022/04/09 04:00:00+00,5,17,2022/10/10 10:04:00+00,151,192
2021/06/26 04:00:00+00,2,5498,2022/10/10 10:04:00+00,383354,193
2021/02/20 05:00:00+00,4,4,2022/10/10 10:04:00+00,9,194
2021/10/16 04:00:00+00,2,3562,2022/10/10 10:04:00+00,455979,195
2022/06/25 04:00:00+00,4,1252,2022/10/10 10:04:00+00,37342,196
2022/09/10 04:00:00+00,6,15,2022/10/10 10:04:00+00,58,197
2022/01/15 05:00:00+00,1,5543,2022/10/10 10:04:00+00,636973,198
2022/04/16 04:00:00+00,1,1021,2022/10/10 10:04:00+00,656825,199
2021/06/26 04:00:00+00,3,24,2022/10/10 10:04:00+00,934,200
2021/02/27 05:00:00+00,1,18182,2022/10/10 10:04:00+00,140261,201
2022/06/25 04:00:00+00,5,14,2022/10/10 10:04:00+00,308,202
2021/10/16 04:00:00+00,3,9687,2022/10/10 10:04:00+00,46928,203
2022/09/17 04:00:00+00,1,1138,2022/10/10 10:04:00+00,679039,204
2022/01/15 05:00:00+00,2,2567,2022/10/10 10:04:00+00,495433,205
2022/04/16 04:00:00+00,2,1355,2022/10/10 10:04:00+00,514355,206
2021/06/26 04:00:00+00,4,7,2022/10/10 10:04:00+00,133,207
2021/02/27 05:00:00+00,2,19365,2022/10/10 10:04:00+00,85123,208
2022/07/02 04:00:00+00,1,1413,2022/10/10 10:04:00+00,667301,209
2021/10/23 04:00:00+00,1,3876,2022/10/10 10:04:00+00,553662,210
2022/09/17 04:00:00+00,2,1255,2022/10/10 10:04:00+00,534241,211
2022/01/15 05:00:00+00,3,9517,2022/10/10 10:04:00+00,189164,212
2022/04/16 04:00:00+00,3,1174,2022/10/10 10:04:00+00,215640,213
2021/07/03 04:00:00+00,1,4028,2022/10/10 10:04:00+00,457320,214
2021/02/27 05:00:00+00,3,58,2022/10/10 10:04:00+00,224,215
2022/07/02 04:00:00+00,2,602,2022/10/10 10:04:00+00,524036,216
2021/10/23 04:00:00+00,2,2700,2022/10/10 10:04:00+00,458679,217
2022/09/17 04:00:00+00,3,1395,2022/10/10 10:04:00+00,234996,218
2022/01/15 05:00:00+00,4,70,2022/10/10 10:04:00+00,904,219
2022/04/16 04:00:00+00,4,4467,2022/10/10 10:04:00+00,12597,220
2021/07/03 04:00:00+00,2,4474,2022/10/10 10:04:00+00,387828,221
2021/03/06 05:00:00+00,1,25842,2022/10/10 10:04:00+00,166103,222
2022/07/02 04:00:00+00,3,709,2022/10/10 10:04:00+00,225979,223
2021/10/23 04:00:00+00,3,8953,2022/10/10 10:04:00+00,55881,224
2022/09/17 04:00:00+00,4,2258,2022/10/10 10:04:00+00,54937,225
2022/01/15 05:00:00+00,5,8,2022/10/10 10:04:00+00,101,226
2022/04/16 04:00:00+00,5,18,2022/10/10 10:04:00+00,169,227
2021/07/03 04:00:00+00,3,31,2022/10/10 10:04:00+00,965,228
2021/03/06 05:00:00+00,2,13001,2022/10/10 10:04:00+00,98124,229
2022/07/02 04:00:00+00,4,1248,2022/10/10 10:04:00+00,38590,230
2021/10/23 04:00:00+00,4,29,2022/10/10 10:04:00+00,351,231
2022/09/17 04:00:00+00,5,2140,2022/10/10 10:04:00+00,3846,232
2022/01/22 05:00:00+00,1,3509,2022/10/10 10:04:00+00,640482,233
2022/04/16 04:00:00+00,15,1,2022/10/10 10:04:00+00,1,234
