Incident_Date,Incident_Postal_Code,Number_of_Leave_Behind_Naloxone,ObjectId
2/9/2020,21218,3,371
2/10/2020,21215,2,372
2/11/2020,21230,2,373
2/11/2020,21218,1,374
2/13/2020,21218,1,375
2/13/2020,21206,1,376
2/14/2020,21202,1,377
2/14/2020,21215,1,378
2/14/2020,21216,1,379
2/15/2020,21215,1,380
2/18/2020,21223,1,381
2/20/2020,21215,1,382
2/20/2020,21229,1,383
2/20/2020,21231,1,384
2/21/2020,21216,1,385
2/21/2020,21217,1,386
2/22/2020,21216,1,387
2/23/2020,21202,1,388
2/24/2020,21213,1,389
2/24/2020,21229,3,390
2/24/2020,21217,2,391
2/26/2020,21218,2,392
2/28/2020,21213,1,393
2/28/2020,21215,1,394
2/29/2020,21224,1,395
3/2/2020,21230,1,396
3/2/2020,21215,2,397
3/2/2020,21218,1,398
3/3/2020,21213,2,399
3/3/2020,21207,1,400
5/26/2020,21201,1,401
5/26/2020,21213,1,402
5/27/2020,21217,1,403
5/27/2020,21213,1,404
5/27/2020,21218,1,405
5/28/2020,21213,1,406
5/28/2020,21217,1,407
5/28/2020,21223,1,408
5/28/2020,21215,1,409
5/28/2020,21207,1,410
5/29/2020,21217,1,411
5/29/2020,21217,1,412
5/30/2020,21201,1,413
5/30/2020,21229,2,414
5/31/2020,21215,1,415
5/31/2020,21215,1,416
5/31/2020,21213,1,417
6/3/2020,21214,1,418
6/3/2020,21231,1,419
6/3/2020,21230,1,420
6/4/2020,21216,1,421
6/4/2020,21216,1,422
6/7/2020,21216,1,423
6/8/2020,21215,1,424
6/9/2020,21216,2,425
6/9/2020,21205,2,426
6/10/2020,21215,1,427
6/11/2020,21213,1,428
6/12/2020,21215,1,429
6/12/2020,21215,1,430
6/12/2020,21217,2,431
6/13/2020,21201,1,432
6/14/2020,21229,2,433
6/14/2020,21230,1,434
6/14/2020,21217,1,435
6/14/2020,21215,2,436
6/15/2020,21211,1,437
6/16/2020,21218,1,438
6/18/2020,21217,1,439
6/20/2020,21216,1,440
6/22/2020,21223,1,441
6/22/2020,21225,1,442
6/22/2020,21229,1,443
6/23/2020,21217,2,444
6/23/2020,21202,1,445
6/23/2020,21213,1,446
6/24/2020,21216,1,447
6/25/2020,21223,2,448
6/25/2020,21230,1,449
6/26/2020,21217,1,450
7/24/2020,21215,1,451
7/24/2020,21230,1,452
7/24/2020,21217,2,453
7/26/2020,21223,1,454
7/26/2020,21217,1,455
7/27/2020,21215,1,456
7/27/2020,21223,1,457
7/27/2020,21217,1,458
7/28/2020,21223,1,459
7/28/2020,21217,1,460
7/28/2020,21216,1,461
7/29/2020,21217,1,462
7/29/2020,21225,1,463
7/29/2020,21217,2,464
7/29/2020,21218,2,465
7/30/2020,21217,1,466
7/30/2020,21217,1,467
7/31/2020,21218,1,468
7/31/2020,21217,1,469
8/1/2020,21212,1,470
8/1/2020,21213,1,471
8/2/2020,21217,1,472
8/2/2020,21215,1,473
8/2/2020,21206,1,474
8/3/2020,21217,1,475
8/3/2020,21217,1,476
8/3/2020,21216,1,477
8/3/2020,21216,1,478
8/3/2020,21201,1,479
8/4/2020,21223,1,480
8/4/2020,21216,1,481
8/4/2020,21201,1,482
8/4/2020,21201,1,483
8/4/2020,21209,1,484
8/4/2020,21217,1,485
8/4/2020,21216,1,486
8/5/2020,21216,1,487
8/5/2020,21223,1,488
8/5/2020,21217,1,489
8/5/2020,21202,1,490
8/7/2020,21213,1,491
8/9/2020,21206,1,492
8/9/2020,21230,1,493
8/9/2020,21205,1,494
8/10/2020,21217,1,495
8/10/2020,21217,2,496
8/11/2020,21224,1,497
8/11/2020,21229,1,498
8/11/2020,21231,1,499
8/12/2020,21223,2,500
8/12/2020,21213,1,501
8/12/2020,21223,1,502
8/13/2020,21231,1,503
8/13/2020,21201,1,504
8/13/2020,21205,1,505
8/14/2020,21217,1,506
8/15/2020,21215,1,507
8/15/2020,21215,1,508
8/16/2020,21214,1,509
8/17/2020,21217,1,510
8/17/2020,21217,1,511
8/18/2020,21223,1,512
8/18/2020,21234,1,513
8/18/2020,21223,1,514
8/18/2020,21213,1,515
8/19/2020,21202,1,516
8/20/2020,21215,1,517
8/22/2020,21217,1,518
8/22/2020,21215,2,519
8/24/2020,21223,1,520
8/24/2020,21213,1,521
8/25/2020,21229,1,522
8/25/2020,21215,1,523
8/26/2020,21217,1,524
8/26/2020,21217,1,525
8/27/2020,21222,1,526
8/28/2020,21213,2,527
8/28/2020,21217,1,528
8/29/2020,21213,1,529
8/29/2020,21213,1,530
8/30/2020,21215,1,531
9/1/2020,21217,1,532
9/1/2020,21217,1,533
9/1/2020,21239,1,534
9/1/2020,21205,1,535
9/1/2020,21213,1,536
9/2/2020,21217,2,537
9/2/2020,21201,1,538
9/2/2020,21211,1,539
9/3/2020,21202,1,540
9/4/2020,21217,1,541
9/4/2020,21223,1,542
9/5/2020,21231,1,543
9/6/2020,21224,1,544
9/6/2020,21201,1,545
9/8/2020,21215,1,546
9/8/2020,21215,1,547
9/10/2020,21217,1,548
9/11/2020,21223,1,549
9/11/2020,21215,1,550
6/26/2020,21215,1,551
6/26/2020,21223,1,552
6/26/2020,21218,1,553
6/27/2020,21223,2,554
6/27/2020,21215,1,555
6/29/2020,21223,1,556
6/29/2020,21217,1,557
6/30/2020,21217,1,558
6/30/2020,21213,1,559
6/30/2020,21205,1,560
6/30/2020,21217,1,561
6/30/2020,21205,1,562
7/1/2020,21216,1,563
7/1/2020,21218,1,564
7/1/2020,21217,1,565
7/1/2020,21213,1,566
7/1/2020,21218,1,567
7/3/2020,21215,1,568
7/3/2020,21230,1,569
7/3/2020,21223,1,570
7/4/2020,21213,1,571
7/4/2020,21216,1,572
7/6/2020,21218,1,573
7/9/2020,21223,1,574
7/9/2020,21217,1,575
7/9/2020,21218,2,576
7/9/2020,21217,1,577
7/9/2020,21206,1,578
7/10/2020,21215,1,579
7/11/2020,21209,1,580
7/12/2020,21223,1,581
7/14/2020,21218,1,582
7/14/2020,21230,3,583
7/15/2020,21223,1,584
7/16/2020,21216,1,585
7/16/2020,21239,1,586
7/17/2020,21205,1,587
7/17/2020,21211,1,588
7/17/2020,21205,1,589
7/17/2020,21218,1,590
7/17/2020,21213,1,591
7/18/2020,21214,1,592
7/18/2020,21217,1,593
7/20/2020,21205,1,594
7/20/2020,21212,1,595
7/20/2020,21223,1,596
7/21/2020,21213,1,597
7/21/2020,21229,1,598
7/23/2020,21234,1,599
7/24/2020,21231,1,600
11/24/2020,21215,1,601
11/24/2020,21217,2,602
11/24/2020,21215,2,603
11/24/2020,21215,1,604
11/25/2020,21205,1,605
11/25/2020,21217,1,606
11/25/2020,21226,1,607
11/26/2020,21231,1,608
11/26/2020,21217,1,609
11/26/2020,21223,2,610
11/26/2020,21212,1,611
11/27/2020,21215,1,612
11/27/2020,21223,1,613
11/28/2020,21218,1,614
12/1/2020,21207,1,615
12/3/2020,21217,1,616
12/3/2020,21217,1,617
12/3/2020,21217,1,618
12/3/2020,21217,1,619
12/3/2020,21217,1,620
12/3/2020,21223,1,621
12/8/2020,21226,1,622
12/11/2020,21209,1,623
12/11/2020,21209,1,624
12/12/2020,21217,1,625
12/12/2020,21217,1,626
12/18/2020,21207,1,627
12/19/2020,21213,1,628
12/20/2020,21217,1,629
12/20/2020,21213,2,630
12/22/2020,21239,2,631
12/22/2020,21212,1,632
12/23/2020,21211,1,633
12/24/2020,21215,1,634
12/24/2020,21215,1,635
12/27/2020,21215,1,636
12/27/2020,21229,1,637
12/28/2020,21213,1,638
12/28/2020,21217,1,639
12/28/2020,21218,1,640
12/29/2020,21216,3,641
12/29/2020,21212,1,642
12/31/2020,21229,1,643
1/1/2021,21215,2,644
1/3/2021,21213,1,645
1/6/2021,21217,1,646
1/6/2021,21215,2,647
1/6/2021,21205,1,648
1/7/2021,21201,1,649
1/7/2021,21215,1,650
10/19/2020,21201,1,651
1/9/2021,21217,1,652
1/9/2021,21212,1,653
1/10/2021,21216,1,654
1/12/2021,21213,1,655
1/13/2021,21216,1,656
1/13/2021,21217,1,657
1/13/2021,21223,2,658
1/14/2021,21217,1,659
1/15/2021,21224,1,660
1/15/2021,21218,1,661
1/15/2021,21217,1,662
1/16/2021,21215,1,663
1/16/2021,21213,1,664
1/17/2021,21201,1,665
1/20/2021,21223,1,666
1/21/2021,21222,1,667
1/23/2021,21215,1,668
1/30/2021,21223,1,669
1/30/2021,21202,1,670
1/30/2021,21215,1,671
1/31/2021,21223,1,672
2/1/2021,21215,1,673
2/3/2021,21213,1,674
2/4/2021,21215,1,675
2/4/2021,21213,1,676
2/5/2021,21215,1,677
2/6/2021,21215,1,678
2/6/2021,21218,1,679
2/7/2021,21206,1,680
2/8/2021,21213,1,681
2/9/2021,21223,2,682
2/9/2021,21213,1,683
2/10/2021,21217,1,684
2/10/2021,21217,1,685
2/10/2021,21217,2,686
2/10/2021,21223,1,687
2/11/2021,21215,1,688
2/12/2021,21217,1,689
2/12/2021,21217,1,690
2/12/2021,21218,1,691
2/14/2021,21201,1,692
2/14/2021,21217,1,693
2/15/2021,21201,1,694
2/15/2021,21206,1,695
2/15/2021,21215,1,696
2/15/2021,21215,1,697
2/15/2021,21223,1,698
2/16/2021,21216,2,699
2/16/2021,21223,1,700
2/16/2021,21223,1,701
10/20/2020,21215,1,702
10/20/2020,21201,1,703
10/21/2020,21201,1,704
10/22/2020,21215,1,705
10/22/2020,21215,1,706
10/22/2020,21229,1,707
10/23/2020,21212,1,708
10/23/2020,21229,1,709
10/24/2020,21217,1,710
10/24/2020,21202,1,711
10/24/2020,21215,1,712
10/24/2020,21223,1,713
10/25/2020,21226,1,714
10/26/2020,21216,1,715
10/27/2020,21217,3,716
10/28/2020,21215,1,717
10/30/2020,21205,1,718
10/30/2020,21215,1,719
10/31/2020,21223,1,720
10/31/2020,21217,1,721
10/31/2020,21215,1,722
11/1/2020,21223,1,723
11/1/2020,21229,1,724
11/2/2020,21216,2,725
11/3/2020,21217,1,726
11/3/2020,21218,1,727
11/3/2020,21202,1,728
11/4/2020,21216,1,729
11/5/2020,21223,1,730
11/6/2020,21213,1,731
11/6/2020,21206,1,732
11/7/2020,21216,1,733
11/7/2020,21215,1,734
11/7/2020,21215,1,735
11/7/2020,21215,1,736
11/8/2020,21223,1,737
11/9/2020,21211,1,738
11/10/2020,21201,1,739
11/10/2020,21215,1,740
11/10/2020,21217,1,741
11/11/2020,21217,1,742
11/14/2020,21215,1,743
11/15/2020,21218,1,744
11/15/2020,21215,1,745
11/17/2020,21217,1,746
11/17/2020,21202,2,747
11/23/2020,21217,1,748
11/23/2020,21217,1,749
11/24/2020,21215,1,750
9/12/2020,21217,2,751
9/12/2020,21215,1,752
9/13/2020,21211,1,753
9/13/2020,21211,1,754
9/15/2020,21213,1,755
9/16/2020,21216,1,756
9/16/2020,21230,1,757
9/17/2020,21223,1,758
9/18/2020,21215,1,759
9/18/2020,21217,1,760
9/19/2020,21215,1,761
9/20/2020,21206,1,762
9/21/2020,21215,1,763
9/21/2020,21229,2,764
9/22/2020,21213,2,765
9/22/2020,21215,1,766
9/23/2020,21217,1,767
9/23/2020,21225,1,768
9/23/2020,21217,1,769
9/24/2020,21215,3,770
9/24/2020,21213,1,771
9/25/2020,21230,1,772
9/26/2020,21205,1,773
9/26/2020,21217,2,774
9/27/2020,21223,1,775
9/27/2020,21215,1,776
9/29/2020,21201,2,777
9/30/2020,21218,1,778
9/30/2020,21231,1,779
10/1/2020,21230,1,780
10/1/2020,21223,2,781
10/2/2020,21202,2,782
10/4/2020,21202,1,783
10/5/2020,21217,1,784
10/5/2020,21217,1,785
10/5/2020,21206,1,786
10/6/2020,21217,1,787
10/6/2020,21215,1,788
10/7/2020,21215,1,789
10/7/2020,21223,1,790
10/8/2020,21216,2,791
10/8/2020,21217,1,792
10/8/2020,21217,1,793
10/9/2020,21231,2,794
10/11/2020,21215,1,795
10/11/2020,21202,1,796
10/15/2020,21231,1,797
10/16/2020,21223,1,798
10/17/2020,21217,1,799
10/18/2020,21224,1,800
2/17/2021,21217,1,801
2/18/2021,21216,1,802
2/19/2021,21213,1,803
2/21/2021,21201,3,804
2/21/2021,21209,1,805
2/22/2021,21202,2,806
2/22/2021,21215,1,807
2/22/2021,21216,2,808
2/23/2021,21215,1,809
2/26/2021,21223,1,810
2/26/2021,21216,1,811
2/27/2021,21215,1,812
2/28/2021,21215,1,813
3/1/2021,21239,1,814
3/2/2021,21217,1,815
3/3/2021,21215,1,816
3/3/2021,21217,2,817
3/3/2021,21229,1,818
3/3/2021,21224,1,819
3/5/2021,21223,1,820
3/5/2021,21223,1,821
3/6/2021,21230,1,822
3/9/2021,21213,1,823
3/10/2021,21217,1,824
3/10/2021,21223,1,825
3/10/2021,21213,3,826
3/11/2021,21206,1,827
3/12/2021,21223,1,828
3/14/2021,21227,1,829
3/15/2021,21215,1,830
3/17/2021,21213,1,831
3/22/2021,21217,1,832
3/23/2021,21217,1,833
3/23/2021,21218,1,834
3/25/2021,21230,1,835
3/26/2021,21217,1,836
3/26/2021,21217,1,837
3/26/2021,21217,1,838
3/27/2021,21215,1,839
3/29/2021,21217,1,840
3/29/2021,21215,1,841
3/30/2021,21229,1,842
3/30/2021,21229,1,843
3/31/2021,21230,1,844
4/2/2021,21216,1,845
4/2/2021,21218,2,846
4/2/2021,21218,2,847
4/3/2021,21206,1,848
4/4/2021,21205,1,849
4/4/2021,21205,1,850
5/25/2021,21225,1,851
5/25/2021,21217,2,852
5/25/2021,21218,1,853
5/25/2021,21215,1,854
5/25/2021,21217,1,855
5/25/2021,21216,1,856
5/26/2021,21217,2,857
5/27/2021,21201,1,858
5/29/2021,21225,1,859
5/29/2021,21215,1,860
5/30/2021,21216,1,861
5/31/2021,21215,1,862
6/1/2021,21213,1,863
6/1/2021,21213,1,864
6/2/2021,21215,1,865
6/2/2021,21215,1,866
6/3/2021,21218,1,867
6/3/2021,21218,1,868
6/4/2021,21217,1,869
6/4/2021,21217,1,870
6/5/2021,21216,1,871
6/5/2021,21217,1,872
6/5/2021,21216,1,873
6/5/2021,21216,1,874
6/5/2021,21217,1,875
6/5/2021,21216,1,876
6/6/2021,21215,2,877
6/6/2021,21215,2,878
6/7/2021,21215,1,879
6/7/2021,21215,1,880
6/8/2021,21214,1,881
6/8/2021,21214,1,882
6/10/2021,21223,1,883
6/10/2021,21223,1,884
6/12/2021,21229,1,885
6/12/2021,21229,1,886
6/12/2021,21229,1,887
6/12/2021,21229,1,888
6/13/2021,21229,1,889
6/13/2021,21216,1,890
6/13/2021,21225,1,891
6/13/2021,21229,1,892
6/13/2021,21216,1,893
6/13/2021,21225,1,894
6/14/2021,21218,1,895
6/14/2021,21223,1,896
6/14/2021,21218,1,897
6/14/2021,21223,1,898
6/15/2021,21211,1,899
6/15/2021,21211,1,900
7/19/2021,21215,1,901
8/3/2021,21224,1,902
8/6/2021,21215,2,903
8/6/2021,21218,1,904
8/6/2021,21207,1,905
8/10/2021,21223,1,906
8/10/2021,21229,1,907
8/11/2021,21223,1,908
8/12/2021,21216,1,909
8/14/2021,21215,1,910
8/14/2021,21206,1,911
8/15/2021,21213,1,912
8/18/2021,21223,1,913
8/18/2021,21213,2,914
8/19/2021,21213,1,915
8/19/2021,21217,2,916
8/20/2021,21217,1,917
8/21/2021,21201,1,918
8/24/2021,21217,2,919
8/24/2021,21217,1,920
8/24/2021,21215,2,921
8/26/2021,21215,1,922
8/30/2021,21218,1,923
9/1/2021,21212,1,924
9/11/2021,21217,2,925
9/11/2021,21218,1,926
9/12/2021,21229,1,927
9/13/2021,21211,1,928
9/16/2021,21217,1,929
9/16/2021,21213,1,930
9/17/2021,21201,1,931
9/18/2021,21217,1,932
9/21/2021,21209,2,933
9/22/2021,21218,1,934
9/22/2021,21218,1,935
9/24/2021,21215,1,936
9/26/2021,21218,1,937
9/28/2021,21217,1,938
10/3/2021,21216,1,939
10/3/2021,21216,1,940
10/4/2021,21217,1,941
10/4/2021,21231,1,942
10/8/2021,21216,1,943
10/8/2021,21216,1,944
10/11/2021,21213,1,945
10/12/2021,21205,1,946
10/14/2021,21213,1,947
10/15/2021,21217,1,948
10/16/2021,21215,2,949
10/18/2021,21217,1,950
3/26/2022,21214,1,951
3/28/2022,21223,1,952
3/28/2022,21216,1,953
3/28/2022,21215,1,954
3/29/2022,21217,3,955
4/1/2022,21215,1,956
4/3/2022,21207,1,957
4/3/2022,21217,2,958
4/4/2022,21216,1,959
4/5/2022,21223,1,960
4/7/2022,21206,1,961
4/10/2022,21218,1,962
4/11/2022,21213,2,963
4/11/2022,21223,1,964
4/12/2022,21215,1,965
4/12/2022,21211,1,966
4/13/2022,21217,1,967
4/16/2022,21217,1,968
4/16/2022,21213,1,969
4/19/2022,21206,1,970
4/19/2022,21212,3,971
4/20/2022,21224,1,972
4/23/2022,21217,2,973
4/23/2022,21217,1,974
4/23/2022,21215,2,975
4/24/2022,21239,1,976
4/26/2022,21224,1,977
4/29/2022,21213,1,978
5/5/2022,21215,1,979
5/5/2022,21224,1,980
5/7/2022,21217,1,981
5/7/2022,21223,1,982
5/11/2022,21201,1,983
5/12/2022,21218,1,984
5/14/2022,21239,1,985
5/17/2022,21223,3,986
5/19/2022,21223,1,987
5/19/2022,21231,1,988
5/21/2022,21223,1,989
5/23/2022,21222,1,990
