OBJECTID,NLCS_NAME,CASEFILE_NO,ADMIN_ST,ROD_DATE,GlobalID,created_date,last_edited_date,NLCS_ID,Shape_Length,Shape_Area
826,Bull Gulch,CO-070-430,CO,1993/01/01 00:00:00+00,{AC530705-69F1-445C-89FA-8FF9A1442002},,2017/02/22 17:36:50+00,NLCS000345,6463.52638361,2575477.14244024
852,Troublesome,CO-010-155,CO,1993/01/01 00:00:00+00,{56FEE5AB-85F4-404D-8CB3-C794039E2CD0},,2017/02/22 17:39:41+00,NLCS000382,8223.72450982181,2514882.32308881
854,American Flats,CO-030-217,CO,1993/01/01 00:00:00+00,{A39DD641-169B-465A-B37F-B1772FC3CBC0},,2017/03/06 14:55:32+00,NLCS002592,2831.06788410943,332923.125817384
856,Black Canyon,CO-050-131,CO,1993/01/01 00:00:00+00,{DC705B0B-FC2B-42FE-B7D0-98FD296B9DEF},,2017/02/22 17:40:14+00,NLCS000340,18406.5312043375,4833259.84877329
857,Papa Keal,CO-050-137,CO,1993/01/01 00:00:00+00,{F3878387-C7FA-4A1A-BF47-5A06C128A3AF},,2017/02/22 17:40:22+00,NLCS000369,6596.42474442276,1548664.37057471
860,Bill Hare Gulch,CO-030-085,CO,1993/01/01 00:00:00+00,{E11CD08E-5881-45D9-AA8C-81580D1911A8},,2017/02/22 17:40:33+00,NLCS000339,2204.12665826717,266911.780267973
866,Powderhorn,CO-030-089,CO,1993/01/01 00:00:00+00,{92E9BF7D-C059-42A4-A267-B68347B6EE50},,2021/11/30 20:23:02+00,NLCS000372,67560.2344220453,23126734.0416776
1275,McIntyre Hills,CO-050-013,CO,1993/01/01 00:00:00+00,{04429933-1390-40D9-AB15-12F34B38853F},,2019/05/20 22:15:20+00,NLCS000363,67422.9054218941,67724505.1360466
1276,Weminuche Contiguous,CO-030-238B,CO,1993/01/01 00:00:00+00,{124E0D40-52C5-4568-9A52-AAF201EE1C68},,2017/12/08 22:49:33+00,NLCS000386,17039.4425955329,5686833.18617412
1280,Whitehead Gulch,CO-030-230B,CO,1993/01/01 00:00:00+00,{342D6347-661E-4734-AFEE-949ACE37042F},,2019/05/17 17:11:36+00,NLCS000389,14558.4650019687,7509675.32133884
3283,American Flats,CO-030-217,CO,1993/01/01 00:00:00+00,{FD8F0903-FB87-4F9E-941E-0E161859EC7E},2016/07/07 19:02:54+00,2019/06/04 21:58:57+00,NLCS002592,19493.5557847809,11891821.420379
3692,Black Ridge Canyons West,CO_070_113A,CO,1993/01/01 00:00:00+00,{A97D7160-C300-4119-8ADC-D77EF4D04DF6},2016/07/12 20:30:58+00,2017/03/21 13:17:47+00,NLCS000342,2305.27330362978,206186.071671068
3693,Black Ridge Canyons,CO_070_113,CO,1993/01/01 00:00:00+00,{DA18F02B-D679-40C9-B35D-E6ACD1CE14C0},2016/07/12 20:30:58+00,2017/03/21 13:17:44+00,NLCS000342,13236.2603057534,2663646.6802843
3695,Black Ridge Canyons West,CO_070_113A,CO,1993/01/01 00:00:00+00,{E8607E82-E3A7-45AD-8B34-3355609BE8FB},2016/07/12 20:30:58+00,2019/06/03 16:29:37+00,NLCS000342,25732.5465053577,2314762.1838008
