OBJECTID,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,SHAPE_Length,SHAPE_Area
13609,VA059,3,39D,2250350,1227.27598872263,-66387.7552017003
13610,VA059,3,85B,2250509,1573.7064614986,-115908.263282297
13611,VA059,3,39C,2250349,19006.5184617304,-1359452.54113205
13612,VA059,3,101,2250546,3287.28823029094,-474595.104268205
13613,VA059,3,105D,2250558,1840.74108423081,-101515.134721574
13614,VA059,3,105B,2250556,1575.54953894144,-161040.184371717
13615,VA059,3,39B,2250348,5731.84838742209,-538930.19983677
13616,VA059,3,39C,2250349,4357.50038945506,-249132.46460543
13617,VA059,3,105C,2250557,1330.51842014915,-76919.5936714881
13618,VA059,3,105C,2250557,3866.60405068796,-246139.228653999
13619,VA059,3,75B,2250477,2360.43310843956,-146941.955457789
13620,VA059,3,78B,2250491,1691.80958954934,-101630.028200494
13621,VA059,3,39B,2250348,6004.48009906638,-718909.942123305
13622,VA059,3,39D,2250350,3186.3236987583,-395739.141965862
13623,VA059,3,85C,2250510,617.841203476656,-22489.1491573872
13624,VA059,3,25B,2250306,1357.58315776086,-90653.9395396476
13625,VA059,3,39E,2250351,10656.971767935,-1307772.54616902
13626,VA059,3,105B,2250556,3838.60816492971,-374695.159410391
13627,VA059,3,39C,2250349,3663.03275237645,-326138.160905174
13628,VA059,3,85C,2250510,3103.42644621143,-183169.436912856
13629,VA059,3,85C,2250510,344.815259373212,-7080.90842706192
13630,VA059,3,108B,2250561,1247.74002228112,-101897.144749421
13631,VA059,3,84B,2250507,1561.17086273185,-58169.9610629061
13632,VA059,3,22B,2250297,1270.36184788081,-76273.1582137561
13633,VA059,3,85C,2250510,729.017858551701,-25138.7647934092
13634,VA059,3,12,2250268,11047.5730699622,-592189.629727499
13635,VA059,3,105D,2250558,2791.49369540169,-373107.385647125
13636,VA059,3,93B,2250537,3367.01224923265,-238431.412573038
13637,VA059,3,75B,2250477,261.050875952729,-3396.80193911277
13638,VA059,3,95,2250540,6974270.01911337,1018838509.5813
13639,VA059,3,105B,2250556,3564.068719146,-306322.50087955
13640,VA059,3,75B,2250477,1105.5851218355,-57052.2776091232
13641,VA059,3,75B,2250477,3073.73904993838,-169873.167203237
13642,VA059,3,21A,2250291,1198.32217828854,-98253.7445671205
13643,VA059,3,78B,2250491,2007.76267331157,-132432.785079007
13644,VA059,3,85C,2250510,270.841863534689,-3944.95797766404
13645,VA059,3,88D,2250520,1223.9463723418,-69303.5432018671
13646,VA059,3,39D,2250350,956.418632208661,-40095.4289954404
13647,VA059,3,39C,2250349,18294.6134807087,1799623.2819989
13648,VA059,3,105D,2250558,3205.49287249216,-399631.509788492
13649,VA059,3,25C,2250307,2962.5758556359,-202990.768898685
13650,VA059,3,1A,2250238,996.684056764126,-47182.9853137696
13651,VA059,3,85C,2250510,3903.06364651667,-282186.508627699
13652,VA059,3,39C,2250349,8761.58274735086,948707.494872533
13653,VA059,3,84B,2250507,2188.18297502493,-209798.300572866
13654,VA059,3,105D,2250558,878.853934993111,-41455.6397902609
13655,VA059,3,25B,2250306,1518.10494959346,-128036.94469428
13656,VA059,3,39C,2250349,2599.0177537342,-119457.163944253
13657,VA059,3,105C,2250557,26775.3476490848,3505120.76252451
13658,VA059,3,39C,2250349,7048.28487732585,-580463.721925084
13659,VA059,3,78B,2250491,1969.28103120271,-151469.083581054
13660,VA059,3,85C,2250510,1356.50922621401,-109229.524011656
13661,VA059,3,105C,2250557,1443.01916507729,-137413.142519595
13662,VA059,3,30A,2250319,4004.28635035967,-270991.704022109
13663,VA059,3,85B,2250509,1928.61284075345,-100631.459420442
13664,VA059,3,105B,2250556,10327.060514786,-1168423.41879218
13665,VA059,3,39D,2250350,2116.85403553965,-193552.30797779
13666,VA059,3,105C,2250557,13201.3334633927,863884.059342213
13667,VA059,3,85B,2250509,4407.78676330681,-285845.605362492
13668,VA059,3,39D,2250350,21052.4871027989,-2309194.93974061
13669,VA059,3,39D,2250350,1646.36963977449,-94265.2860835764
13670,VA059,3,105B,2250556,20438.8592247059,-2561907.78713428
13671,VA059,3,1A,2250238,645.139558613711,-17090.3126255995
13672,VA059,3,85B,2250509,2861.6032696785,-412305.433166467
13673,VA059,3,22B,2250297,6542.60471380135,-427157.069843703
13674,VA059,3,25B,2250306,1290.39123976349,-62475.4651469002
13675,VA059,3,84B,2250507,1616.13237556865,-119294.136655389
13676,VA059,3,39C,2250349,765.992404741487,-31811.3486356538
13677,VA059,3,107B,2250560,1435.54942771392,-108532.055682601
13678,VA059,3,105B,2250556,3553.50834499439,-334197.983204284
13679,VA059,3,39B,2250348,3160.24183494758,-262700.595401
13680,VA059,3,105D,2250558,1855.35614477807,-78175.7572769093
13681,VA059,3,75B,2250477,1745.15418253269,-111411.556309094
13682,VA059,3,105C,2250557,5142.07386515372,691412.529084688
13683,VA059,3,85C,2250510,1452.07850994722,-57088.6396637421
13684,VA059,3,105D,2250558,1516.58893550385,-99193.7317334834
13685,VA059,3,39C,2250349,3625.93988242334,-154377.818393981
13686,VA059,3,21A,2250291,1181.20094751453,-82068.3077832894
13687,VA059,3,39C,2250349,15979.7128740321,2511278.31985933
13688,VA059,3,39B,2250348,922.671020250733,-55271.5989686279
