OBJECTID,ZONING_CODE,ZONING_NAME,ZONING_TYPE,GLOBALID,SHAPEAREA,SHAPELEN
124877,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{4508C22C-ACDE-45A4-A56B-C06AD9657C5F},2904993.82859219,16682.010217509
124880,OR3,OFFICE/RES,OFFICE,{09A87167-0524-4D32-BFD3-43C813C39C9A},180908.773040625,1801.77043065746
124882,OR3,OFFICE/RES,OFFICE,{0E77A3F8-39FA-4D1A-84ED-9A641DF782C9},193202.824080469,1789.94441573396
124883,R5A,RES MULTI FAMILY,RESIDENTIAL,{DB07216F-8DAB-4961-86B8-4B595BDB0BDE},428511.893910937,2627.44562901595
125196,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,{629E4D44-0BDB-4DA0-B0FB-713428870082},108583.319051563,1450.01662650929
125197,R7,RES MULTI-FAMILY,RESIDENTIAL,{54D586E8-3315-46A8-B42D-4B86D68BE068},99870.3861,1417.31917585682
125552,R7,RES MULTI-FAMILY,RESIDENTIAL,{FBFACAF7-3103-41A2-87A3-7250E12B1CAA},1269878.35803828,6341.30442332885
125553,(C1),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,{C2C5AAB0-4B1F-4F82-888D-C76ABBA4727E},323739.718179688,2558.87606070027
125840,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{9C808AEC-5C12-46AF-96E9-63ED99E87B4A},10422.7013484375,428.754453598842
125841,R6,RES MULTI-FAMILY,RESIDENTIAL,{32270F43-244F-417C-832E-F4DD9487200A},634051.832765625,4348.20752969278
126157,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{4AAC44ED-79B8-406C-8B00-B78ED759D46E},220143.73991875,2721.98660318761
126158,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,{514060D8-1C83-4230-91B1-5BBB9C134B30},93886.6722382813,1487.12916008572
126160,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{F7901D72-0E88-45C9-86C7-A1BE202654DB},10958.383246875,455.641598405519
126163,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{481C18D7-DBA5-4DB9-BA8A-9B8C292F003D},13060.9751648438,459.388317028391
126498,OTF,OFFICE/TOURIST FACILITY,OFFICE,{FC6083D9-11B8-4568-83E4-3040D300B97B},277788.887548438,3405.90209703909
126813,M3,INDUSTRIAL,INDUSTRIAL,{5BD48D8F-6252-4DA4-A90F-9DB221CC0EF1},43528726.4577,50946.6806926364
126815,R6,RES MULTI-FAMILY,RESIDENTIAL,{9B55C19E-50BF-49AD-A629-DEBF59760747},857215.470535938,5218.71985495905
126820,M3,INDUSTRIAL,INDUSTRIAL,{842C7759-E0D5-47E7-882C-A01DC06F33AE},7675810.43836953,14390.1026116665
127122,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{ABE54F58-6E2F-4501-8925-2C484046C2BC},27366.9855320313,812.603946354186
