_Vehicle_Number,Fuel_Type,Gallons_Pumped,Mileage,Prior_Mileage,Date,Station_ID,OBJECTID
1135,Unleaded,5.565,0,53857,00:00:00,1,77
1135,Unleaded,0.0,0,53857,00:00:00,1,78
1135,Unleaded,9.662,0,53857,00:00:00,1,79
1135,Unleaded,11.7,0,53857,00:00:00,1,80
1135,Unleaded,1.002,0,53857,00:00:00,1,81
1135,Unleaded,5.86,0,53857,00:00:00,1,82
1135,Unleaded,2.003,0,53857,00:00:00,1,83
1135,Unleaded,2.567,0,53857,00:00:00,1,84
1135,Unleaded,2.12,0,53857,00:00:00,1,85
1135,Unleaded,3.415,0,53857,00:00:00,1,86
1135,Unleaded,3.502,0,53857,00:00:00,1,87
1135,Unleaded,2.429,0,53857,00:00:00,1,88
1135,Unleaded,0.502,0,53857,00:00:00,1,89
1135,Unleaded,1.001,0,53857,00:00:00,1,90
1135,Unleaded,1.007,0,53857,00:00:00,1,91
1135,Unleaded,0.98,0,53857,00:00:00,1,92
1135,Unleaded,4.397,0,53857,00:00:00,1,93
1135,Unleaded,1.437,0,53857,00:00:00,1,94
1135,Unleaded,1.001,0,53857,00:00:00,1,95
1135,Unleaded,0.899,0,53857,00:00:00,1,96
1135,Unleaded,1.356,0,53857,00:00:00,1,97
1135,Unleaded,0.166,0,53857,00:00:00,1,98
1135,Unleaded,1.023,0,53857,00:00:00,1,99
1135,Unleaded,3.483,0,53857,00:00:00,1,100
1135,Unleaded,1.002,0,53857,00:00:00,1,101
1135,Unleaded,1.039,0,53857,00:00:00,1,102
1135,Unleaded,5.113,0,53857,00:00:00,1,103
1135,Unleaded,0.044,0,53857,00:00:00,1,104
1135,Unleaded,0.939,0,53857,00:00:00,1,105
1135,Unleaded,1.696,0,53857,00:00:00,1,106
1135,Unleaded,1.001,0,53857,00:00:00,1,107
1135,Unleaded,1.458,0,53857,00:00:00,1,108
1135,Unleaded,2.381,0,53857,00:00:00,1,109
1135,Unleaded,1.928,0,53857,00:00:00,1,110
1135,Unleaded,1.889,0,53857,00:00:00,1,111
1135,Unleaded,6.127,0,53857,00:00:00,1,112
1135,Unleaded,2.252,0,53857,00:00:00,1,113
1135,Unleaded,5.003,0,53857,00:00:00,1,114
1135,Unleaded,8.084,0,53857,00:00:00,1,115
1135,Unleaded,4.188,0,53857,00:00:00,1,116
1135,Unleaded,2.714,0,53857,00:00:00,1,117
1135,Unleaded,3.367,0,53857,00:00:00,1,118
1135,Unleaded,2.917,0,53857,00:00:00,1,119
1135,Unleaded,4.655,0,53857,00:00:00,1,120
1135,Unleaded,2.186,0,53857,00:00:00,1,121
1135,Unleaded,1.002,0,53857,00:00:00,1,122
1135,Unleaded,1.997,0,53857,00:00:00,1,123
1135,Unleaded,1.001,0,53857,00:00:00,1,124
1135,Unleaded,0.152,0,53857,00:00:00,1,125
1135,Unleaded,7.526,0,53857,00:00:00,1,126
1135,Unleaded,4.98,0,53857,00:00:00,1,127
1135,Unleaded,0.952,0,53857,00:00:00,1,128
1135,Unleaded,3.461,0,53857,00:00:00,1,129
1135,Unleaded,0.798,0,53857,00:00:00,1,130
1135,Unleaded,5.005,0,53857,00:00:00,1,131
1135,Unleaded,0.878,0,53857,00:00:00,1,132
1135,Unleaded,1.106,0,53857,00:00:00,1,133
1135,Unleaded,1.866,0,53857,00:00:00,1,134
1135,Unleaded,5.199,0,53857,00:00:00,1,135
1135,Unleaded,1.848,0,53857,00:00:00,1,136
1135,Unleaded,2.864,0,53857,00:00:00,1,137
1135,Unleaded,3.977,0,53857,00:00:00,1,138
1135,Unleaded,2.528,0,53857,00:00:00,1,139
1135,Unleaded,1.001,0,53857,00:00:00,1,140
1135,Unleaded,1.78,0,53857,00:00:00,1,141
1135,Unleaded,1.001,0,53857,00:00:00,1,142
1135,Unleaded,1.001,0,53857,00:00:00,1,143
1135,Unleaded,1.004,0,53857,00:00:00,1,144
1135,Unleaded,6.632,0,53857,00:00:00,1,145
1135,Unleaded,1.001,0,53857,00:00:00,1,146
1135,Unleaded,20.0,0,53857,00:00:00,1,147
1135,Unleaded,5.092,0,53857,00:00:00,1,148
1135,Unleaded,6.634,0,53857,00:00:00,1,149
1135,Unleaded,2.592,0,53857,00:00:00,1,150
1135,Unleaded,3.36,0,53857,00:00:00,1,151
1135,Unleaded,1.004,0,53857,00:00:00,1,152
1135,Unleaded,1.888,0,53857,00:00:00,1,153
1135,Unleaded,1.0,0,53857,00:00:00,1,154
1135,Unleaded,1.772,0,53857,00:00:00,1,155
1135,Unleaded,9.209,0,53857,00:00:00,1,156
1135,Unleaded,0.0,0,53857,00:00:00,1,157
1135,Unleaded,1.686,0,53857,00:00:00,1,158
1135,Unleaded,1.912,0,53857,00:00:00,1,159
1135,Unleaded,1.681,0,53857,00:00:00,1,160
1135,Unleaded,4.978,0,53857,00:00:00,1,161
1135,Unleaded,11.104,0,53857,00:00:00,1,162
1135,Unleaded,1.3,0,53857,00:00:00,1,163
1135,Unleaded,1.662,0,53857,00:00:00,1,164
1135,Unleaded,3.136,0,53857,00:00:00,1,165
1135,Unleaded,1.152,0,53857,00:00:00,1,166
1135,Unleaded,1.0,0,53857,00:00:00,1,167
1135,Unleaded,4.461,0,53857,00:00:00,1,168
1135,Unleaded,1.315,0,53857,00:00:00,1,169
1135,Unleaded,7.617,0,53857,00:00:00,1,170
1135,Unleaded,2.313,0,53857,00:00:00,1,171
1135,Unleaded,2.236,0,53857,00:00:00,1,172
1135,Unleaded,1.035,0,53857,00:00:00,1,173
1135,Unleaded,1.048,0,53857,00:00:00,1,174
1135,Unleaded,3.895,0,53857,00:00:00,1,175
1135,Unleaded,4.615,0,53857,00:00:00,1,176
1135,Unleaded,4.003,0,53857,00:00:00,1,177
1135,Unleaded,4.717,0,53857,00:00:00,1,178
1135,Unleaded,4.607,0,53857,00:00:00,1,179
1135,Unleaded,4.001,0,53857,00:00:00,1,180
1135,Unleaded,7.001,0,53857,00:00:00,1,181
1135,Unleaded,6.228,0,53857,00:00:00,1,182
1135,Unleaded,3.539,0,53857,00:00:00,1,183
1135,Unleaded,1.003,0,53857,00:00:00,1,184
1135,Unleaded,7.112,0,53857,00:00:00,1,185
1135,Unleaded,3.595,0,53857,00:00:00,1,186
1135,Unleaded,6.782,0,53857,00:00:00,1,187
1135,Unleaded,1.098,0,53857,00:00:00,1,188
1135,Unleaded,0.914,0,53857,00:00:00,1,189
1135,Unleaded,9.18,0,53857,00:00:00,1,190
1135,Unleaded,1.662,0,53857,00:00:00,1,191
1328,Unleaded,2.761,0,17204,00:00:00,6,192
1500,Unleaded,2.015,0,148591,00:00:00,3,193
1500,Unleaded,4.009,0,148591,00:00:00,3,194
1500,Unleaded,3.555,0,148591,00:00:00,3,195
1500,Unleaded,1.679,0,148591,00:00:00,3,196
1500,Unleaded,0.218,0,148591,00:00:00,3,197
1500,Unleaded,0.069,0,148591,00:00:00,3,198
1500,Unleaded,2.423,0,148591,00:00:00,3,199
1500,Unleaded,3.566,0,148591,00:00:00,3,200
1500,Unleaded,2.023,0,148591,00:00:00,3,201
1500,Unleaded,3.187,0,148591,00:00:00,3,202
