OBJECTID,PRECINCT,LEGISDIST,CONGDIST,SENDIST,COMMDIST,SCHOOLDIST,COUNDIST,FORMERPREC,COMMENTS,SHAPE_LENG,SHAPEAREA,SHAPELEN
284,N156,43,3,33,C,1,4,, ,0,11409190.4313813,17636.0170083057
285,M199,42,3,33,C,1,5,,Dry,0,4388614.54066406,8545.12774991014
286,L206,41,3,26,C,1,9,, ,0,9524200.12182031,26962.0892111526
287,G179,34,3,26,A,3,9,, ,0,3178042.20064844,7957.81940631673
288,N148,43,3,33,C,1,4, , ,0,5381451.93992344,11438.3530616028
289,M198,42,3,33,C,1,5,, ,0,6095427.501675,9993.21356590933
290,V138,36,3,36,A,7,17,,SM,0,44635661.0893055,28087.6732144886
291,N162,43,3,33,C,1,4,N159,,0,13860099.9916594,26301.8382326232
292,M193,42,3,33,C,1,5,, ,0,7475685.08700391,16595.5736915507
293,G178,34,3,26,A,2,9,, ,0,8301440.30001406,13241.962568961
294,L204,41,3,33,C,1,9,, ,0,7582201.17831016,15893.4641956548
295,F152,33,3,36,A,3,18, , ,0,14886535.7403344,16180.9274910233
296,E142,32,3,26,A,3,7, , ,0,9961888.32549219,14833.4069755111
297,G193,34,3,26,A,2,9,, ,0,6961210.13854922,11638.7705521631
298,E144,32,3,36,A,3,7, , ,0,11846954.6183789,16123.7670431947
299,G192,34,3,26,A,2,9,, ,0,3795291.68275938,8048.34067044235
300,N107,43,3,33,C,1,5, ,Dry,0,5985555.88308125,12648.6269488273
301,F164,33,3,36,A,3,18, , ,0,7109719.60449453,12074.4077394679
302,N164,43,3,33,C,1,4,, ,0,7629512.09183438,12439.0494757351
303,V108,36,2,36,A,7,20, , ,0,123190737.081885,62925.5061023805
304,E145,32,3,36,A,3,18, , ,0,10163842.9764609,13885.0225543696
305,N167,43,3,33,C,1,5,, ,0,2780266.29699531,7000.21317984958
306,G191,34,3,26,A,2,9,, ,0,17440862.3369438,19688.8150669282
307,G187,34,3,26,A,2,9,, ,0,5043547.03961719,12791.0626669157
308,N106,43,3,33,C,1,5, , ,0,5598725.96466875,11384.0062154608
309,V111,36,2,36,A,7,11,,pDry,0,107646060.942837,68210.5657429679
310,V125,36,2,36,A,7,19, , ,0,18110484.0762586,22807.7044399439
311,F154,33,3,36,A,3A,18, , ,0,21968856.5590773,21619.21057134
312,V114,36,2,36,A,7,19, , ,0,21391848.3061258,24502.3118774232
313,V104,36,2,36,A,7,19,V135, ,0,96203152.0658195,58608.5592003435
314,N117,43,3,33,C,1,5, , ,0,12689046.7219281,18518.2017355421
315,F180,33,3,36,A,3,7, , ,0,11913475.9085352,19067.6351739893
316,E173,32,3,36,A,3,7,, ,0,7200140.52312266,12708.2791317988
317,F151,33,3,36,A,3,18, , ,0,42034517.0659945,33533.081118578
318,F171,33,3,36,A,3,18, , ,0,9125238.41875,14320.9160644097
319,G180,34,3,26,A,2,7,, ,0,8405105.93158672,12841.9562696035
320,E155,32,3,26,A,3,7, , ,0,9266145.68803828,12439.7369599939
321,N134,43,3,33,C,1,4, , ,0,39774087.7410117,28026.7254653244
322,N105,43,3,33,C,1,5, ,Dry,0,7661570.36675,13436.7620270977
323,N103,43,3,33,C,1,5, , ,0,5198146.998,11682.4385574646
324,F167,33,3,36,A,7,17,, ,0,40764871.6103836,36500.5123015615
325,N136,43,3,33,C,1,4, , ,0,28537780.6281984,22240.3465956858
326,V131,36,2,36,A,7,19, , ,0,23923252.1981063,26412.8529454873
327,N104,43,3,33,C,1,5, ,Dry,0,5962033.77065,13384.8082231522
328,N115,43,3,33,C,1,5, , ,0,10215520.79495,16491.9291142414
329,F179,33,3,6,A,3,7, , ,0,14953716.5612086,16789.3592768927
330,E175,32,3,26,A,3,7, , ,0,4429860.79392031,9191.92974180351
331,E154,32,3,26,A,3,7, , ,0,8271353.73792734,11739.9801276421
332,F183,33,3,36,A,3A,17, , ,0,29905700.8172391,27266.0388636472
333,G194,34,3,26,A,3,7,, ,0,14053950.6676703,16598.5155698935
334,E203,32,3,6,A,3,7,, ,0,12096779.6540062,15094.9424059266
335,E188,32,3,26,A,3,7,, ,0,15419631.2717539,26146.2513893545
336,S175,48,3,26,A,1,16,, ,0,18658795.6209555,26536.9257856059
337,S177,48,3,26,A,3,16,, ,0,7161289.69196016,14434.7042440175
338,E171,32,3,26,A,3,7, , ,0,10462385.6034781,15992.5673165578
339,E196,32,3,6,A,3,7,, ,0,7396965.83126563,12543.2480937668
340,N101,43,3,33,C,1,5, , ,0,58384792.2120844,45642.7501044772
341,V129,36,2,36,A,7,19, , ,0,96410833.5795773,57594.8748142173
342,E183,32,3,26,A,3,7, , ,0,12923479.0366086,16973.1192811907
343,E191,32,3,6,A,3,17,, ,0,6035533.40550703,10146.5208625149
344,S171,48,3,26,A,3,16,, ,0,15499672.7216258,16667.2426562882
345,N102,43,3,33,C,1,5, , ,0,66340592.0440359,37205.7580343521
346,E190,32,3,26,A,3,7,, ,0,16845141.8501813,21415.1584248366
347,F106,33,3,36,A,3,17, , ,0,33577936.1137781,31016.6399578399
348,S176,48,3,26,A,1,16,, ,0,56854351.2095359,36037.4235375844
349,E181,32,3,26,A,3,7, , ,0,7761871.9188875,14060.3566858219
350,F145,33,3,36,A,3,17, , ,0,34455474.061118,35863.1725762175
351,V126,36,3,36,A,7,19, , ,0,19835762.8892953,26574.5983475892
352,E197,32,3,36,A,3,17,, ,0,11447325.8708797,18667.1317332648
353,E195,32,3,6,A,3,7,, ,0,33807304.502782,28928.5482968043
354,S174,48,3,26,A,3,16,, ,0,7616770.61218125,20604.6667980548
355,S130,48,3,6,A,3,17, , ,0,8923079.00513672,13981.7859228008
356,S166,48,3,26,A,3,16, , ,0,30281337.4428859,32877.3389393728
357,F190,33,3,36,A,7,19,, ,0,11892112.4732508,21679.2481848493
358,S165,48,3,36,A,3,17, , ,0,9943252.76394453,15561.3893881222
359,S118,48,3,6,A,3,16, , ,0,12176454.1057328,17388.8321138281
360,E193,32,3,6,A,7,17,, ,0,12990178.177432,17342.2340714733
361,E201,32,3,36,A,3,17,, ,0,16850344.2079555,23869.4188015157
362,F191,33,3,36,A,7,17,,SM,0,34298160.7739164,27151.8370366416
363,E199,32,3,6,A,3,17,, ,0,7398203.21103359,11944.6084216928
364,E204,32,3,6,A,3,17,, ,0,8410989.55295625,14598.5165966705
365,S161,48,3,6,A,3,16, , ,0,9880861.37531875,17245.2711240585
366,S129,48,3,36,A,3,16, , ,0,22671926.6258422,22143.5261628765
367,E192,32,3,6,A,3,17,, ,0,14358741.4722812,24462.6974541516
368,E205,32,3,6,A,7,17,, ,0,11945594.7377023,16176.7962996737
369,S140,48,3,36,A,3,16, , ,0,17859534.7165641,21090.2591524812
370,S173,48,3,6,A,3,16,, ,0,33639644.6016523,36285.2594315678
371,S168,48,3,36,A,3,16,, ,0,14383399.9718703,21386.7903790667
372,S116,48,3,26,A,3,16, , ,0,73135080.4186984,41961.2981796451
373,S128,48,3,6,A,3,16, , ,0,17038606.0062609,26296.2563806111
374,S160,48,3,36,A,3,16, , ,0,28435498.6296172,22596.3252658448
375,S144,48,3,6,A,3,16, , ,0,14231060.53115,22294.8556317635
376,S126,48,3,6,A,3,16, , ,0,21567092.7937,30946.3346998757
377,S153,48,3,6,A,3,16, , ,0,96042744.93105,63453.1571398564
378,S143,48,3,6,A,3,16, , ,0,41227788.2103969,34503.4179202615
379,S125,48,3,6,A,3,16, , ,0,125980618.369903,51556.5473485818
380,O127,44,3,37,C,4,1, , ,0,25059675.600257,23292.3497541571
381,M196,42,3,33,C,1,5,, ,0,10889626.6717383,16594.7476388288
382,C154,30,3,35,B,6,21,, ,0,6478576.92603594,15923.2321030362
383,C156,30,3,35,B,6,2,, ,0,10492673.2974539,14433.3008640806
384,K118,40,3,37,C,4,3,, ,0,6399465.76996484,11305.7790213872
385,J171,38,3,37,C,4,12,J167,,0,31943969.552532,25978.5308043635
386,K172,40,3,33,C,1,6,, ,0,9458011.85924766,15746.1344255564
387,M185,42,3,33,C,1,4,, ,0,2408196.58616172,6447.89987491777
388,C128,30,3,19,A,2,10, , ,0,1720856.73177656,7563.54493701218
389,C130,30,3,19,A,2,10, ,SM,0,636444.270014063,4103.37766605893
390,V109,36,3,36,B,7,20,, ,0,29058051.7507328,26187.4836034289
391,C131,30,3,19,B,2,10, , ,0,5809253.97434766,17995.0149950468
392,J168,38,3,37,C,4,12,,NV,0,172226.467295312,2000.79166697305
