Geo_FIPS,StateFIPS,CountyFIPS,TractFIPS,BlockgroupFIPS,TotalPopEst2015_19ACS,YearOfStartDate,UnderAge1PopEst2015_19ACS,Age0to17PopEst2015_19ACS,Unique0to17WithED_Visit,Unique0to17WithED_VisitPer100,NumberED_VisitsAge0to17,ED_VisitsPer100Age0to17,NumberLowAcuityED_VisitsAge0to17,LowAcuityED_VisitsPer100Age0to17,NumberAsthmaRelatedED_Visits,AsthmaRelatedED_VisitsPer100Age0to17,NumberED_VisitsByChildrenUnder1YearOld,NumberOfInjuryRelatedVisits,InjuryRelatedEDVisitsPer100Age0to17,NumberAcuteRespiratoryTractInfectionRelatedED_VisitsAge0to17,AcuteRespiratoryTractInfectionRelatedED_VisitsPer100Age0to17
420031403004,42,3,140300,4,657,2016.0,17.8,95,16.0,16.8,21.0,22.1,14.0,14.7,3.0,3.2,,,0.0,1.0,1.1
420031403004,42,3,140300,4,657,2017.0,17.8,95,19.0,20.0,25.0,26.3,13.0,13.7,6.0,6.3,3.0,,0.0,1.0,1.1
420031403004,42,3,140300,4,657,2018.0,17.8,95,19.0,20.0,21.0,22.1,9.0,9.5,,0.0,2.0,1.0,1.1,,0.0
420031403004,42,3,140300,4,657,2019.0,17.8,95,16.0,16.8,21.0,22.1,7.0,7.4,1.0,1.1,3.0,,0.0,3.0,3.2
420031404001,42,3,140400,1,799,2016.0,7.2,165,12.0,7.3,12.0,7.3,5.0,3.0,1.0,0.6,,,0.0,2.0,1.2
420031404001,42,3,140400,1,799,2017.0,7.2,165,22.0,13.3,29.0,17.6,11.0,6.7,2.0,1.2,4.0,2.0,1.2,2.0,1.2
420031404001,42,3,140400,1,799,2018.0,7.2,165,17.0,10.3,21.0,12.7,7.0,4.2,,0.0,3.0,,0.0,2.0,1.2
420031404001,42,3,140400,1,799,2019.0,7.2,165,18.0,10.9,23.0,13.9,13.0,7.9,3.0,1.8,1.0,,0.0,,0.0
420031404002,42,3,140400,2,609,2016.0,8.8,140,24.0,17.1,31.0,22.1,14.0,10.0,1.0,0.7,,,0.0,5.0,3.6
420031404002,42,3,140400,2,609,2017.0,8.8,140,30.0,21.4,37.0,26.4,14.0,10.0,3.0,2.1,2.0,,0.0,4.0,2.9
420031404002,42,3,140400,2,609,2018.0,8.8,140,22.0,15.7,28.0,20.0,14.0,10.0,2.0,1.4,3.0,2.0,1.4,1.0,0.7
