Date,Intersection,City,State,Inspection #,Level,OOS-TR,OOS-TL,OOS-DR,Crash,Weighed,# of Violations,Total Fines,Inspector
2017-10-05,500 ISLAND AVE,MCKEES ROCKS,PA,PAM584000355,3,,,,,,4.0,0.0,INSPECTOR 2
2017-10-05,CUTLER & ISLAND AVE,MCKEES ROCKS,PA,PAM615000487,1,Y,,,,,24.0,584.0,INSPECTOR 1
2017-10-05,GRAND AVE & HUBERT,NEVILLE ISLAND,PA,PAM615000488,2,,,,,,4.0,,INSPECTOR 1
2017-10-05,500 BLOCK ISLAND AVE,MCKEES ROCKS,PA,PAM637000301,1,,,Y,,,2.0,0.0,INSPECTOR 3
2017-10-05,500 BLOCK ISLAND AVE,MCKEES ROCKS,PA,PAM637000302,3,,,,,,0.0,0.0,INSPECTOR 3
2017-10-04,BROWNSVILLE RD & CORRIGAN DR,SOUTH PARK,PA,PAM584000353,2,,,,,,2.0,0.0,INSPECTOR 2
2017-10-04,WALMART DR & RT8,RICHLAND,PA,PAM615000484,3,,,,,,1.0,,INSPECTOR 1
2017-10-04,RT910 & OAK RD,WEST DEER,PA,PAM615000485,3,,,,,,1.0,,INSPECTOR 1
2017-10-04,RT910 & OAK RD,WEST DEER,PA,PAM615000486,2,,,Y,,,7.0,,INSPECTOR 1
2017-10-04,BROWNSVILLE RD & CORRIGAN DR,SOUTH PARK,PA,PAM637000299,3,,,,,,0.0,0.0,INSPECTOR 3
2017-10-04,PAXTON DR & HIGBEE DR,BETHEL PARK,PA,PAM637000300,3,,,,,Y,1.0,534.5,INSPECTOR 3
2017-10-03,BROWNSVILLE RD & CORRIGAN DR,SOUTH PARK,PA,PAM584000349,3,,,,,,0.0,0.0,INSPECTOR 2
2017-10-03,BROWNSVILLE RD & CORRIGAN DR,SOUTH PARK,PA,PAM584000350,3,,,,,,2.0,269.5,INSPECTOR 2
2017-10-03,5000 BLK LIBRARY RD,BETHEL PARK,PA,PAM584000351,3,,,,,,0.0,0.0,INSPECTOR 2
2017-10-03,3100 INDUSTRIAL BLVD,BETHEL PARK,PA,PAM584000352,1,Y,,Y,,,17.0,929.0,INSPECTOR 2
2017-10-03,5000 BLK LIBRARY RD,BETHEL PARK,PA,PAM615000482,3,,,,,,,,INSPECTOR 1
2017-10-03,3100 BLK INDUSTRIAL,BETHEL PARK,PA,PAM615000483,2,Y,Y,,,,14.0,129.0,INSPECTOR 1
2017-10-03,5000B LIBRARY RD,BETHEL PARK,PA,PAM637000297,3,,,,,,1.0,0.0,INSPECTOR 3
2017-10-03,3100 INDUSTRIAL BLVD,BETHEL PARK,PA,PAM637000298,1,,,Y,,Y,2.0,759.0,INSPECTOR 3
2017-09-28,CUTLER & ISLAND AVE,MCKEES ROCKS,PA,PAM615000478,3,,,,,,,,INSPECTOR 1
2017-09-28,CUTLER & ISLAND AVE,MCKEES ROCKS,PA,PAM615000479,3,,,,,,,,INSPECTOR 1
2017-09-28,CUTLER & ISLAND AVE,MCKEES ROCKS,PA,PAM615000480,1,Y,,,,,17.0,569.0,INSPECTOR 1
2017-09-28,CUTLER & ISLAND AVE,MCKEES ROCKS,PA,PAM615000481,2,,,,,,4.0,,INSPECTOR 1
2017-09-28,500 ISLAND AVE,MCKEES ROCKS,PA,PAM584000346,2,,,,,,4.0,0.0,INSPECTOR 2
2017-09-28,500 ISLAND AVE,MCKEES ROCKS,PA,PAM584000347,1,,,,,,6.0,269.5,INSPECTOR 2
2017-09-28,500 ISLAND AVE,MCKEES ROCKS,PA,PAM584000348,1,Y,,,,,13.0,519.5,INSPECTOR 2
2017-09-28,ISLAND AVE & CUTLER ST,MCKEES ROCKS,PA,PAM628000474,3,,,,,,,,INSPECTOR 4
2017-09-28,ISLAND AVE & CUTLER ST,MCKEES ROCKS,PA,PAM628000475,1,Y,,,,,7.0,404.0,INSPECTOR 4
2017-09-28,ISLAND AVE & CUTLER ST,MCKEES ROCKS,PA,PAM628000476,2,,,,,,3.0,,INSPECTOR 4
2017-09-28,ISLAND AVE & CUTLER ST,MCKEES ROCKS,PA,PAM628000477,1,Y,,,,,4.0,,INSPECTOR 4
2017-09-28,500 BLK ISLAND AVE,MCKEES ROCKS,PA,PAM637000295,1,Y,,,,Y,19.0,2484.0,INSPECTOR 3
2017-09-28,500 BLK ISLAND AVE,MCKEES ROCKS,PA,PAM637000296,1,,,,,,0.0,0.0,INSPECTOR 3
2017-09-27,910 & PEARCEMILL,PINE,PA,PAM615000476,2,,,,,,4.0,,INSPECTOR 1
2017-09-27,910 & PEARCEMILL,PINE,PA,PAM615000477,2,,,,,,5.0,204.0,INSPECTOR 1
2017-09-27,BROWNSVILLE RD & CORRIGAN,SOUTH PARK,PA,PAM584000342,3,,,,,,2.0,0.0,INSPECTOR 2
2017-09-27,BROWNSVILLE RD & CORRIGAN,SOUTH PARK,PA,PAM584000343,2,Y,,,,,4.0,204.5,INSPECTOR 2
2017-09-27,BROUGHTON RD & E PARK DR,BETHEL PARK,PA,PAM584000344,3,,,,,,3.0,0.0,INSPECTOR 2
2017-09-27,BROUGHTON RD & E PARK DR,BETHEL PARK,PA,PAM584000345,3,,,,,,1.0,0.0,INSPECTOR 2
2017-09-27,RT 910 & PEARCE MILL RD,PINE,PA,PAM628000471,1,,,,,,5.0,,INSPECTOR 4
2017-09-27,RT 910 & PEARCE MILL RD,PINE,PA,PAM628000472,3,,,,,,1.0,,INSPECTOR 4
2017-09-27,RT 910 & PEARCE MILL RD,PINE,PA,PAM628000473,1,,Y,Y,,,15.0,9579.0,INSPECTOR 4
2017-09-27,EAST PARK DR & BROUGHTON RD,BETHEL PARK,PA,PAM637000294,1,,,,,,3.0,154.5,INSPECTOR 3
2017-09-26,RT910 & OAK RD,WEST DEER,PA,PAM615000474,1,,,,,,1.0,,INSPECTOR 1
2017-09-26,GRAND AVE & HUBERT,NEVILLE ISLAND,PA,PAM615000475,2,,Y,,,,4.0,,INSPECTOR 1
2017-09-26,BROUGHTON RD & E PARK DR,BETHEL PARK,PA,PAM584000338,3,,,,,,2.0,129.0,INSPECTOR 2
2017-09-26,BROUGHTON RD & E PARK DR,BETHEL PARK,PA,PAM584000339,3,,,,,,2.0,0.0,INSPECTOR 2
2017-09-26,BROUGHTON RD & E PARK DR,BETHEL PARK,PA,PAM584000340,3,,,,,,0.0,0.0,INSPECTOR 2
2017-09-26,BROUGHTON RD & E PARK DR,BETHEL PARK,PA,PAM584000341,3,,,,,,0.0,0.0,INSPECTOR 2
2017-09-26,PERRY HWY & INGOMAR RD,MCCANDLESS,PA,PAM628000468,1,Y,,,,,4.0,,INSPECTOR 4
2017-09-26,OAK RD & 910,WEST DEER,PA,PAM628000469,3,,,,,Y,2.0,1784.0,INSPECTOR 4
2017-09-26,OAK RD & 910,WEST DEER,PA,PAM628000470,2,,,,,,,,INSPECTOR 4
2017-09-26,EAST PARK DR & BROUGHTON RD,BETHEL PARK,PA,PAM637000291,3,,,,,,0.0,0.0,INSPECTOR 3
2017-09-26,EAST PARK DR & BROUGHTON RD,BETHEL PARK,PA,PAM637000292,3,,,,,,0.0,0.0,INSPECTOR 3
2017-09-26,EAST PARK DR & BROUGHTON RD,BETHEL PARK,PA,PAM637000293,1,,,,,,3.0,0.0,INSPECTOR 3
2017-09-23,BROUGHTON & EAST PARK,BETHEL PARK,PA,PAM615000472,1,Y,,,,,17.0,4414.0,INSPECTOR 1
2017-09-23,SYLVANIA & BROWNSVILLE,SOUTH PARK,PA,PAM615000473,2,,,,,,3.0,,INSPECTOR 1
2017-09-23,BROUGHTON RD & E PARK DR,BETHEL PARK,PA,PAM584000335,3,,,,,,0.0,0.0,INSPECTOR 2
