SECTION_NUMBER,ON_STREET,FROM_STREET,TO_STREET,LENGTH,COUNT_,CURRENT_PQI,MEASURED_PQI,PQI_DATE,CLASS,YEAR,ObjectId
960,BASELINE RD,CALLE LOS CERROS,WENDLER DR,1366,7.0,81.1,83.5,2022/03/28 07:00:00+00,Arterial,2022.0,113
970,BASELINE RD,WENDLER DR,I-10,552,3.0,46.7,51.6,2022/03/28 07:00:00+00,Arterial,2022.0,114
49750,ASH AV,HUDSON LN,13TH ST,386,3.0,75.5,78.7,2022/03/28 07:00:00+00,Arterial,2022.0,115
980,BASELINE RD,I-10,ARIZONA MILLS S,785,3.0,64.0,67.6,2022/03/28 07:00:00+00,Arterial,2022.0,116
50511,TERRACE RD,LEMON ST,APACHE BL,945,3.0,75.5,78.1,2022/03/28 07:00:00+00,Arterial,2022.0,117
990,BASELINE RD,ARIZONA MILLS S,PRIEST DR,726,3.0,67.9,71.0,2022/03/28 07:00:00+00,Arterial,2022.0,118
50521,TERRACE RD,ORANGE ST,LEMON ST,356,3.0,77.5,80.0,2022/03/28 07:00:00+00,Arterial,2022.0,119
1000,BASELINE RD,PRIEST DR,DARROW DR,703,7.0,70.7,74.3,2022/03/28 07:00:00+00,Arterial,2022.0,120
1010,BASELINE RD,DARROW DR,BECK AV,436,7.0,77.7,80.5,2022/03/28 07:00:00+00,Arterial,2022.0,121
1020,BASELINE RD,BECK AV,TERRY LN,1359,7.0,69.1,73.9,2022/03/28 07:00:00+00,Arterial,2022.0,122
1030,BASELINE RD,TERRY LN,HARDY DR,910,7.0,70.9,75.3,2022/03/28 07:00:00+00,Arterial,2022.0,123
1040,BASELINE RD,HARDY DR,KYRENE RD,2049,7.0,74.3,77.9,2022/03/28 07:00:00+00,Arterial,2022.0,124
1050,BASELINE RD,KYRENE RD,KYRENE RD,659,7.0,75.7,78.6,2022/03/28 07:00:00+00,Arterial,2022.0,125
1060,BASELINE RD,KYRENE RD,ASH AV,739,7.0,70.1,74.7,2022/03/28 07:00:00+00,Arterial,2022.0,126
1070,BASELINE RD,ASH AV,MILL AV,669,7.0,74.2,77.6,2022/03/28 07:00:00+00,Arterial,2022.0,127
1080,BASELINE RD,MILL AV,COLLEGE AV,1303,7.0,72.6,76.0,2022/03/28 07:00:00+00,Arterial,2022.0,128
1090,BASELINE RD,COLLEGE AV,LA ROSA DR,1272,7.0,74.3,77.5,2022/03/28 07:00:00+00,Arterial,2022.0,129
1100,BASELINE RD,LA ROSA DR,RURAL RD,789,7.0,71.1,74.6,2022/03/28 07:00:00+00,Arterial,2022.0,130
1110,BASELINE RD,RURAL RD,LAKESHORE DR,2566,7.0,46.6,53.5,2022/03/28 07:00:00+00,Arterial,2022.0,131
1120,BASELINE RD,LAKESHORE DR,DORSEY LN,949,7.0,50.3,57.5,2022/03/28 07:00:00+00,Arterial,2022.0,132
1130,BASELINE RD,DORSEY LN,MARINE DR,1156,7.0,39.3,45.4,2022/03/28 07:00:00+00,Arterial,2022.0,133
1140,BASELINE RD,MARINE DR,BUTTE AV,730,7.0,33.2,38.7,2022/03/28 07:00:00+00,Arterial,2022.0,134
1150,BASELINE RD,BUTTE AV,MCCLINTOCK DR,700,7.0,33.0,38.4,2022/03/28 07:00:00+00,Arterial,2022.0,135
1160,BASELINE RD,MCCLINTOCK DR,HAZELTON LN,1456,7.0,29.1,34.3,2022/03/28 07:00:00+00,Arterial,2022.0,136
1170,BASELINE RD,HAZELTON LN,KENWOOD LN,575,7.0,21.8,25.9,2022/03/28 07:00:00+00,Arterial,2022.0,137
1180,BASELINE RD,KENWOOD LN,COUNTRY CLUB WY,669,7.0,25.0,29.6,2022/03/28 07:00:00+00,Arterial,2022.0,138
