OBJECTID,DBARC_COD,DIVIDE,AV_LEGEND,IMS_LEGEND,LENGTH_MI,SHAPE_Length
18182,4,Local drainage basin divide,Local,Local,0.163661,864.129943603275
18183,6,Lake impoundment basin divide,Lake Impoundment,Reach,1.55423998,8206.38234955165
18184,3,Subregional drainage basin divide,Subregional,Subregional,1.20467996,6360.71444198011
18185,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.54691898,2887.73223899703
18186,3,Subregional drainage basin divide,Subregional,Subregional,0.26889601,1419.77129983236
18187,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.73360198,3873.42161131268
18188,3,Subregional drainage basin divide,Subregional,Subregional,0.91979098,4856.49717641379
18189,4,Local drainage basin divide,Local,Local,0.24185299,1276.98347010294
18190,4,Local drainage basin divide,Local,Local,0.70172202,3705.09292905038
18191,4,Local drainage basin divide,Local,Local,0.21253499,1122.18526473412
18192,5,Stream reach basin divide,Stream Reach,Reach,0.43788298,2312.02236841672
18193,2,Regional drainage basin divide,Regional,Regional,0.30580401,1614.64614831853
18194,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.336667,1777.60187873277
18195,4,Local drainage basin divide,Local,Local,0.45560398,2405.58825900007
18196,4,Local drainage basin divide,Local,Local,0.229219,1210.27524974798
18197,4,Local drainage basin divide,Local,Local,0.122983,649.348003150079
18198,3,Subregional drainage basin divide,Subregional,Subregional,2.80500006,14810.4006909365
18199,2,Regional drainage basin divide,Regional,Regional,0.30478799,1609.28105959801
18200,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.562177,2968.29407440101
18201,4,Local drainage basin divide,Local,Local,0.09842749,519.697065580664
18202,8,Shoreline,Shoreline,Shoreline,2.45149993,12943.9268004148
18203,4,Local drainage basin divide,Local,Local,2.21354007,11687.5123797597
18204,4,Local drainage basin divide,Local,Local,1.00572001,5310.19633407832
18205,3,Subregional drainage basin divide,Subregional,Subregional,0.48320299,2551.31354073443
18206,0,Not a drainage basin divide,No Show,No Show,0.0145346,76.7426189673708
18207,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.25784298,1361.41303154298
18208,8,Shoreline,Shoreline,Shoreline,5.22140979,27569.0511591864
18209,3,Subregional drainage basin divide,Subregional,Subregional,0.11203999,591.568886718834
