OBJECTID,DBARC_COD,DIVIDE,AV_LEGEND,IMS_LEGEND,LENGTH_MI,SHAPE_Length
1,1,Major drainage basin divide,Major,Major,15.02190017,79315.6610769057
2,1,Major drainage basin divide,Major,Major,13.76869964,72698.6315193768
3,1,Major drainage basin divide,Major,Major,18.11890029,95667.592381563
4,1,Major drainage basin divide,Major,Major,8.88488006,46912.157516286
5,1,Major drainage basin divide,Major,Major,14.7013998,77623.2567510253
6,1,Major drainage basin divide,Major,Major,13.55309963,71560.2498505273
7,1,Major drainage basin divide,Major,Major,13.45219993,71027.3707088788
8,1,Major drainage basin divide,Major,Major,6.57904005,34737.3390197115
9,2,Regional drainage basin divide,Regional,Regional,8.89801979,46981.5490911915
10,1,Major drainage basin divide,Major,Major,14.46109962,76354.5192150888
11,1,Major drainage basin divide,Major,Major,1.17452001,6201.45659234983
12,1,Major drainage basin divide,Major,Major,7.60774993,40168.9287070769
13,3,Subregional drainage basin divide,Subregional,Subregional,6.70668983,35411.3070446324
14,1,Major drainage basin divide,Major,Major,16.3729,86448.9309389931
15,1,Major drainage basin divide,Major,Major,12.37160015,65322.0581158151
16,3,Subregional drainage basin divide,Subregional,Subregional,13.83310031,73038.787964028
17,1,Major drainage basin divide,Major,Major,11.09869956,58600.9537496227
18,2,Regional drainage basin divide,Regional,Regional,12.08670043,63817.9371492268
19,1,Major drainage basin divide,Major,Major,7.26846981,38377.5173587737
20,1,Major drainage basin divide,Major,Major,1.86053001,9823.57991707874
21,1,Major drainage basin divide,Major,Major,4.48566007,23684.2678085011
22,2,Regional drainage basin divide,Regional,Regional,4.6683402,24648.8253866562
23,1,Major drainage basin divide,Major,Major,16.30520057,86091.5938766398
24,2,Regional drainage basin divide,Regional,Regional,1.70174002,8985.20394232263
25,3,Subregional drainage basin divide,Subregional,Subregional,4.42459011,23361.8587900417
26,2,Regional drainage basin divide,Regional,Regional,3.77427005,19928.1325169742
27,2,Regional drainage basin divide,Regional,Regional,1.02595996,5417.07337246843
28,2,Regional drainage basin divide,Regional,Regional,0.43006199,2270.72759244271
29,2,Regional drainage basin divide,Regional,Regional,2.44697999,12920.0665235075
30,3,Subregional drainage basin divide,Subregional,Subregional,1.54264998,8145.20640082498
31,1,Major drainage basin divide,Major,Major,2.30631995,12177.3816337864
32,2,Regional drainage basin divide,Regional,Regional,1.24098002,6552.37275618851
33,4,Local drainage basin divide,Local,Local,0.79477101,4196.39158485353
34,3,Subregional drainage basin divide,Subregional,Subregional,3.1394999,16576.5694579716
35,2,Regional drainage basin divide,Regional,Regional,0.62239599,3286.24823416178
36,1,Major drainage basin divide,Major,Major,2.34414005,12377.0656423785
37,2,Regional drainage basin divide,Regional,Regional,10.62460041,56097.6794711822
38,4,Local drainage basin divide,Local,Local,0.957026,5053.09641030513
39,3,Subregional drainage basin divide,Subregional,Subregional,10.48130035,55341.2208120575
40,2,Regional drainage basin divide,Regional,Regional,3.63468003,19191.1328263891
41,4,Local drainage basin divide,Local,Local,3.31438994,17499.9605705084
42,2,Regional drainage basin divide,Regional,Regional,1.40400004,7413.1387433118
43,4,Local drainage basin divide,Local,Local,0.335197,1769.83998813301
44,1,Major drainage basin divide,Major,Major,3.59319996,18972.0987554928
45,2,Regional drainage basin divide,Regional,Regional,0.29096999,1536.32402771624
46,2,Regional drainage basin divide,Regional,Regional,1.90760004,10072.1535155769
47,4,Local drainage basin divide,Local,Local,1.40462005,7416.40423147336
48,4,Local drainage basin divide,Local,Local,2.25118994,11886.2938693397
49,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.29781201,1572.45039804367
50,3,Subregional drainage basin divide,Subregional,Subregional,0.37766399,1994.06329312592
51,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.97402602,5142.85713408444
52,3,Subregional drainage basin divide,Subregional,Subregional,1.50784003,7961.37125946546
53,4,Local drainage basin divide,Local,Local,0.39311298,2075.63470517875
54,5,Stream reach basin divide,Stream Reach,Reach,0.67323499,3554.68078550363
55,2,Regional drainage basin divide,Regional,Regional,1.10337996,5825.86108730555
56,2,Regional drainage basin divide,Regional,Regional,1.43805003,7592.90059704807
57,4,Local drainage basin divide,Local,Local,2.41657996,12759.5149085006
58,4,Local drainage basin divide,Local,Local,1.06818997,5640.06682164575
59,4,Local drainage basin divide,Local,Local,0.24987399,1319.33401693731
60,3,Subregional drainage basin divide,Subregional,Subregional,5.99299001,31643.0008116492
61,2,Regional drainage basin divide,Regional,Regional,1.91208994,10095.8103098399
62,4,Local drainage basin divide,Local,Local,1.75367999,9259.42966488076
63,2,Regional drainage basin divide,Regional,Regional,1.79639995,9484.99381635238
64,3,Subregional drainage basin divide,Subregional,Subregional,0.98988097,5226.57460994456
65,4,Local drainage basin divide,Local,Local,0.37470498,1978.4415210264
66,3,Subregional drainage basin divide,Subregional,Subregional,0.28197899,1488.84771105101
67,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.188976,997.793032371186
68,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.51610702,2725.04567991244
69,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.598392,3159.50887118474
70,4,Local drainage basin divide,Local,Local,0.73620897,3887.18281432752
71,4,Local drainage basin divide,Local,Local,0.59120702,3121.57116629891
72,2,Regional drainage basin divide,Regional,Regional,2.44106006,12888.8180504761
73,4,Local drainage basin divide,Local,Local,0.13432499,709.236924445674
74,4,Local drainage basin divide,Local,Local,0.63024002,3327.66636171832
75,3,Subregional drainage basin divide,Subregional,Subregional,1.76950001,9342.98711561075
76,4,Local drainage basin divide,Local,Local,0.444009,2344.36857315897
77,4,Local drainage basin divide,Local,Local,0.70552998,3725.19746141391
78,4,Local drainage basin divide,Local,Local,0.84571701,4465.38420167333
79,3,Subregional drainage basin divide,Subregional,Subregional,6.44477987,34028.4260441568
80,3,Subregional drainage basin divide,Subregional,Subregional,0.0214872,113.452122208724
81,3,Subregional drainage basin divide,Subregional,Subregional,0.72357302,3820.46315165247
82,3,Subregional drainage basin divide,Subregional,Subregional,3.4209001,18062.3619201699
83,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.145747,769.541979891341
84,4,Local drainage basin divide,Local,Local,0.256738,1355.57347530974
85,4,Local drainage basin divide,Local,Local,0.113837,601.059079940411
86,3,Subregional drainage basin divide,Subregional,Subregional,5.38121986,28412.8413482699
87,5,Stream reach basin divide,Stream Reach,Reach,0.16301199,860.702591271148
88,4,Local drainage basin divide,Local,Local,0.187112,987.952148796876
89,4,Local drainage basin divide,Local,Local,0.60916399,3216.38370056364
90,3,Subregional drainage basin divide,Subregional,Subregional,0.551871,2913.87889048418
91,4,Local drainage basin divide,Local,Local,0.51866602,2738.55573696479
92,4,Local drainage basin divide,Local,Local,0.49218899,2598.7594073614
93,4,Local drainage basin divide,Local,Local,0.76432001,4035.60886967982
94,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.531663,2807.18282340983
95,4,Local drainage basin divide,Local,Local,1.25330996,6617.48895776464
96,2,Regional drainage basin divide,Regional,Regional,1.84150004,9723.10691274067
97,2,Regional drainage basin divide,Regional,Regional,0.51400101,2713.92465318124
98,5,Stream reach basin divide,Stream Reach,Reach,0.57460898,3033.93379826228
99,6,Lake impoundment basin divide,Lake Impoundment,Reach,1.01690995,5369.26898417126
100,4,Local drainage basin divide,Local,Local,0.555395,2932.4843061206
101,3,Subregional drainage basin divide,Subregional,Subregional,0.28782999,1519.74151850847
102,4,Local drainage basin divide,Local,Local,0.03327269,175.680326769202
103,4,Local drainage basin divide,Local,Local,1.15119004,6078.29182816895
104,5,Stream reach basin divide,Stream Reach,Reach,0.81584602,4307.66628611043
105,4,Local drainage basin divide,Local,Local,0.32606801,1721.63954084462
106,3,Subregional drainage basin divide,Subregional,Subregional,1.70018994,8977.00512608708
107,3,Subregional drainage basin divide,Subregional,Subregional,2.46782994,13030.1407485078
108,4,Local drainage basin divide,Local,Local,0.72899901,3849.11757171543
109,3,Subregional drainage basin divide,Subregional,Subregional,1.15202999,6082.74035128999
110,4,Local drainage basin divide,Local,Local,0.37275999,1968.17101738372
111,4,Local drainage basin divide,Local,Local,0.79105699,4176.78152801503
112,2,Regional drainage basin divide,Regional,Regional,1.40569996,7422.09246633405
113,4,Local drainage basin divide,Local,Local,0.61820501,3264.12283899287
114,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.883753,4666.21651541746
115,4,Local drainage basin divide,Local,Local,0.74941402,3956.90530902054
116,5,Stream reach basin divide,Stream Reach,Reach,0.167279,883.233343761281
117,4,Local drainage basin divide,Local,Local,0.64994299,3431.69919051646
118,3,Subregional drainage basin divide,Subregional,Subregional,2.25044989,11882.3720740026
119,5,Stream reach basin divide,Stream Reach,Reach,0.10761799,568.224929371632
120,3,Subregional drainage basin divide,Subregional,Subregional,1.85283005,9782.94772060832
121,5,Stream reach basin divide,Stream Reach,Reach,0.79007601,4171.60030081034
122,4,Local drainage basin divide,Local,Local,0.41966199,2215.81742491138
123,2,Regional drainage basin divide,Regional,Regional,2.79691004,14767.7063815645
124,4,Local drainage basin divide,Local,Local,1.31678998,6952.64729051503
125,3,Subregional drainage basin divide,Subregional,Subregional,3.3306899,17586.0531093491
126,4,Local drainage basin divide,Local,Local,0.769818,4064.63798408945
127,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.943062,4979.37027034474
128,3,Subregional drainage basin divide,Subregional,Subregional,0.53931802,2847.59957782414
129,4,Local drainage basin divide,Local,Local,0.57471299,3034.48255524799
130,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.53540498,2826.93492264568
131,5,Stream reach basin divide,Stream Reach,Reach,0.54165399,2859.93481901218
132,4,Local drainage basin divide,Local,Local,1.22558999,6471.12960258646
133,4,Local drainage basin divide,Local,Local,0.276672,1460.82508111363
134,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.57547301,3038.50074536257
135,2,Regional drainage basin divide,Regional,Regional,0.91351002,4823.33523978971
136,4,Local drainage basin divide,Local,Local,0.498674,2632.99942196426
137,4,Local drainage basin divide,Local,Local,0.37899801,2001.10706491607
138,6,Lake impoundment basin divide,Lake Impoundment,Reach,1.24580001,6577.84610622197
139,4,Local drainage basin divide,Local,Local,1.12574005,5943.92347927054
140,5,Stream reach basin divide,Stream Reach,Reach,0.51958501,2743.40680930677
141,4,Local drainage basin divide,Local,Local,0.75429499,3982.67587783536
142,5,Stream reach basin divide,Stream Reach,Reach,0.60616099,3200.53033062686
143,2,Regional drainage basin divide,Regional,Regional,4.40708017,23269.3643889185
144,3,Subregional drainage basin divide,Subregional,Subregional,0.0353523,186.660177724003
145,3,Subregional drainage basin divide,Subregional,Subregional,0.90419298,4774.14008546621
146,5,Stream reach basin divide,Stream Reach,Reach,0.694503,3666.97504181369
147,3,Subregional drainage basin divide,Subregional,Subregional,0.76697701,4049.6358764893
148,4,Local drainage basin divide,Local,Local,0.139264,735.313634866659
149,4,Local drainage basin divide,Local,Local,0.83098101,4387.57864692961
150,1,Major drainage basin divide,Major,Major,5.88640022,31080.2052950243
151,4,Local drainage basin divide,Local,Local,0.40805199,2154.51280132654
152,4,Local drainage basin divide,Local,Local,0.22749499,1201.1757438335
153,5,Stream reach basin divide,Stream Reach,Reach,0.03726829,196.776751319766
154,6,Lake impoundment basin divide,Lake Impoundment,Reach,1.12838995,5957.8805086296
155,4,Local drainage basin divide,Local,Local,1.51482999,7998.29949002436
156,3,Subregional drainage basin divide,Subregional,Subregional,2.36244988,12473.7254903433
157,2,Regional drainage basin divide,Regional,Regional,0.553321,2921.53670064195
158,4,Local drainage basin divide,Local,Local,1.50063002,7923.33086480398
159,1,Major drainage basin divide,Major,Major,2.64727997,13977.6234432996
160,4,Local drainage basin divide,Local,Local,0.87859201,4638.96759861268
161,5,Stream reach basin divide,Stream Reach,Reach,0.89020001,4700.25537243619
162,4,Local drainage basin divide,Local,Local,1.01427996,5355.41173372379
163,4,Local drainage basin divide,Local,Local,0.106954,564.716709932446
164,4,Local drainage basin divide,Local,Local,0.25373899,1339.74180651275
165,3,Subregional drainage basin divide,Subregional,Subregional,1.06174004,5606.00274539705
166,4,Local drainage basin divide,Local,Local,0.29410499,1552.87268109239
167,4,Local drainage basin divide,Local,Local,0.355623,1877.69186432528
168,4,Local drainage basin divide,Local,Local,0.81374502,4296.57267674286
169,5,Stream reach basin divide,Stream Reach,Reach,0.07894559,416.83309397311
170,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.28016701,1479.28239878227
171,3,Subregional drainage basin divide,Subregional,Subregional,0.72590702,3832.79088340985
172,5,Stream reach basin divide,Stream Reach,Reach,0.830522,4385.15464260526
173,4,Local drainage basin divide,Local,Local,0.04106409,216.81831591111
174,3,Subregional drainage basin divide,Subregional,Subregional,0.72987002,3853.71596904197
175,4,Local drainage basin divide,Local,Local,0.226159,1194.11855175966
176,4,Local drainage basin divide,Local,Local,1.41044998,7447.1863654173
177,5,Stream reach basin divide,Stream Reach,Reach,0.762358,4025.24789189305
178,4,Local drainage basin divide,Local,Local,0.0273802,144.567708476378
179,4,Local drainage basin divide,Local,Local,0.274015,1446.8008591918
180,5,Stream reach basin divide,Stream Reach,Reach,0.317759,1677.76927279642
181,5,Stream reach basin divide,Stream Reach,Reach,0.637281,3364.84545647462
182,6,Lake impoundment basin divide,Lake Impoundment,Reach,1.00680005,5315.91009235781
183,4,Local drainage basin divide,Local,Local,0.768431,4057.31453819276
184,4,Local drainage basin divide,Local,Local,0.78563898,4148.17292013969
185,3,Subregional drainage basin divide,Subregional,Subregional,3.15423011,16654.3291732811
186,2,Regional drainage basin divide,Regional,Regional,0.55583399,2934.80225551545
187,4,Local drainage basin divide,Local,Local,1.94102001,10248.5950977193
188,4,Local drainage basin divide,Local,Local,0.250371,1321.95970371693
189,4,Local drainage basin divide,Local,Local,0.27332401,1443.14917132567
190,3,Subregional drainage basin divide,Subregional,Subregional,4.15142011,21919.5199869924
191,6,Lake impoundment basin divide,Lake Impoundment,Reach,1.09226,5767.13652542931
192,4,Local drainage basin divide,Local,Local,0.03697749,195.241037849486
193,4,Local drainage basin divide,Local,Local,0.62424397,3296.00558407332
194,3,Subregional drainage basin divide,Subregional,Subregional,0.164643,869.316673198377
195,4,Local drainage basin divide,Local,Local,0.493909,2607.83816487903
196,4,Local drainage basin divide,Local,Local,0.82111299,4335.47974864384
197,3,Subregional drainage basin divide,Subregional,Subregional,0.31954398,1687.19201371918
198,6,Lake impoundment basin divide,Lake Impoundment,Reach,1.22062003,6444.85036851161
199,4,Local drainage basin divide,Local,Local,3.22201991,17012.286395391
200,1,Major drainage basin divide,Major,Major,2.44839,12927.4770706319
201,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.212145,1120.12796657227
202,4,Local drainage basin divide,Local,Local,0.63968497,3377.53838312238
203,3,Subregional drainage basin divide,Subregional,Subregional,0.85246801,4501.03143427623
204,9,State boundary,State Boundary,Reach,0.763534,4031.46079705039
205,4,Local drainage basin divide,Local,Local,0.493658,2606.51537978055
206,5,Stream reach basin divide,Stream Reach,Reach,2.0374701,10757.8291453656
207,5,Stream reach basin divide,Stream Reach,Reach,0.0853663,450.733713549669
208,1,Major drainage basin divide,Major,Major,3.03227996,16010.4593115163
209,4,Local drainage basin divide,Local,Local,1.62132,8560.54313952093
210,4,Local drainage basin divide,Local,Local,0.13535499,714.672857004307
211,1,Major drainage basin divide,Major,Major,0.72125399,3808.21999914578
212,5,Stream reach basin divide,Stream Reach,Reach,0.452636,2389.91955587679
213,5,Stream reach basin divide,Stream Reach,Reach,0.23756599,1254.34601331469
214,5,Stream reach basin divide,Stream Reach,Reach,0.383574,2025.27046554863
215,2,Regional drainage basin divide,Regional,Regional,2.11249995,11153.9858367059
216,4,Local drainage basin divide,Local,Local,0.67949599,3587.74121151843
217,3,Subregional drainage basin divide,Subregional,Subregional,0.87870401,4639.56011474267
218,4,Local drainage basin divide,Local,Local,0.86382597,4561.00178065558
219,4,Local drainage basin divide,Local,Local,1.19850003,6328.07754573802
220,4,Local drainage basin divide,Local,Local,0.77403098,4086.88376222277
221,4,Local drainage basin divide,Local,Local,0.34426501,1817.71926213707
222,1,Major drainage basin divide,Major,Major,2.48444008,13117.829738778
223,3,Subregional drainage basin divide,Subregional,Subregional,0.281127,1484.35274798312
224,4,Local drainage basin divide,Local,Local,0.31301099,1652.69648603267
225,1,Major drainage basin divide,Major,Major,0.05968319,315.127929664504
226,4,Local drainage basin divide,Local,Local,0.80330801,4241.46847927007
227,3,Subregional drainage basin divide,Subregional,Subregional,0.98706799,5211.71806668021
228,3,Subregional drainage basin divide,Subregional,Subregional,0.50625598,2673.02872775961
229,1,Major drainage basin divide,Major,Major,0.425931,2248.91522515334
230,3,Subregional drainage basin divide,Subregional,Subregional,0.653773,3451.91886130614
231,5,Stream reach basin divide,Stream Reach,Reach,0.58727502,3100.81354445798
232,3,Subregional drainage basin divide,Subregional,Subregional,0.58764398,3102.7594513183
233,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.20790399,1097.73439239872
234,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.10910499,576.076764398462
235,5,Stream reach basin divide,Stream Reach,Reach,0.14048999,741.788471056073
236,5,Stream reach basin divide,Stream Reach,Reach,0.80626302,4257.06988988754
237,3,Subregional drainage basin divide,Subregional,Subregional,1.09579002,5785.74795173147
238,4,Local drainage basin divide,Local,Local,0.43566301,2300.29985543773
239,3,Subregional drainage basin divide,Subregional,Subregional,3.3887999,17892.8581790798
240,1,Major drainage basin divide,Major,Major,2.13267993,11260.5277530526
241,3,Subregional drainage basin divide,Subregional,Subregional,2.53840994,13402.8110771983
242,3,Subregional drainage basin divide,Subregional,Subregional,0.34886598,1842.01006940476
243,5,Stream reach basin divide,Stream Reach,Reach,0.22236999,1174.11202066425
244,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.58862102,3107.92047443208
245,4,Local drainage basin divide,Local,Local,1.57103002,8295.04465068683
246,3,Subregional drainage basin divide,Subregional,Subregional,10.46259975,55242.5531815405
247,2,Regional drainage basin divide,Regional,Regional,0.137518,726.092659443943
248,3,Subregional drainage basin divide,Subregional,Subregional,1.51038002,7974.82849292838
249,2,Regional drainage basin divide,Regional,Regional,1.37023997,7234.87917219317
250,4,Local drainage basin divide,Local,Local,0.28543499,1507.09723712437
251,2,Regional drainage basin divide,Regional,Regional,1.09736001,5794.04029684864
252,4,Local drainage basin divide,Local,Local,0.89464497,4723.7255441496
253,5,Stream reach basin divide,Stream Reach,Reach,0.83187001,4392.27554288348
254,5,Stream reach basin divide,Stream Reach,Reach,0.03757689,198.406115976795
255,4,Local drainage basin divide,Local,Local,0.39334198,2076.84692386962
256,4,Local drainage basin divide,Local,Local,2.14836001,11343.3448554302
257,4,Local drainage basin divide,Local,Local,0.636913,3362.90129100048
258,4,Local drainage basin divide,Local,Local,0.52562397,2775.29575464166
259,4,Local drainage basin divide,Local,Local,0.0671709,354.662690565967
260,2,Regional drainage basin divide,Regional,Regional,1.46294999,7724.35687572657
261,9,State boundary,State Boundary,Reach,2.03838992,10762.695510368
262,2,Regional drainage basin divide,Regional,Regional,0.26942598,1422.56838367624
263,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.87594199,4624.97385317425
264,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.75969099,4011.1690923365
265,4,Local drainage basin divide,Local,Local,0.458182,2419.1996346141
266,4,Local drainage basin divide,Local,Local,0.09684489,511.341170799581
267,3,Subregional drainage basin divide,Subregional,Subregional,0.18820999,993.750580513136
268,4,Local drainage basin divide,Local,Local,0.79065698,4174.67053950328
269,5,Stream reach basin divide,Stream Reach,Reach,0.72856301,3846.81318858021
270,4,Local drainage basin divide,Local,Local,0.25210198,1331.09862076059
271,4,Local drainage basin divide,Local,Local,0.10624299,560.962220418076
272,2,Regional drainage basin divide,Regional,Regional,2.82143998,14897.1910693081
273,4,Local drainage basin divide,Local,Local,0.22441799,1184.92879112272
274,9,State boundary,State Boundary,Reach,1.28426003,6780.87834803753
275,3,Subregional drainage basin divide,Subregional,Subregional,1.01684999,5368.97305861518
276,3,Subregional drainage basin divide,Subregional,Subregional,0.72348999,3820.02559040873
277,3,Subregional drainage basin divide,Subregional,Subregional,1.08542001,5731.04185276078
278,4,Local drainage basin divide,Local,Local,0.26533299,1400.96046011939
279,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.587834,3103.76573396065
280,5,Stream reach basin divide,Stream Reach,Reach,0.32120299,1695.95356942403
281,2,Regional drainage basin divide,Regional,Regional,1.91542994,10113.4771914091
282,4,Local drainage basin divide,Local,Local,0.308081,1626.67033654841
283,3,Subregional drainage basin divide,Subregional,Subregional,1.54639005,8164.96247794093
284,3,Subregional drainage basin divide,Subregional,Subregional,4.51081991,23817.1263918534
285,4,Local drainage basin divide,Local,Local,0.62480801,3298.98618865435
286,4,Local drainage basin divide,Local,Local,0.30910199,1632.0573183638
287,5,Stream reach basin divide,Stream Reach,Reach,0.61299502,3236.6129678574
288,3,Subregional drainage basin divide,Subregional,Subregional,3.50693988,18516.618315065
289,4,Local drainage basin divide,Local,Local,0.444267,2345.72853270383
290,5,Stream reach basin divide,Stream Reach,Reach,0.24831299,1311.08959866159
291,1,Major drainage basin divide,Major,Major,0.85666698,4523.20108309309
292,4,Local drainage basin divide,Local,Local,0.33984699,1794.39072165998
293,3,Subregional drainage basin divide,Subregional,Subregional,1.02543997,5414.29942309039
294,4,Local drainage basin divide,Local,Local,0.253122,1336.4829796111
295,2,Regional drainage basin divide,Regional,Regional,0.59286898,3130.34637324634
296,4,Local drainage basin divide,Local,Local,1.34062004,7078.47817695768
297,4,Local drainage basin divide,Local,Local,0.63655799,3361.02701918048
298,4,Local drainage basin divide,Local,Local,0.59840697,3159.5898903199
299,5,Stream reach basin divide,Stream Reach,Reach,0.37344399,1971.78399461077
300,4,Local drainage basin divide,Local,Local,0.25619998,1352.73302222059
301,2,Regional drainage basin divide,Regional,Regional,0.87855798,4638.78506707407
302,4,Local drainage basin divide,Local,Local,0.96378201,5088.77160421858
303,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.62405002,3294.98255237645
304,3,Subregional drainage basin divide,Subregional,Subregional,1.08914005,5750.66202538916
305,3,Subregional drainage basin divide,Subregional,Subregional,0.481893,2544.39391151158
306,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.24679,1303.05113333953
307,4,Local drainage basin divide,Local,Local,0.36736398,1939.67914778981
308,5,Stream reach basin divide,Stream Reach,Reach,0.127827,674.929061105013
309,4,Local drainage basin divide,Local,Local,0.0989876,522.654593064958
310,4,Local drainage basin divide,Local,Local,0.439516,2320.64473554269
311,2,Regional drainage basin divide,Regional,Regional,0.0659795,348.372138773143
312,2,Regional drainage basin divide,Regional,Regional,0.40614798,2144.4593107369
313,4,Local drainage basin divide,Local,Local,0.30241599,1596.75887105865
314,3,Subregional drainage basin divide,Subregional,Subregional,0.62992697,3326.01588112519
315,1,Major drainage basin divide,Major,Major,1.26397001,6673.7855876491
316,9,State boundary,State Boundary,Reach,1.04551005,5520.31744215077
317,2,Regional drainage basin divide,Regional,Regional,1.09792995,5797.05145895807
318,4,Local drainage basin divide,Local,Local,0.12064299,636.99693297323
319,5,Stream reach basin divide,Stream Reach,Reach,0.28986001,1530.46158788041
320,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.65409398,3453.61650540672
321,4,Local drainage basin divide,Local,Local,0.451359,2383.17690962208
322,4,Local drainage basin divide,Local,Local,0.412162,2176.21423397992
323,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.71950697,3798.99818648817
324,1,Major drainage basin divide,Major,Major,0.46814799,2471.81924632338
325,4,Local drainage basin divide,Local,Local,0.89954698,4749.60989458425
326,3,Subregional drainage basin divide,Subregional,Subregional,1.99828004,10550.9026416319
327,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.89702498,4736.29262907976
328,2,Regional drainage basin divide,Regional,Regional,8.74055004,46150.1331486556
329,4,Local drainage basin divide,Local,Local,1.21274995,6403.32091343534
330,4,Local drainage basin divide,Local,Local,2.01768994,10653.390409216
331,3,Subregional drainage basin divide,Subregional,Subregional,0.34553799,1824.43951661615
332,4,Local drainage basin divide,Local,Local,0.77989101,4117.82655999
333,4,Local drainage basin divide,Local,Local,0.655393,3460.47479488686
334,5,Stream reach basin divide,Stream Reach,Reach,0.0327463,172.900790421789
335,4,Local drainage basin divide,Local,Local,0.20839299,1100.3122202823
336,4,Local drainage basin divide,Local,Local,0.69034701,3645.03242876512
337,2,Regional drainage basin divide,Regional,Regional,2.05702996,10861.1237581638
338,4,Local drainage basin divide,Local,Local,0.85661101,4522.90836346361
339,4,Local drainage basin divide,Local,Local,0.238689,1260.27859350352
340,3,Subregional drainage basin divide,Subregional,Subregional,1.30008995,6864.50000157174
341,4,Local drainage basin divide,Local,Local,0.0459369,242.547432868107
342,4,Local drainage basin divide,Local,Local,1.29739999,6850.25795364056
343,4,Local drainage basin divide,Local,Local,1.02456998,5409.73815818677
344,3,Subregional drainage basin divide,Subregional,Subregional,0.82352697,4348.2235932092
345,1,Major drainage basin divide,Major,Major,0.58674097,3097.99044124767
346,1,Major drainage basin divide,Major,Major,1.40782999,7433.36818062738
347,3,Subregional drainage basin divide,Subregional,Subregional,0.06258309,330.439214299856
348,5,Stream reach basin divide,Stream Reach,Reach,0.18678799,986.24201601101
349,4,Local drainage basin divide,Local,Local,0.07768859,410.195868674182
350,4,Local drainage basin divide,Local,Local,0.281006,1483.71106704447
351,4,Local drainage basin divide,Local,Local,1.64645004,8693.27613455019
352,2,Regional drainage basin divide,Regional,Regional,1.20202004,6346.64583975053
353,5,Stream reach basin divide,Stream Reach,Reach,1.08792996,5744.2719637234
354,3,Subregional drainage basin divide,Subregional,Subregional,0.32402899,1710.87305178473
355,4,Local drainage basin divide,Local,Local,1.05964994,5594.96870291466
356,4,Local drainage basin divide,Local,Local,6.08186006,32112.2094467402
357,3,Subregional drainage basin divide,Subregional,Subregional,0.760109,4013.37493045881
358,3,Subregional drainage basin divide,Subregional,Subregional,0.50154399,2648.15061652065
359,5,Stream reach basin divide,Stream Reach,Reach,1.26172995,6661.95304581962
360,4,Local drainage basin divide,Local,Local,0.54669898,2886.56888584464
361,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.78206199,4129.29017344065
362,4,Local drainage basin divide,Local,Local,0.28457599,1502.56208760116
363,4,Local drainage basin divide,Local,Local,1.11191999,5870.92252598679
364,4,Local drainage basin divide,Local,Local,0.233039,1230.44532237876
365,9,State boundary,State Boundary,Reach,1.82473003,9634.58155221464
366,2,Regional drainage basin divide,Regional,Regional,1.18370997,6249.98274886527
367,2,Regional drainage basin divide,Regional,Regional,0.808362,4268.1517751328
368,3,Subregional drainage basin divide,Subregional,Subregional,0.38402399,2027.64649952654
369,3,Subregional drainage basin divide,Subregional,Subregional,2.98339009,15752.2824666123
370,4,Local drainage basin divide,Local,Local,1.35523998,7155.65483216788
371,4,Local drainage basin divide,Local,Local,0.960837,5073.21906844203
372,6,Lake impoundment basin divide,Lake Impoundment,Reach,1.33413994,7044.26240590792
373,4,Local drainage basin divide,Local,Local,0.39408099,2080.74880856038
374,3,Subregional drainage basin divide,Subregional,Subregional,0.36665201,1935.92409498498
375,4,Local drainage basin divide,Local,Local,1.62628996,8586.82330227191
376,2,Regional drainage basin divide,Regional,Regional,0.741001,3912.48309423971
377,4,Local drainage basin divide,Local,Local,1.31587994,6947.85612467643
378,4,Local drainage basin divide,Local,Local,0.67460197,3561.9003083091
379,4,Local drainage basin divide,Local,Local,1.00609004,5312.13665221734
380,9,State boundary,State Boundary,Reach,1.49663996,7902.24727184144
381,2,Regional drainage basin divide,Regional,Regional,0.92045897,4860.02269095229
382,4,Local drainage basin divide,Local,Local,1.09151995,5763.22404643455
