OBJECTID,TYPE,ESTABLISHED,PRIVATE,REFERENCE,COMMENTS,DATE_FILED,ShapeSTArea,ShapeSTLength
627098,General Utility,Plat,No,b54p152,,1992/05/15 00:00:00+00,12429.9774631742,2501.72135412135
627099,General Utility,Plat,No,b51p16,,1989/02/16 00:00:00+00,2191.87516076001,456.16022827092
627100,General Utility,Plat,No,b50p75,,1988/07/20 00:00:00+00,4218.52272536996,864.079479989442
627101,General Utility,Plat,No,b52p79,,1990/04/09 00:00:00+00,6957.82738109518,1415.35487452826
627102,General Utility,Plat,No,b52p79,,1990/04/09 00:00:00+00,7147.29350122295,1449.53767321563
627103,General Utility,Plat,No,b50p75,,1988/07/20 00:00:00+00,1798.1975835334,380.078522461303
627104,General Utility,Plat,No,b50p75,,1988/07/20 00:00:00+00,2922.80084880328,607.236307837595
627105,General Utility,Plat,No,b47p136,,1986/10/24 00:00:00+00,1830.36988149423,386.079979537626
627106,General Utility,Plat,No,b51p16,,1989/02/16 00:00:00+00,7313.61329569207,1477.87724364231
627107,General Utility,Plat,No,b47p104,,1986/10/08 00:00:00+00,226.873972483786,65.1764924168968
627108,General Utility,Plat,No,b47p136,,1986/10/24 00:00:00+00,1830.79121483733,386.042601483603
627109,General Utility,Plat,No,b47p136,,1986/10/24 00:00:00+00,3530.98117494887,727.209433756507
627110,General Utility,Plat,No,b45p108,,1984/07/10 00:00:00+00,9882.67681117976,1990.45878897877
627111,General Utility,Plat,No,b51p43,,1989/04/19 00:00:00+00,3614.17284526311,742.234459889503
627112,General Utility,Plat,No,b55p158,,1993/09/14 00:00:00+00,2720.21114049045,571.712460129367
627113,General Utility,Plat,No,b55p158,,1993/09/14 00:00:00+00,9489.76778829104,1916.10907768617
627114,General Utility,Plat,No,b51p31,,1986/04/04 00:00:00+00,1801.31621884473,380.223098388279
627115,General Utility,Plat,No,b46p21,,1985/03/22 00:00:00+00,4831.1569631407,987.52104736784
627116,General Utility,Plat,No,b47p34,,1986/06/30 00:00:00+00,1511.17681452227,320.417379649627
627117,General Utility,Plat,No,b47p34,,1986/06/30 00:00:00+00,4150.02861783936,846.056260421473
627118,General Utility,Plat,No,b47p34,,1986/06/30 00:00:00+00,1750.61992418544,369.81717542223
627120,General Utility,Plat,No,b45p164,,1984/11/07 00:00:00+00,3630.70501505461,746.075151785
627121,General Utility,Plat,No,b45p164,,1984/11/07 00:00:00+00,4661.81467487804,952.115880649174
627122,General Utility,Plat,No,b46p141,,1986/04/02 00:00:00+00,10554.5160847989,2129.21769638712
627123,General Utility,Plat,No,b45p89,,1984/06/07 00:00:00+00,5333.12284329721,1086.1636844334
627124,General Utility,,No, ,not verified,,11743.6655325595,2375.09731157252
627125,General Utility,Plat,No,b45p164,,1984/11/07 00:00:00+00,1800.39352818664,380.038586545912
627126,General Utility,Plat,No,b51p31,,1986/04/04 00:00:00+00,1693.19065665532,360.251268749589
627127,General Utility,Plat,No,b51p43,,1989/04/19 00:00:00+00,2401.04640934549,500.07230652247
627128,General Utility,Plat,No,b51p31,,1986/04/04 00:00:00+00,2395.32836405765,500.142521130564
627129,General Utility,Plat,No,b51p31,,1986/04/04 00:00:00+00,2252.26525470354,470.03531323325
627130,General Utility,,No, ,not verified,,89.837200648156,37.9684890474732
627132,General Utility,Plat,No,b52p79,,1990/04/09 00:00:00+00,7440.3359450605,1508.15935513691
627133,General Utility,Plat,No,b46p141,,1986/04/02 00:00:00+00,2487.28284480978,519.220940528306
627134,General Utility,Plat,No,b45p108,,1984/07/10 00:00:00+00,4253.48574022157,872.612127182152
627135,General Utility,Plat,No,b45p137,,1984/08/28 00:00:00+00,2901.7376423395,600.080489076508
627136,General Utility,Plat,No,b53p49,,1991/03/20 00:00:00+00,2999.37688757798,620.077768374212
627138,General Utility,Plat,No,b53p49,,1991/03/20 00:00:00+00,4229.4308900154,865.874161113363
627139,General Utility,Plat,No,b45p89,,1984/06/07 00:00:00+00,3600.12208386122,740.09692178414
627140,General Utility,Plat,No,b45p108,,1984/07/10 00:00:00+00,1830.36085141681,386.04036806793
627141,Drainage,Agreement,No,b223p416,,1995/03/20 00:00:00+00,560.812520232091,148.213756489448
627142,Drainage,Plat,No,b53p125,,1991/06/19 00:00:00+00,2132.9219510243,266.921003792748
627143,General Utility,Plat,No,b52p149,,1990/06/06 00:00:00+00,100.071610057768,40.0143207090797
627489,General Utility,Plat,No,b55p21,,1993/02/24 00:00:00+00,7482.61024889714,1516.66280235308
627491,General Utility,Plat,No,b56p5,,1994/06/19 00:00:00+00,8214.04244761836,1708.54992797247
627492,General Utility,Plat,No,b56p5,,1994/06/19 00:00:00+00,8089.88013624903,1641.91320920783
627493,General Utility,Plat,No,b56p5,,1994/06/19 00:00:00+00,12091.695407066,2447.4358648082
627494,General Utility,Plat,No,b56p52,,1993/03/22 00:00:00+00,8574.75302700478,1739.16295463452
627496,General Utility,Plat,No,b57p267,,1995/06/22 00:00:00+00,10196.2457546569,1422.05713438701
627497,General Utility,Plat,No,b55p21,,1993/02/24 00:00:00+00,1996.4011523286,419.181031482917
627498,General Utility,Plat,No,b55p21,,1993/02/24 00:00:00+00,5122.60622641115,1046.59813726567
627502,General Utility,,No, ,not verified,,300.425647404448,80.0714376223207
627504,Drainage,,No, ,not verified,,869.373374426857,297.648873681774
627505,Storm Sewer,Plat,No,b6p81,,1996/05/10 00:00:00+00,2030.99064941162,298.475690499152
627506,Sanitary Sewer,Plat,No,b61p41,,1999/04/05 00:00:00+00,1270.04756995533,274.007739103901
627890,General Utility,Plat,No,,,,2513.00067323513,609.626787964625
627891,General Utility,Plat,No,,,,3414.55439344353,703.059087223824
627892,Drainage,Plat,No,,,,419.876315386315,177.873060500289
627893,Drainage,Plat,No,,,,408.342652882505,173.348288012918
627894,Drainage,Plat,No,,,,434.763176708018,183.995205092907
627895,General Utility,Plat,No,b67p208,,2005/08/30 00:00:00+00,9611.14983459244,1947.56224012016
627896,General Utility,Plat,No,b70p100,,2008/05/13 00:00:00+00,2484.04748649752,611.495288512428
628289,Mutual Access,Plat,No,b84p364,,2022/12/15 00:00:00+00,468.296936834808,92.439483785536
628691,General Utility,Plat,No,b64p117,,2002/06/17 00:00:00+00,5269.81032637389,1074.09663209889
628692,General Utility,Plat,No,b64p117,,2002/06/17 00:00:00+00,3530.94106485027,726.713199745401
628693,General Utility,Plat,No,b65p107,,2003/05/06 00:00:00+00,15791.4943972345,3969.98513525143
628694,Sidewalk and Utility,,No,,not verified,,14408.9818677738,3890.34990211644
628695,General Utility,Plat,No,b64p117,,2002/06/17 00:00:00+00,3508.1997258261,873.579977865431
628696,General Utility,Plat,No,b64p117,,2002/06/17 00:00:00+00,2842.95418487366,703.306963006739
628697,General Utility,Plat,No,b65p107,,2003/05/06 00:00:00+00,3968.67426322067,813.956583161193
628698,General Utility,Plat,No,b65p107,,2003/05/06 00:00:00+00,3813.70271303765,783.011505825979
628699,General Utility,Plat,No,b65p107,,2003/05/06 00:00:00+00,1881.25248847187,765.965604853174
628700,Sidewalk and Utility,,No,,not verified,,1093.86863921668,238.728980357685
628701,General Utility,Plat,No,b65p312,,2003/10/20 00:00:00+00,9486.63087873154,2380.13305881099
628705,General Utility,Plat,No,b65p313,,2003/10/20 00:00:00+00,2844.16315732203,685.721778129726
629090,General Utility,Plat,No,b84p368,,2022/12/20 00:00:00+00,11753.2100040121,2370.59969396528
629091,Mutual Access,Plat,No,b84p366,,2022/12/20 00:00:00+00,19332.3473412505,1609.6688307646
629094,Water Distribution,Plat,No,b84p366,,2022/12/20 00:00:00+00,8557.19914720983,895.69633094863
629095,Sanitary Sewer,Plat,No,b84p366,,2022/12/20 00:00:00+00,5375.97792241501,575.026740476555
629489,Telecommunications,Plat,No,b26p110,,1964/03/25 00:00:00+00,9756.95745053218,1985.42811232845
629491,Electric,Plat,No,b26p110,,1964/03/25 00:00:00+00,8497.93856108714,1715.21798795416
629492,Electric,Plat,No,b26p110,,1964/03/25 00:00:00+00,12876.8663912452,2597.88093898325
629494,Water Distribution,Plat,No,b26p110,,1964/03/25 00:00:00+00,825.234590190713,205.627613002706
629508,Telecommunications,Plat,No,b26p110,,1964/03/25 00:00:00+00,12876.8663912452,2597.88093898325
629509,Electric,Plat,No,b26p110,,1964/03/25 00:00:00+00,6637.44368077532,1347.53002893744
629513,Telecommunications,Plat,No,b26p110,,1964/03/25 00:00:00+00,8497.93856108714,1715.21798795416
629520,Telecommunications,Plat,No,b26p110,,1964/03/25 00:00:00+00,6637.44368077532,1347.53002893744
629521,Telecommunications,Plat,No,b26p110,,1964/03/25 00:00:00+00,10265.6037469858,2073.18092221155
629522,Electric,Plat,No,b26p110,,1964/03/25 00:00:00+00,10262.7074149747,2073.23960177584
629528,Sanitary Sewer,Plat,No,b26p110,,1964/03/25 00:00:00+00,825.234590190713,205.627613002706
629529,Sanitary Sewer,Plat,No,b26p110,,1964/03/25 00:00:00+00,1382.62171920763,297.350812295034
629530,Water Distribution,Plat,No,b26p110,,1964/03/25 00:00:00+00,1382.62171920763,297.350812295034
629537,Electric,Plat,No,b26p110,,1964/03/25 00:00:00+00,9756.95745053218,1985.42811232845
629538,Electric,Plat,No,b26p110,,1964/03/25 00:00:00+00,18972.7127020074,3830.62694128897
629539,Telecommunications,Plat,No,b26p110,,1964/03/25 00:00:00+00,18972.7127020074,3830.62694128897
629546,General Utility,Plat,No,b26p110,,1964/03/25 00:00:00+00,70007.974013041,2455.23520235515
629547,General Utility,Plat,No,b26p110,,1964/03/25 00:00:00+00,27381.622307684,1455.62070110925
629548,Drainage,Plat,No,b26p110,,1964/03/25 00:00:00+00,70007.974013041,2455.23520235515
629549,Telecommunications,Plat,No, ,No additional filing information available,,6818.32288206828,1576.45804845136
629550,Electric,Plat,No, ,No additional filing information available,,7107.85273939977,2088.91808103204
629889,Water Distribution,Agreement,No,b299p196,,2022/12/16 00:00:00+00,3795.1698358257,364.504724095092
629890,Sanitary Sewer,Agreement,No,b299p197,,2022/12/16 00:00:00+00,5490.71952705461,389.172986705579
629891,Storm Sewer,Agreement,No,b299p198,,2022/12/16 00:00:00+00,827.028241329098,241.340382622762
629892,Drainage,Agreement,No,b299p198,,2022/12/16 00:00:00+00,827.028241329098,241.340382622762
629893,Electric,Agreement,No,b299p199,,2022/12/16 00:00:00+00,2762.09761658886,315.462062232283
629896,Mutual Access,Agreement,No,b299p203,,2022/12/16 00:00:00+00,26442.4412381749,998.458933756871
629897,Recreation,Plat,No,b299p204,,2022/12/16 00:00:00+00,183.874875350208,102.952337022998
629898,Recreation,Agreement,No,b299p204,,2022/12/16 00:00:00+00,1769.49180794681,478.554946011966
629901,Recreation,Agreement,No,b299p204,,2022/12/16 00:00:00+00,1038.61208619181,347.312385369207
629902,Recreation,Agreement,No,b299p202,,2022/12/16 00:00:00+00,647.14823864885,347.940240363732
629903,Recreation,Agreement,No,b299p201,,2022/12/16 00:00:00+00,2780.20070861524,407.294990592799
630289,General Utility,Plat,No,b84p370,,2022/12/21 00:00:00+00,1395.15947379353,324.238673388658
630291,Unknown Easement Type,Plat,No,,,,1751.9183538976,402.315578879127
630293,Bike Trail or Bike Path,Plat,No,b84p370,,2022/12/21 00:00:00+00,14984.0296775074,1446.50736060345
630691,General Utility,Plat,No,b84p370,,2022/12/21 00:00:00+00,3025.15516233035,625.234720683703
631091,Retaining Wall or Greenway Retention Wall,Agreement,No,b221p710,,1994/12/13 00:00:00+00,2124.43026130806,277.62049371021
631092,General Utility,Plat,No,b221p710,,1994/12/13 00:00:00+00,666.836311812556,108.681018997837
631095,Sidewalk and Utility,Plat,No,b56p88,,1994/04/25 00:00:00+00,883.525186800259,200.533990457593
