OBJECTID,PRECINCT,LEGISDIST,CONGDIST,SENDIST,COMMDIST,SCHOOLDIST,COUNDIST,FORMERPREC,COMMENTS,SHAPE_LENG,Shape_Length,Shape_Area
26,E177,32,3,20,A,7,18,E166p, ,0,9735.48097498229,3849387.23394908
27,O143,44,3,37,C,4,14,A115p/A138,SM/Dry,0,10298.1961733148,4618001.6193961
28,A113,28,3,37,C,4,14, , ,0,14686.7708517862,11759081.0901085
29,O141,44,3,37,C,4,14, ,NV,0,5424.46710993905,1130120.71374731
30,I146,37,3,38,B,7,13,B130, ,0,22066.4139416053,22946504.7047985
31,J141,38,3,38,C,5,13,B143p, ,0,65956.610115172,127956534.039895
32,H155,35,3,37,B,6,21,H134p, ,0,7219.91293390396,2878404.39232711
33,A129,28,3,10,C,5,14,B125p, ,0,28104.8357120305,14654371.2253734
34,A143,28,3,37,C,4,14,B179,SM,0,2149.70939675313,284196.503442942
35,H153,35,3,19,B,6,15,H114p,NV,0,8650.55172190077,4187584.84349479
36,K141,40,3,35,B,6,15,I104/K134p, ,0,22507.1101702681,14637939.3298151
37,I140,37,3,37,B,5,15,I110p,SM,0,8034.23204352812,1837076.33464828
38,J140,38,3,37,B,5,25,J117p, ,0,6811.03136318015,2303060.79053221
39,B134,29,3,38,B,7,22, , ,0,42953.6321145521,75513615.4940781
40,A115,28,3,37,C,4,14, ,pDry,0,15998.3830882362,13021706.3389731
41,J153,38,3,37,C,5,13,I129p, ,0,10609.1971974233,4993945.52000178
42,Q119,46,3,19,B,6,23, , ,0,31199.8892298192,37038085.1625552
43,Q126,46,3,19,B,6,23, , ,0,16132.6215184251,13019536.2718727
44,I130,37,3,37,C,5,13,I129p, ,0,27930.4160890226,26146503.4274318
45,Q115,46,3,19,B,6,23, , ,0,13249.8977255674,10004190.7716318
46,B169,29,3,38,B,6,23, , ,0,18775.2705054852,17686634.5739973
47,Q117,46,3,19,B,6,23, , ,0,16021.5260035557,11569565.71231
48,A126,28,3,37,C,4,25,A128p,Dry,0,18168.614019428,14331754.9613822
49,A114,28,3,37,C,4,14, , ,0,15052.7644781696,13363063.4873197
50,H144,35,3,35,B,5,24, , ,0,16800.8856379212,16150922.2513283
51,B158,29,3,38,B,7,22, , ,0,27242.1643515651,24241235.8021943
52,I150,37,3,35,B,5,13,H149, ,0,27119.8231293763,23192776.6132433
53,I138,37,3,37,B,5,13, ,SM,0,33931.0002330555,39586776.6322782
54,B162,29,3,38,B,7,22, , ,0,49006.1102669139,74381065.008563
55,B124,29,3,38,B,6,23, , ,0,13870.7991302981,10722734.9746003
56,J152,38,3,38,C,5,13,I125p, ,0,40963.1740005956,37033617.52913
57,I149,37,3,37,B,5,13,H140,NV,0,3553.6700006337,634842.57069423
58,Q132,46,3,19,B,6,23, , ,0,13063.5754430968,10274752.7742302
59,Q125,46,3,19,B,6,23, , ,0,17258.1738059907,17141522.802762
