X,Y,OBJECTID,ID1,ID2,REGION
-118.57481506,42.911004338,23524,LavaPlains_28,28,LavaPlains
-118.464132514,42.912634723,23525,LavaPlains_20,20,LavaPlains
-118.16523017,42.917275381,23526,LavaPlains_38,38,LavaPlains
-118.427279735,42.915032239,23527,LavaPlains_20,20,LavaPlains
-118.557801277,42.913813206,23528,LavaPlains_28,28,LavaPlains
-118.636412688,42.912877239,23529,LavaPlains_298,298,LavaPlains
-118.553985519,42.914509086,23530,LavaPlains_28,28,LavaPlains
-118.665995248,42.913335953,23531,LavaPlains_298,298,LavaPlains
-118.518762488,42.916269919,23532,LavaPlains_28,28,LavaPlains
-118.441792717,42.917426385,23533,LavaPlains_20,20,LavaPlains
-118.417816607,42.917886898,23534,LavaPlains_20,20,LavaPlains
-118.580660117,42.916880836,23535,LavaPlains_28,28,LavaPlains
-118.673853055,42.916360827,23536,LavaPlains_298,298,LavaPlains
-118.176730761,42.923034367,23537,LavaPlains_38,38,LavaPlains
-118.40036064,42.920919347,23538,LavaPlains_32,32,LavaPlains
-118.40649469,42.920924635,23539,LavaPlains_32,32,LavaPlains
-118.448764492,42.9204779,23540,LavaPlains_20,20,LavaPlains
-118.689231014,42.917986399,23541,LavaPlains_298,298,LavaPlains
-118.48515127,42.921380055,23542,LavaPlains_292,292,LavaPlains
-118.495354282,42.922052217,23543,LavaPlains_292,292,LavaPlains
-118.44706522,42.922753431,23544,LavaPlains_20,20,LavaPlains
-118.583723481,42.921024534,23545,LavaPlains_28,28,LavaPlains
-118.479484179,42.922580467,23546,LavaPlains_20,20,LavaPlains
-118.173077418,42.926774952,23547,LavaPlains_38,38,LavaPlains
-118.468343481,42.923931451,23548,LavaPlains_20,20,LavaPlains
-118.559674948,42.922964798,23549,LavaPlains_28,28,LavaPlains
-118.369580029,42.92579988,23550,LavaPlains_36,36,LavaPlains
-118.403428697,42.925792349,23551,LavaPlains_32,32,LavaPlains
-118.502462118,42.926064685,23552,LavaPlains_292,292,LavaPlains
-118.514310653,42.926794042,23553,LavaPlains_292,292,LavaPlains
-118.42530321,42.929064092,23554,LavaPlains_20,20,LavaPlains
-118.562753513,42.927752856,23555,LavaPlains_28,28,LavaPlains
-118.446349237,42.929605081,23556,LavaPlains_20,20,LavaPlains
-118.617085374,42.927642085,23557,LavaPlains_291,291,LavaPlains
-118.171345153,42.933635342,23558,LavaPlains_38,38,LavaPlains
-118.54405966,42.929294597,23559,LavaPlains_28,28,LavaPlains
-118.396875731,42.931507601,23560,LavaPlains_32,32,LavaPlains
-118.623697947,42.929158475,23561,LavaPlains_291,291,LavaPlains
-118.468519384,42.931335294,23562,LavaPlains_20,20,LavaPlains
-118.441186234,42.933695264,23563,LavaPlains_20,20,LavaPlains
-118.631203904,42.931305757,23564,LavaPlains_291,291,LavaPlains
-118.461019612,42.933846308,23565,LavaPlains_20,20,LavaPlains
-118.17086457,42.937182334,23566,LavaPlains_38,38,LavaPlains
-118.539813522,42.93474536,23567,LavaPlains_28,28,LavaPlains
