X,Y,Incident_Date,Latitude,Longitude,Incident_Type,Department_Apparatus_Name,ObjectId
-8799120.01914499,4287072.25179619,2018/05/01 00:00:00+00,35.90147,-79.04384,611 - Dispatched & cancelled en route,Engine 32,79
-8800208.72376495,4289683.67750399,2018/05/01 00:00:00+00,35.92047,-79.05362,"440 - Electrical  wiring/equipment problem, other",Battalion 11,80
-8801520.06736649,4284314.44234493,2018/01/09 00:00:00+00,35.8814,-79.0654,"745 - Alarm system activation, no fire - unintentional",Battalion 11,81
-8800264.38351034,4287213.80248374,2018/05/02 00:00:00+00,35.9025,-79.05412,353 - Removal of victim(s) from stalled elevator,Engine 35,82
-8799625.40963319,4288219.82743335,2018/05/02 00:00:00+00,35.90982,-79.04838,622 - No incident found on arrival at dispatch address,Engine 32,83
-8799860.29375876,4288153.85573298,2018/05/02 00:00:00+00,35.90934,-79.05049,412 - Gas leak (natural gas or LPG),Battalion 11,84
-8799312.60186406,4287825.37759879,2018/05/02 00:00:00+00,35.90695,-79.04557,353 - Removal of victim(s) from stalled elevator,Engine 32,85
-8800056.21606256,4295309.99529447,2018/01/09 00:00:00+00,35.96139,-79.05225,731 - Sprinkler activation due to malfunction,Engine 32,86
-8797088.43843801,4290414.98910928,2018/05/02 00:00:00+00,35.92579,-79.02559,611 - Dispatched & cancelled en route,Reserve 33,87
-8796068.75190235,4293284.35027494,2018/05/02 00:00:00+00,35.94666,-79.01643,111 - Building fire,Battalion 11,88
-8801091.48732694,4288546.94302647,2018/05/02 00:00:00+00,35.9122,-79.06155,353 - Removal of victim(s) from stalled elevator,Engine 31,89
-8796941.49671016,4291694.90281891,2018/05/03 00:00:00+00,35.9351,-79.02427,611 - Dispatched & cancelled en route,Truck 74,90
-8805057.8007839,4289241.06542946,2018/05/03 00:00:00+00,35.91725,-79.09718,"400 - Hazardous condition, other",Engine 35,91
-8793774.4571971,4292353.47783887,2018/01/09 00:00:00+00,35.93989,-78.99582,111 - Building fire,Battalion 11,92
-8799776.80414067,4289147.59686087,2018/05/03 00:00:00+00,35.91657,-79.04974,"400 - Hazardous condition, other",Engine 31,93
-8800313.36408629,4287496.90938553,2018/05/03 00:00:00+00,35.90456,-79.05456,131 - Passenger vehicle fire,Battalion 11,94
-8800210.95015476,4290203.28858525,2018/05/03 00:00:00+00,35.92425,-79.05364,322 - Motor vehicle accident with injuries,Engine 31,95
-8800214.28973949,4295089.94767663,2018/05/03 00:00:00+00,35.95979,-79.05367,"240 - Explosion (no fire), other",Battalion 11,96
-8799144.50943296,4286602.26175464,2018/05/03 00:00:00+00,35.89805,-79.04406,"743 - Smoke detector activation, no fire - unintentional",Engine 32,97
-8801569.04794244,4288688.51290964,2018/05/04 00:00:00+00,35.91323,-79.06584,"651 - Smoke scare, odor of smoke",Engine 31,98
-8800019.4806306,4287476.29455654,2018/05/04 00:00:00+00,35.90441,-79.05192,"745 - Alarm system activation, no fire - unintentional",Engine 31,99
-8800019.4806306,4287476.29455654,2018/05/04 00:00:00+00,35.90441,-79.05192,611 - Dispatched & cancelled en route,Engine 31,100
-8795458.7210928,4293689.99910591,2018/05/04 00:00:00+00,35.94961,-79.01095,611 - Dispatched & cancelled en route,Reserve 33,101
-8800283.30782378,4295655.20397784,2018/05/04 00:00:00+00,35.9639,-79.05429,"651 - Smoke scare, odor of smoke",Battalion 11,102
-8795567.81419378,4293742.25327682,2018/05/04 00:00:00+00,35.94999,-79.01193,"743 - Smoke detector activation, no fire - unintentional",Battalion 11,103
-8798937.45518009,4287120.35133775,2018/05/04 00:00:00+00,35.90182,-79.0422,"743 - Smoke detector activation, no fire - unintentional",Battalion 11,104
-8798857.30514672,4286644.86235423,2018/05/04 00:00:00+00,35.89836,-79.04148,"743 - Smoke detector activation, no fire - unintentional",Engine 32,105
-8796300.2964432,4291604.16283375,2018/05/05 00:00:00+00,35.93444,-79.01851,"651 - Smoke scare, odor of smoke",Battalion 11,106
-8795446.47594881,4287665.95245715,2018/01/09 00:00:00+00,35.90579,-79.01084,"745 - Alarm system activation, no fire - unintentional",Engine 31,107
-8799935.9910125,4288107.1260207,2018/05/05 00:00:00+00,35.909,-79.05117,"140 - Natural vegetation fire, other",Engine 31,108
-8801417.65343496,4288424.61713603,2018/05/05 00:00:00+00,35.91131,-79.06448,322 - Motor vehicle accident with injuries,Battalion 11,109
-8798937.45518009,4287120.35133775,2018/05/05 00:00:00+00,35.90182,-79.0422,"745 - Alarm system activation, no fire - unintentional",Engine 32,110
-8800019.4806306,4287476.29455654,2018/05/05 00:00:00+00,35.90441,-79.05192,611 - Dispatched & cancelled en route,Battalion 11,111
-8799410.56301596,4287205.55676209,2018/05/05 00:00:00+00,35.90244,-79.04645,"745 - Alarm system activation, no fire - unintentional",Battalion 11,112
-8801490.01110398,4284216.89437244,2018/05/05 00:00:00+00,35.88069,-79.06513,412 - Gas leak (natural gas or LPG),Battalion 11,113
-8802036.58980377,4293586.86661137,2018/05/05 00:00:00+00,35.94886,-79.07004,553 - Public service,Engine 34,114
-8801046.95953062,4288354.52089764,2018/05/06 00:00:00+00,35.9108,-79.06115,611 - Dispatched & cancelled en route,Engine 31,115
-8798055.80481301,4290897.51675051,2018/01/03 00:00:00+00,35.9293,-79.03428,611 - Dispatched & cancelled en route,Engine 33,116
-8800689.62396517,4288086.510035,2018/01/10 00:00:00+00,35.90885,-79.05794,611 - Dispatched & cancelled en route,Battalion 11,117
-8800091.83829962,4287638.46559995,2018/05/06 00:00:00+00,35.90559,-79.05257,"745 - Alarm system activation, no fire - unintentional",Battalion 11,118
-8802383.90661505,4293529.11284206,2018/05/06 00:00:00+00,35.94844,-79.07316,"140 - Natural vegetation fire, other",Engine 34,119
-8801869.61056758,4284218.26828147,2018/05/06 00:00:00+00,35.8807,-79.06854,"745 - Alarm system activation, no fire - unintentional",Engine 32,120
-8797213.97342778,4290662.024089,2018/04/28 00:00:00+00,35.927587,-79.0267177,553 - Public service,Pub Ed,121
-8799667.71103969,4285827.23481146,2018/05/07 00:00:00+00,35.89241,-79.04876,"600 - Good intent call, other",Engine 35,122
-8800803.16984578,4293650.12109193,2018/05/07 00:00:00+00,35.94932,-79.05896,"745 - Alarm system activation, no fire - unintentional",Battalion 11,123
-8795204.91265379,4291719.65021907,2018/05/07 00:00:00+00,35.93528,-79.00867,"550 - Public service assistance, other",Truck 74,124
-8796575.25558545,4287873.48047117,2018/05/07 00:00:00+00,35.9073,-79.02098,324 - Motor vehicle accident with no injuries.,Engine 35,125
-8800123.00775704,4290056.20038872,2018/05/07 00:00:00+00,35.92318,-79.05285,"700 - False alarm or false call, other",Engine 31,126
-8799392.75189743,4295464.03127959,2018/05/07 00:00:00+00,35.96251,-79.04629,444 - Power line down,Engine 34,127
-8799338.20534694,4287348.48348892,2018/05/08 00:00:00+00,35.90348,-79.0458,"745 - Alarm system activation, no fire - unintentional",Engine 32,128
-8800700.75591425,4293559.36477817,2018/05/08 00:00:00+00,35.94866,-79.05804,733 - Smoke detector activation due to malfunction,Engine 31,129
-8797321.09617377,4289972.34726081,2018/05/08 00:00:00+00,35.92257,-79.02768,"745 - Alarm system activation, no fire - unintentional",Engine 32,130
-8798920.75725647,4288267.93205051,2018/05/08 00:00:00+00,35.91017,-79.04205,"600 - Good intent call, other",Battalion 11,131
-8799767.89858141,4288703.63213231,2018/05/08 00:00:00+00,35.91334,-79.04966,"745 - Alarm system activation, no fire - unintentional",Battalion 11,132
-8799767.89858141,4288703.63213231,2018/05/08 00:00:00+00,35.91334,-79.04966,"745 - Alarm system activation, no fire - unintentional",Engine 31,133
-8800019.4806306,4287476.29455654,2018/05/08 00:00:00+00,35.90441,-79.05192,322 - Motor vehicle accident with injuries,Engine 31,134
-8799120.01914499,4287072.25179619,2018/05/08 00:00:00+00,35.90147,-79.04384,"743 - Smoke detector activation, no fire - unintentional",Engine 32,135
-8799470.67554099,4291858.51167633,2018/01/02 00:00:00+00,35.93629,-79.04699,412 - Gas leak (natural gas or LPG),Battalion 11,136
-8800366.4857473,4295032.51598198,2018/01/07 00:00:00+00,35.9593724,-79.0550372,553 - Public service,Engine 34,137
-8796569.68961092,4291820.015253,2018/03/12 00:00:00+00,35.93601,-79.02093,"600 - Good intent call, other",Reserve 33,138
-8799758.99302214,4288284.42511109,2018/03/12 00:00:00+00,35.91029,-79.04958,"745 - Alarm system activation, no fire - unintentional",Battalion 11,139
-8800705.20869389,4288790.22444893,2018/03/12 00:00:00+00,35.91397,-79.05808,671 - HazMat release investigation w/no HazMat,Engine 31,140
-8795940.73448793,4293309.10129517,2018/03/13 00:00:00+00,35.94684,-79.01528,424 - Carbon monoxide incident,FR81,141
-8798358.59382796,4286592.6422875,2018/03/13 00:00:00+00,35.89798,-79.037,611 - Dispatched & cancelled en route,Engine 32,142
-8801025.80882737,4286104.80903688,2018/03/13 00:00:00+00,35.89443,-79.06096,322 - Motor vehicle accident with injuries,Engine 35,143
-8797892.16516154,4286859.2420974,2018/01/07 00:00:00+00,35.89992,-79.03281,"745 - Alarm system activation, no fire - unintentional",Truck 74,144
-8800302.23213721,4288945.54255409,2018/03/13 00:00:00+00,35.9151,-79.05446,"743 - Smoke detector activation, no fire - unintentional",Engine 31,145
-8799457.31720209,4293692.74931917,2018/03/13 00:00:00+00,35.94963,-79.04687,611 - Dispatched & cancelled en route,Battalion 11,146
-8802186.87111634,4290052.07644928,2018/03/13 00:00:00+00,35.92315,-79.07139,"463 - Vehicle accident, general cleanup",Engine 31,147
-8799860.29375876,4288153.85573298,2018/03/13 00:00:00+00,35.90934,-79.05049,641 - Vicinity alarm (incident in other location),Battalion 11,148
-8799312.60186406,4287825.37759879,2018/03/13 00:00:00+00,35.90695,-79.04557,412 - Gas leak (natural gas or LPG),Battalion 11,149
-8800258.8175358,4290313.26236889,2018/03/13 00:00:00+00,35.92505,-79.05407,"463 - Vehicle accident, general cleanup",Engine 31,150
-8800323.38284046,4292467.59823557,2018/03/13 00:00:00+00,35.94072,-79.05465,611 - Dispatched & cancelled en route,Engine 34,151
-8800819.02174127,4295629.30606922,2018/03/13 00:00:00+00,35.9637117,-79.0591024,553 - Public service,Engine 32,152
-8801576.8403068,4284057.5221015,2018/01/07 00:00:00+00,35.87953,-79.06591,"745 - Alarm system activation, no fire - unintentional",Engine 35,153
-8799357.12966038,4288163.47658102,2018/03/14 00:00:00+00,35.90941,-79.04597,735 - Alarm system sounded due to malfunction,Battalion 11,154
-8799361.58244001,4287422.69618403,2018/03/14 00:00:00+00,35.90402,-79.04601,"745 - Alarm system activation, no fire - unintentional",Battalion 11,155
-8797602.73448548,4291674.28002848,2018/03/14 00:00:00+00,35.93495,-79.03021,553 - Public service,Truck 74,156
-8795387.47661869,4293911.39350081,2018/01/07 00:00:00+00,35.95122,-79.01031,522 - Water or steam leak,Engine 33,157
-8801099.2796913,4289001.89745936,2018/03/14 00:00:00+00,35.91551,-79.06162,611 - Dispatched & cancelled en route,Engine 31,158
-8797513.67889284,4292039.99665168,2018/03/14 00:00:00+00,35.93761,-79.02941,"550 - Public service assistance, other",Battalion 11,159
-8797712.94078136,4287631.59389651,2018/03/14 00:00:00+00,35.90554,-79.0312,324 - Motor vehicle accident with no injuries.,Engine 32,160
-8801373.12563865,4287980.68192363,2018/03/15 00:00:00+00,35.90808,-79.06408,"745 - Alarm system activation, no fire - unintentional",Engine 31,161
-8795188.21473017,4289785.39835322,2018/03/15 00:00:00+00,35.92121,-79.00852,731 - Sprinkler activation due to malfunction,Engine 32,162
-8801812.83762728,4286890.84972462,2018/03/15 00:00:00+00,35.90015,-79.06803,551 - Assist police or other governmental agency,Engine 35,163
-8797620.545604,4290526.33974075,2018/03/15 00:00:00+00,35.9266,-79.03037,611 - Dispatched & cancelled en route,Reserve 33,164
-8800384.6085604,4288085.13563734,2018/03/15 00:00:00+00,35.90884,-79.0552,"745 - Alarm system activation, no fire - unintentional",Engine 31,165
-8798425.38552244,4291078.98567953,2018/03/15 00:00:00+00,35.93062,-79.0376,622 - No incident found on arrival at dispatch address,Engine 31,166
-8797885.48599209,4287064.00618184,2018/03/15 00:00:00+00,35.90141,-79.03275,322 - Motor vehicle accident with injuries,Engine 35,167
-8799950.46254631,4288195.08799881,2018/03/16 00:00:00+00,35.90964,-79.0513,"745 - Alarm system activation, no fire - unintentional",Engine 31,168
-8796686.57507625,4281455.68766454,2018/03/16 00:00:00+00,35.86059,-79.02198,611 - Dispatched & cancelled en route,Battalion 11,169
-8801330.82423214,4284291.08570852,2018/01/07 00:00:00+00,35.88123,-79.0637,731 - Sprinkler activation due to malfunction,Battalion 11,170
-8797665.07340032,4291895.63335655,2018/03/16 00:00:00+00,35.93656,-79.03077,553 - Public service,Reserve 33,171
-8795021.23549398,4290676.18374877,2018/03/16 00:00:00+00,35.92769,-79.00702,"550 - Public service assistance, other",Truck 74,172
-8800403.53287384,4286879.85575691,2018/03/17 00:00:00+00,35.90007,-79.05537,"745 - Alarm system activation, no fire - unintentional",Engine 31,173
-8802240.30447192,4297285.12227008,2018/03/17 00:00:00+00,35.97575,-79.07187,553 - Public service,Engine 31,174
