State,Zip Code,2017,2018,2019,2020,2021,2022,2023,Unnamed: 9
Alabama (AL),35283,*,*,*,*,*,*,*,
Alabama (AL),35285,*,*,*,*,*,*,*,
Alabama (AL),35287,*,*,*,*,*,*,*,
Alabama (AL),35288,*,*,*,*,*,*,*,
Alabama (AL),35290,*,*,*,*,*,*,*,
Alabama (AL),35291,*,*,*,*,*,*,*,
Alabama (AL),35292,*,*,*,*,*,*,*,
Alabama (AL),35293,*,*,*,*,*,*,*,
Alabama (AL),35294,*,*,*,*,*,*,*,
Alabama (AL),35295,*,*,*,*,*,*,*,
Alabama (AL),35296,*,*,*,*,*,*,*,
Alabama (AL),35297,*,*,*,*,*,*,*,
Alabama (AL),35298,*,*,*,*,*,*,*,
Alabama (AL),35401,146,144,124,114,77,102,82,
Alabama (AL),35402,*,*,*,*,*,*,*,
Alabama (AL),35403,13,*,*,*,*,*,*,
Alabama (AL),35404,99,91,76,78,66,61,59,
Alabama (AL),35405,191,177,167,135,140,113,99,
Alabama (AL),35406,83,90,60,56,54,53,47,
Alabama (AL),35407,*,*,*,*,*,*,*,
Alabama (AL),35440,*,*,*,*,*,*,*,
Alabama (AL),35441,*,*,*,*,*,*,*,
Alabama (AL),35442,37,29,33,18,12,16,12,
Alabama (AL),35443,*,*,12,14,*,*,*,
Alabama (AL),35444,*,24,17,*,*,*,12,
Alabama (AL),35446,12,*,*,*,*,*,*,
Alabama (AL),35447,33,16,23,16,21,17,*,
Alabama (AL),35448,*,*,*,*,*,*,*,
Alabama (AL),35449,*,*,*,*,*,*,*,
Alabama (AL),35452,28,30,16,20,20,20,19,
Alabama (AL),35453,74,59,53,59,52,37,26,
Alabama (AL),35456,28,28,23,26,27,15,11,
Alabama (AL),35457,*,*,*,*,*,*,*,
Alabama (AL),35458,*,*,*,*,*,*,*,
Alabama (AL),35459,*,*,*,*,*,*,*,
Alabama (AL),35460,*,*,*,*,*,*,*,
Alabama (AL),35461,18,18,20,*,*,*,*,
Alabama (AL),35462,40,35,37,22,21,21,19,
Alabama (AL),35463,*,12,*,*,*,*,*,
Alabama (AL),35464,*,*,*,*,*,*,*,
Alabama (AL),35466,45,39,38,34,34,32,18,
Alabama (AL),35468,*,*,*,*,*,*,*,
Alabama (AL),35469,*,*,*,*,*,*,*,
Alabama (AL),35470,25,20,17,20,14,16,12,
Alabama (AL),35471,*,*,*,*,*,*,*,
Alabama (AL),35473,117,107,79,74,76,56,62,
Alabama (AL),35474,37,33,36,25,27,23,19,
Alabama (AL),35475,75,71,79,66,52,48,48,
Alabama (AL),35476,45,47,52,29,32,27,26,
Alabama (AL),35477,*,*,*,*,*,*,*,
Alabama (AL),35478,*,*,*,*,*,*,*,
Alabama (AL),35480,*,*,*,*,*,*,*,
Alabama (AL),35481,37,27,28,17,19,25,17,
Alabama (AL),35482,*,*,*,*,*,*,*,
Alabama (AL),35485,*,*,*,*,*,*,*,
Alabama (AL),35486,*,*,*,*,*,*,*,
Alabama (AL),35487,*,*,*,*,*,*,*,
Alabama (AL),35490,20,14,17,14,*,*,*,
Alabama (AL),35491,*,*,*,*,*,*,*,
Alabama (AL),35501,46,47,43,49,49,28,22,
Alabama (AL),35502,20,18,*,22,*,11,*,
Alabama (AL),35503,79,54,40,35,41,33,30,
Alabama (AL),35504,78,85,76,63,53,46,38,
Alabama (AL),35540,22,20,*,13,18,13,12,
Alabama (AL),35541,26,28,26,17,13,17,20,
Alabama (AL),35542,*,*,*,12,*,*,*,
Alabama (AL),35543,11,*,*,*,*,*,*,
Alabama (AL),35544,*,*,*,*,*,*,*,
Alabama (AL),35545,*,*,*,*,*,*,*,
