State,Zip Code,2017,2018,2019,2020,2021,2022,2023,Unnamed: 9
Alaska (AK),99824,*,16,14,12,15,*,13,
Alaska (AK),99825,*,*,*,*,*,*,*,
Alaska (AK),99826,*,*,14,*,*,*,*,
Alaska (AK),99827,17,27,29,17,25,16,11,
Alaska (AK),99829,*,*,*,*,*,*,*,
Alaska (AK),99830,*,*,*,*,*,*,*,
Alaska (AK),99832,*,*,*,*,*,*,*,
Alaska (AK),99833,45,24,28,22,18,37,21,
Alaska (AK),99835,60,60,65,61,50,38,37,
Alaska (AK),99836,*,*,*,*,*,*,*,
Alaska (AK),99840,*,*,*,*,*,*,*,
Alaska (AK),99841,*,*,*,*,*,*,*,
Alaska (AK),99850,*,*,*,*,*,*,*,
Alaska (AK),99901,80,104,91,72,62,51,57,
Alaska (AK),99903,*,*,*,*,*,*,*,
Alaska (AK),99918,*,*,*,*,*,*,*,
Alaska (AK),99919,*,*,*,*,*,*,*,
Alaska (AK),99921,14,*,*,*,*,*,*,
Alaska (AK),99922,*,*,*,*,*,*,*,
Alaska (AK),99923,*,*,*,*,*,*,*,
Alaska (AK),99925,*,*,*,*,*,*,*,
Alaska (AK),99926,12,*,*,*,*,*,*,
Alaska (AK),99927,*,*,*,*,*,*,*,
Alaska (AK),99928,11,14,*,*,*,*,12,
Alaska (AK),99929,24,27,29,22,18,15,17,
Alaska (AK),99950,*,*,*,*,*,*,*,
Alaska (AK),TOTAL,"4,028","3,963","3,764","3,202","3,060","2,765","2,301",
Arizona (AZ),85001,*,*,*,*,*,*,*,
Arizona (AZ),85002,*,*,*,*,*,*,*,
Arizona (AZ),85003,25,20,16,21,18,13,14,
Arizona (AZ),85004,15,19,21,12,12,12,*,
Arizona (AZ),85005,*,*,*,*,*,*,*,
Arizona (AZ),85006,45,44,39,29,29,26,24,
Arizona (AZ),85007,37,40,20,21,25,14,20,
Arizona (AZ),85008,95,95,86,59,49,52,35,
Arizona (AZ),85009,90,84,65,52,69,58,32,
Arizona (AZ),85010,*,*,*,*,*,*,*,
Arizona (AZ),85011,*,*,*,*,*,*,*,
Arizona (AZ),85012,31,32,31,18,24,12,19,
Arizona (AZ),85013,82,58,56,33,41,49,30,
Arizona (AZ),85014,74,56,67,56,57,44,29,
Arizona (AZ),85015,96,87,84,69,48,42,57,
Arizona (AZ),85016,144,116,135,101,107,77,75,
Arizona (AZ),85017,60,65,68,26,33,31,29,
Arizona (AZ),85018,163,158,146,125,107,91,67,
Arizona (AZ),85019,72,55,45,35,36,33,19,
Arizona (AZ),85020,212,176,144,133,117,120,86,
Arizona (AZ),85021,154,156,130,113,97,105,83,
Arizona (AZ),85022,230,211,201,137,141,129,101,
Arizona (AZ),85023,126,112,123,103,85,73,63,
Arizona (AZ),85024,80,64,82,55,52,38,38,
Arizona (AZ),85025,*,*,*,*,*,*,*,
Arizona (AZ),85026,*,*,*,*,*,*,*,
Arizona (AZ),85027,85,101,102,81,84,52,59,
Arizona (AZ),85028,135,155,117,116,86,79,67,
Arizona (AZ),85029,167,190,142,126,107,83,85,
Arizona (AZ),85030,*,*,*,*,*,*,*,
Arizona (AZ),85031,64,51,45,36,45,30,28,
Arizona (AZ),85032,275,242,224,163,161,142,125,
Arizona (AZ),85033,89,97,81,71,56,50,56,
Arizona (AZ),85034,16,13,*,16,*,*,13,
Arizona (AZ),85035,58,52,62,61,40,31,19,
Arizona (AZ),85036,*,*,*,*,*,*,*,
Arizona (AZ),85037,74,75,63,55,55,39,38,
Arizona (AZ),85038,*,*,*,*,*,*,*,
Arizona (AZ),85039,*,*,*,*,*,*,*,
Arizona (AZ),85040,58,60,46,36,40,36,30,
Arizona (AZ),85041,108,128,99,78,79,67,57,
Arizona (AZ),85042,117,112,93,76,65,57,56,
Arizona (AZ),85043,45,25,33,28,29,28,13,
Arizona (AZ),85044,188,182,156,131,109,113,89,
Arizona (AZ),85045,26,16,18,13,16,19,*,
Arizona (AZ),85046,*,*,*,*,*,*,*,
Arizona (AZ),85048,118,103,79,76,71,80,50,
Arizona (AZ),85050,165,111,123,136,84,102,71,
Arizona (AZ),85051,127,121,127,103,90,68,55,
Arizona (AZ),85053,106,124,106,74,76,54,48,
Arizona (AZ),85054,25,24,22,27,30,28,29,
Arizona (AZ),85060,*,*,*,*,*,*,*,
Arizona (AZ),85061,*,*,*,*,*,*,*,
Arizona (AZ),85062,*,*,*,*,*,*,*,
Arizona (AZ),85063,13,*,*,*,*,*,*,
Arizona (AZ),85064,*,12,15,*,*,*,*,
Arizona (AZ),85065,*,*,*,*,*,*,*,
Arizona (AZ),85066,14,*,*,*,*,*,*,
Arizona (AZ),85067,*,*,*,*,*,*,*,
Arizona (AZ),85068,11,*,*,*,*,*,*,
Arizona (AZ),85069,*,*,*,*,*,*,*,
Arizona (AZ),85070,*,*,*,*,*,*,*,
Arizona (AZ),85071,*,*,*,*,*,*,*,
Arizona (AZ),85072,*,*,*,*,*,*,*,
Arizona (AZ),85073,*,*,*,*,*,*,*,
Arizona (AZ),85074,*,*,*,*,*,*,*,
Arizona (AZ),85075,*,*,*,*,*,*,*,
Arizona (AZ),85076,*,*,*,*,*,*,*,
Arizona (AZ),85078,*,*,*,*,*,*,*,
Arizona (AZ),85079,*,*,*,*,*,*,*,
Arizona (AZ),85080,11,*,*,*,*,*,*,
Arizona (AZ),85082,*,*,*,*,*,*,*,
Arizona (AZ),85083,68,48,49,41,41,49,27,
Arizona (AZ),85085,52,49,50,47,46,46,32,
Arizona (AZ),85086,187,176,183,158,138,131,102,
Arizona (AZ),85087,54,44,45,37,30,39,26,
Arizona (AZ),85097,*,*,*,*,*,*,*,
Arizona (AZ),85098,*,*,*,*,*,*,*,
Arizona (AZ),85117,22,21,13,16,13,*,15,
Arizona (AZ),85118,173,164,171,136,122,145,97,
Arizona (AZ),85119,222,185,179,171,142,145,107,
Arizona (AZ),85120,282,240,224,234,192,183,142,
Arizona (AZ),85121,*,*,*,*,*,*,*,
Arizona (AZ),85122,267,270,282,200,216,184,155,
Arizona (AZ),85123,73,68,68,52,58,43,39,
Arizona (AZ),85127,*,*,*,*,*,*,*,
Arizona (AZ),85128,59,63,69,43,49,32,37,
Arizona (AZ),85130,26,12,19,16,12,16,*,
Arizona (AZ),85131,45,49,54,52,30,31,32,
Arizona (AZ),85132,138,137,125,124,110,110,78,
Arizona (AZ),85135,*,*,*,*,*,*,*,
Arizona (AZ),85137,19,15,15,*,11,13,12,
Arizona (AZ),85138,102,111,121,138,102,93,79,
Arizona (AZ),85139,44,55,68,44,36,40,27,
Arizona (AZ),85140,97,110,105,105,107,71,68,
Arizona (AZ),85141,*,*,*,*,*,*,*,
Arizona (AZ),85142,162,170,181,149,165,127,118,
Arizona (AZ),85143,130,118,100,90,95,84,71,
Arizona (AZ),85145,*,13,*,12,12,*,*,
Arizona (AZ),85147,11,17,12,13,*,*,*,
Arizona (AZ),85172,*,11,*,*,*,*,*,
Arizona (AZ),85173,25,22,27,16,21,13,*,
Arizona (AZ),85178,*,13,11,*,*,*,*,
Arizona (AZ),85190,*,*,*,*,*,*,*,
Arizona (AZ),85191,*,*,*,*,*,*,*,
Arizona (AZ),85192,*,14,*,*,*,*,*,
Arizona (AZ),85193,18,15,*,11,*,*,12,
Arizona (AZ),85194,56,66,40,58,43,48,48,
Arizona (AZ),85201,158,137,129,101,83,90,75,
Arizona (AZ),85202,137,131,99,87,83,65,61,
Arizona (AZ),85203,125,115,95,97,75,72,64,
Arizona (AZ),85204,173,168,162,131,99,96,83,
Arizona (AZ),85205,341,337,282,257,231,211,172,
Arizona (AZ),85206,364,336,301,270,249,207,195,
Arizona (AZ),85207,216,253,210,191,195,163,138,
Arizona (AZ),85208,293,292,254,211,203,154,146,
Arizona (AZ),85209,353,323,307,272,282,229,197,
Arizona (AZ),85210,85,85,76,43,56,38,36,
Arizona (AZ),85211,*,13,*,*,*,*,*,
Arizona (AZ),85212,84,84,98,82,83,74,56,
Arizona (AZ),85213,187,144,155,136,132,104,78,
Arizona (AZ),85214,*,*,*,*,*,*,*,
Arizona (AZ),85215,204,157,158,136,141,118,75,
Arizona (AZ),85216,11,*,11,11,*,*,*,
Arizona (AZ),85224,177,149,147,108,83,96,83,
Arizona (AZ),85225,176,164,153,128,132,108,100,
Arizona (AZ),85226,115,92,112,75,66,60,49,
Arizona (AZ),85233,126,124,112,92,85,67,51,
Arizona (AZ),85234,169,145,145,125,109,94,94,
Arizona (AZ),85236,*,*,*,*,*,*,*,
Arizona (AZ),85244,*,*,*,*,*,*,*,
Arizona (AZ),85246,*,*,*,*,*,*,*,
Arizona (AZ),85248,512,499,462,362,359,307,272,
Arizona (AZ),85249,230,202,190,174,145,136,124,
Arizona (AZ),85250,142,127,121,104,93,90,52,
Arizona (AZ),85251,207,206,191,188,160,101,92,
Arizona (AZ),85252,*,11,16,11,*,*,*,
Arizona (AZ),85253,121,133,135,110,101,76,78,
Arizona (AZ),85254,270,252,250,206,196,179,130,
Arizona (AZ),85255,305,299,286,270,232,213,191,
Arizona (AZ),85256,18,18,*,*,*,*,*,
Arizona (AZ),85257,192,177,151,107,95,91,77,
Arizona (AZ),85258,255,257,222,190,155,166,135,
Arizona (AZ),85259,135,140,135,112,91,92,65,
Arizona (AZ),85260,222,253,215,195,164,144,140,
Arizona (AZ),85261,*,11,*,*,*,*,*,
Arizona (AZ),85262,105,104,100,89,65,66,68,
Arizona (AZ),85263,39,39,44,38,33,32,25,
Arizona (AZ),85264,*,*,*,*,*,*,*,
Arizona (AZ),85266,124,110,121,88,103,84,79,
Arizona (AZ),85267,11,11,11,*,*,*,*,
Arizona (AZ),85268,245,272,237,216,175,152,176,
Arizona (AZ),85269,11,16,15,18,14,*,*,
Arizona (AZ),85271,*,*,*,*,*,*,*,
Arizona (AZ),85274,*,*,*,*,*,*,*,
Arizona (AZ),85275,*,*,*,*,*,*,*,
Arizona (AZ),85277,11,*,11,*,*,*,*,
Arizona (AZ),85280,*,*,*,*,*,*,*,
Arizona (AZ),85281,82,75,68,61,65,51,25,
Arizona (AZ),85282,233,201,201,163,147,135,104,
Arizona (AZ),85283,159,168,119,125,105,92,78,
Arizona (AZ),85284,88,73,84,66,54,53,32,
Arizona (AZ),85285,*,*,*,*,*,*,*,
Arizona (AZ),85286,99,89,81,75,57,56,60,
Arizona (AZ),85287,*,*,*,*,*,*,*,
Arizona (AZ),85288,*,*,*,*,*,*,15,
Arizona (AZ),85295,68,64,81,58,59,55,55,
Arizona (AZ),85296,100,117,107,85,85,73,73,
Arizona (AZ),85297,57,60,59,46,36,49,44,
Arizona (AZ),85298,130,125,142,124,123,82,81,
Arizona (AZ),85299,13,14,*,*,*,*,*,
Arizona (AZ),85301,123,144,111,72,94,54,61,
Arizona (AZ),85302,150,183,145,133,104,95,77,
Arizona (AZ),85303,64,62,60,63,50,31,27,
Arizona (AZ),85304,128,116,104,102,96,79,66,
Arizona (AZ),85305,26,23,30,14,25,18,14,
Arizona (AZ),85306,124,119,95,84,70,62,60,
Arizona (AZ),85307,26,22,19,17,17,16,15,
Arizona (AZ),85308,266,258,241,204,198,143,155,
Arizona (AZ),85309,*,*,*,*,*,*,*,
Arizona (AZ),85310,76,62,69,56,46,44,31,
Arizona (AZ),85311,*,*,11,*,*,*,*,
Arizona (AZ),85312,*,*,*,*,*,*,*,
Arizona (AZ),85318,18,*,*,*,*,*,*,
Arizona (AZ),85320,*,*,*,*,*,*,*,
Arizona (AZ),85321,31,49,27,36,24,19,17,
Arizona (AZ),85322,*,*,*,*,*,*,*,
Arizona (AZ),85323,66,59,66,42,44,27,40,
Arizona (AZ),85324,22,34,18,15,15,18,18,
Arizona (AZ),85325,16,26,13,20,11,16,14,
Arizona (AZ),85326,166,166,125,162,128,106,105,
Arizona (AZ),85327,30,27,30,30,27,12,13,
Arizona (AZ),85328,*,*,*,*,*,*,*,
Arizona (AZ),85329,*,14,11,*,*,*,*,
Arizona (AZ),85331,175,147,139,155,112,117,91,
Arizona (AZ),85332,39,38,29,35,37,22,21,
Arizona (AZ),85333,*,*,*,*,*,*,*,
Arizona (AZ),85334,*,*,*,*,*,*,*,
Arizona (AZ),85335,95,81,72,59,51,47,44,
Arizona (AZ),85336,*,*,*,*,*,*,*,
Arizona (AZ),85337,*,*,*,*,*,*,*,
Arizona (AZ),85338,155,167,140,143,123,123,99,
Arizona (AZ),85339,71,68,84,66,58,43,48,
Arizona (AZ),85340,125,132,122,105,104,82,80,
Arizona (AZ),85341,*,*,*,*,*,*,*,
Arizona (AZ),85342,24,15,17,*,*,17,12,
Arizona (AZ),85343,*,*,*,*,*,*,*,
Arizona (AZ),85344,77,64,73,54,42,40,37,
Arizona (AZ),85345,205,220,196,156,136,109,112,
Arizona (AZ),85346,41,32,28,36,38,26,14,
Arizona (AZ),85347,*,*,*,*,*,*,*,
Arizona (AZ),85348,48,29,41,31,25,25,17,
Arizona (AZ),85349,61,68,68,54,62,49,38,
Arizona (AZ),85350,21,32,34,20,24,11,16,
Arizona (AZ),85351,889,768,738,663,566,499,442,
Arizona (AZ),85352,*,*,*,*,*,*,*,
Arizona (AZ),85353,59,51,44,41,35,40,29,
Arizona (AZ),85354,20,23,26,23,19,15,*,
Arizona (AZ),85355,45,39,26,33,32,33,24,
Arizona (AZ),85356,40,40,23,31,22,25,24,
Arizona (AZ),85357,*,*,*,*,*,*,*,
Arizona (AZ),85358,32,31,31,23,26,21,21,
Arizona (AZ),85359,19,23,18,18,*,11,17,
Arizona (AZ),85360,*,*,*,*,*,*,*,
Arizona (AZ),85361,42,32,35,23,19,25,18,
Arizona (AZ),85362,*,16,17,*,*,*,*,
Arizona (AZ),85363,40,37,27,33,30,32,19,
Arizona (AZ),85364,250,259,227,199,174,162,143,
Arizona (AZ),85365,261,260,234,232,223,186,157,
Arizona (AZ),85366,17,29,13,18,16,11,19,
Arizona (AZ),85367,314,294,282,252,254,222,178,
Arizona (AZ),85369,*,*,*,*,*,*,*,
Arizona (AZ),85371,*,*,*,*,*,*,*,
Arizona (AZ),85372,11,*,*,*,12,*,*,
Arizona (AZ),85373,363,341,293,277,238,228,206,
Arizona (AZ),85374,628,578,556,494,456,426,361,
Arizona (AZ),85375,856,878,752,631,616,495,499,
Arizona (AZ),85376,*,16,*,*,*,*,*,
Arizona (AZ),85377,57,65,63,46,46,32,32,
Arizona (AZ),85378,45,58,49,46,35,20,25,
Arizona (AZ),85379,119,115,118,96,89,84,80,
Arizona (AZ),85380,13,*,*,*,*,*,*,
Arizona (AZ),85381,157,144,126,112,105,105,78,
Arizona (AZ),85382,328,328,291,255,225,202,170,
Arizona (AZ),85383,184,169,168,160,147,173,124,
Arizona (AZ),85385,*,*,*,*,*,*,*,
Arizona (AZ),85387,138,144,125,138,114,111,96,
Arizona (AZ),85388,82,82,88,71,68,56,53,
Arizona (AZ),85390,97,102,112,89,69,78,74,
Arizona (AZ),85392,116,91,86,64,60,70,49,
Arizona (AZ),85395,200,232,201,194,166,156,163,
Arizona (AZ),85396,84,100,102,97,101,93,76,
Arizona (AZ),85501,49,56,42,39,39,25,24,
Arizona (AZ),85502,20,18,16,*,14,*,11,
Arizona (AZ),85530,*,*,*,*,*,*,*,
Arizona (AZ),85531,*,*,*,*,*,*,*,
Arizona (AZ),85532,16,16,20,19,16,*,*,
Arizona (AZ),85533,16,11,11,12,*,*,*,
Arizona (AZ),85534,21,14,17,18,17,13,*,
Arizona (AZ),85535,*,*,*,*,*,*,*,
Arizona (AZ),85536,*,*,*,*,*,*,*,
Arizona (AZ),85539,20,23,14,15,21,14,13,
Arizona (AZ),85540,*,*,*,*,*,*,*,
Arizona (AZ),85541,281,225,233,194,186,172,132,
Arizona (AZ),85542,*,*,*,*,*,*,*,
Arizona (AZ),85543,27,22,20,23,16,18,*,
Arizona (AZ),85544,42,34,26,32,29,25,25,
Arizona (AZ),85545,*,*,*,*,*,*,*,
Arizona (AZ),85546,87,72,75,82,58,51,44,
Arizona (AZ),85547,12,11,13,11,12,*,*,
Arizona (AZ),85548,*,*,*,*,*,*,*,
Arizona (AZ),85550,*,*,*,*,*,*,*,
Arizona (AZ),85551,*,*,*,*,*,*,*,
Arizona (AZ),85552,32,30,24,28,26,19,12,
Arizona (AZ),85553,28,25,24,14,17,15,*,
Arizona (AZ),85554,*,11,*,*,*,*,*,
Arizona (AZ),85601,*,13,*,*,*,*,*,
Arizona (AZ),85602,123,103,97,84,97,76,51,
Arizona (AZ),85603,68,65,59,60,52,44,42,
Arizona (AZ),85605,*,*,*,*,*,*,*,
Arizona (AZ),85606,14,12,11,*,*,*,*,
Arizona (AZ),85607,60,60,47,34,48,39,35,
Arizona (AZ),85608,22,21,14,13,*,12,11,
Arizona (AZ),85609,*,*,*,*,*,*,*,
Arizona (AZ),85610,*,15,14,*,*,*,*,
Arizona (AZ),85611,11,*,*,*,*,*,*,
Arizona (AZ),85613,*,*,*,*,*,*,*,
Arizona (AZ),85614,526,611,514,467,416,375,370,
Arizona (AZ),85615,99,99,71,73,55,54,61,
Arizona (AZ),85616,49,43,34,30,27,32,20,
Arizona (AZ),85617,12,*,14,*,*,*,*,
Arizona (AZ),85618,12,16,*,*,12,*,*,
Arizona (AZ),85619,*,*,*,*,*,*,*,
Arizona (AZ),85620,*,*,*,*,*,*,*,
Arizona (AZ),85621,78,92,72,65,81,53,55,
Arizona (AZ),85622,152,174,168,149,146,104,107,
Arizona (AZ),85623,51,37,46,29,47,33,26,
Arizona (AZ),85624,14,22,14,*,15,*,13,
Arizona (AZ),85625,37,31,31,16,30,18,14,
Arizona (AZ),85626,*,*,*,*,*,*,*,
Arizona (AZ),85627,*,*,*,*,*,*,*,
Arizona (AZ),85628,11,17,16,15,14,13,*,
Arizona (AZ),85629,100,111,97,77,94,74,73,
Arizona (AZ),85630,25,25,16,18,13,23,14,
Arizona (AZ),85631,13,23,15,19,28,*,11,
Arizona (AZ),85632,*,*,15,*,*,*,*,
Arizona (AZ),85633,*,*,*,*,*,*,*,
Arizona (AZ),85634,*,11,*,*,*,*,*,
Arizona (AZ),85635,207,251,205,186,165,139,148,
Arizona (AZ),85636,24,23,20,16,12,17,*,
Arizona (AZ),85637,13,18,12,17,*,*,*,
Arizona (AZ),85638,24,34,34,25,23,15,24,
Arizona (AZ),85639,*,*,*,*,*,*,*,
Arizona (AZ),85640,*,*,*,*,*,*,*,
Arizona (AZ),85641,102,102,101,93,104,72,50,
Arizona (AZ),85643,41,46,29,37,32,24,23,
Arizona (AZ),85644,18,*,*,12,*,*,*,
Arizona (AZ),85645,11,12,14,14,13,*,*,
Arizona (AZ),85646,19,15,19,19,24,18,13,
Arizona (AZ),85648,56,49,44,41,42,45,34,
Arizona (AZ),85650,147,141,126,130,120,98,97,
Arizona (AZ),85652,*,16,11,*,*,*,*,
Arizona (AZ),85653,65,69,66,50,65,39,42,
Arizona (AZ),85654,*,*,*,*,*,*,*,
Arizona (AZ),85655,*,*,*,*,*,*,*,
Arizona (AZ),85658,80,114,88,83,93,70,73,
Arizona (AZ),85662,*,*,*,*,*,*,*,
Arizona (AZ),85670,*,*,*,*,*,*,*,
Arizona (AZ),85671,*,*,*,*,*,*,*,
Arizona (AZ),85701,33,22,23,23,22,17,13,
Arizona (AZ),85702,*,*,11,*,*,*,*,
Arizona (AZ),85703,*,*,*,*,*,*,*,
Arizona (AZ),85704,286,279,264,227,206,181,162,
Arizona (AZ),85705,227,199,158,160,113,118,100,
Arizona (AZ),85706,109,103,106,112,90,76,44,
Arizona (AZ),85707,*,*,*,*,*,*,*,
Arizona (AZ),85708,*,*,*,*,*,*,*,
Arizona (AZ),85709,*,*,*,*,*,*,*,
Arizona (AZ),85710,459,469,403,369,333,273,237,
Arizona (AZ),85711,195,178,186,160,133,122,104,
Arizona (AZ),85712,200,167,150,149,147,114,83,
Arizona (AZ),85713,210,228,201,196,150,130,126,
Arizona (AZ),85714,47,46,48,43,34,24,33,
Arizona (AZ),85715,190,182,166,143,130,116,103,
Arizona (AZ),85716,137,141,125,118,101,93,71,
Arizona (AZ),85717,*,*,*,*,*,*,*,
Arizona (AZ),85718,271,249,243,234,190,157,147,
Arizona (AZ),85719,119,94,110,81,74,70,49,
Arizona (AZ),85720,*,*,*,*,*,*,*,
Arizona (AZ),85721,*,*,*,*,*,*,*,
Arizona (AZ),85722,*,*,*,*,*,*,*,
Arizona (AZ),85723,*,*,*,*,*,*,*,
Arizona (AZ),85724,*,*,*,*,*,*,*,
Arizona (AZ),85725,*,*,*,*,*,*,*,
Arizona (AZ),85726,*,*,*,*,*,*,*,
Arizona (AZ),85728,11,14,*,*,*,*,11,
Arizona (AZ),85730,250,233,231,188,175,149,134,
Arizona (AZ),85731,*,15,*,*,*,*,*,
Arizona (AZ),85732,26,18,13,20,*,18,15,
Arizona (AZ),85733,*,*,*,*,*,*,*,
Arizona (AZ),85734,17,16,14,*,*,17,13,
Arizona (AZ),85735,82,89,60,41,55,57,55,
Arizona (AZ),85736,20,15,18,18,12,16,13,
Arizona (AZ),85737,212,224,210,160,145,140,120,
Arizona (AZ),85738,17,*,*,*,*,*,*,
Arizona (AZ),85739,320,306,301,279,257,239,187,
Arizona (AZ),85740,18,*,14,*,*,12,*,
Arizona (AZ),85741,145,159,123,131,107,80,84,
Arizona (AZ),85742,170,151,146,113,125,128,90,
Arizona (AZ),85743,206,179,165,152,135,126,108,
Arizona (AZ),85744,*,*,*,*,*,*,*,
Arizona (AZ),85745,211,195,174,149,128,138,99,
Arizona (AZ),85746,186,158,167,104,100,102,89,
Arizona (AZ),85747,87,101,106,69,59,55,71,
Arizona (AZ),85748,156,133,121,111,109,95,71,
Arizona (AZ),85749,151,166,161,121,129,103,98,
Arizona (AZ),85750,243,239,200,168,178,163,128,
Arizona (AZ),85751,17,17,16,19,*,*,*,
Arizona (AZ),85752,13,11,*,*,*,*,*,
Arizona (AZ),85754,*,*,15,*,14,*,*,
Arizona (AZ),85755,242,233,209,179,188,173,154,
Arizona (AZ),85756,151,140,134,129,94,99,90,
Arizona (AZ),85757,51,52,46,39,39,36,31,
Arizona (AZ),85775,*,*,*,*,*,*,*,
Arizona (AZ),85901,134,120,126,97,74,104,70,
Arizona (AZ),85902,46,33,27,20,22,19,18,
Arizona (AZ),85911,*,*,*,*,*,*,*,
Arizona (AZ),85912,*,*,*,*,*,*,*,
Arizona (AZ),85920,*,*,*,*,*,*,*,
Arizona (AZ),85922,*,*,*,*,*,*,*,
Arizona (AZ),85923,*,*,*,*,*,*,*,
Arizona (AZ),85924,22,29,11,16,15,11,16,
Arizona (AZ),85925,27,25,23,21,15,16,19,
Arizona (AZ),85926,*,*,*,*,*,*,*,
Arizona (AZ),85927,*,*,*,*,*,*,*,
Arizona (AZ),85928,*,16,14,*,12,*,*,
Arizona (AZ),85929,57,59,65,50,42,32,33,
Arizona (AZ),85930,*,*,*,*,*,*,*,
Arizona (AZ),85931,*,*,*,*,*,*,*,
Arizona (AZ),85932,*,*,*,*,*,*,*,
Arizona (AZ),85933,32,31,37,33,26,20,15,
Arizona (AZ),85934,*,*,*,*,*,*,*,
Arizona (AZ),85935,45,39,35,30,36,23,19,
Arizona (AZ),85936,27,27,14,13,12,17,*,
Arizona (AZ),85937,55,58,46,43,36,35,38,
Arizona (AZ),85938,15,17,11,15,13,13,*,
Arizona (AZ),85939,26,19,20,25,16,17,*,
Arizona (AZ),85940,17,20,*,16,*,*,*,
Arizona (AZ),85941,*,*,*,*,*,*,*,
Arizona (AZ),85942,*,*,*,*,*,*,*,
Arizona (AZ),86001,79,79,81,69,56,56,39,
Arizona (AZ),86002,*,*,*,*,*,*,*,
Arizona (AZ),86003,*,*,*,11,*,*,*,
Arizona (AZ),86004,129,131,138,106,94,83,77,
Arizona (AZ),86005,39,50,39,23,32,26,26,
Arizona (AZ),86011,*,*,*,*,*,*,*,
Arizona (AZ),86015,*,*,*,*,*,*,*,
Arizona (AZ),86016,*,*,*,*,*,*,*,
Arizona (AZ),86017,*,12,*,*,*,*,*,
Arizona (AZ),86018,*,*,*,*,12,*,*,
Arizona (AZ),86020,*,*,*,*,*,*,*,
Arizona (AZ),86021,*,*,*,*,*,*,*,
Arizona (AZ),86022,*,12,*,*,13,11,*,
Arizona (AZ),86023,*,*,*,*,*,*,*,
Arizona (AZ),86024,11,*,11,*,*,*,*,
Arizona (AZ),86025,26,26,20,16,19,19,13,
Arizona (AZ),86028,*,*,*,*,*,*,*,
Arizona (AZ),86029,*,*,*,*,*,*,*,
Arizona (AZ),86030,*,*,*,*,*,*,*,
Arizona (AZ),86031,*,*,*,*,*,*,*,
Arizona (AZ),86032,*,*,*,*,*,*,*,
Arizona (AZ),86033,14,14,*,*,*,*,*,
Arizona (AZ),86034,*,*,*,*,*,*,*,
Arizona (AZ),86035,*,*,*,*,*,*,*,
Arizona (AZ),86036,*,*,*,*,*,*,*,
Arizona (AZ),86038,*,*,*,*,*,*,*,
Arizona (AZ),86039,*,*,*,*,*,*,*,
Arizona (AZ),86040,34,30,23,18,24,20,17,
Arizona (AZ),86042,*,*,*,*,*,*,*,
Arizona (AZ),86043,*,*,*,*,*,*,*,
Arizona (AZ),86044,*,*,*,*,*,*,*,
Arizona (AZ),86045,13,14,13,*,*,*,*,
Arizona (AZ),86046,30,30,41,22,31,23,14,
Arizona (AZ),86047,36,30,42,25,22,24,18,
Arizona (AZ),86052,*,*,*,*,*,*,*,
Arizona (AZ),86053,*,*,*,*,*,*,*,
Arizona (AZ),86054,*,*,*,*,*,*,*,
Arizona (AZ),86301,357,346,300,233,247,240,200,
Arizona (AZ),86302,20,19,18,11,14,12,*,
Arizona (AZ),86303,222,205,191,186,149,132,115,
Arizona (AZ),86304,16,13,28,14,17,*,*,
Arizona (AZ),86305,258,259,233,183,194,155,145,
Arizona (AZ),86312,30,20,27,13,20,*,*,
Arizona (AZ),86313,*,*,*,*,*,*,*,
Arizona (AZ),86314,314,281,257,251,229,193,181,
Arizona (AZ),86315,86,103,71,61,76,77,66,
Arizona (AZ),86320,20,22,18,21,16,13,13,
Arizona (AZ),86321,*,*,*,*,*,*,*,
Arizona (AZ),86322,126,103,85,72,73,82,58,
Arizona (AZ),86323,184,156,158,136,136,115,107,
Arizona (AZ),86324,50,55,47,38,32,37,32,
Arizona (AZ),86325,50,70,68,58,52,36,36,
Arizona (AZ),86326,263,243,200,201,164,164,136,
Arizona (AZ),86327,158,166,193,144,136,102,84,
Arizona (AZ),86329,*,*,*,*,*,*,*,
Arizona (AZ),86331,*,*,*,*,*,*,*,
Arizona (AZ),86332,20,27,16,*,17,12,19,
Arizona (AZ),86333,57,59,58,44,40,35,25,
Arizona (AZ),86334,35,48,30,33,21,28,40,
Arizona (AZ),86335,35,34,23,28,29,26,29,
Arizona (AZ),86336,128,141,122,118,88,77,74,
Arizona (AZ),86337,13,13,11,*,*,14,*,
Arizona (AZ),86338,*,*,*,*,*,*,*,
Arizona (AZ),86339,24,19,16,*,13,15,11,
Arizona (AZ),86340,*,*,*,*,*,*,*,
Arizona (AZ),86341,*,*,*,*,*,*,*,
Arizona (AZ),86342,*,*,*,*,*,*,*,
Arizona (AZ),86343,*,*,*,*,*,*,*,
Arizona (AZ),86351,82,93,89,93,56,52,40,
Arizona (AZ),86401,194,192,196,169,154,141,115,
Arizona (AZ),86402,41,47,32,24,26,22,32,
Arizona (AZ),86403,154,159,161,136,99,93,77,
Arizona (AZ),86404,195,189,174,164,151,116,118,
Arizona (AZ),86405,42,31,39,35,19,27,11,
Arizona (AZ),86406,286,251,253,246,176,159,131,
Arizona (AZ),86409,246,209,194,152,163,144,110,
Arizona (AZ),86411,*,*,*,*,*,*,*,
Arizona (AZ),86412,*,*,*,*,*,*,*,
Arizona (AZ),86413,86,103,105,89,77,64,64,
Arizona (AZ),86426,116,110,116,106,86,83,69,
