OBJECTID,PLANID,BLM_ORG_CD,OHV_DSG,DSG_REASON,RESTRICT_,RESTRICT_DETAIL,SHAPE_Length,SHAPE_Area
94,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0171720863358466,1.8009518689687e-05
95,Lakeview Resource Area RMP 2003,ORL05,Open,BLMOPEN,,,0.0130757145072892,7.78006558660142e-06
96,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0539668613608798,0.0001435198707954
97,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.065924117102901,0.0001611580412839
98,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0170287023794972,1.77231141293565e-05
99,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.0171124029177006,1.79142607283056e-05
100,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,ACEC,,,0.0559960982424555,9.35901042558346e-05
101,Northwestern and Coastal Oregon RMP 2016,ORM07,Limited to Existing,ACEC,,,0.167705692206364,0.0006805938418723
102,Southwestern Oregon RMP 2016,ORM07,Closed,ACEC,,,0.0508962474288359,7.28081531099197e-05
103,Southwestern Oregon RMP 2016,ORM07,Closed,ERMA,,,0.0453822948281997,8.1761904155403e-05
104,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.0892164474090972,0.0001807199463881
105,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.017138048462056,1.79634179849164e-05
106,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0610916215884989,0.0001247673923136
107,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.126994163388221,0.0005710386099769
108,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,ACEC,,,0.0090641968220944,4.17157787230969e-06
109,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.066626048903472,0.0002802240022707
110,Unknown,ORM06,Limited to Existing,UNK,,,0.0524455291061872,0.0001022047617535
111,Unknown,ORM06,Open,BLMOPEN,,,0.0140877331701558,1.15009199233748e-05
112,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0144556848486786,5.37609710068083e-06
113,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.0170636299096432,1.78092437147458e-05
114,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0169037713519256,1.75023853857004e-05
115,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0171639934975856,1.79721174496104e-05
116,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0170474294099476,1.77574618358778e-05
117,Southwestern Oregon RMP 2016,ORL04,Closed,ERMA,,,0.178034457507202,0.0007028733880625
118,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0171549111816004,1.79791516348079e-05
119,Lakeview Resource Area RMP 2003,ORL05,Limited to Designated,CULT,,,0.0316810149548777,5.31206558454459e-05
120,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.0243838795459488,3.57143142708271e-05
121,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0170577457724817,1.77613556088279e-05
122,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0269367636503656,3.56063800601681e-05
123,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0268462930157833,3.55899758584041e-05
124,Unknown,ORM06,Open,BLMOPEN,,,0.0173315887856709,1.82676626358145e-05
125,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0170895528569125,1.7835251526271e-05
126,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.138830294822369,0.0003537933944926
127,Unknown,ORV04,Open,,,,0.0169713223355825,6.56161110903151e-07
128,Southeastern Oregon RMP 2002,ORV04,Limited to Existing,SGHAB,,,0.0166478754260471,1.69360826440865e-05
129,Northwestern and Coastal Oregon RMP 2016,ORC04,Limited to Existing,BLM,,,0.016751230291825,1.70380655536308e-05
130,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0508010658467578,0.0001053058788327
131,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.0677227866777576,0.0001752447104577
132,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0682984025354846,0.0002138278236172
133,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.136862872156692,0.0005738847930968
134,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0317055551132116,5.35060892213527e-05
135,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,ERMA,,,0.159816954651525,0.0006257717137499
136,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0445218226275109,7.19637811151993e-05
137,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0343007272344256,5.38123538538467e-05
138,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0169241884123825,1.75322691418737e-05
139,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.0104492906026429,4.4282858568612e-06
140,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.0260869507378821,1.56666029618375e-05
141,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.0104588871000638,4.43658905511318e-06
142,Southwestern Oregon RMP 2016,ORM07,Closed,ACEC,,,0.0773259078688184,0.0002152215697138
143,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0508015297326079,8.76861596820141e-05
144,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0606698315311941,0.0001409906759763
145,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0241734806346529,3.50251320577989e-05
146,Northwestern and Coastal Oregon RMP 2016,ORC04,Limited to Existing,BLM,,,0.0569314620360793,0.0001336258534996
147,Northwestern and Coastal Oregon RMP 2016,ORC04,Limited to Existing,BLM,,,0.0416100842703856,7.21049814233555e-05
148,Northwestern and Coastal Oregon RMP 2016,ORC04,Limited to Existing,BLM,,,0.016976686696209,1.74918113754738e-05
149,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,ERMA,,,0.0781963249533235,0.000160835942222
150,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,ACEC,,,0.146078510074543,0.0004955868478848
151,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.0527878803065241,5.15211792104491e-05
152,Northwestern and Coastal Oregon RMP 2016,ORM07,Limited to Existing,ACEC,,,0.0146663803721775,9.50801487450457e-06
153,Northwestern and Coastal Oregon RMP 2016,ORM07,Limited to Existing,ACEC,,,0.0170177106532369,1.7717758317348e-05
154,Northwestern and Coastal Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.0146781544831276,8.25211940764471e-06
155,Southwestern Oregon RMP 2016,ORM07,Closed,ERMA,,,0.0069258730095544,9.09791399693284e-07
156,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0776633683519671,0.000194659505009
157,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0683300234586534,0.0002153939243686
158,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0491378307244647,0.0001433018211482
159,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0030778773180757,4.156646974976e-07
160,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0224444443828071,2.36948417269458e-05
161,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0596519823873875,0.0001680099976016
162,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,ACEC,,,0.191582364384695,0.0004513126357056
163,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,ACEC,,,0.706990865776372,0.0015661191510629
164,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0243414948897106,4.1847245441037e-07
165,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.015612529529316,1.00013350384946e-05
166,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0218984485725298,1.30344679204072e-05
167,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0457448084367475,9.13957160899689e-05
168,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0066367962172761,2.18234696817275e-06
169,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0031214951281035,2.06045008237752e-07
170,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0388797264999171,3.31500945966721e-05
171,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0117007078194596,3.72501777458819e-06
172,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,7.49625984056908e-05,8.47078799742088e-11
173,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0004216904823971,1.0877879121759e-08
174,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0205242910228535,6.78429733352545e-06
175,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0136689335880229,4.60542661507165e-06
176,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0232548554364065,1.88558840355808e-05
177,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,ACEC,,,0.0148564172412137,8.89609124582374e-06
178,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,ACEC,,,0.0071309970251636,1.14682155742311e-06
179,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,ACEC,,,0.0314627442582967,1.81154482773954e-05
180,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0151087099695712,8.32666232779308e-06
181,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0126200614041711,4.76235764374285e-06
182,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.22832599431109,0.0007935182922787
183,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0063837365721329,1.42504060538767e-06
184,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0160103067827226,9.4474240532426e-06
185,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0774571606471885,0.0002036661359323
186,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0336470341147004,5.51728220251896e-05
187,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0236736047347938,1.81675603597953e-05
188,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0110459617479163,3.77502721528473e-06
189,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0043570143373713,4.98495889677846e-07
190,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0301000095844858,4.93418050069247e-05
191,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.110191098763546,0.0003805578885854
192,Northwestern and Coastal Oregon RMP 2016,ORC04,Limited to Existing,BLM,,,0.0275828377955127,3.72657935311833e-05
193,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0414824791090428,7.15932367669674e-05
194,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.0159194074572686,5.30409459004465e-06
195,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0170661687170264,1.78299789238774e-05
196,Unknown,ORM06,Open,BLMOPEN,,,0.0266926116949665,3.54413903300965e-05
197,Lakeview Resource Area RMP 2003,ORL05,Closed,SSFAUNA,,,0.114042498024725,0.0004582447720589
198,Oregon Greater Sage-Grouse Resource Management Plan Amendment,ORL05,Limited to Existing,SGHAB,,,0.0206872981496954,1.76557168572517e-05
199,Oregon Greater Sage-Grouse Resource Management Plan Amendment,ORL05,Limited to Existing,SGHAB,,,0.0238473282517763,1.3686777686387e-05
200,Lakeview Resource Area RMP 2003,ORL05,Open,BLMOPEN,,,0.0601641470664845,0.0001530933115434
201,Lakeview Resource Area RMP 2003,ORL05,Open,BLMOPEN,,,0.0138049333742647,6.22467922957206e-06
202,Oregon Greater Sage-Grouse Resource Management Plan Amendment,ORL05,Limited to Existing,SGHAB,,,0.0134891968635935,1.13188258295642e-05
203,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.0155545788629087,9.40481642485895e-06
204,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0186326026629201,1.88579148067396e-05
205,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,ERMA,,,0.034122284017748,7.11587403130699e-05
206,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.0488793177937407,0.0001028553351723
207,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0170336514785609,1.77404528436417e-05
208,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0629689149177171,0.0001353077668602
209,Lakeview Resource Area RMP 2003,ORL05,Open,BLMOPEN,,,0.0168547148314825,1.73452749659602e-05
210,Lakeview Resource Area RMP 2003,ORL05,Open,BLMOPEN,,,0.0168978860725872,1.74823618787866e-05
211,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0413902482816617,7.17514789661421e-05
212,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.0415764233183043,7.16797583554969e-05
213,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.23598240241991,0.0010263754895032
214,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.144090682666161,0.0005253216290143
215,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0825216081118293,0.0002859340929769
216,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,SRMA,,,0.0133770651958501,6.12226447365705e-06
217,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0263842562498156,3.32778871013437e-05
218,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0162064105381413,1.57519358288271e-05
219,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0317365240401807,5.35139479588406e-05
220,Unknown,ORM06,Closed,RIPARIAN,,,0.0025328682777767,3.28183074918659e-07
221,Unknown,ORM06,Closed,RIPARIAN,,,0.000365471399432,4.20212499682607e-09
222,Unknown,ORM06,Closed,RIPARIAN,,,0.0021676007897462,2.46117525101297e-07
223,Unknown,ORM06,Closed,RIPARIAN,,,0.0009060599724783,5.7908079893085e-08
224,Unknown,ORM06,Closed,RIPARIAN,,,0.0002477117356779,1.59990000307321e-09
225,Unknown,ORM06,Closed,RIPARIAN,,,0.0016373218993081,1.32220249701084e-07
226,Unknown,ORM06,Closed,RIPARIAN,,,0.0005994218571561,8.050269998833961e-09
227,Unknown,ORM06,Closed,RIPARIAN,,,6.65018484546322e-05,1.49985000538082e-10
228,Unknown,ORM06,Closed,RIPARIAN,,,0.0003558403100925,1.8763870997399e-09
229,Unknown,ORM06,Closed,RIPARIAN,,,0.0008751875735579,4.06439200921765e-08
230,Unknown,ORM06,Closed,RIPARIAN,,,0.0022704832161858,2.37500210005716e-07
231,Unknown,ORM06,Closed,RIPARIAN,,,0.0023258808885923,2.58827210186154e-07
232,Unknown,ORM06,Closed,RIPARIAN,,,0.0013703174899361,5.64565595563893e-08
233,Unknown,ORM06,Closed,RIPARIAN,,,0.0014823244939268,1.00849654999106e-07
234,Unknown,ORM06,Closed,RIPARIAN,,,0.000279694830809,4.90412010232017e-09
235,Unknown,ORM06,Closed,RIPARIAN,,,0.0009287340215805,2.89522599988787e-08
236,Unknown,ORM06,Closed,RIPARIAN,,,0.0054178063446616,9.51817159997604e-07
237,Unknown,ORM06,Closed,RIPARIAN,,,0.0007352556913522,3.72023200002182e-08
238,Unknown,ORM06,Closed,RIPARIAN,,,0.0004356594785286,1.1561904895255e-08
239,Unknown,ORM06,Closed,RIPARIAN,,,0.000290851578425,3.7070448942507e-09
240,Unknown,ORM06,Closed,RIPARIAN,,,0.0010608426609646,8.47098250092075e-08
241,Unknown,ORM06,Closed,RIPARIAN,,,0.0020627439589903,2.84346354812387e-07
242,Unknown,ORM06,Closed,RIPARIAN,,,0.0021248488509411,1.42692149609183e-07
243,Unknown,ORM06,Closed,RIPARIAN,,,0.0004747412735269,1.19549648991384e-08
244,Unknown,ORM06,Closed,RIPARIAN,,,0.0003095756540566,5.400150001420641e-09
245,Unknown,ORM06,Closed,RIPARIAN,,,0.0013007538254391,2.76460450015445e-08
246,Unknown,ORM06,Closed,RIPARIAN,,,0.0012154688356715,3.33030080137936e-08
247,Unknown,ORM06,Closed,RIPARIAN,,,0.0011142370447155,7.83616050037479e-08
248,Unknown,ORM06,Closed,RIPARIAN,,,0.0021999409802133,1.75545304988913e-07
