OBJECTID,SubSurRights,GIS_Acres,GlobalID,SHAPE_Length,SHAPE_Area
6278731,All Minerals,35.47627293,{54C9D583-83F4-4926-AEED-0825D999160C},1516.38892125425,143567.38294128
6278732,All Minerals,29.31189165,{267D3CA6-5011-462A-906E-5768B83D09A1},1870.63787004358,118621.016963732
6278733,All Minerals,41.61922752,{9EDE73C0-D413-4870-8245-342DB5808D80},1641.9975870399,168427.0381904
6278734,All Minerals,320.24660469,{46037625-E03C-419B-BE87-79AB0151FF22},4829.42412382475,1295992.02896094
6278735,All Minerals,39.26307813,{B43C2A21-E0BE-4709-A980-897DE2A3B6A2},1594.65364937925,158892.03989582
6278736,All Minerals,79.32156415,{ED2F572E-18CE-424E-AF3E-F7741771B6D7},2401.70853510643,321002.981330418
6278737,All Minerals,327.15143494,{7DE93D87-7D7D-489D-A768-7EED9038E5FD},8818.58893854684,1323934.88558095
6278738,All Minerals,160.06799957,{74C1B129-3B32-46B5-A0BA-A6AEC1C7584E},3219.36434109522,647772.212087487
6278739,All Minerals,79.84862831,{0F1A278B-1EBA-4DE2-AAD9-E0C195A0777A},2411.22366694811,323135.934283124
6278740,All Minerals,39.64457256,{FF19769A-7D62-4A8A-8DB2-7E8D3DBF69CE},1602.98205106829,160435.89306556
6278741,All Minerals,4302.56613758,{ABBE3A9A-9C04-453A-B693-FA987EF8A85C},28188.5021384493,17411867.4066814
6278742,All Minerals,401.98042755,{916A8640-C297-4535-9990-F1858CAE9281},5643.70361586636,1626757.07489901
6278743,All Minerals,330.79298512,{0D1EED52-2D0E-493F-BF39-1272D54A2316},5874.65749689918,1338671.71631023
6278744,All Minerals,2576.41378563,{3D0641BF-84FB-465F-B8FF-76D2C6331DFB},17316.6187657329,10426376.6751458
6278745,All Minerals,1047.54023233,{E0D0D87D-45CE-4D62-9C78-0E0316A72313},13709.9082473582,4239244.91694332
6278746,All Minerals,39.43275751,{1727E41E-A62F-42B9-9D4B-725BB3BB089B},1597.90570612874,159578.707964636
6278747,All Minerals,633.00061937,{6FE178F1-B797-4B9C-B173-FA08849BC112},6414.66552005009,2561662.62189101
6278748,All Minerals,161.48433044,{2D2C1EE8-E853-4857-944B-F66CD8439646},4044.71080254378,653503.899747286
6278749,All Minerals,159.94100223,{110A740A-4800-4289-A6DA-0BF35E4E444A},3218.33719364036,647258.272088486
6278750,All Minerals,40.39027218,{D5BCDDCC-E2AF-4C8F-A957-D6BC9B6FCDDB},1617.3547740136,163453.632358143
6278751,All Minerals,948.72171119,{E76F0E2D-9E8C-426F-AB7A-14A3048C1E18},7989.58745612946,3839340.54998168
6278752,All Minerals,79.88464103,{FC601F37-9105-4D2A-AB89-047072CF6B39},2414.37704781081,323281.672611117
6278753,All Minerals,80.26190814,{A4B67CFE-B7EB-46C0-B4D4-C1851B777F72},2413.75617748977,324808.418445155
6278754,All Minerals,416.59107881,{56A86627-BABF-4FE1-B824-B1BA9A07AA48},10519.6525962763,1685884.28280607
6278755,All Minerals,161.5785224,{191168A0-6DE7-4F1A-BF18-C50F163CA7E1},3234.90111125667,653885.081086786
6278756,All Minerals,39.33809606,{BBAFBADB-0D7E-4C73-8018-42FD0AD74FDE},1596.02059463011,159195.626665216
6278757,All Minerals,200.55133669,{9AAA8FD2-0C6E-444A-9809-07E3E36583E5},4026.99063002869,811602.464921453
6278758,All Minerals,648.68250049,{764161ED-94B8-4B21-9612-DDEB7D529BCA},7292.37190142789,2625124.94322611
6278759,All Minerals,77.6233194,{5B02F45F-90C7-438F-B837-8A563E57E88A},2373.37067035692,314130.428654553
6278760,All Minerals,40.04606046,{5DEF2B5E-2903-4322-A0FF-F448D1FCD889},1610.36027976501,162060.656964432
6278761,All Minerals,542.35513303,{9DBE479A-873A-4920-9AD5-FD9C67A9C77C},13443.5277454751,2194833.35331659
6278762,All Minerals,727.23468469,{98D6CEAE-1FDB-4A81-8C2D-8CB72A6D5703},10596.4689942518,2943014.35432536
6278763,All Minerals,80.39362361,{B456B0D8-89DF-46E2-9224-C14793EA2867},2419.84229253079,325341.452044066
6278764,All Minerals,1557.6904566,{A867F137-C08F-4D27-BAFF-A1436711F172},18501.7193815369,6303749.62839059
6278765,All Minerals,38.52296824,{10974569-3D97-4B59-912B-AD5B7665E972},1579.52397236116,155896.921415255
6278766,All Minerals,79.56119025,{8A07173B-E316-49B4-8FD1-C98A76815365},2413.85474910182,321972.7137423
6278767,All Minerals,38.84767594,{E2ECCC93-98A3-469C-B894-4FFBA50728D2},1586.29263962772,157210.966891172
6278768,All Minerals,15.84481382,{D25E4FFA-B554-4865-937D-226778B7A8AD},1098.43334442149,64121.6865678517
6278769,All Minerals,571.87386322,{E701A0A1-79E5-492D-A400-C878C86A125C},8157.7628019235,2314291.41617643
6278770,All Minerals,644.14420954,{3F910A66-B051-4FF8-9C4D-553EBC72C300},11227.7068009013,2606759.13133008
6278771,All Minerals,39.57369231,{F5BBD063-E251-429C-9B5A-D53EA790C6A7},1600.79130313567,160149.050879231
