OBJECTID,COMMENT,STEWARD1,STEWARD2,GlobalID,Shape_Length,Shape_Area
75,Overlap,BLM Cadastral - NV,,{345F87F2-A143-4296-952E-63F7128C3E70},6387.05808611184,2549226.46551666
76,Overlap,BLM Cadastral - NV,,{AACD2572-979B-4786-B586-34ACB52FC986},1664.36762279933,173069.808741803
77,Overlap,BLM Cadastral - NV,,{D22663B4-CE29-43B6-913F-962B426454FA},1641.0081892847,168302.504325699
78,Overlap,BLM Cadastral - NV,,{DD8CA316-DA94-4C6C-8CBB-40C452C5826A},1633.67236711632,166793.537180524
79,Overlap,BLM Cadastral - NV,,{7140C8F4-775C-4001-B0B6-94DD563DE3CB},1691.60787166466,178643.179853284
80,Overlap,BLM Cadastral - NV,,{B05DC398-D1F4-40B1-9B9B-1923ACF39E83},1645.72118463963,169242.304572274
81,Overlap,BLM Cadastral - NV,,{D0596D06-F83E-4453-B1B4-2CDD1C5435F9},1651.01241234885,170527.32074384
82,Overlap,BLM Cadastral - NV,,{29199A7F-B382-4F67-A359-5CF0B92CC8B2},1642.83687564043,168676.395984938
83,Overlap,BLM Cadastral - NV,,{AB8E54D1-0A23-4741-A525-893580B49CA8},1724.0132124549,185376.380696087
84,Overlap,BLM Cadastral - NV,,{BE0B2ACD-0DB2-489E-AD0E-F9BA563CAE5E},1669.60957439535,174149.020400127
85,Overlap,BLM Cadastral - NV,,{69E6E420-33F2-499C-849B-3B170E691033},1605.22380330218,161046.294225338
86,Overlap,BLM Cadastral - NV,,{DE8A4BD4-F7FA-4FAA-8324-7748A312BED4},1678.32107639356,175935.633394939
87,Overlap,BLM Cadastral - NV,,{CF13954F-364F-4E95-BA8B-0B0C054136A1},1706.94498050053,181814.658768713
88,Overlap,BLM Cadastral - NV,,{96C91A25-AF42-4901-B269-F19B03D102CD},1639.93778980856,167909.964533829
89,Overlap,BLM Cadastral - NV,,{35A6F082-C9F1-40E2-AEE7-5E1AF681E908},1661.78293492195,172533.15655882
90,Overlap,BLM Cadastral - NV,,{523B5A34-38CD-4600-8F1C-57B60D2375A1},1639.52742401067,167983.552239402
91,Overlap,BLM Cadastral - NV,,{CB935E74-6017-416C-9848-18C80C598EE6},1666.98007611362,173611.284069209
92,Overlap,BLM Cadastral - NV,,{5A47456C-7997-46D1-98BD-7527EA2126FD},1606.32451175412,161267.348182761
93,Overlap,BLM Cadastral - NV,,{6AD6865C-C98F-4FBE-87C2-DBEEB9F9596F},1570.90632637927,154135.296650708
94,Overlap,BLM Cadastral - NV,,{7C39B135-6D03-49FA-BE74-8EF89A0AB8DA},1575.21060189072,154998.811762419
95,Overlap,BLM Cadastral - NV,,{9AFDBE63-0FB4-45E8-AC41-305528FF59C1},1518.99625934158,143700.440030814
96,Overlap,BLM Cadastral - NV,,{69F91C2A-930F-45FF-922D-2E4727FCBDFA},1579.49745510856,155858.513042883
97,Overlap,BLM Cadastral - NV,,{88AAAC0C-9B3D-4EA1-81B6-CEB4F9B6ED4B},1598.44473315271,159667.331208141
98,Overlap,BLM Cadastral - NV,,{CBF047F0-CB70-4272-9102-5DE41304C352},1593.74793994086,158720.437686321
99,Overlap,BLM Cadastral - NV,,{FCA09C16-6C46-44F5-AC4B-04945996FC60},1583.77016925447,156715.066099817
100,Overlap,BLM Cadastral - NV,,{1FBD6D13-286A-4C0A-8028-8331D265E7B6},1603.12501215309,160610.798058018
101,Overlap,BLM Cadastral - NV,,{6F285CF7-CE14-40A6-8924-93B8AA4CE54C},1604.63899465469,160928.60093532
102,Overlap,BLM Cadastral - NV,,{070284BD-3894-4316-8C52-D027EFED0159},1589.03015905589,157769.308816784
103,Overlap,BLM Cadastral - NV,,{C14A07D1-A226-423B-9865-4E60CD61B649},1537.1204244375,147378.769592344
104,Overlap,BLM Cadastral - NV,,{7135838C-E1C2-49E3-B253-19B49AFE7030},1605.49326376494,161100.291169937
105,Overlap,BLM Cadastral - NV,,{C54E6E4D-59B2-4F3B-A70D-B2668190F406},1555.36032168482,151052.849879231
106,,BLM Cadastral - NV,,{B2C6A55D-06A7-48EF-A9DB-11B9124CD1B0},1252.69332535565,1004.70041186586
107,,BLM Cadastral - NV,,{F485A445-BC15-4D36-A71D-64A68580B3D1},1580.2428969703,161828.175299687
108,,BLM Cadastral - NV,,{FC4D05CA-4011-453A-895F-782AE0148E3C},1470.57496102612,133901.224735338
109,,BLM Cadastral - NV,,{DE2CC491-728F-44D4-BD10-192536CD9817},1418.41415100313,110044.638768977
110,,BLM Cadastral - NV,,{F8EC4BB8-2B0F-4809-9F66-C72A3E5B846A},1527.12666741718,151230.936108403
111,,BLM Cadastral - NV,,{D6CCD263-A5C1-4076-8F27-26E3C320227A},1603.06766355682,160607.22393371
112,,BLM Cadastral - NV,,{E597940B-CF91-4CAE-8099-EF09E49F4121},1615.11390483919,163022.717183848
113,,BLM Cadastral - NV,,{011025D8-BA64-4A10-9A22-1F54F939A55A},1605.52792848673,161100.737851474
114,,BLM Cadastral - NV,,{6B041D20-7BE3-42A1-99F1-3B2317D142FF},1545.45433948006,155529.899940147
115,,BLM Cadastral - NV,,{AAA08AF8-55EA-45E3-9F0F-7CB111D97746},921.680616168424,36500.3778656714
116,,BLM Cadastral - NV,,{5A6A2FEC-2AAF-4F73-B31B-BE8D0032DCB2},1512.60773282983,148557.700834047
117,,BLM Cadastral - NV,,{61F8B7F7-8EBC-42E8-8327-BE2F104FFCA5},1040.40137174606,46087.0219007064
118,,BLM Cadastral - NV,,{31D466EE-35B0-4DBD-96A7-C7E453244E5F},555.767227751676,13218.3429957262
119,,BLM Cadastral - NV,,{AA374E1A-573B-47DC-9ACE-A084714AE264},1499.31321059109,145154.743642979
120,,BLM Cadastral - NV,,{987F08BE-3F29-4858-89A4-CB210179F459},1495.43121154341,139352.095390142
121,,BLM Cadastral - NV,,{9913FABF-A3CB-43F5-9D1A-0A2811FA0DE6},1502.58421399782,144416.3170933
122,,BLM Cadastral - NV,,{9BE14388-9741-4CE6-B1A9-573FA3373C93},772.335748088591,25818.8163969752
123,,BLM Cadastral - NV,,{73553A68-68D7-4A7A-A893-3FE8EA4D2C52},640.035389764815,17635.4811777626
124,,BLM Cadastral - NV,,{44CD641B-B7A3-4F36-A4C5-E04D2EF398FF},721.517738405582,22532.8050382718
125,,BLM Cadastral - NV,,{48DBE29C-E4BF-4FA3-BDD3-5E2AFF6F66EB},1534.63585799797,99540.6572140328
126,,BLM Cadastral - NV,,{B93C5404-C8BF-4992-AFC5-92898FCDB886},785.115415771146,26363.63019308
127,,BLM Cadastral - NV,,{6D179370-66E6-40C4-BE28-98DA06278080},1441.82550914893,111212.971916226
128,,BLM Cadastral - NV,,{649C670C-6B1A-479F-B540-98A696F70AFD},1512.36068727879,143746.575818433
129,,BLM Cadastral - NV,,{AF269A77-6915-4837-9D93-DE44198E9B4A},1501.22703951206,144501.388368201
130,,BLM Cadastral - NV,,{82703146-6013-435B-A8E6-F6B6603C1AEF},1526.5727100888,150126.372653172
131,,BLM Cadastral - NV,,{BB675D88-1267-48F5-89A9-EF9125C66B28},609.180012710689,15726.6407905525
132,,BLM Cadastral - NV,,{A73337C1-FABD-4B28-9AA4-2B07FCDDFB3C},1484.79967223876,128793.401098378
133,,BLM Cadastral - NV,,{8AF8AB4E-2F55-45F1-91E6-DE942D65F630},682.672116058315,20061.6286043416
134,,BLM Cadastral - NV,,{7456A820-9FC5-4468-90E2-099D3F7C669E},1661.15424729721,142909.848272845
