OBJECTID,GEOID10,Under18_Tot,Under5_Tot,Under5_ER,Under5_Hosp,FivePlus_Tot,FivePlus_ER,Tot_ER_Visits,Tot_Hosp_Visits,AsthmaCt,Diabetes1Ct,Diabetes2Ct,DiabetesOtherCt,PctUndr5ER,PctOvr5ER,PctAsthma,PctDiabetes,Shape__Area,Shape__Length
352,260050311002,32.0,13.0,,8.0,19.0,8.0,13.0,19.0,,0,0,0,,0.421052631578947,,0.0,233477163.300293,73998.6555473695
353,260050312001,45.0,18.0,6.0,12.0,27.0,12.0,18.0,27.0,,0,0,0,0.333333333333333,0.444444444444444,,0.0,38697959.9858398,26995.3367616093
354,261635771002,33.0,16.0,6.0,10.0,17.0,8.0,14.0,19.0,,0,0,0,0.375,0.470588235294118,,0.0,3240943.08349609,7708.99842070832
355,261635848003,89.0,52.0,18.0,34.0,37.0,18.0,36.0,53.0,15.0,0,0,0,0.346153846153846,0.486486486486487,0.168539325842697,0.0,6161677.24023438,9957.17889351418
356,261635848002,33.0,18.0,6.0,12.0,15.0,6.0,12.0,21.0,14.0,0,0,0,0.333333333333333,0.4,0.424242424242424,0.0,4586874.03564453,9371.60932393021
357,261635848001,64.0,35.0,12.0,23.0,29.0,13.0,25.0,39.0,22.0,0,0,0,0.342857142857143,0.448275862068966,0.34375,0.0,3831601.0456543,8783.48762671719
358,261635848004,15.0,8.0,,,7.0,,6.0,9.0,,0,0,0,,,,0.0,13550133.7224121,15770.4460835354
359,261635798002,36.0,18.0,,13.0,18.0,8.0,13.0,23.0,,0,0,0,,0.444444444444444,,0.0,2927701.77685547,9566.83434862829
360,261635870001,37.0,20.0,8.0,12.0,17.0,,13.0,24.0,,0,0,0,0.4,,,0.0,12836970.045166,18627.6759121545
361,261635792002,60.0,29.0,9.0,20.0,31.0,12.0,21.0,39.0,,0,0,0,0.310344827586207,0.387096774193548,,0.0,2331771.52807617,6489.97219216443
362,261635792001,50.0,29.0,10.0,19.0,21.0,10.0,20.0,30.0,13.0,0,0,0,0.344827586206897,0.476190476190476,0.26,0.0,2422868.5871582,6364.11905049166
363,261635917001,48.0,18.0,7.0,11.0,30.0,11.0,18.0,30.0,,0,0,0,0.388888888888889,0.366666666666667,,0.0,26897882.5913086,21427.4552598293
364,261635991003,18.0,10.0,,6.0,8.0,,8.0,10.0,,0,0,0,,,,0.0,4810561.16723633,14371.311587286
365,261635632002,37.0,21.0,7.0,14.0,16.0,7.0,14.0,23.0,10.0,0,0,0,0.333333333333333,0.4375,0.27027027027027,0.0,5353619.94213867,13299.9121512073
366,261635645041,56.0,33.0,9.0,24.0,23.0,6.0,15.0,41.0,,0,0,0,0.272727272727273,0.260869565217391,,0.0,124551809.372314,44452.9570850516
367,261635980002,20.0,8.0,,6.0,12.0,6.0,8.0,12.0,,0,0,0,,0.5,,0.0,8472752.6262207,18217.9984710483
368,261635943001,26.0,12.0,,7.0,14.0,6.0,11.0,15.0,,0,0,0,,0.428571428571429,,0.0,4897646.23681641,9591.48700279881
369,261635941003,,,,,,,,,,0,0,0,,,,,3578039.63330078,8694.63155185105
370,261635625001,,,,,,,,,,0,0,0,,,,,7695664.25708008,11858.2619243313
371,261635538003,43.0,21.0,7.0,14.0,22.0,10.0,17.0,26.0,,0,0,0,0.333333333333333,0.454545454545455,,0.0,3307953.76416016,7900.09919889257
372,261635538002,31.0,14.0,6.0,8.0,17.0,8.0,14.0,17.0,,0,0,0,0.428571428571429,0.470588235294118,,0.0,4768201.38623047,8942.2006515766
373,261635538001,47.0,23.0,8.0,15.0,24.0,12.0,20.0,27.0,,0,0,0,0.347826086956522,0.5,,0.0,3161485.01708984,7769.33348290256
374,261476512001,22.0,11.0,,7.0,11.0,,8.0,14.0,,0,0,0,,,,0.0,362807166.451172,87548.8476362292
375,261476360001,34.0,18.0,6.0,12.0,16.0,8.0,14.0,20.0,,0,0,0,0.333333333333333,0.5,,0.0,25019698.512207,26515.9973418795
376,261476220003,108.0,41.0,14.0,27.0,67.0,30.0,44.0,64.0,,0,0,0,0.341463414634146,0.447761194029851,,0.0,10195187.440918,13031.2027732921
377,261476230003,100.0,55.0,20.0,35.0,45.0,21.0,41.0,59.0,8.0,0,0,0,0.363636363636364,0.466666666666667,0.08,0.0,4905224.84423828,10235.2374027995
378,260992435001,33.0,16.0,,11.0,17.0,6.0,11.0,22.0,,0,0,0,,0.352941176470588,,0.0,29752846.027832,25699.9412443418
379,260992425001,35.0,14.0,6.0,8.0,21.0,7.0,13.0,22.0,,0,0,0,0.428571428571429,0.333333333333333,,0.0,28066242.8496094,21486.4552048038
380,260992403002,28.0,17.0,,13.0,11.0,,7.0,21.0,,0,0,0,,,,0.0,9402852.14794922,12991.0175652708
381,260992403001,38.0,19.0,6.0,13.0,19.0,8.0,14.0,24.0,,0,0,0,0.315789473684211,0.421052631578947,,0.0,9543983.21728516,14696.25725187
382,260992404002,20.0,8.0,,6.0,12.0,,7.0,13.0,,0,0,0,,,,0.0,7229665.74121094,16749.3393935044
383,260992404001,36.0,17.0,6.0,11.0,19.0,6.0,12.0,24.0,,0,0,0,0.352941176470588,0.315789473684211,,0.0,9249766.37353516,19637.7330023404
384,260992404003,12.0,7.0,,6.0,,,,9.0,,0,0,0,,,,0.0,3086455.49169922,8321.9623749896
385,260992404004,19.0,12.0,,10.0,7.0,,,14.0,,0,0,0,,,,0.0,8636047.16943359,15113.002663153
386,260992405002,76.0,40.0,15.0,25.0,36.0,13.0,28.0,48.0,,0,0,0,0.375,0.361111111111111,,0.0,10555993.5058594,16577.3927355599
387,260992405001,16.0,8.0,,,8.0,,6.0,10.0,,0,0,0,,,,0.0,9775723.34130859,13655.0508777579
388,260992518003,33.0,21.0,7.0,14.0,12.0,,12.0,21.0,,0,0,0,0.333333333333333,,,0.0,7370017.78857422,15570.3282291924
389,260992516002,22.0,12.0,,8.0,10.0,,8.0,14.0,,0,0,0,,,,0.0,4297743.19384766,11011.5201694688
390,260992516003,18.0,9.0,,6.0,9.0,,7.0,11.0,,0,0,0,,,,0.0,4384387.87060547,8564.20326991544
391,260992517003,19.0,9.0,,,10.0,,8.0,11.0,,0,0,0,,,,0.0,9226621.02539063,14242.9452984309
