Reference_Id,Account,Agency_Application,Relief_Program,Application_Date,Relief_Amount,Household_Income,Household_Size,Financial_Hardship,Job_Loss,Reduced_Hours,Account_Type,Zip,Country,State,Location,Council_District,ObjectId
ZVVP-9MQ4-WHC6,4526500000.0,False,MCR,2021/09/27 00:00:00+00,1000.0,20000.0,5.0,True,False,True,residential,40219.0,USA,Kentucky,"40219, Kentucky, USA",13.0,4839
MQZ3-Z3YP-MF4J,7210690525.0,True,MCR,2021/09/27 00:00:00+00,1000.0,800.0,8.0,True,True,True,residential,40210.0,USA,Kentucky,"40210, Kentucky, USA",4.0,4840
ZQ9W-VPMR-3KVX,7082026305.0,False,MCR,2021/09/27 00:00:00+00,1000.0,1300.0,5.0,True,False,True,residential,40211.0,USA,Kentucky,"40211, Kentucky, USA",5.0,4841
23YM-4ZYZ-N3V2,8723857227.0,False,MCR,2021/09/28 00:00:00+00,1000.0,996.0,2.0,True,True,False,residential,40272.0,USA,Kentucky,"40272, Kentucky, USA",14.0,4842
MMRR-ZVYV-XNJG,2104810000.0,False,MCR,2021/09/28 00:00:00+00,1000.0,2400.0,5.0,True,False,False,residential,40216.0,USA,Kentucky,"40216, Kentucky, USA",1.0,4843
YV3W-LZZR-KTPH,4415506439.0,True,MCR,2021/09/28 00:00:00+00,1000.0,5000.0,6.0,True,False,True,residential,40213.0,USA,Kentucky,"40213, Kentucky, USA",1.0,4844
4ZNW-YPVM-LPXQ,8465340000.0,True,MCR,2021/09/28 00:00:00+00,1000.0,4300.0,3.0,True,False,False,residential,40220.0,USA,Kentucky,"40220, Kentucky, USA",11.0,4845
VP9Y-VYVP-299J,6515449484.0,True,MCR,2021/09/28 00:00:00+00,1000.0,2500.0,6.0,True,True,False,residential,40228.0,USA,Kentucky,"40228, Kentucky, USA",23.0,4846
YVM9-RK24-ZKF6,9801665032.0,False,MCR,2021/09/28 00:00:00+00,1000.0,2100.0,2.0,True,False,True,residential,40210.0,USA,Kentucky,"40210, Kentucky, USA",3.0,4847
VRYW-LLZW-L3ZV,7693310000.0,True,MCR,2021/09/28 00:00:00+00,1000.0,3000.0,1.0,True,True,True,residential,40216.0,USA,Kentucky,"40216, Kentucky, USA",3.0,4848
N4K2-3Q94-YM42,3081340000.0,True,MCR,2021/09/29 00:00:00+00,1000.0,200.0,1.0,True,False,True,residential,40229.0,USA,Kentucky,"40229, Kentucky, USA",13.0,4849
MQZ3-9M4Z-2YJZ,1123130230.0,False,MCR,2021/09/29 00:00:00+00,1000.0,800.0,4.0,True,False,False,residential,40216.0,USA,Kentucky,"40216, Kentucky, USA",12.0,4850
L9ZL-WYKR-GGLM,8467444606.0,True,MCR,2021/09/29 00:00:00+00,1000.0,3500.0,2.0,True,False,True,residential,40222.0,USA,Kentucky,"40222, Kentucky, USA",18.0,4851
RQLY-4PMK-CCHX,8147010000.0,False,MCR,2021/09/29 00:00:00+00,1000.0,1800.0,4.0,True,False,True,residential,40258.0,USA,Kentucky,"40258, Kentucky, USA",14.0,4852
RPN3-PWNQ-GCVM,4937800000.0,False,MCR,2021/09/29 00:00:00+00,1000.0,794.0,1.0,True,False,False,residential,40272.0,USA,Kentucky,"40272, Kentucky, USA",25.0,4853
RPR9-4ZQN-GGGM,1664210000.0,False,MCR,2021/09/29 00:00:00+00,1000.0,746.0,5.0,True,True,False,residential,40216.0,USA,Kentucky,"40216, Kentucky, USA",1.0,4854
RK3W-YL4Y-QPYF,2669749218.0,True,MCR,2021/09/30 00:00:00+00,1000.0,1060.0,1.0,True,False,False,residential,40210.0,USA,Kentucky,"40210, Kentucky, USA",1.0,4855
Z34N-WY3M-3QGW,2417879536.0,True,MCR,2021/09/30 00:00:00+00,1000.0,1700.0,1.0,True,False,True,residential,40212.0,USA,Kentucky,"40212, Kentucky, USA",5.0,4856
4ZNK-VY9K-ZVXH,6927510000.0,True,MCR,2021/10/01 00:00:00+00,1000.0,794.0,5.0,True,True,False,residential,40208.0,USA,Kentucky,"40208, Kentucky, USA",3.0,4857
K3ZK-QLVR-JMV6,2024920000.0,False,MCR,2021/10/01 00:00:00+00,1000.0,3500.0,7.0,True,True,True,residential,40212.0,USA,Kentucky,"40212, Kentucky, USA",5.0,4858
WYKQ-RKL3-JNPK,4201810000.0,False,MCR,2021/10/01 00:00:00+00,1000.0,1600.0,1.0,True,False,True,residential,40258.0,USA,Kentucky,"40258, Kentucky, USA",14.0,4859
QLVR-ZQ3Y-6PQH,9003687344.0,False,MCR,2021/10/02 00:00:00+00,1000.0,2400.0,5.0,True,False,True,residential,40216.0,USA,Kentucky,"40216, Kentucky, USA",12.0,4860
RPN4-MMPW-2T4Z,8804300000.0,True,MCR,2021/10/04 00:00:00+00,1000.0,1600.0,4.0,True,False,True,residential,40217.0,USA,Kentucky,"40217, Kentucky, USA",15.0,4861
32Q9-L9Q9-4R63,3234291393.0,False,MCR,2021/10/04 00:00:00+00,1000.0,900.0,1.0,True,True,True,residential,40210.0,USA,Kentucky,"40210, Kentucky, USA",6.0,4862
4PRW-RPMM-WP29,484519876.0,False,MCR,2021/10/04 00:00:00+00,1000.0,3000.0,3.0,True,False,True,residential,40216.0,USA,Kentucky,"40216, Kentucky, USA",12.0,4863
VYPK-PKYQ-QRRJ,1027172974.0,True,MCR,2021/10/04 00:00:00+00,1000.0,750.0,5.0,True,True,False,residential,40211.0,USA,Kentucky,"40211, Kentucky, USA",4.0,4864
VPWP-PWQV-RCNP,3338410000.0,False,MCR,2021/10/04 00:00:00+00,1000.0,961.0,2.0,True,False,False,residential,40210.0,USA,Kentucky,"40210, Kentucky, USA",6.0,4865
L94V-QQPP-RTNY,7357510000.0,True,MCR,2021/10/04 00:00:00+00,1000.0,3500.0,4.0,True,True,True,residential,40211.0,USA,Kentucky,"40211, Kentucky, USA",1.0,4866
WYM9-LL9W-6H4F,9136531025.0,False,MCR,2021/10/04 00:00:00+00,1000.0,220.0,6.0,True,True,False,residential,40212.0,USA,Kentucky,"40212, Kentucky, USA",5.0,4867
VPNM-ZQ3R-K3TV,8675810000.0,False,MCR,2021/10/04 00:00:00+00,1000.0,1050.0,1.0,True,False,False,residential,40211.0,USA,Kentucky,"40211, Kentucky, USA",5.0,4868
VPWL-QKQM-KLX2,4574557344.0,False,MCR,2021/10/05 00:00:00+00,1000.0,33000.0,4.0,True,False,True,residential,40203.0,USA,Kentucky,"40203, Kentucky, USA",5.0,4869
RKMV-N4QR-662K,5657110000.0,True,MCR,2021/10/05 00:00:00+00,1000.0,250.0,2.0,True,True,False,residential,40216.0,USA,Kentucky,"40216, Kentucky, USA",1.0,4870
