OBJECTID,DFIRM_ID,FLD_AR_ID,FLD_ZONE,FLOODWAY,SFHA_TF,AR_REVERT,SOURCE_CIT,HYDRO_ID,CST_MDL_ID
619,50025C,50025C_2633,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
620,50021C,50021C_6445,AE,FLOODWAY,T,,50021C_FIS1,,
621,50021C,50021C_7274,AE,FLOODWAY,T,,50021C_FIS1,,
622,50021C,50021C_7054,AE,FLOODWAY,T,,50021C_FIS1,,
623,500068,500068_6928,AE,FLOODWAY,T,,500068_FIS1,,
624,50021C,50021C_7569,AE,FLOODWAY,T,,50021C_FIS1,,
625,50021C,50021C_7043,AE,FLOODWAY,T,,50021C_FIS2,,
626,50021C,50021C_7037,AE,FLOODWAY,T,,50021C_FIS1,,
627,50021C,50021C_7368,AE,FLOODWAY,T,,50021C_FIS1,,
628,50025C,50025C_2733,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
629,50021C,50021C_7671,AE,FLOODWAY,T,,50021C_FIS1,,
630,50021C,50021C_7674,AE,FLOODWAY,T,,50021C_FIS1,,
631,50027C,50027C_9204,AE,FLOODWAY,T,,50027C_FIS1,,
632,50027C,50027C_9311,AE,FLOODWAY,T,,50027C_FIS1,,
633,50027C,50027C_8324,AE,FLOODWAY,T,,50027C_FIS1,,
634,50025C,50025C_2543,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
635,50021C,50021C_7681,AE,FLOODWAY,T,,50021C_FIS2,,
636,50027C,50027C_6318,AE,FLOODWAY,T,,50027C_FIS1,,
637,50027C,50027C_6319,AE,FLOODWAY,T,,50027C_FIS1,,
638,50027C,50027C_9148,AE,FLOODWAY,T,,50027C_FIS1,,
639,50027C,50027C_9150,AE,FLOODWAY,T,,50027C_FIS1,,
640,50027C,50027C_9151,AE,FLOODWAY,T,,50027C_FIS1,,
641,50027C,50027C_9204,AE,FLOODWAY,T,,50027C_FIS1,,
642,50021C,50021C_7043,AE,FLOODWAY,T,,50021C_FIS2,,
643,50021C,50021C_7037,AE,FLOODWAY,T,,50021C_FIS1,,
644,50021C,50021C_7671,AE,FLOODWAY,T,,50021C_FIS1,,
645,50021C,50021C_5961,AE,FLOODWAY,T,,50021C_FIS1,,
646,50027C,50027C_8618,AE,FLOODWAY,T,,50027C_FIS1,,
647,50021C,50021C_7823,AE,FLOODWAY,T,,50021C_FIS1,,
648,50021C,50021C_6445,AE,FLOODWAY,T,,50021C_FIS1,,
649,50021C,50021C_7681,AE,FLOODWAY,T,,50021C_FIS2,,
650,50025C,50025C_2715,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
651,50027C,50027C_6311,AE,FLOODWAY,T,,50027C_FIS1,,
652,50021C,50021C_6445,AE,FLOODWAY,T,,50021C_FIS1,,
653,50027C,50027C_8277,AE,FLOODWAY,T,,50027C_FIS1,,
654,50021C,50021C_7063,AE,FLOODWAY,T,,50021C_FIS1,,
655,50021C,50021C_5935,AE,FLOODWAY,T,,50021C_FIS1,,
656,50025C,50025C_2740,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
657,50021C,50021C_7368,AE,FLOODWAY,T,,50021C_FIS1,,
658,50025C,50025C_2609,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
659,50025C,50025C_2762,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
