AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,OBJECTID
6896,POLICE LIEUTENANT                  ,M,W ,40 - 49,48,INSPECTIONS AND COMPLIANCE UNIT                        ,STAFF                                                  ,25.0,803
6898,POLICE OFFICER                     ,M,W ,50 - 59,56,NARCOTICS                                              ,SQUAD 2                                                ,28.0,804
6899,POLICE OFFICER                     ,M,W ,OVER 60,64,6TH DIVISION                                           ,DETECTIVES                                             ,30.0,805
6900,POLICE OFFICER                     ,M,W ,50 - 59,50,PROPERTY ROOM SECTION                                  ,EVIDENCE TECH TEAM                                     ,21.0,806
6901,POLICE OFFICER                     ,M,B ,50 - 59,52,TRAINING                                               ,IN-SERVICE TRAINING UNIT                               ,30.0,807
6905,POLICE SERGEANT                    ,M,W ,50 - 59,53,8TH DIVISION                                           ,STAFF                                                  ,27.0,808
6906,POLICE OFFICER                     ,M,B ,50 - 59,59,8TH DIVISION                                           ,2ND PLATOON                                            ,27.0,809
6907,POLICE OFFICER                     ,M,W ,50 - 59,56,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,33.0,810
6910,POLICE SERGEANT                    ,M,W ,50 - 59,53,CANINE UNIT                                            ,2ND PLATOON                                            ,29.0,811
6923,POLICE OFFICER                     ,M,W ,50 - 59,51,8TH DIVISION                                           ,2ND PLATOON                                            ,28.0,812
6924,POLICE SERGEANT                    ,M,W ,50 - 59,56,4TH DIVISION                                           ,2ND PLATOON                                            ,28.0,813
6925,POLICE OFFICER                     ,M,B ,50 - 59,56,6TH DIVISION                                           ,2ND PLATOON                                            ,28.0,814
6926,POLICE SERGEANT                    ,M,W ,40 - 49,48,TRAFFIC                                                ,3RD PLATOON                                            ,24.0,815
6927,POLICE OFFICER                     ,M,W ,50 - 59,52,8TH DIVISION                                           ,1ST PLATOON                                            ,24.0,816
6929,POLICE OFFICER                     ,M,W ,50 - 59,53,8TH DIVISION                                           ,1ST PLATOON                                            ,23.0,817
6930,POLICE OFFICER                     ,M,W ,40 - 49,45,CIS ROBBERY                                            ,FINANCIAL CRIMES                                       ,23.0,818
6931,POLICE OFFICER                     ,F,A ,40 - 49,49,8TH DIVISION                                           ,2ND PLATOON                                            ,22.0,819
6932,POLICE LIEUTENANT                  ,M,W ,40 - 49,44,ADMINISTRATIVE SERVICES DIVISION                       ,STAFF                                                  ,22.0,820
6933,POLICE OFFICER                     ,M,W ,40 - 49,48,WELLNESS UNIT                                          ,STAFF                                                  ,22.0,821
6937,POLICE OFFICER                     ,M,W ,40 - 49,44,7TH DIVISION                                           ,1ST PLATOON                                            ,21.0,822
6938,POLICE OFFICER                     ,M,W ,50 - 59,58,6TH DIVISION                                           ,RESOURCE OFFICERS                                      ,21.0,823
6942,POLICE OFFICER                     ,F,W ,50 - 59,54,TRAINING                                               ,IN-SERVICE TRAINING UNIT                               ,31.0,824
6943,POLICE SERGEANT                    ,F,W ,50 - 59,54,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,28.0,825
6946,POLICE OFFICER                     ,M,W ,40 - 49,49,CRIMES AGAINST CHILDREN                                ,OPERATIONS A                                           ,25.0,826
6947,POLICE OFFICER                     ,M,W ,OVER 60,60,5TH DIVISION                                           ,2ND PLATOON                                            ,25.0,827
6948,POLICE SERGEANT                    ,M,W ,40 - 49,47,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,25.0,828
6950,POLICE OFFICER                     ,M,B ,40 - 49,48,8TH DIVISION                                           ,DETECTIVES                                             ,23.0,829
6951,POLICE OFFICER                     ,M,B ,50 - 59,56,1ST DIVISION                                           ,FLEX PLATOON                                           ,23.0,830
6952,POLICE MAJOR                       ,M,W ,40 - 49,45,PATROL BUREAU                                          ,STAFF                                                  ,23.0,831
6953,POLICE OFFICER                     ,M,W ,50 - 59,51,8TH DIVISION                                           ,1ST PLATOON                                            ,23.0,832
6954,POLICE OFFICER                     ,M,B ,50 - 59,53,8TH DIVISION                                           ,1ST PLATOON                                            ,22.0,833
6955,POLICE OFFICER                     ,M,W ,40 - 49,43,6TH DIVISION                                           ,DETECTIVES                                             ,21.0,834
6957,POLICE OFFICER                     ,M,B ,OVER 60,63,7TH DIVISION                                           ,3RD PLATOON                                            ,21.0,835
6959,POLICE SERGEANT                    ,M,W ,40 - 49,43,AIR PATROL                                             ,STAFF                                                  ,21.0,836
6963,POLICE SERGEANT                    ,M,W ,40 - 49,44,PROPERTY ROOM SECTION                                  ,EVIDENCE TECH TEAM                                     ,23.0,837
6964,POLICE OFFICER                     ,M,W ,40 - 49,47,MOUNTED PATROL                                         ,STAFF                                                  ,23.0,838
6965,POLICE LIEUTENANT                  ,M,W ,40 - 49,49,5TH DIVISION                                           ,STAFF                                                  ,21.0,839
6966,POLICE OFFICER                     ,M,W ,50 - 59,55,8TH DIVISION                                           ,FLEX PLATOON                                           ,21.0,840
6972,POLICE OFFICER                     ,M,W ,50 - 59,53,6TH DIVISION                                           ,3RD PLATOON                                            ,29.0,841
6974,POLICE OFFICER                     ,M,W ,50 - 59,57,8TH DIVISION                                           ,DETECTIVES                                             ,27.0,842
6975,POLICE OFFICER                     ,M,W ,50 - 59,53,TRAINING                                               ,RECRUITING AND SELECTION                               ,27.0,843
6977,POLICE OFFICER                     ,M,W ,40 - 49,48,7TH DIVISION                                           ,2ND PLATOON                                            ,25.0,844
6978,POLICE OFFICER                     ,M,B ,OVER 60,60,2ND DIVISION                                           ,1ST PLATOON                                            ,27.0,845
6980,POLICE OFFICER                     ,M,W ,50 - 59,51,8TH DIVISION                                           ,FLEX PLATOON                                           ,24.0,846
6994,POLICE OFFICER                     ,M,W ,40 - 49,48,COMMUNITY POLICING UNIT                                ,STAFF                                                  ,24.0,847
6995,POLICE OFFICER                     ,M,W ,40 - 49,49,7TH DIVISION                                           ,3RD PLATOON                                            ,24.0,848
6997,POLICE SERGEANT                    ,F,W ,50 - 59,52,CIS ROBBERY                                            ,FINANCIAL CRIMES                                       ,31.0,849
6998,POLICE SERGEANT                    ,M,W ,50 - 59,58,8TH DIVISION                                           ,FLEX PLATOON                                           ,31.0,850
6999,POLICE SERGEANT                    ,M,B ,50 - 59,52,TRAINING                                               ,RECRUITING AND SELECTION                               ,31.0,851
7500,POLICE OFFICER                     ,M,W ,OVER 60,62,3RD DIVISION                                           ,2ND PLATOON                                            ,18.0,852
7501,POLICE OFFICER                     ,M,W ,40 - 49,48,TRAINING                                               ,BASIC ACADEMY                                          ,18.0,853
7502,POLICE OFFICER                     ,M,W ,50 - 59,56,4TH DIVISION                                           ,1ST PLATOON B                                          ,18.0,854
7503,POLICE OFFICER                     ,M,W ,50 - 59,53,HOMELAND SECURITY UNIT                                 ,STAFF                                                  ,18.0,855
7505,POLICE OFFICER                     ,M,W ,40 - 49,45,PUBLIC INFORMATION OFFICE                              ,COMMUNITY ENGAGEMENT UNIT                              ,18.0,856
7506,POLICE SERGEANT                    ,M,W ,OVER 60,63,4TH DIVISION                                           ,1ST PLATOON                                            ,18.0,857
7507,POLICE SERGEANT                    ,M,W ,50 - 59,51,4TH DIVISION                                           ,2ND PLATOON                                            ,18.0,858
7508,POLICE LIEUTENANT                  ,M,W ,40 - 49,44,HOMELAND SECURITY UNIT                                 ,STAFF                                                  ,18.0,859
7509,POLICE LIEUTENANT                  ,M,W ,40 - 49,46,SPECIAL INVESTIGATIONS DIVISION                        ,STAFF                                                  ,18.0,860
7510,POLICE OFFICER                     ,M,H ,OVER 60,68,8TH DIVISION                                           ,1ST PLATOON                                            ,18.0,861
7511,POLICE SERGEANT                    ,M,W ,40 - 49,45,COMMUNITY EVENTS UNIT                                  ,STAFF                                                  ,18.0,862
7512,POLICE SERGEANT                    ,M,W ,40 - 49,49,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,20.0,863
7513,POLICE OFFICER                     ,M,B ,50 - 59,54,1ST DIVISION                                           ,RESOURCE OFFICERS                                      ,18.0,864
7514,POLICE SERGEANT                    ,M,W ,40 - 49,42,CIS SPECIAL VICTIMS                                    ,CRIMES AGAINST CHILDREN                                ,17.0,865
7515,POLICE LIEUTENANT                  ,M,W ,40 - 49,43,CANINE UNIT                                            ,STAFF                                                  ,17.0,866
7516,POLICE OFFICER                     ,M,W ,30 - 39,39,CRIMES AGAINST CHILDREN                                ,OPERATIONS A                                           ,17.0,867
7517,POLICE OFFICER                     ,F,W ,40 - 49,43,CRIMES AGAINST CHILDREN                                ,OPERATIONS A                                           ,17.0,868
7518,POLICE LIEUTENANT                  ,M,W ,40 - 49,40,1ST DIVISION                                           ,STAFF                                                  ,17.0,869
7519,POLICE OFFICER                     ,M,W ,40 - 49,45,VIOLENT CRIME UNIT                                     ,SQUAD 1                                                ,17.0,870
7521,POLICE LIEUTENANT                  ,M,W ,40 - 49,42,3RD DIVISION                                           ,STAFF                                                  ,17.0,871
7522,POLICE SERGEANT                    ,M,W ,40 - 49,41,CIS SPECIAL VICTIMS                                    ,DOMESTIC VIOLENCE UNIT                                 ,17.0,872
7523,POLICE SERGEANT                    ,M,W ,40 - 49,44,CIS SPECIAL VICTIMS                                    ,SEX CRIMES                                             ,17.0,873
7524,POLICE OFFICER                     ,M,W ,50 - 59,53,3RD DIVISION                                           ,1ST PLATOON                                            ,17.0,874
7527,POLICE OFFICER                     ,M,W ,40 - 49,41,4TH DIVISION                                           ,2ND PLATOON                                            ,17.0,875
7528,POLICE OFFICER                     ,M,W ,50 - 59,51,MAJOR CRIME DIVISION                                   ,STAFF                                                  ,17.0,876
7529,POLICE OFFICER                     ,M,W ,40 - 49,42,8TH DIVISION                                           ,1ST PLATOON                                            ,17.0,877
7530,POLICE SERGEANT                    ,M,W ,40 - 49,43,SUPPORT BUREAU                                         ,STAFF                                                  ,17.0,878
7532,POLICE LIEUTENANT                  ,M,W ,50 - 59,58,7TH DIVISION                                           ,STAFF                                                  ,17.0,879
7534,POLICE OFFICER                     ,M,W ,40 - 49,47,RCFL                                                   ,STAFF                                                  ,17.0,880
7535,POLICE SERGEANT                    ,M,W ,OVER 60,62,5TH DIVISION                                           ,1ST PLATOON                                            ,17.0,881
7536,POLICE SERGEANT                    ,F,W ,40 - 49,40,CIS ROBBERY                                            ,2ND PLATOON                                            ,17.0,882
7537,POLICE SERGEANT                    ,M,W ,40 - 49,40,TECHNICAL SERVICES                                     ,TECHNICAL INVESTIGATIONS UNIT                          ,17.0,883
7538,POLICE OFFICER                     ,M,W ,40 - 49,46,2ND DIVISION                                           ,1ST PLATOON                                            ,17.0,884
7540,POLICE SERGEANT                    ,M,W ,40 - 49,40,6TH DIVISION                                           ,1ST PLATOON                                            ,17.0,885
7541,POLICE OFFICER                     ,M,W ,40 - 49,43,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,17.0,886
7543,POLICE SERGEANT                    ,M,W ,40 - 49,45,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,17.0,887
7544,POLICE OFFICER                     ,F,W ,40 - 49,43,5TH DIVISION                                           ,2ND PLATOON                                            ,17.0,888
7545,POLICE OFFICER                     ,M,W ,OVER 60,60,CIS ROBBERY                                            ,FINANCIAL CRIMES                                       ,17.0,889
7546,POLICE OFFICER                     ,M,W ,40 - 49,45,MAJOR CRIME DIVISION                                   ,STAFF                                                  ,17.0,890
7547,POLICE SERGEANT                    ,M,B ,40 - 49,44,SWAT UNIT                                              ,STAFF                                                  ,17.0,891
7548,POLICE OFFICER                     ,M,W ,50 - 59,51,TECHNICAL SERVICES                                     ,TECHNICAL SERVICES                                     ,17.0,892
7549,POLICE LIEUTENANT                  ,M,W ,50 - 59,53,1ST DIVISION                                           ,STAFF                                                  ,17.0,893
7550,POLICE OFFICER                     ,M,W ,40 - 49,45,MOUNTED PATROL                                         ,STAFF                                                  ,17.0,894
7552,POLICE OFFICER                     ,M,W ,50 - 59,53,SWAT UNIT                                              ,SQUAD 1                                                ,18.0,895
7553,POLICE OFFICER                     ,F,W ,40 - 49,47,CRIMES AGAINST CHILDREN                                ,OPERATIONS A                                           ,18.0,896
7555,POLICE OFFICER                     ,M,B ,40 - 49,44,1ST DIVISION                                           ,BIKE PLATOON                                           ,17.0,897
7556,POLICE SERGEANT                    ,M,W ,40 - 49,40,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,17.0,898
7557,POLICE OFFICER                     ,M,W ,40 - 49,45,2ND DIVISION                                           ,HALO/DRO                                               ,17.0,899
7558,POLICE OFFICER                     ,M,W ,40 - 49,49,CRIMES AGAINST CHILDREN                                ,CRIMES AGAINST CHILDREN                                ,17.0,900
7560,POLICE OFFICER                     ,M,A ,40 - 49,42,4TH DIVISION                                           ,1ST PLATOON                                            ,17.0,901
7561,POLICE OFFICER                     ,M,W ,50 - 59,55,3RD DIVISION                                           ,3RD PLATOON                                            ,17.0,902
7562,POLICE OFFICER                     ,M,W ,50 - 59,59,3RD DIVISION                                           ,1ST PLATOON                                            ,17.0,903
7563,POLICE OFFICER                     ,M,W ,40 - 49,42,1ST DIVISION                                           ,BIKE PLATOON                                           ,17.0,904
7564,POLICE SERGEANT                    ,F,W ,40 - 49,42,5TH DIVISION                                           ,2ND PLATOON                                            ,17.0,905
7566,POLICE LIEUTENANT                  ,M,W ,40 - 49,49,TRAINING                                               ,STAFF                                                  ,17.0,906
7567,POLICE OFFICER                     ,M,W ,40 - 49,48,4TH DIVISION                                           ,DETECTIVES                                             ,17.0,907
7568,POLICE OFFICER                     ,M,W ,40 - 49,46,1ST DIVISION                                           ,FLEX PLATOON                                           ,17.0,908
7570,POLICE OFFICER                     ,M,W ,50 - 59,53,5TH DIVISION                                           ,1ST PLATOON                                            ,17.0,909
7571,POLICE SERGEANT                    ,M,W ,40 - 49,49,8TH DIVISION                                           ,2ND PLATOON                                            ,17.0,910
7572,POLICE SERGEANT                    ,M,W ,OVER 60,61,SWAT UNIT                                              ,STAFF                                                  ,16.0,911
7573,POLICE OFFICER                     ,M,W ,40 - 49,40,RECORDS MANAGEMENT                                     ,LMPD SERVICE CENTER                                    ,16.0,912
7575,POLICE OFFICER                     ,M,W ,30 - 39,38,INSPECTIONS AND COMPLIANCE UNIT                        ,STAFF                                                  ,16.0,913
7577,POLICE OFFICER                     ,M,W ,40 - 49,40,MAJOR CASE UNIT                                        ,FEDERAL TASK FORCES                                    ,16.0,914
7578,POLICE SERGEANT                    ,M,W ,40 - 49,48,TRAFFIC                                                ,2ND PLATOON                                            ,16.0,915
7579,POLICE OFFICER                     ,M,B ,50 - 59,53,PROPERTY ROOM SECTION                                  ,STAFF                                                  ,16.0,916
7581,POLICE OFFICER                     ,F,W ,50 - 59,50,4TH DIVISION                                           ,DETECTIVES 1                                           ,16.0,917
7582,DEPUTY POLICE CHIEF                ,M,B ,30 - 39,39,CHIEF`S STAFF                                          ,STAFF                                                  ,16.0,918
7583,POLICE LIEUTENANT                  ,M,W ,50 - 59,52,COMMUNITY EVENTS UNIT                                  ,STAFF                                                  ,16.0,919
7584,POLICE OFFICER                     ,M,B ,40 - 49,42,2ND DIVISION                                           ,DETECTIVES                                             ,16.0,920
7585,POLICE OFFICER                     ,M,W ,40 - 49,43,3RD DIVISION                                           ,1ST PLATOON                                            ,16.0,921
7586,POLICE SERGEANT                    ,M,W ,40 - 49,40,CIS HOMICIDE                                           ,STAFF                                                  ,16.0,922
7587,POLICE OFFICER                     ,M,W ,40 - 49,49,6TH DIVISION                                           ,3RD PLATOON                                            ,16.0,923
7588,POLICE OFFICER                     ,M,A ,50 - 59,53,TRAINING                                               ,RECRUITING AND SELECTION                               ,16.0,924
7589,POLICE OFFICER                     ,F,W ,30 - 39,39,TRAINING                                               ,STAFF                                                  ,16.0,925
7590,POLICE OFFICER                     ,M,W ,40 - 49,48,CIS ROBBERY                                            ,2ND PLATOON                                            ,16.0,926
7591,POLICE SERGEANT                    ,M,W ,40 - 49,40,WELLNESS UNIT                                          ,STAFF                                                  ,16.0,927
7592,POLICE OFFICER                     ,M,W ,40 - 49,45,4TH DIVISION                                           ,DETECTIVES                                             ,16.0,928
7594,POLICE OFFICER                     ,M,W ,40 - 49,41,6TH DIVISION                                           ,DETECTIVES                                             ,16.0,929
7595,POLICE OFFICER                     ,F,W ,40 - 49,45,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,16.0,930
7596,POLICE LIEUTENANT                  ,M,W ,40 - 49,49,CRIMINAL INTERDICTION                                  ,STAFF                                                  ,16.0,931
7598,POLICE OFFICER                     ,M,W ,40 - 49,48,CIS ROBBERY                                            ,2ND PLATOON                                            ,16.0,932
7599,POLICE SERGEANT                    ,M,W ,50 - 59,50,PERFORMANCE DIVISION                                   ,STAFF                                                  ,16.0,933
7600,POLICE OFFICER                     ,F,W ,40 - 49,40,MAJOR CRIME DIVISION                                   ,FUGITIVE APPREHENSION SQUAD                            ,16.0,934
7602,POLICE LIEUTENANT                  ,M,W ,40 - 49,41,ADMINISTRATIVE BUREAU                                  ,STAFF                                                  ,16.0,935
7603,POLICE OFFICER                     ,M,B ,40 - 49,42,4TH DIVISION                                           ,SUPPORT PLATOON                                        ,16.0,936
7604,POLICE OFFICER                     ,M,W ,40 - 49,40,2ND DIVISION                                           ,3RD PLATOON                                            ,16.0,937
7605,POLICE OFFICER                     ,M,W ,40 - 49,48,5TH DIVISION                                           ,RECRUITS                                               ,16.0,938
7606,POLICE OFFICER                     ,M,W ,40 - 49,40,7TH DIVISION                                           ,1ST PLATOON                                            ,16.0,939
7607,POLICE OFFICER                     ,M,W ,40 - 49,41,4TH DIVISION                                           ,3RD PLATOON                                            ,16.0,940
7608,POLICE OFFICER                     ,M,W ,40 - 49,41,TRAINING                                               ,BASIC ACADEMY                                          ,16.0,941
7609,POLICE MAJOR                       ,M,W ,40 - 49,42,TRAINING                                               ,STAFF                                                  ,16.0,942
7611,POLICE OFFICER                     ,M,W ,50 - 59,54,VIOLENT CRIME UNIT                                     ,SQUAD 1                                                ,16.0,943
7612,POLICE OFFICER                     ,F,B ,30 - 39,38,HOMELAND SECURITY UNIT                                 ,STAFF                                                  ,14.0,944
7614,POLICE OFFICER                     ,M,H ,40 - 49,43,FOCUSED INTELLIGENCE UNIT                              ,MAJOR CASE SQUAD                                       ,16.0,945
7615,POLICE OFFICER                     ,M,W ,40 - 49,40,8TH DIVISION                                           ,1ST PLATOON                                            ,16.0,946
7616,POLICE OFFICER                     ,M,W ,40 - 49,41,FOCUSED INTELLIGENCE UNIT                              ,MAJOR CASE SQUAD                                       ,16.0,947
7617,POLICE OFFICER                     ,M,W ,40 - 49,41,9TH DIVISION                                           ,STAFF                                                  ,16.0,948
7618,POLICE LIEUTENANT                  ,M,W ,40 - 49,49,TRAINING                                               ,BASIC ACADEMY                                          ,16.0,949
7619,POLICE OFFICER                     ,M,B ,40 - 49,49,4TH DIVISION                                           ,1ST PLATOON                                            ,16.0,950
7620,POLICE OFFICER                     ,M,B ,30 - 39,38,1ST DIVISION                                           ,BIKE PLATOON                                           ,16.0,951
7621,POLICE OFFICER                     ,M,W ,40 - 49,40,VIOLENT CRIME UNIT                                     ,SQUAD 2                                                ,16.0,952
7622,POLICE OFFICER                     ,M,W ,50 - 59,52,8TH DIVISION                                           ,RESOURCE OFFICERS                                      ,16.0,953
7623,POLICE OFFICER                     ,M,W ,50 - 59,50,9TH DIVISION                                           ,SQUAD 3                                                ,16.0,954
7624,POLICE OFFICER                     ,M,B ,OVER 60,63,2ND DIVISION                                           ,3RD PLATOON                                            ,16.0,955
7626,POLICE SERGEANT                    ,M,B ,40 - 49,43,1ST DIVISION                                           ,BIKE PLATOON                                           ,16.0,956
7627,POLICE OFFICER                     ,M,W ,40 - 49,40,VIOLENT CRIME UNIT                                     ,PLACE BASED INVESTIGATIONS                             ,16.0,957
7628,POLICE OFFICER                     ,M,W ,30 - 39,39,TRAFFIC                                                ,1ST PLATOON                                            ,16.0,958
7631,POLICE OFFICER                     ,M,W ,50 - 59,52,8TH DIVISION                                           ,1ST PLATOON                                            ,16.0,959
7632,POLICE OFFICER                     ,M,W ,40 - 49,45,5TH DIVISION                                           ,1ST PLATOON                                            ,16.0,960
7633,POLICE OFFICER                     ,M,W ,40 - 49,41,8TH DIVISION                                           ,2ND PLATOON                                            ,16.0,961
7634,POLICE SERGEANT                    ,M,W ,40 - 49,43,5TH DIVISION                                           ,2ND PLATOON                                            ,16.0,962
7635,POLICE LIEUTENANT                  ,M,W ,40 - 49,45,CRIMINAL INTERDICTION                                  ,STAFF                                                  ,16.0,963
7636,POLICE SERGEANT                    ,M,W ,40 - 49,40,CIS ROBBERY                                            ,2ND PLATOON                                            ,16.0,964
7637,POLICE OFFICER                     ,M,W ,40 - 49,43,PROPERTY ROOM SECTION                                  ,EVIDENCE TECH TEAM                                     ,16.0,965
7638,POLICE LIEUTENANT                  ,M,W ,30 - 39,39,4TH DIVISION                                           ,STAFF                                                  ,16.0,966
7640,POLICE OFFICER                     ,M,W ,40 - 49,43,AIR PATROL                                             ,STAFF                                                  ,16.0,967
7641,POLICE SERGEANT                    ,M,W ,40 - 49,43,MOUNTED PATROL                                         ,STAFF                                                  ,16.0,968
7642,POLICE SERGEANT                    ,M,W ,40 - 49,42,7TH DIVISION                                           ,1ST PLATOON                                            ,16.0,969
7643,POLICE OFFICER                     ,M,W ,40 - 49,41,MAJOR CRIME DIVISION                                   ,FUGITIVE APPREHENSION SQUAD                            ,16.0,970
7644,POLICE OFFICER                     ,M,W ,40 - 49,42,MAJOR CASE UNIT                                        ,INTERDICTION SQUAD                                     ,16.0,971
7645,POLICE SERGEANT                    ,M,W ,40 - 49,44,3RD DIVISION                                           ,1ST PLATOON                                            ,16.0,972
7646,POLICE MAJOR                       ,F,W ,30 - 39,39,ADMINISTRATIVE SERVICES DIVISION                       ,STAFF                                                  ,16.0,973
7647,POLICE OFFICER                     ,M,W ,50 - 59,53,4TH DIVISION                                           ,STAFF                                                  ,16.0,974
7648,POLICE OFFICER                     ,M,W ,40 - 49,40,CIS SPECIAL VICTIMS                                    ,DOMESTIC VIOLENCE UNIT                                 ,16.0,975
7649,POLICE OFFICER                     ,M,W ,50 - 59,50,3RD DIVISION                                           ,2ND PLATOON                                            ,16.0,976
7650,POLICE SERGEANT                    ,M,W ,40 - 49,42,4TH DIVISION                                           ,DETECTIVES                                             ,16.0,977
7651,POLICE SERGEANT                    ,M,W ,40 - 49,45,2ND DIVISION                                           ,1ST PLATOON                                            ,16.0,978
7652,POLICE SERGEANT                    ,M,W ,40 - 49,41,6TH DIVISION                                           ,1ST PLATOON                                            ,15.0,979
7653,POLICE OFFICER                     ,F,W ,30 - 39,38,1ST DIVISION                                           ,2ND PLATOON                                            ,15.0,980
7655,POLICE SERGEANT                    ,M,W ,40 - 49,46,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,15.0,981
7656,POLICE OFFICER                     ,F,W ,30 - 39,38,2ND DIVISION                                           ,1ST PLATOON                                            ,15.0,982
7657,POLICE OFFICER                     ,M,B ,40 - 49,44,1ST DIVISION                                           ,2ND PLATOON                                            ,15.0,983
7659,POLICE OFFICER                     ,M,W ,40 - 49,40,COMPLAINT RESPONSE UNIT                                ,SQUAD 1                                                ,15.0,984
7660,POLICE SERGEANT                    ,M,W ,40 - 49,40,CHIEF`S STAFF                                          ,STAFF                                                  ,15.0,985
7661,POLICE SERGEANT                    ,M,W ,30 - 39,39,8TH DIVISION                                           ,1ST PLATOON                                            ,15.0,986
7662,POLICE SERGEANT                    ,M,W ,50 - 59,53,CIS HOMICIDE                                           ,SQUAD 1                                                ,15.0,987
7663,POLICE OFFICER                     ,M,W ,50 - 59,56,CRIMINAL INTERDICTION                                  ,STAFF                                                  ,15.0,988
7664,POLICE OFFICER                     ,M,W ,40 - 49,45,SWAT UNIT                                              ,SQUAD 2                                                ,15.0,989
7665,POLICE LIEUTENANT                  ,M,W ,50 - 59,54,5TH DIVISION                                           ,STAFF                                                  ,15.0,990
7666,POLICE SERGEANT                    ,F,W ,30 - 39,38,COMMUNITY EVENTS UNIT                                  ,STAFF                                                  ,15.0,991
7667,POLICE OFFICER                     ,M,W ,OVER 60,60,4TH DIVISION                                           ,1ST PLATOON                                            ,15.0,992
7668,POLICE OFFICER                     ,M,W ,40 - 49,40,MAJOR CASE UNIT                                        ,INTERDICTION SQUAD                                     ,15.0,993
7669,POLICE OFFICER                     ,M,W ,40 - 49,43,7TH DIVISION                                           ,1ST PLATOON                                            ,15.0,994
7670,POLICE SERGEANT                    ,M,A ,40 - 49,40,7TH DIVISION                                           ,1ST PLATOON                                            ,15.0,995
7671,POLICE LIEUTENANT                  ,M,A ,40 - 49,41,TRAINING                                               ,FIREARMS TRAINING UNIT                                 ,15.0,996
7673,POLICE SERGEANT                    ,M,H ,50 - 59,50,5TH DIVISION                                           ,1ST PLATOON                                            ,15.0,997
7674,POLICE OFFICER                     ,M,W ,OVER 60,63,1ST DIVISION                                           ,1ST PLATOON                                            ,15.0,998
2559,POLICE OFFICER                     ,M,W ,OVER 60,70,5TH DIVISION                                           ,3RD PLATOON                                            ,16.0,999
7035,POLICE OFFICER                     ,M,W ,30 - 39,38,SUPPORT UNIT                                           ,SCRIPT TEAM                                            ,11.0,1000
7723,POLICE LIEUTENANT                  ,M,W ,30 - 39,38,2ND DIVISION                                           ,STAFF                                                  ,14.0,1001
7704,POLICE MAJOR                       ,F,W ,40 - 49,43,SPECIAL OPERATIONS                                     ,STAFF                                                  ,15.0,1002
7716,POLICE SERGEANT                    ,M,W ,40 - 49,46,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,14.0,1003
7721,POLICE OFFICER                     ,M,B ,40 - 49,40,4TH DIVISION                                           ,STAFF                                                  ,14.0,1004
7703,POLICE OFFICER                     ,M,W ,30 - 39,38,8TH DIVISION                                           ,1ST PLATOON                                            ,15.0,1005
7694,POLICE SERGEANT                    ,F,W ,50 - 59,50,CIS SPECIAL VICTIMS                                    ,STAFF                                                  ,15.0,1006
7687,POLICE RECRUIT                     ,F,W ,40 - 49,48,TRAINING                                               ,RECRUITS                                               ,,1007
7677,POLICE OFFICER                     ,M,W ,30 - 39,38,7TH DIVISION                                           ,2ND PLATOON                                            ,15.0,1008
7690,POLICE OFFICER                     ,M,W ,50 - 59,53,3RD DIVISION                                           ,DETECTIVES                                             ,15.0,1009
7682,POLICE OFFICER                     ,M,W ,40 - 49,44,5TH DIVISION                                           ,1ST PLATOON                                            ,15.0,1010
7697,POLICE OFFICER                     ,F,W ,40 - 49,40,7TH DIVISION                                           ,1ST PLATOON                                            ,15.0,1011
7696,POLICE OFFICER                     ,F,W ,30 - 39,39,MAJOR CRIME DIVISION                                   ,STAFF                                                  ,15.0,1012
7679,POLICE LIEUTENANT                  ,M,W ,40 - 49,43,1ST DIVISION                                           ,STAFF                                                  ,15.0,1013
7684,POLICE SERGEANT                    ,M,W ,40 - 49,48,3RD DIVISION                                           ,1ST PLATOON                                            ,15.0,1014
7689,POLICE SERGEANT                    ,M,W ,50 - 59,56,CIS FORENSIC INVESTIGATIONS                            ,STAFF                                                  ,15.0,1015
7692,POLICE SERGEANT                    ,M,W ,40 - 49,41,6TH DIVISION                                           ,DETECTIVES                                             ,15.0,1016
7700,POLICE OFFICER                     ,M,B ,40 - 49,49,1ST DIVISION                                           ,BIKE PLATOON                                           ,15.0,1017
7685,POLICE SERGEANT                    ,M,W ,50 - 59,51,3RD DIVISION                                           ,1ST PLATOON                                            ,15.0,1018
7702,POLICE OFFICER                     ,M,W ,30 - 39,38,CANINE UNIT                                            ,3RD PLATOON                                            ,15.0,1019
7698,POLICE OFFICER                     ,M,W ,30 - 39,39,7TH DIVISION                                           ,1ST PLATOON                                            ,15.0,1020
