OBJECTID,OHV_AREA_ID,OHV_AREA_NM,OHV_AREA_NR,ADMIN_ST,ADM_UNIT_CD,ADMU_NM,LUPA_ID,LUP_NM,ROD_DT,LUP_OHV_DSGNTN,OHV_LMTN_CD,OHV_LMTN_TX,LUP_DCLR_ACRES,GIS_ACRES,BLM_ACRES,GlobalID,SHAPE_Length,SHAPE_Area
1823, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.01467153,,{505769E6-036F-479B-A051-09F2862BE590},35.299958916908,59.3729654274889
1824, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.7365759,,{C6F4B286-0D2E-4627-8179-87D18BD98BF2},408.060338831611,2980.81689978978
1825, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.16039143,,{D9E89C1B-8F66-4965-91CF-57FD68094748},131.852374538006,649.077753228963
1826, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.02558144,,{3FE77353-EBFC-4E0A-B8EF-B1B8B7501DAF},64.6401371729149,103.523619672368
1827, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.49348731,,{0FAEAE1E-5B6C-4AB8-A51B-CFF2F7B70573},348.648460757079,1997.07585353418
1828, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,2.800903,,{4148C2DE-A84D-4A69-9406-DBB2E4486070},648.750595432776,11334.8561615669
1829, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.02214713,,{95048B0B-4EE1-4A8C-AB4E-5F997A0A395B},46.2655486461533,89.6262545065699
1830, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.08179415,,{1F2FD3BA-20BA-4A50-9E21-7CCE7D714F43},172.093323969013,331.00918576476
1831, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,1.02723778,,{13B2D132-D90B-4F60-8ECC-720C9087360F},541.689021465097,4157.08945733506
1832, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.00527302,,{86DEF198-E072-446E-BE1D-7601AABCDE40},73.9380480221904,21.3391630867179
1833, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.03012402,,{C5C842B9-7FAB-4818-97AF-1263CD9312EA},102.313091660695,121.907214641358
1834, ,Priority Area 4: Dispersed Tres Rios, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,47.37613614,,{20AC5A43-078A-4148-B4C1-E72ABA0C8A4E},4975.46320227199,183632.877414105
1835, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.00486453,,{3E684845-B8B0-49CA-9D49-8A6C866ACF38},21.9873221659052,19.6857242981329
