OBJECTID,OHV_AREA_ID,OHV_AREA_NM,OHV_AREA_NR,ADMIN_ST,ADM_UNIT_CD,ADMU_NM,LUPA_ID,LUP_NM,ROD_DT,LUP_OHV_DSGNTN,OHV_LMTN_CD,OHV_LMTN_TX,LUP_DCLR_ACRES,GIS_ACRES,BLM_ACRES,GlobalID,SHAPE_Length,SHAPE_Area
613,OHV-CO-CON02000-114,,114,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,104.82962425,103.77078115,{605DA1B5-6F98-4A54-B3C8-CC12E5003E61},3106.77066776575,424230.438134116
614,OHV-CO-CON02000-115,,115,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,834.30025611,832.864978,{62B97440-F748-4F0F-B0EF-661036554EB8},14099.7723528725,3376293.34963589
615,OHV-CO-CON02000-116,,116,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,1028.19831242,1026.96617582,{27A77219-E656-44BD-A230-A047BB429B50},10783.7648835111,4160970.94410631
616,OHV-CO-CON02000-117,,117,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,270.79139161,270.37527786,{8521E279-50F8-44D5-B163-5ADEE0A0CBA1},4934.19654967932,1095853.88226386
617,OHV-CO-CON02000-118,,118,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,41.72783863,40.52626091,{AA358520-9653-425C-B060-3E9A8CD23CBA},1645.8135095389,168866.571771967
618,OHV-CO-CON02000-119,,119,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,192.10435139,191.38533602,{27709326-5FCF-447A-952A-57F6B105CF1F},4204.10486433137,777418.728182557
619,OHV-CO-CON02000-120,,120,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,203.189001,201.10903847,{007F9F3F-16C7-412E-B29E-DE76BA0BEE2F},4047.28817649493,822276.713665445
620,OHV-CO-CON02000-121,,121,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,139.08168584,138.59127379,{168F921C-7675-4768-ABBE-4814AD6B26BD},3467.78562393821,562843.613578871
621,OHV-CO-CON02000-122,,122,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,86.61259395,84.95391734,{0BA87630-5CBF-495C-A904-AA2A27AD10F6},2502.3574774027,350508.732078704
622,OHV-CO-CON02000-123,,123,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,84.30841973,82.83831231,{C8DE73B0-44B6-4E1A-AF55-D3619C21C77C},2508.43493087843,341184.069856672
623,OHV-CO-CON02000-124,,124,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,165.64226887,165.35928542,{DC1AB5EE-1587-463E-A26D-50AEBD86E336},3276.72946886224,670330.47959488
624,OHV-CO-CON02000-125,,125,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,524.05062124,523.44233429,{9888839A-6B49-4FDB-83A0-BD8D446F16AD},8881.7842904454,2120757.6222457
625,OHV-CO-CON02000-126,,126,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,41.76969011,41.71523145,{2059C514-9CAE-48D8-B391-D5248B1DE3A5},1644.64907294513,169035.938679674
626,OHV-CO-CON02000-127,,127,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,81.55412249,81.32946926,{25802DBB-9377-4151-84E3-600379D50972},2451.90453910464,330037.824390574
627,OHV-CO-CON02000-128,,128,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,202.71916115,202.52547937,{F157EDD7-2CB6-4676-9C6B-8474A685A7C9},4893.40619933196,820375.339239432
628,OHV-CO-CON02000-129,,129,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,41.29736156,40.3863855,{5D5365CF-2C22-4DF1-93AA-F4129D6C4EC5},1635.23952686666,167124.492851829
629,OHV-CO-CON02000-130,,130,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,41.91051471,41.72269444,{94117352-A898-4394-B56A-AA51AC962445},1647.54645494669,169605.835623569
630,OHV-CO-CON02000-131,,131,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,40.58575189,40.53521162,{48AF0D96-4BC1-4E77-A43D-666761B2CCA0},1621.11866917951,164244.710698037
631,OHV-CO-CON02000-132,,132,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,83.4367604,83.17995292,{883FA978-1A05-443D-B162-28EF1EEDB3C1},2461.19897640441,337656.589669931
632,OHV-CO-CON02000-133,,133,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,28.88757215,28.72332288,{6D82CF98-DBE5-467A-A0AD-BB6CD3FAC3FB},1405.2219998036,116903.856886938
633,OHV-CO-CON02000-134,,134,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,41.06071129,40.84757681,{700D61C7-18E9-4881-B821-43F941D65C4A},1630.5923815955,166166.803190826
634,OHV-CO-CON02000-135,,135,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,82.07560755,80.85520624,{73C091D4-3B35-4403-9BF7-97936DA77C25},2410.24460199395,332148.199529054
635,OHV-CO-CON02000-136,,136,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,555.90828558,554.22316811,{ADAC526C-B4F2-4135-8A5E-F6975229FCDC},9986.87792892113,2249681.01575855
636,OHV-CO-CON02000-137,,137,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,43.77136385,43.54412919,{E1CDCACC-9CE0-46FD-8264-CA8071DDDB25},1695.02813569991,177136.424929626
637,OHV-CO-CON02000-138,,138,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,53.58091636,53.36380729,{349327F5-7425-401E-8AF4-5C7B023F47F6},1912.7525878191,216834.275477578
638,OHV-CO-CON02000-139,,139,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,124.37728909,117.39144528,{C133D7B0-DEF9-410C-BFCB-753E936A837B},3277.95972870828,503337.031158939
639,OHV-CO-CON02000-140,,140,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,794.76603304,794.44883091,{3F111E08-FBDB-4A30-8E48-A211FA3F1B63},7996.84341296628,3216304.02511411
640,OHV-CO-CON02000-141,,141,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,161.18062368,160.77681175,{0248C9FF-F07B-4B20-A30A-E7D7402CA166},4038.65497277326,652274.842113471
641,OHV-CO-CON02000-142,,142,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,163.97071102,163.60526993,{8B7958D1-2055-46D4-B2E3-CE8D03D7DF94},4082.88151445844,663565.924983613
642,OHV-CO-CON02000-143,,143,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,41.240334,40.30382277,{F0631FDE-4212-4169-8979-E200BDB6826A},1634.36152648637,166893.710508441
643,OHV-CO-CON02000-144,,144,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,43.47913832,43.21775351,{E2CFF6DC-DF92-4535-BE1F-686A61766C08},1683.05962876532,175953.830166033
644,OHV-CO-CON02000-145,,145,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,125.41402882,124.9931126,{FDBF0495-88A7-4E4F-8DBF-735B714A1619},3272.50615403714,507532.567981446
645,OHV-CO-CON02000-146,,146,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,121.82528933,118.59222816,{37519BE0-A90D-4F7E-84F9-E1FDDDE2A87B},3248.70978088232,493009.454555966
646,OHV-CO-CON02000-147,,147,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,40.45429371,39.32623881,{AB22401C-E3E5-4ABD-BBA9-87C1ACAA625A},1618.59163564551,163712.718298915
647,OHV-CO-CON02000-148,,148,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,38.30590379,38.06777799,{6154C2F3-439D-442C-BED5-DA7A456BFCBD},1576.27749705622,155018.492770961
648,OHV-CO-CON02000-149,,149,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,80.37907095,79.99548966,{9D086DCC-E8FF-4998-A73B-67171B5859B5},2409.93384734142,325282.559508018
649,OHV-CO-CON02000-150,,150,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,39.80891156,38.79854849,{4BA0C199-06DA-41F6-A475-1E1B10048863},1605.61931615165,161100.949409424
650,OHV-CO-CON02000-151,,151,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,66.5788812,66.11398965,{392D7A4E-24A0-4A75-A9EE-A2A84ED49947},2278.90655652663,269435.172983734
651,OHV-CO-CON02000-152,,152,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,40.83682314,40.74270522,{B8463719-AB87-4B5F-A4A3-500716554B7C},1626.11436539861,165260.759978208
652,OHV-CO-CON02000-153,,153,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,40.24351854,39.2222243,{746D93B0-223A-44C8-B0CA-8745D61E5032},1614.4272899461,162859.7414695
653,OHV-CO-CON02000-154,,154,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,80.34774222,77.7691446,{608D5D6E-F9BF-4A22-B655-653264C06800},2418.39774928175,325155.776617405
654,OHV-CO-CON02000-155,,155,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,40.28124073,40.12475812,{73603A93-2584-4910-BE2F-25B1B1ACD184},1615.03435062002,163012.397752032
655,OHV-CO-CON02000-156,,156,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,286.77964726,285.41615885,{DF19F1B7-4920-4870-9EFD-397EB1E68810},4858.20001531457,1160556.05733668
656,OHV-CO-CON02000-157,,157,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,39.39252389,39.23478683,{44E2AB32-AE8A-4C1A-896C-3EE85E4B0624},1597.37069465104,159415.888286585
657,OHV-CO-CON02000-158,,158,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,1634.63208861,1623.99038724,{7EACC8DB-D192-421F-AED0-792C092A2392},14487.4484678766,6615121.36605036
658,OHV-CO-CON02000-159,,159,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,1587.1413642,1584.84447527,{A3BD5AA6-C879-4C54-9A0F-09CF238EC327},11219.5450186408,6422933.22297537
659,OHV-CO-CON02000-160,,160,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,468.1985964,467.57470521,{CCCC0911-E646-4E81-A85D-04F6821970BB},6348.87488504563,1894732.49679361
660,OHV-CO-CON02000-161,,161,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,1436.08635073,1432.91668593,{88A7F21F-BFED-434A-A343-E1A4C700F939},11584.5013968261,5811635.27156117
661,OHV-CO-CON02000-162,,162,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,38.97721275,38.84429094,{22EF2980-BF75-48FD-96C2-5C384A2D72BB},1588.74009759847,157735.183733537
662,OHV-CO-CON02000-163,,163,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,79.60898653,79.39734454,{24C10A95-E588-4779-A37C-043CC75A6B9C},2408.98105503435,322166.13841406
663,OHV-CO-CON02000-164,,164,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,37.25575422,37.03522159,{396A77ED-50E7-4444-8ACC-2525FCCE6224},1559.64612226513,150768.688234828
664,OHV-CO-CON02000-165,,165,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,1222.92455368,1217.03989896,{743584DB-66FD-41A8-B33F-C8C35E7F78B0},18787.1931976408,4949000.08419009
665,OHV-CO-CON02000-166,,166,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,40.89187558,40.71362499,{1A0877DF-E183-4663-BE47-913078E48251},1628.27285082382,165483.549331688
666,OHV-CO-CON02000-167,,167,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,40.58125655,40.55050747,{0DFF7826-5426-4C88-8E76-D65A19EA219A},1621.37341449983,164226.518713561
667,OHV-CO-CON02000-168,,168,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,396.59631951,393.48190021,{ACDE8B37-BF32-482B-90A0-ED59D90DC57E},5531.61671400521,1604968.36269572
668,OHV-CO-CON02000-169,,169,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,140.5388741,139.41726249,{08A5A5D7-6E0E-429F-81DE-844977B0BE34},3482.87830718756,568740.645238673
669,OHV-CO-CON02000-170,,170,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,46.34512549,45.73386966,{9F65FC77-15ED-4C94-8EF9-27141F2E1401},1733.96218037128,187552.068754416
670,OHV-CO-CON02000-171,,171,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,633.10067549,626.19181264,{C337C6F3-967D-45A4-A063-B8C448E16DBD},7814.2582520426,2562067.53463347
671,OHV-CO-CON02000-172,,172,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,241.90883734,241.40174603,{B1706031-CFAF-4210-ADEF-77CFAFB6C591},4833.29899036426,978970.332021179
672,OHV-CO-CON02000-173,,173,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,40.6429192,40.4572915,{3F6F6C47-7725-41DB-9F86-6E051492BE79},1622.3095627269,164476.058593633
673,OHV-CO-CON02000-174,,174,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,916.47936085,914.01277738,{78DD16C8-6E13-4A1C-BC5B-2919B43853BE},35971.3258772352,3708860.38378905
680,OHV-CO-CON02000-181,,181,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,772.30746156,758.31635627,{C4357EC8-A405-4309-B43C-76A1E7C81408},24246.0423526848,3122595.89055065
682,OHV-CO-CON02000-183,,183,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,121.19487007,118.97397046,{27FAC6DE-9956-439A-ABE3-B73012123DC1},3237.63816694158,490458.238295491
683,OHV-CO-CON02000-184,,184,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,499.29930997,493.75654901,{20925EBB-276E-48CD-8A68-727455AE119B},7311.54715501007,2020592.61923962
684,OHV-CO-CON02000-185,,185,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,28662.69557564,28564.44727026,{AAA6109A-039B-4F87-9A4A-74B434A53849},132802.862735731,115993813.683848
686,OHV-CO-CON02000-187,,187,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,77.85773953,76.18278353,{E65C96C1-5D4E-4AF2-975C-D3DDD7D70C0F},2387.11810932545,315079.093255745
687,OHV-CO-CON02000-188,,188,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,3791.03901021,3774.28397849,{42519BCC-9E23-466D-AD03-9E276C604982},36793.259121162,15341790.5660202
688,OHV-CO-CON02000-189,,189,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,1666.08402385,1659.49884502,{AAA2AC78-6C86-4F0F-BAB2-07772021DF69},15549.5600467991,6742402.83218832
689,OHV-CO-CON02000-190,,190,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,2.59091589,1.94145345,{2AC9DE74-BA90-48C5-A170-E342E7AC91AC},409.822719567933,10485.06462244
690,OHV-CO-CON02000-191,,191,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,272.60400911,250.82196598,{A8FF0B10-DDC5-4600-BCAF-D6CE4DE746DC},4831.63120721531,1133802.86057881
691,OHV-CO-CON02000-192,,192,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,24.66445738,20.55636177,{F2F93A4F-8176-433C-9DF3-57A4FDC2DFF1},1296.18648403279,98911.0957108033
692,OHV-CO-CON02000-193,,193,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,450.63396239,447.40322375,{78D5D0BB-FAA7-4813-9E0B-69CE7E9473D5},8982.45191651662,1823650.9448513
693,OHV-CO-CON02000-194,,194,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,18300.83455387,18257.02974868,{084C5B9B-C287-47C4-BB9A-E88556DFAD6F},125352.08110664,74060849.8592926
694,OHV-CO-CON02000-195,,195,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,120.479608,119.07536304,{43D73156-CC45-42C0-90AA-EB1E70907B5F},3229.33068339488,487563.675394158
695,OHV-CO-CON02000-196,,196,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,36.95870047,36.0410258,{1EB81EC8-55B5-4DFB-8F36-D63DB6BEF401},1549.40638222503,149566.55434637
696,OHV-CO-CON02000-197,,197,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,430.50766178,428.77324465,{719D8B1A-DDC9-43BE-BB7A-6A43C638E2D6},6296.40240583539,1742202.6959674
697,OHV-CO-CON02000-198,,198,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,39.69818199,39.07570274,{758893F3-9945-40DA-B194-A29F2FD2E35A},1603.28149907763,160652.842743495
698,OHV-CO-CON02000-199,,199,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,233.13523087,231.84855262,{58B6162B-0BD6-4475-9E10-527998B98204},3967.02715660952,943464.806338494
699,OHV-CO-CON02000-200,,200,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,60.98772708,59.66343929,{563CE4CC-05E0-4A7E-9535-4C140D5F024E},2267.91949139735,246808.575033812
700,OHV-CO-CON02000-201,,201,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,155.82188245,155.09864873,{64D1C1C5-28DB-4F3C-A03F-CDBC14A318EE},4005.2609326846,630588.785737128
701,OHV-CO-CON02000-202,,202,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,534.15625455,529.37192842,{9878862F-89ED-452E-B326-DA2C9357139B},7107.91816169877,2161653.66929307
702,OHV-CO-CON02000-203,,203,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,200.73607934,197.05166669,{5184C85B-AC71-4857-B86B-3B4B6851D9B2},4797.99654108862,812350.091880758
703,OHV-CO-CON02000-204,,204,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,665.18898998,654.22091452,{7F3F29F5-EC2D-477C-9DCC-44AEB791BCD1},8712.21885620248,2691924.3362201
704,OHV-CO-CON02000-205,,205,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,480.90269779,480.23917689,{3CF17615-94E3-4AC1-BA48-D98F7C127682},9540.87874289199,1946144.17108489
705,OHV-CO-CON02000-206,,206,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,44.73332036,42.56354566,{86912EAD-AACD-4242-97E5-F0C47D95A1F5},1712.14371604437,181029.324779111
706,OHV-CO-CON02000-207,,207,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,1337.788858,1336.72986119,{965C6D11-56F7-49A6-AD0F-0AC56B294CA0},13352.9344142242,5413839.43182367
707,OHV-CO-CON02000-208,,208,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,40.46319064,40.23912799,{71945143-5F5C-4138-B023-BA91EEA421B4},1618.64306520933,163748.72291543
708,OHV-CO-CON02000-209,,209,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,2025.38568367,2021.85608524,{9361C0EE-7ABA-41BF-917F-CA74F68E3920},61763.1274443824,8196413.81540648
709,OHV-CO-CON02000-210,,210,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,40.99333821,40.48638325,{E7B00D3F-49A4-4057-BFE9-11314751D60A},1629.61779405796,165894.15399761
710,OHV-CO-CON02000-211,,211,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,504.73099331,504.3397543,{B35C0584-260D-4E9F-863D-4FE2E4A89DB8},7925.62975201449,2042573.86184947
711,OHV-CO-CON02000-212,,212,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,433.77081181,433.04345601,{439B074F-CF99-40B3-A35E-817FF6C9ECE8},6581.89254827505,1755408.19560463
712,OHV-CO-CON02000-213,,213,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,93.81073317,93.23424774,{84F0DD52-2A15-41AD-AF4F-0CB9872497A6},2736.84010106539,379638.56801847
713,OHV-CO-CON02000-214,,214,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,80.14233711,77.05015884,{3103CD20-DC83-41C7-A990-8D5683D40E3F},2428.48574634514,324324.531636533
714,OHV-CO-CON02000-215,,215,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,1567.55389366,1565.49814749,{895E5D5A-31BE-43CC-A18E-5150D10068D6},21215.8226081113,6343665.54203152
715,OHV-CO-CON02000-216,,216,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,198.92066539,197.28682827,{6B93AE77-E6B2-44D9-9C59-728772E08396},4816.11186368356,805003.372276548
716,OHV-CO-CON02000-217,,217,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,4517.90558199,4500.06718192,{8A4361C9-73B7-4592-83CB-9F36498F34F7},37551.7262601687,18283315.2202692
717,OHV-CO-CON02000-218,,218,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,39.23903194,38.79710129,{A2657B73-C0E7-4379-845F-D298644A38FE},1594.24623779766,158794.728416463
