OBJECTID,SBAS_NO,SUBREGION,RBAS_NO,REGIONAL,MBAS_NO,MAJOR,ACREAGE,AREA_SQMI,SHAPE_Length,SHAPE_Area
280,2205,Pattagansett River,22,Southeast Western Complex,2,Southeast Coast,5662.83007812,8.84817981,112409.940220656,246673042.419752
281,5304,Wintergreen Brook,53,South Central Western Complex,5,South Central Coast,6730.29980468,10.51609992,93657.5951550142,293171919.894234
282,4018,Deep River,40,Connecticut Main Stem,4,Connecticut,4589.87988281,7.17168998,82474.2524683982,199935269.684834
283,6605,East Swamp Brook,66,Still,6,Housatonic,3273.27001953,5.11449003,78202.0887296115,142583844.410709
284,6022,Halfway River,60,Housatonic Main Stem,6,Housatonic,6832.25976562,10.67539978,99328.8058886202,297613368.901632
285,4020,Lieutenant River,40,Connecticut Main Stem,4,Connecticut,7780.6899414,12.15729999,131690.574256972,338926737.283242
286,6604,Sympaug Brook,66,Still,6,Housatonic,4638.24023437,7.24725008,84206.4049831157,202041555.008014
287,2106,Mystic River,21,Southeast Eastern Complex,2,Southeast Coast,2666.92993164,4.16706991,61370.1730744274,116171337.271098
288,5111,Branford River,51,South Central Eastern Complex,5,South Central Coast,15586.29980468,24.35359954,161014.916280405,678939466.445408
289,2204,Niantic River,22,Southeast Western Complex,2,Southeast Coast,4666.10986328,7.29080009,91006.3298337368,203255786.158639
290,2000,Southeast Shoreline,20,Southeast Shoreline,2,Southeast Coast,1694.09997558,2.64703011,74915.4129065548,73795013.9311828
291,6601,Miry Brook,66,Still,6,Housatonic,3219.87011718,5.0310502,56272.5579734454,140257672.986436
292,2000,Southeast Shoreline,20,Southeast Shoreline,2,Southeast Coast,6295.81005859,9.8372097,165215.094795505,274245643.257713
293,5307,Wepawaug River,53,South Central Western Complex,5,South Central Coast,12782.20019531,19.97229957,177190.833670538,556794717.728149
294,4019,Falls River,40,Connecticut Main Stem,4,Connecticut,11348.0,17.73119926,144338.30852019,494316745.906559
295,5107,Neck River,51,South Central Eastern Complex,5,South Central Coast,4343.22021484,6.78628015,110361.541347616,189190524.953204
296,5104,Indian River,51,South Central Eastern Complex,5,South Central Coast,4767.04980468,7.44852018,107362.392087374,207652829.457884
297,2000,Southeast Shoreline,20,Southeast Shoreline,2,Southeast Coast,2434.1899414,3.80342006,84535.6902292481,106033339.848223
298,7200,Saugatuck River,72,Saugatuck,7,Southwest Coast,31074.69921875,48.55419921,423798.459215498,1353612978.37145
299,6024,Means Brook,60,Housatonic Main Stem,6,Housatonic,7007.91992187,10.94989967,101988.626091017,305265135.259472
300,8104,Titicus River,81,Croton,8,Hudson,10819.79980468,16.90600013,147651.470083665,471311943.057245
301,7202,Aspetuck River,72,Saugatuck,7,Southwest Coast,14754.20019531,23.05340003,220094.482246425,642692074.632503
302,2000,Southeast Shoreline,20,Southeast Shoreline,2,Southeast Coast,4515.60009765,7.05562019,74365.9322784556,196699534.727563
303,2206,Bride Brook,22,Southeast Western Complex,2,Southeast Coast,3191.14990234,4.98616981,64787.2101549359,139006396.802765
304,2000,Southeast Shoreline,20,Southeast Shoreline,2,Southeast Coast,1523.48999023,2.38045001,75880.1425976342,66363153.1868453
305,7105,Pequonnock River,71,Southwest Eastern,7,Southwest Coast,15381.40039062,24.03350067,231257.548154127,670014802.84322
306,7201,Little River,72,Saugatuck,7,Southwest Coast,3805.9699707,5.94682979,68332.6016690847,165787954.235654
307,4021,Black Hall River,40,Connecticut Main Stem,4,Connecticut,3532.28002929,5.51918983,73683.5953375029,153866305.962495
308,2000,Southeast Shoreline,20,Southeast Shoreline,2,Southeast Coast,1300.83996582,2.03256988,52892.0290187942,56664769.3282427
309,2000,Southeast Shoreline,20,Southeast Shoreline,2,Southeast Coast,4093.44995117,6.39600992,92538.5812565145,178310523.531357
310,5000,South Central Shoreline,50,South Central Shoreline,5,South Central Coast,2177.23999023,3.40193009,60689.6071611466,94840473.5943394
311,5102,Patchogue River,51,South Central Eastern Complex,5,South Central Coast,5062.33007812,7.90988016,92705.9698170034,220514856.144804
312,6025,Farmill River,60,Housatonic Main Stem,6,Housatonic,9657.45996093,15.08979988,167698.622728643,420678913.650883
313,7108,Mill River,71,Southwest Eastern,7,Southwest Coast,15927.59960937,24.88680076,219205.643298248,693805304.908825
314,2000,Southeast Shoreline,20,Southeast Shoreline,2,Southeast Coast,642.84301757,1.00443994,38292.3627027857,28002218.3376943
