OBJECTID,SHAPE_Length,SHAPE_Area
769,336.988718980302,1661.65255453845
770,24367.7349025204,17832365.8979786
771,16503.9263619398,635809.826854144
772,45483.6862660228,25787077.4439138
773,2324.43376050929,109517.183758741
774,1181.49484628222,56006.5601193104
775,3863.57444769667,840195.293921929
776,12619.2022159573,1861499.60085208
777,23963.2378730773,4090015.72366781
778,630.614148544281,19365.9043743827
779,2953.37669357147,175916.771725338
780,14878.9533922643,975487.798593123
781,7140.40620474802,333982.805151317
782,3557.85576744888,294676.692032158
783,6023.83612897115,1138374.85493225
784,3004.28100167306,162237.083785907
785,1651.45684094727,72950.0649149828
786,294.799545918737,768.664245971395
787,2666.66868121216,193068.418109152
788,2217.82297758271,56887.2039404316
789,8984.20783772376,722279.197465603
790,98.7378281242485,85.1536092489179
791,3043.2265656844,243624.840243618
792,16705.8306167748,424383.606198776
793,2556.43381072702,46928.8215315992
794,62.3071908749157,108.885475997236
795,3053.9627615081,151553.026410207
796,1106.72253742924,17336.3313370468
797,12783.2420766044,1520361.51509787
798,1852.37443332802,42926.337421843
799,11946.4268405072,602793.064699622
800,4409.36619372864,461232.219058602
801,16128.8832674318,2080618.9721896
802,125.992216966954,731.042360226824
803,142.626506368019,757.748247546151
804,410.887223535525,1386.61759408271
805,214.694266359027,1688.40558240604
806,178.21144686346,1693.86624813248
807,228.209136898566,2028.7251241432
808,227.399361838985,2460.63032701141
809,215.130875888395,2618.21945199866
810,195.271797952021,2659.24845307048
811,245.8075840378,2943.30584580971
812,262.939532052718,3035.75694981829
813,279.367337347829,3156.23551357681
814,406.813794658286,5113.47475612185
815,429.394313987604,6248.93444641583
816,401.238454209422,9898.27019182311
817,406.674426800019,11303.4289682246
818,401.976422139694,11371.7002256479
819,475.796298066606,13218.8730093632
820,562.82467923501,14118.9344395678
821,648.0927536077,16924.9718133309
822,572.217626505758,18891.1049922978
823,588.704809858794,18798.6528959266
824,708.874972984724,21485.9993900062
825,730.854963616439,22222.1590718722
826,694.77491602223,25687.8817537461
827,710.183886135057,31771.2700246041
828,790.993682053534,38012.2148353904
829,792.629598596222,42332.2846882327
830,1108.50170496256,58858.1578016352
831,1037.12027734458,59754.8211226908
832,1334.5967120314,66104.0214600972
833,1651.01896617407,66133.3162253077
834,1124.54965237394,73652.6924648062
835,1078.22424404702,85946.1552207563
836,1361.20647575303,92960.9945990469
