conc,MCCCountryCode,FundCode,ProjectCode,ActivityCode,hierarchy_level,start_planned,end_planned,start_actual,end_actual,status
MNG2750BXCOMDENRG ENVIR0003,MNG,2750BXCOMD,ENRG ENVIR,0003,3,9/17/2008,9/17/2013,9/17/2008,9/17/2013,5
MNG2750BXCOMDENRG ENVIR0011,MNG,2750BXCOMD,ENRG ENVIR,0011,3,9/17/2008,9/17/2013,9/17/2008,9/17/2013,5
MNG2750BXCOMDPGM ADMIN0342,MNG,2750BXCOMD,PGM ADMIN,0342,3,9/17/2008,9/17/2013,9/17/2008,9/17/2013,5
MNG2750BXCOMD,MNG,2750BXCOMD,,,1,9/17/2008,9/17/2013,9/17/2008,9/17/2013,4
MNG2750BXCOMDHEALTH PRJ0343,MNG,2750BXCOMD,HEALTH PRJ,0343,3,9/17/2008,3/31/2013,9/17/2008,3/31/2013,5
MNG2750BXDILD,MNG,2750BXDILD,,,1,10/1/2005,10/1/2010,10/1/2005,,1
MNG2750BXCOMDROADS PJT0335,MNG,2750BXCOMD,ROADS PJT,0335,3,9/17/2008,3/31/2012,9/17/2008,3/31/2012,5
MNG2750BXCOMDENRG ENVIR0224,MNG,2750BXCOMD,ENRG ENVIR,0224,3,9/17/2008,12/31/2011,9/17/2008,12/31/2011,5
MNG2750BXCOMDROADS PJT0338,MNG,2750BXCOMD,ROADS PJT,0338,3,9/17/2008,12/31/2011,9/17/2008,12/31/2011,5
MNG2750BXCOMDVOC EDU0235,MNG,2750BXCOMD,VOC EDU,0235,3,9/17/2008,9/30/2011,9/17/2008,9/30/2011,5
MNG2750BXDILDECON ANLSEIF,MNG,2750BXDILD,ECON ANLS,EIF,3,7/1/2009,3/31/2011,7/1/2009,3/31/2011,5
MNG2750BXCOMDPGM ADMIN0049,MNG,2750BXCOMD,PGM ADMIN,0049,3,9/17/2008,3/31/2011,9/17/2008,3/31/2011,5
MNG2750BXCOMDPGM ADMIN0214,MNG,2750BXCOMD,PGM ADMIN,0214,3,9/17/2008,6/30/2010,9/17/2008,6/30/2010,5
MNG2750BXCOMDRAIL PRJ0220,MNG,2750BXCOMD,RAIL PRJ,0220,3,9/17/2008,6/30/2010,9/17/2008,6/30/2010,5
MNG2750BXCOMDRAIL PRJ0221,MNG,2750BXCOMD,RAIL PRJ,0221,3,9/17/2008,6/30/2010,9/17/2008,6/30/2010,5
MNG2750BXCOMDRAIL PRJ0234,MNG,2750BXCOMD,RAIL PRJ,0234,3,9/17/2008,6/30/2010,9/17/2008,6/30/2010,5
MNG2750BXCOMDMON & EVAL0116,MNG,2750BXCOMD,MON & EVAL,0116,3,9/17/2008,9/30/2009,9/17/2008,9/30/2009,5
MNG2750BXCOMDPGM ADMIN0119,MNG,2750BXCOMD,PGM ADMIN,0119,3,9/17/2008,9/30/2009,9/17/2008,9/30/2009,5
MO22750BXDILD,MO2,2750BXDILD,,,1,5/13/2020,5/13/2025,5/13/2020,,1
MO22750BX69GD,MO2,2750BX69GD,,,1,5/13/2020,5/13/2025,5/13/2020,,1
MOZ2750BXCOMDNANA,MOZ,2750BXCOMD,,,3,9/22/2008,6/30/2014,9/22/2008,6/30/2014,5
MOZ2750BXCOMDPGM ADMIN0180,MOZ,2750BXCOMD,PGM ADMIN,0180,3,9/22/2008,9/30/2014,9/22/2008,9/30/2014,5
MOZ2750BX69GD,MOZ,2750BX69GD,,,1,8/22/2005,9/22/2013,8/22/2005,,1
MOZ2750BXCOMD,MOZ,2750BXCOMD,,,1,9/22/2008,9/22/2013,9/22/2008,9/22/2013,4
MOZ2750BXDILD,MOZ,2750BXDILD,,,1,7/1/2005,7/1/2010,7/1/2005,,1
MOZ2750BXCOMDMON & EVALNA,MOZ,2750BXCOMD,MON & EVAL,,3,9/22/2008,12/31/2011,9/22/2008,12/31/2011,5
MOZ2750BXCOMDLAND TNRE0192,MOZ,2750BXCOMD,LAND TNRE,0192,3,9/22/2008,9/30/2010,9/22/2008,9/30/2010,5
