OBJECTID,Shape_Length,PRECINCT,Shape_Area
60,14885.0064529194,Q116,12899445.2631922
61,18746.4358584437,B169,17668632.6775327
62,16021.5260035557,Q117,11569565.71231
63,19897.8956692726,A126,17757535.6028634
64,15052.7644781267,A114,13363063.4403339
65,16800.5194095786,H144,16147301.201969
66,27242.1643515651,B158,24241235.8021943
67,27322.7223628429,H149,23699186.4409465
68,20998.9359050132,H138,19086994.7241898
69,33694.3691173946,I138,39803539.7304244
70,48450.7734594396,B162,74446150.339091
71,108469.452787895,B161,388275073.698625
72,13869.0167107596,B124,10727887.7940635
73,47305.8415821195,I125,61886050.0347091
74,3609.37184741207,H140,747359.735354949
75,13063.5754430968,Q132,10274752.7742302
76,17266.6323503538,Q125,17143275.1293104
77,11564.3517168868,H147,8272081.81466707
78,17184.9584751734,Q112,16255590.7136392
79,16318.4155580003,Q114,14589441.4592876
80,12079.8503344188,Q113,8464170.93256052
81,22801.6887398265,A125,22173030.0309949
82,24806.3548435174,J122,30952724.1126825
83,23999.4935419391,B149,17871849.9675436
84,27368.0158546246,B175,32678080.3660777
85,10035.9441652949,K132,5570359.63811047
86,15248.0477451219,A111,11015941.658389
87,10402.7131290151,A136,4802635.46867127
88,23544.1237247873,I122,14224798.3235815
89,22286.159073313,A108,12944275.8349843
90,13371.7912960463,A107,8052295.7180995
91,15875.7033850046,H146,12177264.6642736
92,25974.9832037249,A105,30542700.9349113
93,11716.5452047917,B160,5812962.7819092
94,17452.7634663382,B154,10011213.3841093
95,24071.7230788694,B133,21404786.3162165
96,27817.3667212034,Q105,28177121.1506314
97,14436.3219647744,B163,11720248.6864682
98,27628.7384806607,J135,17444492.36751
99,17525.7286642001,Q104,16799059.1175899
100,41195.6711422099,O135,68635163.3884533
101,40307.3514589693,A124,68713029.4950863
102,25638.2542254861,Q103,10812305.2271529
103,15458.5208753421,J120,9995478.10513537
104,22253.1344980048,Q109,22771279.3973175
105,28552.9290160654,I124,32430772.5200804
106,35427.0425292861,A123,49715829.9364697
107,12697.9609948245,J119,8103927.54322631
108,17966.8290248978,O129,12713126.0516614
109,18394.8604037504,B156,15528169.1444335
110,14276.0296043576,B166,9415426.42769007
111,15195.3487424422,Q101,12799480.3620344
112,27951.0856117341,A131,22168662.8815077
113,19592.8145204851,B168,16540225.9806099
114,17628.671468623,B132,14481328.65334
115,18434.2764937135,O137,10184325.9458087
116,8826.69061853626,Q130,4562792.96401162
117,13818.0941666195,J117,6908196.85035416
118,18248.3196041361,K128,20204353.0242799
119,19888.8012012958,Q134,11044295.5202084
120,34258.951604418,I123,30052103.2439385
121,21717.825243769,Q122,20864652.6347975
122,50253.44595408,B159,69634218.6466759
123,18596.3054054922,J128,16313668.8632401
124,25054.7807731448,J129,28296772.3633523
125,16690.9780705556,O128,11118013.7261904
126,15828.1238131174,C113,11391001.1246458
127,17357.2527662083,J114,13848678.9865652
128,16256.0392618961,C140,13219144.334732
129,31693.3575159676,Q107,28016950.5800775
130,23429.6320659146,O136,22545367.7518007
131,17455.9678859619,K127,16511786.6989678
132,13252.4435756171,C108,8406466.70647204
133,28161.9743857416,Q127,38413856.4957805
134,25841.433755153,Q136,23722591.0845866
135,66850.1816280074,H134,133387577.499647
136,21256.7982029959,B157,18858836.2192714
137,12167.0089598413,Q123,9151958.61404595
138,19586.3631425783,I120,19712693.2747915
139,20184.2570883842,D126,16404193.4617608
140,16427.308428183,O115,9455886.01515882
141,20357.9629829746,C142,19248526.4151842
142,11212.5898509688,C109,7641573.58520661
143,11782.862494239,I117,6407667.28143074
144,17697.1652451799,J113,9070922.99084873
145,15215.0854662033,H125,5279632.165821
146,22172.403233649,J127,22876904.9821801
147,38240.6560520564,B172,74455329.3671441
148,10487.018357098,K126,6044665.14414453
149,12583.3752612429,D121,7387323.42138566
150,15260.6011556028,O131,10377563.9151118
151,21896.6332730856,C139,19618245.671064
152,19802.1890750191,O114,9274992.46882652
153,18068.9215830775,H124,14656599.0188981
154,24265.8072415965,B151,33621425.5019743
155,20694.6263087431,O130,10739759.7661248
156,12690.6214030133,C110,5435257.75238735
157,22095.6036047689,B155,15031113.0492416
158,13034.0743887644,C104,9054388.18035459
159,12267.6127102867,J111,6297812.29847953
160,11141.1619066128,J131,6723969.26352825
161,16177.5881339145,D137,10061763.3903444
162,11519.6491518639,J110,6906581.61409402
163,11163.479517717,I114,5858176.51995374
164,16899.9158581817,I115,15282904.0521593
165,14633.4800470623,H154,9405489.99496668
166,14199.8579460836,D140,11726851.5676873
167,15494.9474774889,B170,5587244.55472749
168,10053.5173175874,H126,5704118.14631422
169,18163.9757198926,D138,12933210.9690645
170,15841.4687924026,J104,10761112.741327
171,17412.020434449,K137,6815645.52072846
172,4332.41385183187,H150,256773.312788202
173,3355.30856772334,H151,531639.649048877
174,19267.12385488,D136,17824333.5046464
175,8438.62208198863,I106,3606383.44339113
176,9926.05267669865,I105,5168149.20040072
177,20524.8932532956,O124,9591987.09592505
178,14881.2459441878,J108,10691181.6584853
179,18860.8418399537,C111,15126252.6785326
180,72598.2420625104,B153,135219872.94595
181,17023.1716383085,D143,11145688.653985
182,15092.2568281754,O126,9817622.74355616
183,19796.053261311,C115,18144979.1063951
184,12952.4401451318,O113,8847870.11291232
185,22166.3537927451,F143,23275624.2870323
186,10821.3082301754,K119,6487637.19290359
187,36535.2355859295,J105,44183121.7908599
188,11161.7045919227,C141,4852958.23488176
189,17242.5273519587,J107,10285854.0882653
190,38081.8045916162,H130,50377625.4077662
191,16490.2735056759,I111,9180097.54404841
192,10649.9499269713,I110,2406249.41498093
193,12891.0236461523,I112,10485348.6878118
194,9965.48039065147,C105,5543085.33175468
195,17286.7221839162,O111,10170827.3854835
196,15310.0294025579,B152,10517577.547143
197,41332.4396442645,H123,31960549.0586182
198,16250.2539504379,O123,10399842.8973847
199,13983.0423470139,D142,8009676.66202417
200,11351.015280165,D141,6683697.707546
201,28871.1024502387,C106,41764624.3990758
202,24200.9979610195,C133,20049340.2185479
203,18503.3084496697,B171,9221228.36501058
204,18143.5557223831,D122,11501351.4826496
205,20460.6156828131,C134,11485911.3488147
206,23979.6884682677,K131,13016256.8899724
207,8997.14273679991,I109,4884090.44177188
208,16871.3096247991,O109,13997118.9402659
209,13882.0993915616,O121,7930309.19245481
210,19029.653848885,D116,12094212.4683342
211,132305.577003379,B165,457768713.464446
212,10244.0452806755,K117,5493775.72222352
213,15285.2918587145,I107,6434306.08285613
214,10499.9734972138,I127,4009999.87340819
215,8967.34800865908,C136,3607331.16685516
216,7742.05774469749,K116,2274075.81917565
217,25475.1638668823,C103,22948236.0353454
218,15207.5442524383,J101,7458114.87116705
219,20134.6965726055,C137,11128761.0600322
220,34263.0376676358,O112,64123245.9009509
221,7920.74692631648,C123,3300337.84684348
222,14278.7624074276,D113,6189355.06124142
223,39794.3983544902,C101,63609472.6991119
224,13298.2684464111,H121,8422287.54049261
225,9939.30749152287,J130,2965896.03093471
226,8906.58268999945,C102,4188126.08747711
227,11251.6637022681,C135,5335288.58566478
228,7995.68435136607,K130,3535385.5141687
229,12182.8084977169,O119,9012834.97389679
230,10529.8640377857,C125,5089152.30936279
231,21348.6053959634,F111,25212881.7561434
232,21919.0192667113,H120,18185871.6689811
233,72715.0000591611,B174,234926839.954385
234,27268.4761543625,H114,26604443.5525232
235,9840.04927749622,C138,3874678.2179391
236,39853.847968029,O107,45341639.9971112
237,16734.7019740623,C124,8669754.83910486
238,19382.9615421321,D132,12825274.231706
239,13553.8349829313,O117,7900527.52856462
240,23240.545589224,D120,17641880.527782
241,15463.8275257431,I103,5271986.95889261
242,16541.2196184401,K125,6391089.51588815
243,7970.2950821693,H115,2914847.51784639
244,14220.1679489954,C126,6609916.81621132
245,11883.0233447779,D114,6542757.30989386
246,36672.5619274601,O105,30788437.5612337
247,13873.7275943137,H117,9205220.79717676
248,16880.8060103432,D139,9655817.43527052
249,37870.8974689547,O139,65582874.2860349
250,13931.2401584567,H118,6972572.13431633
251,19024.5257820292,C129,13250004.8768581
252,15795.7443061474,H113,8769451.99224388
253,8188.43263252302,K111,3310631.19883742
254,23774.0585432947,I139,16892802.4245065
255,12361.6578289857,K114,6724191.17965961
256,10831.9599760838,K134,4571026.63565664
257,10658.3163254204,D131,4806632.66709695
258,13883.0967253975,D117,9553911.22344928
259,14410.0875678078,G124,7757812.6320781
260,12218.1363111418,H116,5538746.16960351
261,15515.17084573,C122,8451350.43550761
262,6587.01614653922,H109,2430765.37513628
263,11530.3733168532,E166,4886099.44174537
264,14285.6979486791,G121,7969150.33249008
265,23944.7359571844,K123,20635458.6060327
266,14218.6534938215,O116,11215848.5908281
267,11357.4700412938,D110,3315165.51119617
268,11790.121505646,G126,6997751.52739206
269,16993.1008392252,D135,6442222.50666667
270,9868.79275674558,G119,4150001.48577103
271,22923.2120622535,D115,22064004.7805063
272,23594.4836759519,G155,10423556.9353957
273,10414.0984104348,K133,4506373.24993549
274,9775.66016344997,G122,3458432.41110267
275,8309.60195130553,G149,2513270.58996912
276,10860.5598688081,G129,3268535.54468316
277,24846.5567289367,F149,27397149.1810935
278,14120.9825095948,K135,8644112.15736382
279,12044.0238293183,G154,6207082.04477882
280,15021.1735717688,D130,6169194.14627849
281,5805.99970954492,G123,1576051.07677811
282,7075.33535155286,K113,2251461.112429
283,12916.1954132911,D109,5199722.65521409
284,10931.0747350066,G151,3981593.31297352
285,26947.5981868978,K122,25024436.4400283
286,56165.5592860432,F150,92970359.0568998
287,11421.6332225337,G148,3542493.89994189
288,17982.1959318139,H111,10960754.0047431
289,9998.4125537292,K129,4533245.66572079
290,11538.2802269241,G147,4922544.23190381
291,27507.0434699546,K121,17844224.2141859
292,17943.5896360235,H141,5068401.43791108
293,13935.6764031341,H110,7724763.85548036
294,16050.3396584908,G117,11040760.2885391
295,9875.95323829896,G120,4766016.12206335
296,13766.6485491487,K110,9076826.67927801
297,13906.4709598683,E159,6705671.03105488
298,1949.89900530158,M145,217201.602411979
299,33029.2718528072,E167,34798834.9121874
300,10406.4426134235,M148,4007582.48501268
301,13294.4601807267,D104,7497504.09560177
302,7815.20816064449,N112,3255856.25884682
303,11708.5399808089,L146,4754722.67972552
304,12828.2156496063,G163,5133612.17557095
305,9327.74808662938,L141,4985631.15274963
306,7776.00737726584,N111,2931673.02328855
307,21529.2916191282,L138,6063369.25664805
308,12288.4186452513,L145,7496504.73193313
309,12035.3947523343,N110,6889905.05913587
310,20833.2120466579,G150,10936625.5706014
311,15513.0601378664,F163,8298348.20470959
312,9573.5000270107,L110,2767326.74082088
313,13280.4116913556,L136,5617491.57408007
314,32161.9543558886,F109,44044633.3522261
315,13220.0305347336,L149,7233434.01468879
316,19555.9368968186,G140,8514128.50293671
317,9575.11540392946,G141,3385193.21315389
318,13974.5559767827,E160,9101241.89922212
319,10495.5463091785,H106,4599695.08896951
320,12154.2703694567,H105,4027416.33393091
321,13938.2404779175,K108,7952685.97159534
322,52447.7536749601,H112,38312381.9314866
323,9836.00449955776,G116,4627040.54263938
324,16864.2467980347,D106,8430870.83917047
325,19960.2391985937,K105,15450898.891198
326,56188.6775461053,F162,100529030.135801
327,11711.9271789492,E158,5981987.78423396
328,8141.39605857955,K107,3540952.50828636
329,13960.6529044695,G146,6341296.99629009
330,10624.3518120976,G161,4334272.15971059
331,14423.4278991595,K104,9670329.60605319
332,8273.01879002585,G111,3494556.11836901
333,19884.8156578574,D129,6518028.01839676
334,12238.7080985507,M131,7961438.64240553
335,13039.4545455448,K103,10280051.1106548
336,14834.1416539956,G112,6133450.17266857
337,20232.9531776971,F160,14934914.1157791
338,11195.1930309,F173,5468760.09701391
339,11954.4866999303,M133,7138984.90014775
340,6535.31476560402,M144,1798163.00669168
341,15795.9450822453,H103,9608910.39447286
342,13236.7999478338,F157,9803506.75050714
343,2887.33076764637,H133,487278.943720946
344,19037.3469429657,M102,14931047.6536235
345,6472.67603719896,G108,2274258.30427453
346,11954.8352343142,G144,5584179.08019826
347,50513.7315952424,M149,101250162.257539
348,9128.51027024377,M124,4889169.66704455
349,11495.6222436229,M123,4056755.50891944
350,12983.984132804,M121,5032337.59648826
351,30973.2462151402,G145,12611011.5829988
352,15028.8710902557,H102,6444410.31272987
353,26094.8881053593,F174,22568629.6153842
354,27401.8884027685,E169,23662984.8038603
355,17019.0707169258,D108,9564485.0595047
356,9243.36296268239,G109,3632008.77533788
357,10308.7351954675,G143,4607906.58832567
358,9955.058487257,M147,4327026.67762955
359,14890.8626153685,M156,5929946.81895137
360,18313.2464469261,M129,6773443.88985834
361,10859.7574336132,M104,6011050.54841566
362,8362.70906700598,M105,3659347.12272183
363,6157.25205651132,L143,2353712.59966648
364,55009.7745873021,F126,86661415.4264042
365,11551.1715265228,M146,5222189.49527209
366,6598.74548890297,G106,2486443.8262294
367,20002.8003695217,E164,17749287.3704596
368,21306.249201219,F166,11617997.585063
369,9698.03120326872,H131,2669805.40111623
370,33279.0925756861,D101,26372518.3185217
371,5032.3937982542,H132,1128911.78977671
372,11779.3522230859,M120,5328994.58649347
373,31520.4624982825,F168,38660015.7740953
374,16401.1489064487,F161,8462255.68934675
375,8331.54955105233,M110,2913165.98771129
376,33411.8053106955,M103,27939361.3817914
377,22281.5150595004,E163,12445405.3999563
378,9245.03793556437,G160,5078332.27949098
379,11435.0351964404,L112,4585599.84339295
380,8425.32507803653,G107,3992630.89996532
381,13761.1857100622,E139,9200813.84731016
382,15184.7622672739,F156,8788096.25614827
383,15625.2943188102,G103,7234373.56434884
384,18211.2066499214,F165,8176275.72308687
385,15178.2846024165,F176,11163087.4596743
386,7516.69798389799,L142,3490045.57126209
387,17838.4526657884,E165,12662953.0780954
388,7213.93740629999,G157,1883722.9390141
389,26612.095093021,E168,13780119.3896104
390,10656.6784795644,M106,5297579.97160096
391,15488.4927256144,M132,7086528.97771745
392,20772.9225600884,F158,8912660.79954174
393,18206.9473376828,F159,12539935.5033719
394,11453.5847541684,G164,6466626.74508649
395,11605.0897357739,N137,6246904.51011438
396,16382.6746577001,E161,6025461.13042023
397,30470.3320327576,G159,39004060.798166
398,7412.08916788656,G165,3229474.67118338
399,17696.024459692,M139,6133732.98033016
400,14916.1744056181,G156,10892377.6819092
401,29038.0402235041,G142,21690524.6122779
402,19395.634326209,G158,6977823.64158879
403,26125.4802592826,E162,31677789.6799687
404,18640.7816972487,L148,18029520.3625921
405,6168.48242535152,L115,1592169.72874931
406,15425.5088262284,L147,9582970.08557143
407,8023.35222021338,F169,2257469.74074449
408,7414.48950487056,M150,2165677.76362791
409,9606.05360203289,F170,2294056.34132054
410,9266.05557535349,L150,4560982.38929281
411,19668.916844495,G104,18208475.1187473
412,20805.8811976393,E143,15265907.7850662
413,9586.1240112312,M155,5314870.2828852
414,16999.4313826564,L111,13395151.8406113
415,7407.7994371111,M140,2381819.97347313
416,5803.40023991451,N113,2102519.0050854
417,20634.5827588821,F153,13653714.295052
418,9503.3970051721,L108,5439226.88053729
419,8545.0726675802,N109,4388367.93233392
420,11989.4859844712,E176,5907845.87084071
421,28486.6539860665,M143,11350905.5417355
422,10098.2827944776,E141,6170645.02350408
423,10307.6018001803,L107,3746688.60796655
424,9993.21346434198,N108,6095427.82007573
425,28144.1773919134,S147,39801538.0765668
426,25186.898847802,L113,12742696.0084699
427,13039.0609487655,N119,7211918.31360327
428,12520.0833259769,M153,5573643.54708139
429,13243.8091721466,E107,8301245.74043583
430,16327.9518360689,M142,7722338.36010601
431,16234.4728634173,F152,14908732.8367043
432,14834.7947605134,E142,9988473.97181196
433,11638.9835227161,M138,6961415.25491024
434,8728.37308645483,M141,3727338.44347426
435,16122.864783383,E144,11842779.4551892
436,8037.20403129053,M137,3795216.94574438
437,12648.60800616,N107,5985554.85571353
438,12074.4046923946,F164,7109719.50372477
439,15667.4884014006,L104,12001452.0113256
440,70288.6656810173,B176,136670858.281408
441,16298.9637588495,E145,12760116.9899301
442,9804.81593052993,L119,4839372.87588376
443,17365.3800319453,L135,12849302.5786537
444,13528.9560486706,E151,9120013.84036211
445,11450.7165603479,L144,4969617.61849195
446,24570.5143373032,L139,20238809.8536999
447,12791.06070375,L134,5043546.79656235
448,11383.9859358227,N106,5598725.65206632
449,104832.14076768,F110,136613635.475464
450,23290.5687791758,S149,18350318.8805731
451,1399.31647735026,N124,108624.799555738
452,30018.054083812,F154,30963807.6058023
453,24510.1385427769,F138,21358307.2271686
454,57376.6211953513,B164,87337444.1560746
455,18497.8804711336,N117,12676119.6600412
456,19106.9635770651,E174,11933427.1852477
457,10171.9955075509,E173,4680676.19586442
458,33578.145720461,F151,42084086.2494771
459,14320.9157136042,F171,9125238.31928529
460,20000.409232034,L118,13491262.2284729
461,16720.6141719263,N125,10891348.018087
462,14141.4410504884,E155,11447337.8515283
463,29886.1515777194,N134,46340649.0759936
464,13436.7630233907,N105,7661570.43159006
465,11682.4389038733,N103,5198147.27246203
466,29302.0301808905,F167,19452420.2810404
467,21039.1020683079,N136,23482305.0976441
468,24764.9079421036,L117,27432834.7701615
469,28602.7954191415,S163,25326598.0316729
470,13384.8088131854,N104,5962033.75553947
471,16491.9295362483,N115,10215520.8338934
472,21670.7844390629,N128,9684488.63202414
473,16790.0675469837,E172,14949678.2275494
474,13581.6169763772,E175,5499866.48191515
475,14807.5603915421,N127,3086728.52527748
476,11739.7080466337,E154,8271839.85691063
477,27680.058217152,F155,26277189.0824533
478,16598.4702251089,E149,14053984.2593412
479,14803.975990086,S133,12001447.1686361
480,26152.0533829238,E150,15299141.1992407
481,19389.6191725117,S122,11866866.3507652
482,21703.2452368559,N135,26044295.8214317
483,26187.4122655959,N126,18626873.500048
484,14544.6463628325,E147,7178331.008281
485,18371.5070013306,E171,11417731.3144759
486,12265.9500673912,S146,7300784.10621433
487,27333.2894396044,N130,24971869.0445212
488,27428.4931795652,S148,30207263.1292593
489,45633.0769749913,N101,58435441.3401701
490,14940.8117421714,F172,8263599.72205313
491,57642.7941529021,S158,96426180.591897
492,54452.9261347215,S154,94823390.879155
493,23234.8679286886,S145,17648713.4878671
494,10146.5208240424,S131,6035534.46599836
495,16591.7620687443,E148,15471456.0969323
496,37205.7581096797,N102,66340592.0894148
497,19641.4001413792,S119,12230971.0058229
498,30929.0111703777,F106,33903121.8202393
499,35409.6890284771,N131,56511477.1859182
500,13805.7271419162,S117,7726525.59058232
501,13012.4116794094,S159,4351985.13246532
502,35821.6699242354,F145,34586234.9747666
503,26807.2465530653,S151,19814951.6722517
504,13979.3743105618,S152,8733520.28786167
505,28454.2123584509,S142,33604875.2919748
506,20390.1231169256,S162,7583318.89746947
507,13982.2820654622,S130,8923261.25157431
508,32518.7027245228,N132,30656388.756479
509,21872.1413308728,S155,11874581.3265793
510,20968.8320531972,E152,16699908.6274982
511,20337.6619546292,S150,17254276.8431677
512,15548.7468640724,F175,9954966.00073772
513,17527.2807380229,S118,12196601.840253
514,17346.3285741394,S135,12989560.6658106
515,23852.698365123,F101,16859246.092135
516,36601.3235147286,S157,63940547.9737639
517,11944.6083934481,S156,7398203.26188673
518,14508.2053314305,T101,8395577.92629223
519,17166.9562258134,S161,9864438.39303132
520,22129.2185748956,S129,22645010.3212812
521,16538.5378201777,S141,14971559.0595911
522,11439.1131790258,T104,7129226.15993102
523,24441.2195356996,S132,14343991.2632155
524,16149.5672127732,T102,11922406.2118934
525,20917.6331608482,S140,18191206.909171
526,36065.9684568926,S137,33640594.395224
527,39523.2691848536,N133,88329050.9636615
528,16391.9174773758,T103,12559485.5581967
529,28167.6455838653,S139,22283293.4877231
530,42222.0075241154,S116,73637276.7849924
531,26243.1737830713,S128,17048793.0256591
532,22651.1130288111,S160,28548515.2583348
533,22294.8564201545,S144,14231060.7845369
534,30946.3352942078,S126,21567092.8651195
535,63404.4180869653,S153,95796178.7016066
536,34503.4174642485,S143,41227787.8219499
537,50755.9731672256,S125,125690445.787987
538,12606.2982616941,M161,3190637.30201482
539,3905.83729423282,N139,953070.457996609
540,4494.98498428551,N140,808598.038917739
541,23292.9405861921,O127,25059259.8005211
542,9238.55077987813,M107,4469906.25222514
543,10755.0097405776,O138,5970233.00728834
544,2050.22993623789,M157,250893.715700107
545,1663.49876761151,M158,155614.745871064
546,3855.41341035455,N138,750715.586307998
547,10699.1545165845,C145,2191014.32384575
548,15940.7284527568,H127,6493834.24919296
549,14401.6350162316,Q124,10495240.5566497
550,5622.06339263879,K136,1961787.27533958
551,12527.1609542007,K118,5526982.71700828
552,8125.50426783343,K138,3514027.10903455
553,9672.68971527291,M130,3712790.81702023
554,3926.78307707618,M160,841608.486421847
555,4156.37831916635,M159,989932.049178698
556,9814.77183954617,K112,5049632.64245789
557,6447.93477253461,L140,2408218.84394107
558,5892.58087783248,M154,1327689.55980153
559,8349.10273945918,E157,3694718.47358055
560,4401.36173458654,G166,1165753.05542368
561,19130.0024048888,G162,7807033.79412153
562,4273.03526726601,H152,1161648.82046342
563,7563.54525019932,C128,1720856.84067278
564,4103.37735012422,C130,636444.373433649
565,15249.6624812246,C143,10549362.4351869
566,3482.57317017532,C144,653999.088713432
567,7816.61207251602,D145,3281337.10967003
568,18014.6687981437,B178,17175426.3270348
569,3234.26575400512,F177,506132.85183309
570,7803.01375580704,F178,1831547.65858706
571,17995.0150994335,C131,5809253.8451308
