OBJECTID,PL_LNGTH,PL_TOWNSHIP,PL_RANGE,PL_SECTION,PL_QUARTER,PL_SIXTEENTH,PL_GOVTLOT,PL_FEA_SYM,SHAPE_Length
10569,1466.62156,0.0,0.0,0.0,0.0,0.0,1.0,GL,1466.62155766161
10898,1283.98574,0.0,0.0,0.0,0.0,0.0,1.0,GL,1283.98574396921
10901,886.03254,0.0,0.0,0.0,0.0,0.0,1.0,GL,886.032536962686
10902,168.59308,0.0,0.0,0.0,0.0,0.0,1.0,GL,168.593078509406
10906,1328.65749,0.0,0.0,0.0,0.0,1.0,1.0,SX,1328.65748761998
10907,407.27571,0.0,0.0,0.0,0.0,1.0,1.0,SX,407.275714471069
10908,117.88599,0.0,0.0,0.0,0.0,0.0,1.0,GL,117.885990112842
10909,412.786,0.0,0.0,0.0,0.0,0.0,1.0,GL,412.785999194298
10910,301.61676,0.0,0.0,0.0,0.0,0.0,1.0,GL,301.61676059537
10911,134.63724,0.0,0.0,0.0,0.0,0.0,1.0,GL,134.637240689557
10936,1306.78549,0.0,0.0,0.0,0.0,1.0,1.0,SX,1306.78548532555
10943,240.00007,0.0,0.0,0.0,1.0,1.0,1.0,GL,240.000065213666
10950,240.00013,0.0,0.0,0.0,0.0,1.0,1.0,SX,240.000134042824
10951,1309.09747,0.0,0.0,0.0,0.0,0.0,1.0,GL,1309.09747087915
10971,423.50962,0.0,0.0,0.0,0.0,0.0,1.0,GL,423.509623909679
10994,920.64162,0.0,0.0,1.0,1.0,1.0,1.0,SC,920.641622102007
10997,412.42737,0.0,0.0,1.0,1.0,1.0,0.0,SC,412.427370308513
11008,1333.72232,0.0,0.0,0.0,1.0,1.0,0.0,QS,1333.72231883412
11013,426.7281,0.0,0.0,0.0,0.0,1.0,1.0,GL,426.728101697442
11015,1036.71066,0.0,0.0,0.0,0.0,0.0,1.0,GL,1036.71066087132
11016,1082.00587,0.0,0.0,0.0,0.0,0.0,1.0,GL,1082.00587230651
11023,1037.47527,0.0,0.0,0.0,0.0,1.0,1.0,SX,1037.47526946052
11024,920.27599,0.0,0.0,0.0,0.0,0.0,1.0,GL,920.275992577238
11025,797.95448,0.0,0.0,0.0,0.0,0.0,1.0,GL,797.954477227329
11026,528.87031,0.0,0.0,0.0,0.0,0.0,1.0,GL,528.870312195677
11027,197.67958,0.0,0.0,0.0,0.0,0.0,1.0,GL,197.679581699124
11028,243.95608,0.0,0.0,0.0,0.0,0.0,1.0,GL,243.956080391416
11038,520.97051,0.0,0.0,0.0,1.0,1.0,0.0,QS,520.970510711647
11039,963.41942,0.0,0.0,0.0,0.0,0.0,1.0,GL,963.419424867462
