EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
109688313,RSA / Scots (RSA) 5th Jun,R9 1000m Hcap,05-06-2013 14:50,5465077,Rashuli Breeze,0,7.297168993400547,1,1.0,1,1001,1,1001,0.0,0,0
109688305,RSA / Scots (RSA) 5th Jun,R5 1600m Plt,05-06-2013 12:50,7171232,Ramp Diva,0,3.35,1,4.0079591716366405,1,1001,1,1001,13.54,0,0
109688305,RSA / Scots (RSA) 5th Jun,R5 1600m Plt,05-06-2013 12:50,6464876,Victory Vixan,1,56.87164935064968,1,1.0,1,1001,1,1001,0.0,0,0
109688309,RSA / Scots (RSA) 5th Jun,R7 1500m Hcap,05-06-2013 13:50,6082864,Chisler,0,8.74524003043715,1,1.0,1,1001,1,1001,0.0,0,0
109688309,RSA / Scots (RSA) 5th Jun,R7 1500m Hcap,05-06-2013 13:50,7180942,Meet At Meydan,1,21.888,1,1.0,1,1001,1,1001,0.0,0,0
109688311,RSA / Scots (RSA) 5th Jun,R8 1200m Hcap,05-06-2013 14:20,6171233,Indaba My Children,0,2.98,1,1.0,1,1001,1,1001,0.0,0,0
109688311,RSA / Scots (RSA) 5th Jun,R8 1200m Hcap,05-06-2013 14:20,5599688,Welsh Glory,0,18.0,1,1.0,1,1001,1,1001,0.0,0,0
109688311,RSA / Scots (RSA) 5th Jun,R8 1200m Hcap,05-06-2013 14:20,6442218,Cools Style,0,17.288505449193035,1,1.0,1,1001,1,1001,0.0,0,0
109688297,RSA / Scots (RSA) 5th Jun,R1 1200m Plt,05-06-2013 10:35,7256565,Emerald Oz,0,4.003212329,1,3.4552086826534496,1,1001,1,1001,7037.48,0,0
109688297,RSA / Scots (RSA) 5th Jun,R1 1200m Plt,05-06-2013 10:35,7322767,Perfect Pairs,0,15.169146053548904,1,5.441197183098591,1,1001,1,1001,56.8,0,0
109688297,RSA / Scots (RSA) 5th Jun,R1 1200m Plt,05-06-2013 10:35,7322768,Range Lights,0,61.847130783441585,1,4.30188679245283,1,1001,1,1001,10.6,0,0
109688297,RSA / Scots (RSA) 5th Jun,R1 1200m Plt,05-06-2013 10:35,7322770,Tea At Two,0,65.0,1,8.98532110091743,1,1001,1,1001,10.9,0,0
109688297,RSA / Scots (RSA) 5th Jun,R1 1200m Plt,05-06-2013 10:35,7322771,Titlee,0,480.60570059511207,1,47.15215163934426,1,1001,1,1001,39.04,0,0
109688303,RSA / Scots (RSA) 5th Jun,R4 1600m Plt,05-06-2013 12:15,6898217,Cereza,0,50.74981722671771,1,1.0,1,1001,1,1001,0.0,0,0
109688315,RSA / Scots (RSA) 5th Jun,R10 1000m Plt,05-06-2013 15:25,7322780,Sun Silk Star,0,40.0,1,1.0,1,1001,1,1001,0.0,0,0
109688301,RSA / Scots (RSA) 5th Jun,R3 1200m Plt,05-06-2013 11:40,5893917,Saharan Heights,0,6.979067946,1,7.544576616298474,1,1001,1,1001,1306.38,0,0
109688301,RSA / Scots (RSA) 5th Jun,R3 1200m Plt,05-06-2013 11:40,7289524,Kaio Ken,0,45.210824034,1,,1,1001,1,1001,16.92,0,0
109688309,RSA / Scots (RSA) 5th Jun,R7 1500m Hcap,05-06-2013 13:50,5526453,Charles Greig,0,50.16,1,1.0,1,1001,1,1001,0.0,0,0
109688309,RSA / Scots (RSA) 5th Jun,R7 1500m Hcap,05-06-2013 13:50,6442226,Vienna Wood,0,4.761230418768,1,1.0,1,1001,1,1001,0.0,0,0
