OBJECTID,LndscpNum,LndscpArea,Type,Questionable,MaintOrg,Area,Shape__Area,Shape__Length
33,211.0,B,Median,,,529.751232365305,5.37670530320611e-09,0.0004096614859526
34,213.0,B,Median,,,642.599090803765,6.521986506413671e-09,0.0005099436715244
35,214.0,B,Median,,,702.772040730456,7.132484824978751e-09,0.0005456529188665
36,216.0,B,Median,,,352.754405444817,3.58045326720458e-09,0.0004051771133433
37,215.0,B,Median,,,2269.74806085897,2.30361365538556e-08,0.0023737900468129
38,217.0,B,Median,,,835.556305382106,8.480355973006231e-09,0.0006361715355957
39,219.0,B,Median,,MDOT,907.06566161889,9.205905371345581e-09,0.00065787339215
41,205.0,B,Median,,,12670.8854295098,1.28596639115131e-07,0.0026562399574494
42,204.0,B,Median,,,5599.57173051413,5.68311406823341e-08,0.0017904130322486
43,203.0,B,Median,,,6284.845337903,6.3786728787818e-08,0.0021955275222324
44,220.0,B,Median,,MDOT,7715.03168684801,7.82927145337453e-08,0.0022923179823518
45,221.0,B,Median,,MDOT,349.117412651093,3.5433913581073305e-09,0.0003263684545832
46,224.0,B,Median,,MDOT,536.55488333099,5.44559952686541e-09,0.0003469078403275
47,225.0,B,Median,,MDOT,356.475129055611,3.61796992365271e-09,0.0002946331445841
48,222.0,B,Median,,MDOT,7555.95191503404,7.66474386182381e-08,0.0030192278790797
49,223.0,B,Median,,MDOT,338.530230927772,3.4358436096226805e-09,0.0002926526990379
50,226.0,B,Median,,MDOT,2394.73129606573,2.43062459048815e-08,0.0006862006154372
51,230.0,B,Median,,MDOT,236.543142849262,2.40106601268053e-09,0.0002595710723322
52,227.0,B,Median,,MDOT,321.993628499442,3.26826921082102e-09,0.00027962184071
53,228.0,B,Median,,MDOT,271.358704396003,2.7544047043193103e-09,0.0002629683676241
54,231.0,B,Median,,MDOT,360.78942282626,3.6616256693378103e-09,0.0002978841694637
55,229.0,B,Median,,MDOT,8546.64690583292,8.67307790031191e-08,0.002624779093565
56,232.0,,Median,yes,,,3.35642198479036e-08,0.0017937881655652
57,233.0,B,Median,yes,,,2.26668817049358e-09,0.0002483013063224
58,236.0,B,Median,yes,,,2.6861926016863402e-09,0.0002562801199508
59,234.0,B,Median,yes,,,2.1207142708590304e-09,0.0002563750687081
60,235.0,B,Median,yes,,,2.9609282137244e-08,0.0016533390124847
61,237.0,B,Median,yes,,,1.04136461231974e-07,0.0036906495467275
62,238.0,B,Median,yes,,,6.73417162033729e-08,0.0019237398792059
63,400.0,D,Median,,,4248.83437142762,4.31252829002915e-08,0.0027508917192787
64,415.0,D,Median,,,1128.47528257185,1.14534941531019e-08,0.0008586640204368
65,416.0,D,Median,,,1147.27139286045,1.16442606667988e-08,0.0008641046124389
66,417.0,D,Median,,,7284.6819953875,7.39346432965249e-08,0.0028014324135753
67,418.0,D,Median,,,9243.3770063091,9.39046458370285e-08,0.003513592308654
68,402.0,D,Median,,,5688.1308281683,5.77197170059662e-08,0.0023540576496394
69,401.0,D,Median,,,7037.1841139052,7.13894223736133e-08,0.0020182887348573
72,403.0,D,Median,,,15005.3382942275,1.52146412801812e-07,0.0018581865013195
73,404.0,D,Median,,,8820.26138394107,8.95115590537898e-08,0.0016632824453495
74,405.0,D,Median,,,5022.43674238096,5.09248820890207e-08,0.001086430063933
75,409.0,D,Median,,MDOT,1332.76720188542,1.34195943246596e-08,0.0004863616570154
76,410.0,D,Median,,MDOT,1301.53790808407,1.32088189275237e-08,0.0005036838668515
77,408.0,D,Median,,MDOT,3842.29314946665,3.89541128242854e-08,0.0011397977677994
78,414.0,D,Median,,,2050.76971252365,2.08121946343454e-08,0.0009606534258756
79,413.0,D,Median,,,1575.49549526607,1.5989371604519e-08,0.0008090194889752
80,412.0,D,Median,,,5879.46902349925,5.95985056861537e-08,0.0016512796574945
81,411.0,D,Median,,,2723.9837296701,2.76456830761163e-08,0.0012414348037522
82,420.0,D,Median,,,895.848543266335,9.09153641259763e-09,0.0006960637032705
83,421.0,D,Median,,,1963.7821283085,1.99299847736256e-08,0.0011356765181467
84,419.0,D,Median,,,1203.70600912514,1.22167875815649e-08,0.0006897827977106
85,301.0,C,Median,,,520.30741269214,5.2805262384936205e-09,0.0003634120819733
