OBJECTID,TBPOLY_COD,TOWN_POLY,AV_LEGEND,COASTP_COD,COAST_POLY,ACREAGE,AREA_SQMI,SHAPE_Length,SHAPE_Area
69,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.02611389,4.08e-05,133.593301119931,-1137.51310533034
70,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,42.32400131,0.06613119,9114.85419625806,-1843633.09941857
71,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.114321,0.00017862,288.212590793647,-4979.84396719121
72,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,2.68387007,0.00419354,1746.87840191745,-116909.15853288
73,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,282.0039978,0.440631,29506.9361257645,-12284100.198966
74,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.06879819,0.00010749,257.592933828641,-2996.84705961254
75,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0389654,6.088e-05,171.198359341923,-1697.33048127456
76,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0594724,9.292e-05,206.755390042392,-2590.64287286039
77,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.038938,6.084e-05,159.360389320298,-1696.14932211678
78,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.169044,0.00026413,355.474366802391,-7363.52187048567
79,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.05271939,8.237e-05,192.048419137424,-2296.44529252951
80,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.16707399,0.00026105,338.72175831524,-7277.79193987942
81,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0628195,9.815e-05,194.590459729754,-2736.42114112939
82,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.46252799,0.00072269,800.598332041689,-20147.7147362086
83,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,8.30296993,0.01297339,2991.81275416959,-361677.331686028
84,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0370232,5.784e-05,155.401958720203,-1612.72257243938
85,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.24929699,0.00038952,471.046384927385,-10859.3484588166
86,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.09508199,0.00014856,283.669120556835,-4141.77585809865
87,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.42320901,0.00066126,690.881156494666,-18435.0153040284
88,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.396081,0.00061887,612.391103131384,-17253.3137174982
89,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,1.06541001,0.00166469,1471.26786356072,-46409.1692489821
90,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.30785,0.00048101,497.158605035252,-13409.9785131668
91,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.63328701,0.00098951,1064.82006898234,-27586.0476697723
92,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,1.28930997,0.00201453,1761.03353983696,-56162.2280951865
93,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,1.59780001,0.00249656,1158.10536036118,-69599.8804746726
94,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.57647001,0.00090073,739.45965237752,-25111.0326758596
95,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.03763069,5.879e-05,156.092356849453,-1639.19535851745
96,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0595838,9.309e-05,203.82310767491,-2595.47909911016
97,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.329997,0.00051561,605.573584646506,-14374.6993088746
98,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.13098299,0.00020466,338.832341097043,-5705.62469238616
99,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0732022,0.00011437,237.979734938425,-3188.64503795144
100,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.13542099,0.00021159,309.383081260505,-5898.96826336632
101,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.06882259,0.00010753,202.072149275377,-2997.88626135823
102,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,15.88510036,0.02482049,3721.19319743495,-691955.52883071
103,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,59.07139968,0.09229909,7461.31696671249,-2573151.22307198
104,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.060527,9.457e-05,211.634701601437,-2636.56212467952
105,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.051621,8.065e-05,202.754135652034,-2248.62595045613
106,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.205344,0.00032084,361.751039089966,-8944.75098668604
107,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.815131,0.00127363,755.279297334892,-35507.0942929055
108,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.39297801,0.00061402,525.220112946306,-17118.1029106568
109,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,5.37680006,0.00840125,2266.97509990895,-234213.458268853
110,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,2.64256,0.004129,2505.65879579347,-115109.851817716
111,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,1.63599002,0.00255622,1021.89657310264,-71263.6627084811
112,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,1.09002995,0.00170318,1402.97580835481,-47481.8235955344
113,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,2.57111001,0.00401734,2288.85241177569,-111997.637520017
114,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,66.91889953,0.104561,9283.11290563107,-2914986.48484488
115,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.43752598,0.00068363,557.65564410255,-19058.6412651597
116,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.95253497,0.00148833,897.769909623695,-41492.4269287294
117,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0446796,6.981e-05,178.689374410313,-1946.25440038702
118,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.01866069,2.915e-05,107.268600800403,-812.870231286346
119,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.237568,0.0003712,417.805688770607,-10348.4370343524
120,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.04831599,7.549e-05,175.678378124399,-2104.64893865352
121,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0294623,4.603e-05,137.246553247613,-1283.39736373569
122,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.02249849,3.515e-05,120.221727981826,-980.040755186575
123,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.59014701,0.0009221,1118.12672191799,-25706.903910116
124,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.05467319,8.542e-05,205.472594271797,-2381.58429563665
125,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.04527869,7.074e-05,188.236458646392,-1972.33438466839
126,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,8.67424011,0.0135535,4695.84419560159,-377849.948555363
127,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,1.10989999,0.00173422,977.804707518587,-48347.5462337542
128,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.10059399,0.00015717,293.484224079953,-4381.86600275011
129,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.40450599,0.00063204,613.956111551594,-17620.2478019445
130,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0500638,7.822e-05,177.460547142738,-2180.76656989622
131,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,3.32510995,0.00519547,2256.36616280564,-144841.586611023
132,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.418565,0.000654,690.068158333629,-18232.7643470933
133,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,9.33084964,0.0145795,6118.64863386384,-406452.053653618
134,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.17202399,0.00026878,409.479578745535,-7493.3729083011
135,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0964983,0.00015077,239.432945913596,-4203.48672799794
136,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,2.96158003,0.00462748,1379.26436607832,-129006.476494809
137,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.01353619,2.115e-05,93.2090260576095,-589.6313766762
138,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.98832899,0.00154425,1386.33613834517,-43051.4980432379
139,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0396591,6.196e-05,193.854711362952,-1727.5482487227
140,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.03739099,5.842e-05,167.02158393309,-1628.73595994772
141,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.02384359,3.725e-05,128.001429670819,-1038.62183000775
142,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,1.87426996,0.00292854,1654.30968873073,-81643.4171057648
143,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.208717,0.00032612,408.703079578649,-9091.71157778027
144,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.107081,0.00016731,268.413226917435,-4664.44877491151
145,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.40997898,0.00064059,559.00973630016,-17858.6490223223
146,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.56186199,0.0008779,743.768278646625,-24474.6748922322
147,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.44626,0.00069728,573.964731238464,-19439.1043293292
148,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.13948899,0.00021795,323.66356853677,-6076.11843810303
149,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0585686,9.151e-05,202.144118753056,-2551.24409606092
150,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0838963,0.00013108,251.099770799749,-3654.48415144182
151,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.13923999,0.00021756,343.746803136842,-6065.32421499741
152,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.01846879,2.885e-05,109.608911231737,-804.505563291507
153,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.01815159,2.836e-05,106.646137753518,-790.678262567655
154,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,6.36301994,0.00994221,9243.73795758933,-277173.559020024
155,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.02546509,3.978e-05,127.95510281335,-1109.26026535683
156,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,8.18605995,0.0127907,2452.4905767572,-356584.80142579
157,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0156321,2.442e-05,98.6319283853208,-680.93526818974
158,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0155891,2.435e-05,102.140779528172,-679.050459144251
159,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.74916899,0.00117058,706.788986862672,-32633.7888531561
160,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0213757,3.339e-05,117.43437388085,-931.141985673685
161,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.01100329,1.719e-05,85.5454795913936,-479.307511895114
162,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.365381,0.0005709,778.491475389101,-15915.9008831324
163,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.014348,2.241e-05,100.462751515357,-625.008326756043
164,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.02502159,3.909e-05,126.838145034537,-1089.95690059769
165,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.04465129,6.976e-05,205.445361332472,-1945.00129342484
166,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0273202,4.268e-05,131.350290469511,-1190.05823196232
167,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.11384499,0.00017788,268.252600564473,-4959.0729956899
168,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.15359699,0.00023999,473.355082387289,-6690.7164605648
169,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0285397,4.459e-05,129.580366055215,-1243.19944373732
170,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.02973059,4.645e-05,153.399194538565,-1295.04307391791
171,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0154731,2.417e-05,98.0714706467101,-674.006100915633
172,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.04409579,6.889e-05,199.35933871239,-1920.80623246563
173,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0283147,4.424e-05,132.412589061415,-1233.37881729369
174,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.05040159,7.875e-05,184.538130293756,-2195.48728117496
175,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.07697589,0.00012027,254.156175044124,-3353.03929146599
176,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.11921799,0.00018627,386.136589860304,-5193.11827271086
177,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.04956819,7.745e-05,196.233119525898,-2159.16360700915
