OBJECTID,SYMBOL,ZONING_COD,ZONING_NAM,ZONING_TYP,SHAPE_Leng,Shape_Length,Shape_Area
79,0,(OR3),OFFICE/RES OVERLAY,OFFICE,491.541697286,491.541851772811,8150.01277975847
80,0,OR2,OFFICE/RES,OFFICE,890.016984722,890.017489907666,49304.5308007051
81,0,R7,RES MULTI-FAMILY,RESIDENTIAL,769.938766301,769.938593367452,35375.8840808922
82,0,OR2,OFFICE/RES,OFFICE,1010.91603822,1010.91635871939,65410.7135544457
83,0,R5,RES SINGLE FAMILY,RESIDENTIAL,838.189505596,838.18966088202,41099.5578238459
84,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1107.32033825,1107.32044192183,67306.2122799993
85,0,OR2,OFFICE/RES,OFFICE,712.804931126,712.804776167156,30513.3556900984
86,0,R8A,RES MULTI-FAMILY,RESIDENTIAL,739.701472541,739.701656150621,34180.3596886292
87,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,137.043156049,137.043195180123,1143.45223088029
88,0,OR3,OFFICE/RES,OFFICE,1559.28535688,1559.28560551165,146209.795147578
89,0,OR1,OFFICE/RES,OFFICE,313.186406557,313.186689797805,5271.50329157886
90,0,R3,RES SINGLE FAMILY,RESIDENTIAL,2092.1896165,2092.18960013201,183362.861547574
91,0,R1,RES SINGLE FAMILY,RESIDENTIAL,2740.42155481,2740.42117423653,368454.548369858
92,0,R7,RES MULTI-FAMILY,RESIDENTIAL,1903.27751132,1903.27752911871,143601.274134176
93,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,539.991122959,539.990907664471,15239.6082072252
94,0,M2,INDUSTRIAL,INDUSTRIAL,2035.44622946,2035.4456798753,168387.598763489
95,0,OR1,OFFICE/RES,OFFICE,608.042053,608.04197413951,18887.8996351565
96,0,M3,INDUSTRIAL,INDUSTRIAL,1597.24342338,1597.24308742749,146690.509382764
97,0,OR1,OFFICE/RES,OFFICE,797.643806378,797.644143194077,38131.4110744438
98,0,OR3,OFFICE/RES,OFFICE,1793.23979116,1793.23956690616,166393.826670932
99,0,OR3,OFFICE/RES,OFFICE,1028.11670354,1028.11681385331,35256.9027341607
100,0,OR1,OFFICE/RES,OFFICE,572.259217732,572.258886957002,18368.9171441467
101,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,644.496112554,644.496280748032,24351.7076153615
102,0,R7,RES MULTI-FAMILY,RESIDENTIAL,1150.78208929,1150.78213925098,82514.7732245789
103,0,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,1281.91771471,1281.91758158334,89542.8842533861
104,0,R7,RES MULTI-FAMILY,RESIDENTIAL,901.126252551,901.126515839976,42831.9281810581
105,0,OR1,OFFICE/RES,OFFICE,427.096852445,427.096875169283,8278.81600840983
106,0,OR3,OFFICE/RES,OFFICE,595.051156496,595.051371488039,7374.03469288034
107,0,OTF,OFFICE/TOURIST FACILITY,OFFICE,493.071492718,493.071129376936,12510.2902002352
108,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,517.603652393,517.603538341321,16452.1337937217
109,0,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,2976.27660447,2976.27684267326,280691.551982219
110,0,OR3,OFFICE/RES,OFFICE,612.116469572,612.116129447662,22259.9000310211
111,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3479.66071844,3479.66085183559,677898.998328791
112,0,OR2,OFFICE/RES,OFFICE,705.971678212,705.971452557663,28825.2653146281
113,0,OR3,OFFICE/RES,OFFICE,3044.48854984,3044.4888291161,381801.216916759
114,0,M2,INDUSTRIAL,INDUSTRIAL,778.316957181,778.316800488509,25261.7201606667
115,0,M2,INDUSTRIAL,INDUSTRIAL,783.486797907,783.486842976943,35401.8024593586
116,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,967.38318154,967.383073684022,34611.6434882192
117,0,C3,CENTRAL BUSINESS,COMMERCIAL-INDUSTRIAL,489.127303032,489.12717045739,13452.5551265445
118,0,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,614.94662302,614.946854356777,23497.6635259839
119,0,(C1),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,2558.17710872,2558.17730120555,324745.08371552
120,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,775.655795299,775.655185660807,34434.8681787024
121,0,(C1),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,671.624540526,671.62474096033,21365.0189310294
122,0,(C2),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,708.251525994,708.251647006945,25255.5234376452
123,0,(C1),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,658.289606965,658.288742313899,20757.4387061158
124,0,R7,RES MULTI-FAMILY,RESIDENTIAL,2479.53994156,2479.54004822605,336411.285472852
125,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1047.563286,1047.56356434741,63504.9662722457
126,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,508.74256738,508.742203250524,15002.6329904657
127,0,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,838.17355352,838.173646886838,26333.0641265203
128,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,496.696253149,496.696333045168,15380.28694563
129,0,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,577.337047241,577.337072371821,20699.1224276014
130,0,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,1444.87424322,1444.8742647921,88469.8470060609
131,0,R7,RES MULTI-FAMILY,RESIDENTIAL,331.105226899,331.105312402591,6843.29902420654
132,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,483.606476488,483.606164534206,8211.08307605235
133,0,M1,INDUSTRIAL,INDUSTRIAL,1003.97490076,1003.97482398584,60481.0448440355
134,0,R7,RES MULTI-FAMILY,RESIDENTIAL,843.503065843,843.502958054007,39641.8920793892
135,0,OR2,OFFICE/RES,OFFICE,578.042785528,578.042540232627,11813.5556362086
136,0,R7,RES MULTI-FAMILY,RESIDENTIAL,580.631312522,580.631113075192,12223.7537548288
137,0,OR1,OFFICE/RES,OFFICE,345.810707639,345.811215038417,4337.35726638288
138,0,OTF,OFFICE/TOURIST FACILITY,OFFICE,954.238177621,954.238177889569,48543.7643919413
139,0,OR1,OFFICE/RES,OFFICE,1091.26073752,1091.26062227195,56218.0768849697
140,0,R7,RES MULTI-FAMILY,RESIDENTIAL,660.996517665,660.996517221242,26733.9905132234
141,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1615.29146886,1615.2910673678,128740.269845303
142,0,OR,OFFICE/RESIDENTIAL,OFFICE,750.993772535,750.994164484469,30248.9926686614
143,0,(C1),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,1357.25090561,1357.25059952428,76406.8945605091
144,0,R1,RES SINGLE FAMILY,RESIDENTIAL,853.999430427,853.999433720313,17755.6259161961
145,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,560.48344762,560.483292119519,19432.8120527549
146,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1774.80661257,1774.80676529505,144715.6736119
147,0,OR1,OFFICE/RES,OFFICE,690.172947759,690.173472783003,29583.0958714792
148,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,744.881451696,744.881445328035,34566.5230524633
149,0,R7,RES MULTI-FAMILY,RESIDENTIAL,1383.67093345,1383.67068416752,92181.9849943276
150,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,154.303832509,154.303962562212,671.474322992078
151,0,R5B,RES TWO-FAMILY,RESIDENTIAL,933.52575057,933.525865140852,45036.8052775223
152,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1606.59524881,1606.59496267933,111539.7353313
153,0,OR1,OFFICE/RES,OFFICE,583.75106509,583.75125313426,15611.5891548184
154,0,R5,RES SINGLE FAMILY,RESIDENTIAL,2296.48168051,2296.48160899603,228605.642533572
155,0,OR1,OFFICE/RES,OFFICE,889.976805781,889.977378794767,34568.4084399753
156,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1825.05916836,1825.05960617154,159049.47437362
157,0,R5,RES SINGLE FAMILY,RESIDENTIAL,7995.95138159,7995.95140436374,2370543.97680785
158,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,942.999676187,942.999618915768,52900.2431068072
159,0,M1,INDUSTRIAL,INDUSTRIAL,759.572582818,759.571879991491,32406.1320317264
160,0,OR1,OFFICE/RES,OFFICE,582.658566048,582.658464864731,19267.9484821814
161,0,OR1,OFFICE/RES,OFFICE,770.205669977,770.205439414335,37072.4693093025
162,0,OR3,OFFICE/RES,OFFICE,677.224859909,677.225089267653,27832.2774290445
163,0,OR2,OFFICE/RES,OFFICE,917.032844557,917.032532801114,39959.8224438826
