OBJECTID_1,GEOID,NAME,B16003_001E,B16003_002E,B16003_003E,B16003_004E,B16003_005E,B16003_006E,B16003_007E,B16003_008E,B16003_009E,B16003_010E,B16003_011E,B16003_012E,ACS_VINTAGE,JURISDICTION,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES,TRACT_LABEL
32,53033002600,"Census Tract 26, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,5Y20,Seattle,7.3,7.0,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",26.0
33,53033002700,"Census Tract 27, King County, Washington",121,7,0,0,0,7,0,114,84,0,30,0,5Y20,Seattle,9.4,9.0,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",27.0
34,53033002800,"Census Tract 28, King County, Washington",138,0,0,0,0,0,0,138,98,23,17,0,5Y20,Seattle,9.3,9.0,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",28.0
35,53033002900,"Census Tract 29, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,5Y20,Seattle,9.3,9.0,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",29.0
36,53033003000,"Census Tract 30, King County, Washington",245,68,0,54,0,14,0,177,104,0,73,0,5Y20,Seattle,10.2,10.0,Whittier Heights,"Whittier Heights, Loyal Heights, Crown Hill",30.0
37,53033003100,"Census Tract 31, King County, Washington",79,0,0,0,0,0,0,79,0,14,65,0,5Y20,Seattle,10.3,10.0,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole",31.0
38,53033003201,"Census Tract 32.01, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,5Y20,Seattle,10.3,10.0,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole",32.01
39,53033003202,"Census Tract 32.02, King County, Washington",20,0,0,0,0,0,0,20,0,20,0,0,5Y20,Seattle,10.3,10.0,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole",32.02
40,53033003301,"Census Tract 33.01, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,5Y20,Seattle,10.2,10.0,Whittier Heights,"Whittier Heights, Loyal Heights, Crown Hill",33.01
41,53033003302,"Census Tract 33.02, King County, Washington",21,0,0,0,0,0,0,21,0,0,0,21,5Y20,Seattle,10.2,10.0,Whittier Heights,"Whittier Heights, Loyal Heights, Crown Hill",33.02
42,53033003400,"Census Tract 34, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,5Y20,Seattle,9.3,9.0,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",34.0
43,53033003500,"Census Tract 35, King County, Washington",8,0,0,0,0,0,0,8,0,8,0,0,5Y20,Seattle,9.3,9.0,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",35.0
44,53033003601,"Census Tract 36.01, King County, Washington",514,0,0,0,0,0,0,514,54,0,460,0,5Y20,Seattle,9.4,9.0,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",36.01
45,53033003602,"Census Tract 36.02, King County, Washington",297,28,0,0,0,28,0,269,0,0,269,0,5Y20,Seattle,9.4,9.0,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",36.02
46,53033003800,"Census Tract 38, King County, Washington",28,0,0,0,0,0,0,28,0,0,28,0,5Y20,Seattle,7.3,7.0,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",38.0
47,53033003900,"Census Tract 39, King County, Washington",63,12,0,0,0,12,0,51,0,0,51,0,5Y20,Seattle,7.4,7.0,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",39.0
48,53033004000,"Census Tract 40, King County, Washington",109,53,27,0,0,0,26,56,0,0,29,27,5Y20,Seattle,7.5,7.0,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",40.0
49,53033004101,"Census Tract 41.01, King County, Washington",110,44,0,0,0,44,0,66,0,0,66,0,5Y20,Seattle,7.5,7.0,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",41.01
50,53033004102,"Census Tract 41.02, King County, Washington",29,0,0,0,0,0,0,29,0,0,29,0,5Y20,Seattle,7.5,7.0,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",41.02
51,53033004201,"Census Tract 42.01, King County, Washington",45,0,0,0,0,0,0,45,0,0,45,0,5Y20,Seattle,7.3,7.0,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",42.01
