OBJECTID,SegKey,InstallationDate,DataConfidence,DateLastMaintained,DateLastEdit,Ownership,MaintainedBy,MaintenanceResponsibility,ProjectORVPN,Comments,UseDesignation,Type,Material,Area,Blocktype,autocad_entity,autocad_block_number,F_area,SHAPE_Length
13117,,,,,,,,,,,,,,,,autocad_line,16905,,37.1707446772737
13118,,,,,,,,,,,,,,,,autocad_line,13591,,25.8869847606933
13119,,,,,,,,,,,,,,,,autocad_line,5364,,0.602603707474693
13120,,,,,,,,,,,,,,,,autocad_line,32045,,46.7968594107139
13121,,,,,,,,,,,,,,,,autocad_line,12880,,37.1299670923558
13122,,,,,,,,,,,,,,,,autocad_line,5679,,25.8660279770419
13123,,,,,,,,,,,,,,,,autocad_line,33699,,22.6231360880397
13124,,,,,,,,,,,,,,,,autocad_line,20527,,46.8879053924613
13125,,,,,,,,,,,,,,,,autocad_line,3935,,37.1057834494847
13126,,,,,,,,,,,,,,,,autocad_line,28451,,37.1386515711581
13127,,,,,,,,,,,,,,,,autocad_line,18271,,22.6637044074481
13128,,,,,,,,,,,,,,,,autocad_line,20618,,46.8876721676056
13129,,,,,,,,,,,,,,,,autocad_line,30493,,22.6105681002625
13130,,,,,,,,,,,,,,,,autocad_line,16188,,25.9274700358619
13131,,,,,,,,,,,,,,,,autocad_line,3706,,25.9026179413447
13132,,,,,,,,,,,,,,,,autocad_line,1822,,22.6489798069525
13133,,,,,,,,,,,,,,,,autocad_line,1057,,11.2748741809318
13134,,,,,,,,,,,,,,,,autocad_line,4474,,37.1186691864237
13135,,,,,,,,,,,,,,,,autocad_line,2167,,46.9044170270274
13136,,,,,,,,,,,,,,,,autocad_line,7823,,25.0440704749678
13137,,,,,,,,,,,,,,,,autocad_line,6081,,22.6341045255844
13138,,,,,,,,,,,,,,,,,2836,,14.7625764267298
13139,,,,,,,,,,,,,,,,autocad_line,13088,,37.3246995249738
13140,,,,,,,,,,,,,,,,autocad_line,29845,,37.1366182600948
13141,,,,,,,,,,,,,,,,autocad_line,8814,,8.75063439312586
13142,,,,,,,,,,,,,,,,autocad_line,28926,,34.5292185522073
13143,,,,,,,,,,,,,,,,autocad_line,17903,,22.6334874110426
13144,,,,,,,,,,,,,,,,autocad_line,28278,,22.6020290705389
13145,,,,,,,,,,,,,,,,autocad_line,5427,,25.0315311876691
13146,,,,,,,,,,,,,,,,autocad_line,31709,,7.18703409485208
13147,,,,,,,,,,,,,,,,autocad_line,16119,,22.6747779330294
13148,,,,,,,,,,,,,,,,autocad_line,29348,,46.8197862988093
13149,,,,,,,,,,,,,,,,autocad_line,4804,,7.19347688889563
13150,,,,,,,,,,,,,,,,autocad_line,2594,,37.1803029694111
13151,,,,,,,,,,,,,,,,autocad_line,29786,,37.1383261924056
13152,,,,,,,,,,,,,,,,autocad_line,30430,,37.1039810959446
13153,,,,,,,,,,,,,,,,autocad_line,2561,,37.1798476210609
13154,,,,,,,,,,,,,,,,autocad_line,30038,,25.8356235895114
13155,,,,,,,,,,,,,,,,autocad_line,12829,,37.2257344078815
13156,,,,,,,,,,,,,,,,autocad_line,18210,,22.6635391481039
13157,,,,,,,,,,,,,,,,autocad_line,28421,,22.5866399230823
13158,,,,,,,,,,,,,,,,autocad_line,16593,,25.9508763280001
13159,,,,,,,,,,,,,,,,autocad_line,28719,,22.6031830507636
13160,,,,,,,,,,,,,,,,autocad_line,29461,,17.6852628532951
13161,,,,,,,,,,,,,,,,autocad_line,4452,,25.8749818555694
13162,,,,,,,,,,,,,,,,autocad_line,1811,,22.6497234035056
13163,,,,,,,,,,,,,,,,autocad_line,5091,,37.1495386483001
13164,,,,,,,,,,,,,,,,autocad_line,4686,,22.6549442956028
13165,,,,,,,,,,,,,,,,autocad_line,14222,,37.2521466151518
13166,,,,,,,,,,,,,,,,autocad_line,29601,,37.141644582174
13167,,,,,,,,,,,,,,,,,13981,,26.9158930607645
13168,,,,,,,,,,,,,,,,autocad_line,29846,,37.1362741389037
13169,,,,,,,,,,,,,,,,autocad_line,21085,,22.6328267414465
13170,,,,,,,,,,,,,,,,autocad_line,11363,,22.6338482802512
13171,,,,,,,,,,,,,,,,autocad_line,5986,,22.6231501684001
13172,,,,,,,,,,,,,,,,autocad_line,13046,,37.2532155133245
13173,,,,,,,,,,,,,,,,autocad_line,16753,,25.9454984945611
13174,,,,,,,,,,,,,,,,autocad_line,609,,37.1473725893441
13175,,,,,,,,,,,,,,,,autocad_line,1068,,22.6397907445601
13176,,,,,,,,,,,,,,,,autocad_line,16012,,25.9321550114831
13177,,,,,,,,,,,,,,,,,16382,,14.7911834592985
13178,,,,,,,,,,,,,,,,autocad_line,9700,,15.8186832576463
13179,,,,,,,,,,,,,,,,autocad_line,17434,,37.2108461412007
13180,,,,,,,,,,,,,,,,autocad_line,30884,,37.1245643746125
13181,,,,,,,,,,,,,,,,autocad_line,7874,,25.0445534145187
13182,,,,,,,,,,,,,,,,autocad_line,13249,,22.6754464732526
13183,,,,,,,,,,,,,,,,,16660,,14.78987572047
13184,,,,,,,,,,,,,,,,autocad_line,18625,,25.8883311898999
13185,,,,,,,,,,,,,,,,autocad_line,6188,,6.53604442325034
