OBJECTID,WSA_NAME,WSA_NO,WSA_SUIT,BLM_ORG_CD,AUTH_NAME,BOUNDARY_STATUS,GIS_ACRES,SHAPE_Length,SHAPE_Area
181,,out,X,ORP04,,Unknown,163.56172359,0.0348640031593284,7.39693885370263e-05
182,Cougar Well WSA,5-43,N,ORP04,,Unknown,19334.57060018,0.87565743194167,0.0087370919515085
183,Hampton Butte WSA,5-42,N,ORP04,,Unknown,10241.20367803,0.694148742721709,0.0046302120640558
184,,roadout,X,ORP04,,Unknown,1.38570465,0.022163027609013,6.32913836739806e-07
185,,roadout,X,ORP04,,Unknown,1.95765592,0.032126424382526,8.94160442771364e-07
186,Aldrich Mountain WSA,2-103,N,ORP04,,Unknown,9125.1340693,0.776795209991633,0.0041697952122635
187,Strawberry Mountain-Indian Creek WSA,2-98D,N,ORP04,,Unknown,210.64290802,0.0606196272836395,9.62411987497912e-05
188,High Steens WSA,2-85F,N,ORB06,,Unknown,117.63217614,0.0313860547384531,5.23814580875372e-05
189,High Steens WSA,2-85F,N,ORB06,,Unknown,300.02156555,0.0637451152839339,0.0001336325563404
190,Mountain Lakes WSA,11-1,Y,ORL04,,Unknown,339.53674182,0.0498706804327269,0.0001501624633834
191,Guano Creek WSA,1-132,Y,ORL05,,Unknown,10566.72756951,0.386968563751347,0.0046609359418873
192,inholding,inholding,X,ORL05,,Unknown,40.09270003,0.0169673641949478,1.76382857211982e-05
193,inholding,inholding,X,ORL05,,Unknown,81.10447823,0.0243553372262688,3.56977405169637e-05
194,,roadout,X,ORL05,,Unknown,1.49541986,0.0238602723031998,6.59095425461758e-07
195,,roadout,X,ORL05,,Unknown,9.62827088,0.133668387635447,4.24213186223917e-06
196,Spaulding WSA,1-139,N,ORL05,,Unknown,68495.98212102,1.14154909793771,0.0301530068743196
197,,roadout,Y,ORL05,,Unknown,1.7060385,0.0259530216903347,7.59142606099929e-07
198,South Fork WSA,5-33,N,ORP04,,Unknown,2361.14076405,0.244990451312597,0.0010724239354918
199,South Fork WSA,5-33,Y,ORP04,,Unknown,17968.38857196,0.600317732420302,0.0081558024794783
200,Pats Cabin WSA,5-85,U,ORP04,,Unknown,9814.02900529,0.542870392447738,0.0045083873495578
201,,roadout,X,ORB05,,Unknown,1.02858508,0.0168794925439485,4.66998395988141e-07
202,,roadout,X,ORB05,,Unknown,4.43192273,0.0639450003683088,2.01302916638987e-06
203,McGraw Creek WSA,6-1,N,ORV05,,Unknown,504.78156423,0.131686197269964,0.0002336661954893
204,,roadout,X,ORP04,,Unknown,0.10629917,0.0019083922940851,4.81919091377119e-08
205,,out,X,ORP04,,Unknown,450.2507208,0.102736921926613,0.0002041965508874
206,,roadout,X,ORP04,,Unknown,1.34919274,0.0225111774970717,6.11993399840099e-07
207,,roadout,X,ORP04,,Unknown,0.49751373,0.0083495568182355,2.2573993824248e-07
208,,out,X,ORP04,,Unknown,203.16847778,0.0881890865753093,9.21806890216117e-05
