OBJECTID,PLSSID,TWNSHPLAB,STEWARD,REVISEDDATE,STATEABBR,STWRDPLYID,STWRDPLYTP,STWRDLAB,SHAPE_Length,SHAPE_Area
110,AL290060N0270W0,T6N R27W,BLM Cadastral - ES,2021/10/01 00:00:00+00,AL,,,,0.205537391003997,0.0002142975381718
111,AL290060N0280W0,T6N R28W,BLM Cadastral - ES,2021/10/01 00:00:00+00,AL,,,,0.204017014994986,0.0001049773662869
112,AL290060N0290W0,T6N R29W,BLM Cadastral - ES,2021/10/01 00:00:00+00,AL,,,,0.0340507567810187,4.4266484427213e-06
113,AL250010N0100E0,T1N R10E,State of Alabama,2021/10/01 00:00:00+00,AL,,,,0.375862533748094,0.0087381820670379
114,AL250010N0060E,T1N R6E,State of Alabama,2021/10/01 00:00:00+00,AL,,,,0.3786197028032,0.0089139805136027
115,AL250010N0070E0,T1N R7E,State of Alabama,2021/10/01 00:00:00+00,AL,,,,0.378640768793255,0.008908330512323
116,AL250010N0080E0,T1N R8E,State of Alabama,2021/10/01 00:00:00+00,AL,,,,0.378816045866148,0.0089336426597947
117,AL290070N0150W0,T7N R15W,BLM Cadastral - ES,2021/10/01 00:00:00+00,AL,,,,0.229926277618706,0.0013445299176632
118,AL250010N0090E0,T1N R9E,State of Alabama,2021/10/01 00:00:00+00,AL,,,,0.378124499753126,0.0088579963354322
119,AL290070N0160W0,T7N R16W,BLM Cadastral - ES,2021/10/01 00:00:00+00,AL,,,,0.220701625148416,0.0012056411150634
120,AL290070N0090W0,T7N R9W,BLM Cadastral - ES,2021/10/01 00:00:00+00,AL,,,,0.239393025925187,0.001904120215971
121,AL290070N0100W0,T7N R10W,BLM Cadastral - ES,2022/01/19 00:00:00+00,AL,,,,0.239240219291901,0.0018383913524821
122,AL290070N0130W0,T7N R13W,BLM Cadastral - ES,2021/10/01 00:00:00+00,AL,,,,0.231547920474471,0.001517826290338
123,AL290070N0170W0,T7N R17W,BLM Cadastral - ES,2022/01/13 00:00:00+00,AL,,,,0.226404465069135,0.0011557971483406
124,AL290060N0180W0,T6N R18W,BLM Cadastral - ES,2022/01/20 00:00:00+00,AL,,,,0.223715607846147,0.0010682958113371
125,AL250140N0260E0,T14N R26E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.38358206197714,0.0091194851475418
126,AL160130S0050W0,T13S R5W,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.38621835153006,0.0092126790289266
127,AL160010S0020E0,T1S R2E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.387791112791209,0.0093812506446741
128,AL160010S0010E0,T1S R1E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.390596781560359,0.0094480445716253
129,AL250030N0260E0,T3N R26E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.378742347173353,0.0089145270744566
130,AL250230N0030W0,T23N R3W,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.375903418741767,0.0089020193770022
131,AL160160S0040W0,T16S R4W,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.385453384729653,0.0091661943649356
132,AL250220N0270E0,T22N R27E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.381163623914824,0.0090095094304806
133,AL160220S0100E0,T22S R10E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.283583963523192,0.0039754372319189
134,AL160080S0120W0,T8S R12W,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.38512086108225,0.0091746599198092
135,AL160180S0120W0,T18S R12W,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.383381323879107,0.0091001176678981
136,AL250090N0230E0,T9N R23E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.378066016634086,0.0088829421439752
