OBJECTID,AV_LEGEND,IMS_LEGEND,COASTP_COD,COAST_POLY,NAMEDP_COD,NAMED_POLY,SCALELEVEL,STREAM_NO,STREAM,LAKE_NO,LAKE,BAY_NO,BAY,HARBOR_NO,HARBOR,SOUND_NO,SOUND,ACREAGE,Shape__Area,Shape__Length
10347,Water,Water,1,Inland Polygons,2,Named Waterbody,2,1448,Rippowam River,0, ,0, ,0, ,0, ,0.99596297,43384.0504455566,1156.88439242119
10348,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,857,Escape Pond,0, ,0, ,0, ,0.147786,6437.52810668945,324.58518326746
10349,Water,Water,1,Inland Polygons,2,Named Waterbody,5,807,Holy Ghost Fathers Brook,0, ,0, ,0, ,0, ,0.342902,14936.8905639648,547.535049605172
10350,Water,Water,1,Inland Polygons,2,Named Waterbody,4,513,East Branch Mianus River,0, ,0, ,0, ,0, ,0.51675301,22509.859375,760.11347221773
10351,Water,Water,1,Inland Polygons,2,Named Waterbody,4,596,Fivemile River,1861,Millard Pond,0, ,0, ,0, ,1.91736996,83520.6997680664,1532.88179608519
10352,Water,Water,1,Inland Polygons,2,Named Waterbody,2,1448,Rippowam River,0, ,0, ,0, ,0, ,47.68450164,2077137.42315674,78767.5424632477
10353,Water,Water,1,Inland Polygons,2,Named Waterbody,5,807,Holy Ghost Fathers Brook,897,Ferndale Pond,0, ,0, ,0, ,0.58189702,25347.4931335449,717.714206322638
10354,Water,Water,1,Inland Polygons,2,Named Waterbody,5,761,Haviland Brook,0, ,0, ,0, ,0, ,0.744286,32421.1518249512,767.999018647584
10355,Water,Water,1,Inland Polygons,2,Named Waterbody,3,1081,Mianus River,0, ,0, ,0, ,0, ,8.41625022,366611.649658203,17866.159503602
10356,Water,Water,1,Inland Polygons,2,Named Waterbody,4,699,Greens Farms Brook,0, ,0, ,0, ,0, ,0.33796799,14721.966217041,864.765360198593
10357,Water,Water,1,Inland Polygons,2,Named Waterbody,4,699,Greens Farms Brook,0, ,0, ,0, ,0, ,0.02609979,1136.89318847656,137.850421402281
10358,Water,Water,1,Inland Polygons,2,Named Waterbody,4,513,East Branch Mianus River,0, ,0, ,0, ,0, ,0.115215,5018.79977416992,278.863499901558
10359,Water,Water,1,Inland Polygons,2,Named Waterbody,5,1639,Springdale Brook,2283,Ponus Pond,0, ,0, ,0, ,0.170807,7440.40475463867,335.10314715707
10360,Water,Water,1,Inland Polygons,2,Named Waterbody,4,699,Greens Farms Brook,0, ,0, ,0, ,0, ,0.161831,7049.29315185547,490.85309227405
10361,Water,Water,1,Inland Polygons,2,Named Waterbody,5,1938,Wilshire Pond Brook,0, ,0, ,0, ,0, ,0.0601673,2620.8844909668,197.09304490395
10362,Water,Water,1,Inland Polygons,2,Named Waterbody,5,905,Keelers Brook,0, ,0, ,0, ,0, ,0.27282801,11884.3366088867,681.874420674535
10363,Water,Water,1,Inland Polygons,2,Named Waterbody,4,504,East Branch Byram River,0, ,0, ,0, ,0, ,1.91715002,83511.0496826172,1320.93249975362
10364,Water,Water,1,Inland Polygons,2,Named Waterbody,3,1209,Noroton River,2363,Raymonds Pond,0, ,0, ,0, ,12.21199989,531952.622894287,3002.39483661646
