OBJECTID,ZONING_CODE,ZONING_NAME,ZONING_TYPE,Shape_Length,Shape_Area
1,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,719.701336799639,26786.2662355961
2,R7,RES MULTI-FAMILY,RESIDENTIAL,524.347896196202,15421.7983861603
3,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,1394.76498789623,121207.629647373
4,R5A,RES MULTI-FAMILY,RESIDENTIAL,1831.04789865843,168222.961878106
5,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,895.706713986434,28820.8323455312
6,OR3,OFFICE/RES,OFFICE,1166.01532484354,45196.6534319985
7,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1518.36242180089,6.25859955216418
8,EZ1,ENTERPRISE ZONE,COMMERCIAL-INDUSTRIAL,4218.90537438046,411954.264596293
9,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,611.854452900348,12500.8821642395
10,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,755.126928156881,32016.9048166228
11,M3,INDUSTRIAL,INDUSTRIAL,12953.8372096823,7160551.40177218
12,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,579.103262275916,11668.6230398761
13,R7,RES MULTI-FAMILY,RESIDENTIAL,2500.08283279804,305356.343924162
14,R4,RES SINGLE FAMILY,RESIDENTIAL,3586.68143887764,329429.489251147
15,R4,RES SINGLE FAMILY,RESIDENTIAL,2169.97072773765,264545.620229637
16,R4,RES SINGLE FAMILY,RESIDENTIAL,3576.8814456987,477712.100100115
17,R2,RES SINGLE FAMILY,RESIDENTIAL,13478.4554593937,2069250.01543079
18,R6,RES MULTI-FAMILY,RESIDENTIAL,2546.16756896055,256955.92674981
19,OR2,OFFICE/RES,OFFICE,936.934393285578,21596.6037699433
20,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,715.107182126591,33093.1148217521
21,R5A,RES MULTI FAMILY,RESIDENTIAL,4667.51759485617,1175184.98384264
22,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,5813.17254616408,1230669.10835608
23,OR3,OFFICE/RES,OFFICE,2753.98986702434,413030.034068953
24,R4,RES SINGLE FAMILY,RESIDENTIAL,12459.5027599956,6166731.99250899
25,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,3095.97410875914,457924.404530439
26,(M2),INDUSTRIAL OVERLAY,INDUSTRIAL,10568.6107605313,5286434.15134497
27,(PRD),PLANNED RES W/ OVERLAY,RESIDENTIAL,11052.7284384843,5161080.38885839
28,(R4),RES SINGLE FAMILY OVERLAY,RESIDENTIAL,13104.0447291819,1309930.10505669
29,(C1),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,1456.06794611697,131507.0028257
30,R5,RES SINGLE FAMILY,RESIDENTIAL,7643.14454275633,2648924.65178715
31,R6,RES MULTI-FAMILY,RESIDENTIAL,7309.223101419,1702291.47492858
32,R5,RES SINGLE FAMILY,RESIDENTIAL,19638.9665514791,6460835.36387457
33,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,752.490795623489,32517.2175019374
34,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,5220.47408409393,1015303.33615165
35,R4,RES SINGLE FAMILY,RESIDENTIAL,1002.85426963063,25581.8753454457
36,R4,RES SINGLE FAMILY,RESIDENTIAL,11880.9318130306,1379542.57473837
37,R2,RES SINGLE FAMILY,RESIDENTIAL,720.141208002013,30492.7077340563
38,R2,RES SINGLE FAMILY,RESIDENTIAL,6008.3678051973,690589.467340748
39,R1,RES SINGLE FAMILY,RESIDENTIAL,6978.08049884845,1229003.89646073
40,R4,RES SINGLE FAMILY,RESIDENTIAL,12688.3986401452,2700071.88746951
41,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1134.0658756436,79133.8248809886
42,OR3,OFFICE/RES,OFFICE,9314.50393077765,1477753.20271056
43,M2,INDUSTRIAL,INDUSTRIAL,5000.60130253004,713716.081556067
44,R7,RES MULTI-FAMILY,RESIDENTIAL,3489.78832043254,655888.078855144
45,R4,RES SINGLE FAMILY,RESIDENTIAL,131053.343621123,104313435.538678
46,RR,RURAL RESIDENTIAL,RESIDENTIAL,3856.83321172501,813560.825755435
47,R5,RES SINGLE FAMILY,RESIDENTIAL,5925.77288460495,1701999.60890786
48,R5A,RES MULTI FAMILY,RESIDENTIAL,4672.1961247522,1219375.92422294
49,R7,RES MULTI-FAMILY,RESIDENTIAL,2334.85052535732,310254.466876992
50,R6,RES MULTI-FAMILY,RESIDENTIAL,1014.20420486942,39314.9632971965
51,R6,RES MULTI-FAMILY,RESIDENTIAL,2027.8844273435,239901.989026816
52,R6,RES MULTI-FAMILY,RESIDENTIAL,3393.736478065,529740.705600898
53,R4,RES SINGLE FAMILY,RESIDENTIAL,1452.31498363405,110345.856255353
54,R5A,RES MULTI-FAMILY,RESIDENTIAL,969.357164852041,33776.6838152961
55,R5A,RES MULTI FAMILY,RESIDENTIAL,1920.53727484672,140453.300734715
56,(C2),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,13550.3463640942,1653554.81136177
57,R7,RES MULTI-FAMILY,RESIDENTIAL,3784.96700106217,506006.543042784
58,R5,RES SINGLE FAMILY,RESIDENTIAL,8264.38498898333,939719.890831917
59,R4,RES SINGLE FAMILY,RESIDENTIAL,27254.0343862061,10171932.8613992
60,R7,RES MULTI-FAMILY,RESIDENTIAL,2736.82812535075,443146.457330942
61,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,804.760777362102,39924.5481113557
62,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2063.91310177865,144260.872352485
63,R4,RES SINGLE FAMILY,RESIDENTIAL,21931.3628126332,5745904.69145795
64,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2585.86365609905,66310.0448358595
65,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1390.02736814088,78176.1648419858
66,R4,RES SINGLE FAMILY,RESIDENTIAL,541.501122583904,11660.696614024
67,R6,RES MULTI-FAMILY,RESIDENTIAL,1577.16829835318,119039.169226124
68,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3189.52802853171,290958.492719634
69,R6,RES MULTI-FAMILY,RESIDENTIAL,7552.48696466499,1946285.49382682
70,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,886.070890226667,47418.9311878976
71,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1138.16806376833,76962.2626780204
72,R5A,RES MULTI FAMILY,RESIDENTIAL,3591.57881255325,737604.315431168
73,M2,INDUSTRIAL,INDUSTRIAL,4127.82977967929,695786.24790357
74,R1,RES SINGLE FAMILY,RESIDENTIAL,3998.52120052685,165072.399487122
75,R6,RES MULTI-FAMILY,RESIDENTIAL,3819.84447559484,565931.562643267
76,R1,RES SINGLE FAMILY,RESIDENTIAL,8676.89734071806,629176.307583993
77,R5A,RES MULTI FAMILY,RESIDENTIAL,1472.78112925154,123139.701526784
78,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,1432.9005704575,115588.373474046
79,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1219.13032124483,63751.331501327
80,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,922.624595968933,26287.0656174921
81,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2083.00736273525,102764.099746234
82,R6,RES MULTI-FAMILY,RESIDENTIAL,406.424864542031,7112.91186106162
83,UN,URBAN NEIGHBORHOOD,RESIDENTIAL,5120.26140520374,409303.136066028
84,R6,RES MULTI-FAMILY,RESIDENTIAL,796.607088426462,33217.3529133057
85,R6,RES MULTI-FAMILY,RESIDENTIAL,409.458089163399,4220.33797112497
86,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3163.33146992839,608740.653771808
87,R6,RES MULTI-FAMILY,RESIDENTIAL,3406.46433538462,441511.500898333
88,R5A,RES MULTI FAMILY,RESIDENTIAL,3885.48258654097,561461.778787236
89,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,668.174032981614,19375.9354004888
90,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,656.534560760679,13756.074251666
91,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1113.14881602746,61528.3497872826
92,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1879.01984445152,158050.534365325
93,R6,RES MULTI-FAMILY,RESIDENTIAL,3163.47745474399,435365.285988511
94,R1,RES SINGLE FAMILY,RESIDENTIAL,1674.88508572745,157040.563905337
95,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1518.73520880846,111070.086955724
96,R6,RES MULTI-FAMILY,RESIDENTIAL,1256.77689977624,73087.0704218645
97,OR3,OFFICE/RES,OFFICE,3482.74704016007,332872.593409435
98,R7,RES MULTI-FAMILY,RESIDENTIAL,1722.18480354674,124323.105869388
99,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,6790.76262534228,1293485.39427404
100,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,360.517154769686,7914.02122401484
101,R4,RES SINGLE FAMILY,RESIDENTIAL,3303.11844608799,534491.834457097
102,OR2,OFFICE/RES,OFFICE,1091.15963027948,47950.331568977
103,R7,RES MULTI-FAMILY,RESIDENTIAL,6475.14675195058,891057.748466659
104,M1,INDUSTRIAL,INDUSTRIAL,1819.6657124019,101873.078805303
105,R7,RES MULTI-FAMILY,RESIDENTIAL,2007.73470486669,168933.084797298
106,OTF,OFFICE/TOURIST FACILITY,OFFICE,1063.06656357341,58493.856083298
107,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3454.82923588695,535186.474090712
108,R6,RES MULTI-FAMILY,RESIDENTIAL,491.222301239529,12886.590526833
109,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,4238.85904864984,643352.478984696
110,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,523.524991574906,16619.010099114
111,R7,RES MULTI-FAMILY,RESIDENTIAL,3334.19206550697,256913.872058901
112,R6,RES MULTI-FAMILY,RESIDENTIAL,7762.87893679059,1114471.83426674
113,R4,RES SINGLE FAMILY,RESIDENTIAL,8350.32356792292,1261277.22164954
114,R7,RES MULTI-FAMILY,RESIDENTIAL,347.687626168778,4269.43862891612
115,R1,RES SINGLE FAMILY,RESIDENTIAL,1258.77399383923,88800.9226296222
116,R5,RES SINGLE FAMILY,RESIDENTIAL,9588.8369858873,2791242.71035849
117,R6,RES MULTI-FAMILY,RESIDENTIAL,1765.03976329868,186486.414911427
118,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3087.00632170983,236173.049009371
119,R7,RES MULTI-FAMILY,RESIDENTIAL,4384.47030791118,863412.713172207
120,M3,INDUSTRIAL,INDUSTRIAL,3743.23147407417,875754.095525305
121,R6,RES MULTI-FAMILY,RESIDENTIAL,723.271485900311,32096.7908062723
122,OR1,OFFICE/RES,OFFICE,630.940890524369,24340.748079034
123,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1926.85626544213,102234.893697701
124,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1158.91245851446,72048.2440662784
125,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,935.449261823832,53452.1631214317
126,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,901.799281330959,48649.0011821693
127,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1292.71432859269,97071.9630963401
128,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2465.08108809806,323520.624519803
129,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,497.294874679634,14449.8158596276
130,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,555.846055688256,19284.4510147518
131,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,1598.8385471874,119671.123469562
132,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,4854.60520372468,777558.863864039
133,PRD,PLANNED RESIDENTIAL,RESIDENTIAL,3229.96037799105,506383.832814281
134,R5,RES SINGLE FAMILY,RESIDENTIAL,11178.2585399857,4202458.5159365
135,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,19237.4514097164,3527485.35636656
136,R7,RES MULTI-FAMILY,RESIDENTIAL,1703.96635222575,172818.696254747
137,R4,RES SINGLE FAMILY,RESIDENTIAL,10603.8629647851,2414546.08791214
138,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,4726.10448777611,701555.781666175
139,R6,RES MULTI-FAMILY,RESIDENTIAL,3179.32032037102,243556.967109656
140,R7,RES MULTI-FAMILY,RESIDENTIAL,3567.30590336719,445679.395192749
141,R6,RES MULTI-FAMILY,RESIDENTIAL,4384.56266375713,1120147.92436222
142,OR3,OFFICE/RES,OFFICE,1255.3674274523,86422.5428193861
143,OR1,OFFICE/RES,OFFICE,2236.30358123835,223722.168580711
144,OR3,OFFICE/RES,OFFICE,1285.14879295088,59411.4496018301
145,OR1,OFFICE/RES,OFFICE,1697.14711884943,81099.5059412364
146,R4,RES SINGLE FAMILY,RESIDENTIAL,1418.82091240549,82315.5658900836
147,PRD,PLANNED RESIDENTIAL,RESIDENTIAL,1769.66168385048,198240.100834053
148,OR3,OFFICE/RES,OFFICE,3490.79574580801,284921.825167158
149,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3098.13241817115,379003.734393504
150,R4,RES SINGLE FAMILY,RESIDENTIAL,3587.2637800866,397941.091687643
151,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2711.2091286169,208256.877999553
152,R6,RES MULTI-FAMILY,RESIDENTIAL,538.454224108312,16628.756455474
153,R6,RES MULTI-FAMILY,RESIDENTIAL,1185.54391312068,90942.3432161496
154,R4,RES SINGLE FAMILY,RESIDENTIAL,636.033098290304,19006.6075943357
155,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,829.579205666833,42645.4229949795
156,R7,RES MULTI-FAMILY,RESIDENTIAL,1393.19751218581,119666.73661595
157,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2327.63616687846,219466.132755408
158,R7,RES MULTI-FAMILY,RESIDENTIAL,2041.89265594269,236871.88163373
159,(OR1),OFFICE/RES OVERLAY,OFFICE,548.146176710118,16759.3105352134
160,OR3,OFFICE/RES,OFFICE,1411.96153592245,67628.570912485
161,R7,RES MULTI-FAMILY,RESIDENTIAL,534.283382155949,14373.7991538162
162,R3,RES SINGLE FAMILY,RESIDENTIAL,4744.34465959076,1342774.6651506
163,R2,RES SINGLE FAMILY,RESIDENTIAL,9115.9722616755,2590661.24781207
164,R5A,RES MULTI FAMILY,RESIDENTIAL,1225.18854871343,91197.2582467066
165,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1027.1014616315,59206.0008161827
166,R4,RES SINGLE FAMILY,RESIDENTIAL,1824.74583297322,124706.50978611
167,OR2,OFFICE/RES,OFFICE,521.667274294541,16071.2385142814
168,R7,RES MULTI-FAMILY,RESIDENTIAL,567.940995516699,19692.7648109719
169,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1100.87034090008,57537.3097247701
170,R5A,RES MULTI FAMILY,RESIDENTIAL,2441.89097084146,227979.949434232
171,R4,RES SINGLE FAMILY,RESIDENTIAL,2818.9998849701,369297.712530675
172,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,977.729711598696,31708.4461274359
173,OR3,OFFICE/RES,OFFICE,3351.61917892524,541222.551559095
174,R7,RES MULTI-FAMILY,RESIDENTIAL,633.289260516491,23218.7593344732
175,CTC1,COMM TOWN CENTER,COMMERCIAL-INDUSTRIAL,950.578887335302,42497.507196891
176,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3150.38214978955,358073.683082008
177,R7,RES MULTI-FAMILY,RESIDENTIAL,2232.11473878858,228314.944564455
178,R5,RES SINGLE FAMILY,RESIDENTIAL,6301.0711566029,1417825.46948266
179,R5,RES SINGLE FAMILY,RESIDENTIAL,2506.36457487692,265508.117249023
180,R7,RES MULTI-FAMILY,RESIDENTIAL,626.632880943223,21902.3687034945
181,R5,RES SINGLE FAMILY,RESIDENTIAL,4029.51674257589,611764.976959424
182,R6,RES MULTI-FAMILY,RESIDENTIAL,20965.8220557334,4500428.06297549
183,R6,RES MULTI-FAMILY,RESIDENTIAL,1614.82525784777,126693.259375606
184,R1,RES SINGLE FAMILY,RESIDENTIAL,18315.0330037556,10290504.2527508
185,R5B,RES TWO-FAMILY,RESIDENTIAL,2097.69149314421,174151.444472892
186,R6,RES MULTI-FAMILY,RESIDENTIAL,989.221922974345,60149.8640439766
187,M2,INDUSTRIAL,INDUSTRIAL,4430.66980528977,696538.755105048
188,R6,RES MULTI-FAMILY,RESIDENTIAL,4462.66278883417,659583.548503234
189,R5,RES SINGLE FAMILY,RESIDENTIAL,1800.06524334602,151985.046396064
190,R7,RES MULTI-FAMILY,RESIDENTIAL,438.413356908671,6414.92177092354
191,R6,RES MULTI-FAMILY,RESIDENTIAL,666.30659135407,27581.6678016898
192,(OR1),OFFICE/RES OVERLAY,OFFICE,1529.94745203716,60751.4371948254
193,R7,RES MULTI-FAMILY,RESIDENTIAL,955.489016804385,42333.4243649358
194,R4,RES SINGLE FAMILY,RESIDENTIAL,1852.08198358954,190933.680162863
195,R7,RES MULTI-FAMILY,RESIDENTIAL,1307.91467571847,90915.8310687424
196,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,5384.58167469078,364246.698425922
197,R7,RES MULTI-FAMILY,RESIDENTIAL,2614.03237951467,336783.892869159
198,R6,RES MULTI-FAMILY,RESIDENTIAL,535.501865324274,15016.9006425706
199,OR2,OFFICE/RES,OFFICE,3347.5755171885,254450.50850402
200,OR3,OFFICE/RES,OFFICE,2546.20446067592,255275.015716988
201,R7,RES MULTI-FAMILY,RESIDENTIAL,441.962680370817,10159.5159395142
202,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,5485.43571337168,1186462.21411839
203,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1244.09751488834,76421.8941124799
204,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,5161.77865070065,983857.481607769
205,R5,RES SINGLE FAMILY,RESIDENTIAL,14780.7563830376,4656750.10311927
206,(C1),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,550.425814211362,12810.5325598355
207,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,778.418407432932,21678.1442016794
208,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,683.397736120911,8302.3124590513
209,R5,RES SINGLE FAMILY,RESIDENTIAL,487.82517634429,8503.19770363308
210,R5,RES SINGLE FAMILY,RESIDENTIAL,1917.07465280855,192665.786113255
211,R5,RES SINGLE FAMILY,RESIDENTIAL,1307.78572330455,92001.8988120456
212,R1,RES SINGLE FAMILY,RESIDENTIAL,4080.3795003225,944136.536674954
213,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1267.98470730458,79126.3391694059
214,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,890.259926291653,47809.3030876882
215,R5B,RES TWO-FAMILY,RESIDENTIAL,1631.1637156476,121504.403604629
216,OR,OFFICE/RESIDENTIAL,OFFICE,736.992336596559,27651.3535602916
217,R7,RES MULTI-FAMILY,RESIDENTIAL,2056.89720351132,181235.327628519
218,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1456.83001908553,94460.0981308476
219,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,473.062271067613,10790.5737909984
220,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2660.28833390643,247853.980518896
221,OR2,OFFICE/RES,OFFICE,550.256719554959,17930.628433257
222,R1,RES SINGLE FAMILY,RESIDENTIAL,3463.18812515882,443754.964085313
223,M1,INDUSTRIAL,INDUSTRIAL,567.388349099421,20061.0455582428
224,R7,RES MULTI-FAMILY,RESIDENTIAL,521.601262030985,10660.0872200965
225,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1120.28916058566,35965.4237973552
226,OR3,OFFICE/RES,OFFICE,2027.91511869477,173629.750867727
227,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,671.548139135365,24204.43088149
228,OR3,OFFICE/RES,OFFICE,412.202003171598,5193.90205891156
229,R1,RES SINGLE FAMILY,RESIDENTIAL,11214.4495330013,2913862.77998587
230,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,680.236499142422,22529.7249997836
231,OR2,OFFICE/RES,OFFICE,2399.89632037557,357349.284129041
232,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,541.755376006228,16160.4156800046
233,OR2,OFFICE/RES,OFFICE,489.566345641587,11695.6723531909
234,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,678.795274762044,28746.2367072687
235,OR1,OFFICE/RES,OFFICE,560.058001249943,17347.1021541571
236,R7,RES MULTI-FAMILY,RESIDENTIAL,1282.88606612796,84996.7386499253
237,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,903.131167775703,45364.5415336854
238,R7,RES MULTI-FAMILY,RESIDENTIAL,2354.95567563609,291200.796051967
239,R7,RES MULTI-FAMILY,RESIDENTIAL,1659.39441692175,143201.031423596
240,R6,RES MULTI-FAMILY,RESIDENTIAL,1795.56788555601,142717.616765668
241,R7,RES MULTI-FAMILY,RESIDENTIAL,2769.55953016817,441794.011119805
242,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1351.69977203957,99571.3055956782
243,RE,RES ESTATE,RESIDENTIAL,2044.57513869908,193236.434968814
244,RE,RES ESTATE,RESIDENTIAL,3105.97498306007,539078.280505924
245,R5,RES SINGLE FAMILY,RESIDENTIAL,7717.95119486043,2875586.87600457
246,R2,RES SINGLE FAMILY,RESIDENTIAL,2490.97997404515,368369.744094479
247,M1,INDUSTRIAL,INDUSTRIAL,2499.61249654325,346122.338172478
248,OR3,OFFICE/RES,OFFICE,3974.45829471266,493120.745339653
249,R3,RES SINGLE FAMILY,RESIDENTIAL,3535.53247269685,668779.097150468
250,OR2,OFFICE/RES,OFFICE,1194.17192020639,82577.8850413075
251,OR1,OFFICE/RES,OFFICE,906.255631470114,49945.2996084371
252,OR1,OFFICE/RES,OFFICE,1097.5949397061,61975.4112697677
253,R1,RES SINGLE FAMILY,RESIDENTIAL,4165.94740384618,632353.564007021
254,R1,RES SINGLE FAMILY,RESIDENTIAL,947.4606839992,41846.352934726
255,OR3,OFFICE/RES,OFFICE,2618.39666638779,142725.168474225
256,R1,RES SINGLE FAMILY,RESIDENTIAL,3401.89775623706,736948.500435167
257,OR1,OFFICE/RES,OFFICE,2295.03086918768,180289.905964385
258,R1,RES SINGLE FAMILY,RESIDENTIAL,4527.89203457955,982405.649133947
259,R7,RES MULTI-FAMILY,RESIDENTIAL,1214.97407890145,88519.4453650463
260,R1,RES SINGLE FAMILY,RESIDENTIAL,9442.99645479106,1675156.95548711
261,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3308.36893780813,573578.286367556
262,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1027.59058289907,60070.4599975953
263,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,610.502752897065,22372.5615835956
264,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2391.03300425308,223267.340381841
265,OR1,OFFICE/RES,OFFICE,3275.67175823326,551225.741114375
266,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1167.38970260966,64878.1046064496
267,R5,RES SINGLE FAMILY,RESIDENTIAL,2737.18116386442,311798.80433726
268,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,2683.02171949392,271240.765287668
269,R2,RES SINGLE FAMILY,RESIDENTIAL,2648.66279988053,315804.423284807
270,PD,PLANNED DEVELOPMENT,SPECIAL,4903.33247444149,1025271.08147745
271,R7,RES MULTI-FAMILY,RESIDENTIAL,1203.10853479677,64146.1306309505
272,R4,RES SINGLE FAMILY,RESIDENTIAL,4415.46290014836,989285.579585643
273,R5,RES SINGLE FAMILY,RESIDENTIAL,6756.90936007889,2543325.34791983
274,R5,RES SINGLE FAMILY,RESIDENTIAL,11609.6274147975,5329316.36773287
275,R4,RES SINGLE FAMILY,RESIDENTIAL,5941.42680319702,1853707.59187121
276,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,9358.76146308528,2055202.96635965
277,R6,RES MULTI-FAMILY,RESIDENTIAL,4242.24784453662,756877.837061894
278,M2,INDUSTRIAL,INDUSTRIAL,6471.09834161285,1832536.04435907
279,M2,INDUSTRIAL,INDUSTRIAL,7128.82053313671,742328.038890305
280,(OR3),OFFICE/RES OVERLAY,OFFICE,3081.77947943403,498285.478999365
281,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,958.402604522571,32886.7132852203
282,R5,RES SINGLE FAMILY,RESIDENTIAL,8974.6557436376,2559751.85425236
283,M2,INDUSTRIAL,INDUSTRIAL,3445.5698793043,513329.219159299
284,R6,RES MULTI-FAMILY,RESIDENTIAL,2336.02643336537,182909.103107201
285,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,962.68596012761,47694.2965140292
286,R5A,RES MULTI FAMILY,RESIDENTIAL,984.649638883093,58545.4897676615
287,RR,RURAL RESIDENTIAL,RESIDENTIAL,1806.02121958279,136056.427242988
288,R7,RES MULTI-FAMILY,RESIDENTIAL,1878.41572847006,124248.739123726
289,R6,RES MULTI-FAMILY,RESIDENTIAL,1313.79891239536,81310.916001202
290,R7,RES MULTI-FAMILY,RESIDENTIAL,826.281045394711,27644.3123918541
291,M2,INDUSTRIAL,INDUSTRIAL,9605.76929152917,1766488.81303705
292,R6,RES MULTI-FAMILY,RESIDENTIAL,4608.44844406596,680458.561253131
293,R5A,RES MULTI FAMILY,RESIDENTIAL,501.676467357532,14676.8105870372
294,M2,INDUSTRIAL,INDUSTRIAL,961.581568050252,47669.2009374661
295,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,4712.93518617437,829859.976444066
296,R7,RES MULTI-FAMILY,RESIDENTIAL,6720.64702213604,847555.362994225
297,R5,RES SINGLE FAMILY,RESIDENTIAL,945.229997730746,55426.7729239081
298,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,434.456478840601,9594.00203681017
299,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2553.59982999097,240380.441222063
300,PRD,PLANNED RESIDENTIAL,RESIDENTIAL,4283.29468466232,612953.147937223
301,R6,RES MULTI-FAMILY,RESIDENTIAL,1075.4623935428,54743.3632422238
302,R6,RES MULTI-FAMILY,RESIDENTIAL,5723.84019887571,914712.080941787
303,R7,RES MULTI-FAMILY,RESIDENTIAL,3522.24680325733,512842.193958167
304,OR1,OFFICE/RES,OFFICE,883.965192279254,39646.3668523177
305,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,625.029314276755,21414.6739478775
306,R5,RES SINGLE FAMILY,RESIDENTIAL,994.511596174553,49098.2665044906
307,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1310.42988999641,96681.2377999774
308,R5A,RES MULTI FAMILY,RESIDENTIAL,1414.67133943015,38552.0464182407
309,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,288.904010270654,5174.34684509452
310,OR1,OFFICE/RES,OFFICE,649.245621818236,17301.1498242008
311,R5A,RES MULTI FAMILY,RESIDENTIAL,4219.3338638861,915878.375594492
312,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,512.886527350414,13255.5821251228
313,R5A,RES MULTI FAMILY,RESIDENTIAL,1523.82447404149,140356.959721385
314,OR3,OFFICE/RES,OFFICE,464.588743537297,10389.7306797638
315,OR2,OFFICE/RES,OFFICE,535.252199567796,16963.2070764222
