OBJECTID,ZONING_CODE,ZONING_NAME,ZONING_TYPE,Shape_Length,Shape_Area
1374,OR2,OFFICE/RES,OFFICE,799.704748393553,39872.6209509497
1375,OR,OFFICE/RESIDENTIAL,OFFICE,503.065109469615,14369.1001418969
1376,R7,RES MULTI-FAMILY,RESIDENTIAL,921.130217376422,46924.1113670054
1377,R6,RES MULTI-FAMILY,RESIDENTIAL,481.810883691966,12407.7682596572
1378,R7,RES MULTI-FAMILY,RESIDENTIAL,2184.01788342107,139644.02110287
1379,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,575.157293295224,9019.78547265266
1380,OR2,OFFICE/RES,OFFICE,1036.25636938622,66784.634832879
1381,OR2,OFFICE/RES,OFFICE,1297.1993363059,89470.1107259016
1382,R6,RES MULTI-FAMILY,RESIDENTIAL,3701.20489877464,479666.155763166
1383,OR2,OFFICE/RES,OFFICE,535.161323920806,16951.3303561191
1384,R4,RES SINGLE FAMILY,RESIDENTIAL,25051.6001604592,11003602.0428785
1385,OR2,OFFICE/RES,OFFICE,1283.58377544831,67864.2705523046
1386,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,714.715537703925,17800.3888480128
1387,R5,RES SINGLE FAMILY,RESIDENTIAL,1599.86020223638,123277.27260224
1388,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,1124.54250034024,78158.6771862301
1389,OR2,OFFICE/RES,OFFICE,433.784659530507,10084.5660471523
1390,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1040.72124193164,59459.477691069
1391,OR1,OFFICE/RES,OFFICE,377.88175940132,5882.90185091431
1392,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,807.806722861679,28255.0889872546
1393,R5,RES SINGLE FAMILY,RESIDENTIAL,1457.76214490867,89856.6481593122
1394,R7,RES MULTI-FAMILY,RESIDENTIAL,2532.18764011989,258949.618316467
1395,R7,RES MULTI-FAMILY,RESIDENTIAL,380.905063469587,6066.23109972504
1396,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,359.015861592708,5039.39867179841
1397,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3961.79824044312,507914.563402307
1398,OR3,OFFICE/RES,OFFICE,381.18919267458,6044.44241250588
1399,R4,RES SINGLE FAMILY,RESIDENTIAL,1792.05760542209,122871.768808007
1400,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,900.687224642797,50901.5179680729
1401,R5,RES SINGLE FAMILY,RESIDENTIAL,1342.68934229709,80745.3259605359
1402,OR3,OFFICE/RES,OFFICE,3086.14636302353,302941.880343146
1403,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,798.632201665631,39843.4983113563
1404,R8A,RES MULTI-FAMILY,RESIDENTIAL,835.801661111958,41839.1241148067
1405,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,761.928943294962,34944.1160648831
1406,R1,RES SINGLE FAMILY,RESIDENTIAL,1276.7155834657,52512.5916270336
1407,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,515.017033147474,15731.3956942653
1408,OR3,OFFICE/RES,OFFICE,7342.71869198555,1774494.47597313
1409,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2418.44894826573,169139.916313695
1410,M1,INDUSTRIAL,INDUSTRIAL,798.175123003386,39956.861159983
1411,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1165.051684986,61927.4700360241
1412,R6,RES MULTI-FAMILY,RESIDENTIAL,1503.38704722368,129052.498085323
1413,R8A,RES MULTI-FAMILY,RESIDENTIAL,1103.11803413503,72792.1145049739
1414,R7,RES MULTI-FAMILY,RESIDENTIAL,4823.80789579975,650610.43334794
1415,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2574.24492014694,205815.404905906
1416,R6,RES MULTI-FAMILY,RESIDENTIAL,612.957465564619,18030.4227991072
1417,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,408.67751200704,8359.71497322271
1418,R6,RES MULTI-FAMILY,RESIDENTIAL,1201.35361549999,51750.269900766
1419,R6,RES MULTI-FAMILY,RESIDENTIAL,839.937539744445,44020.7818648454
1420,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,904.087644932752,24694.3941066101
1421,R6,RES MULTI-FAMILY,RESIDENTIAL,816.842793618765,41957.1380353916
1422,R6,RES MULTI-FAMILY,RESIDENTIAL,3808.87861557407,737245.329950661
1423,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1533.5278370959,55708.8629434449
1424,R7,RES MULTI-FAMILY,RESIDENTIAL,2401.61741466701,218573.759171533
1425,R6,RES MULTI-FAMILY,RESIDENTIAL,557.502424445523,14334.1322396824
1426,OR2,OFFICE/RES,OFFICE,1312.0485563131,67143.8875544249
1427,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,740.953311857573,28104.4041581855
1428,R6,RES MULTI-FAMILY,RESIDENTIAL,429.980801558947,9813.97824829004
1429,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1289.4600536663,61136.4417052226
1430,OR1,OFFICE/RES,OFFICE,512.841262533222,15947.4381836678
1431,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,652.751340611539,16968.3761018345
1432,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2177.46133170973,198544.066029228
1433,R7,RES MULTI-FAMILY,RESIDENTIAL,1644.67019756366,138567.544872215
1434,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,357.779143212972,6466.27665293525
1435,R1,RES SINGLE FAMILY,RESIDENTIAL,2258.40693349532,236673.296870802
1436,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,359.652806994471,7787.91279429696
1437,M2,INDUSTRIAL,INDUSTRIAL,359.942939444556,7181.41267965368
1438,M2,INDUSTRIAL,INDUSTRIAL,614.476265650461,12232.6337417395
1439,M2,INDUSTRIAL,INDUSTRIAL,610.283596391329,17326.6375640196
1440,R6,RES MULTI-FAMILY,RESIDENTIAL,4456.93298321767,663145.42753115
1441,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,642.537570299202,25127.4614344659
1442,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1455.29595005768,124029.016948736
1443,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,559.481528753318,15351.2303407534
