OBJECTID,ESMTROW_NM,ESMTROW_TP,ESMTROW_FTR,AUTH_USE,RGT_HOLDER,GRANTOR,ACCESS_ESMTROW,CASEFILE,BLM_ORG_CD,CASETP,LOCAL_ID,COORD_SRC,ACCURACY_FT,EXCL_TP,GIS_ACRES,GLOBALID,CASE_NR,SHAPE_Length,SHAPE_Area
11126,MEDFORD CORPORATION RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   067796FD,ORM00,281230,RWA-M-887,CADNSDI,0.0,,9.54200772,{D42E509C-5E65-43A8-9B07-720E35ADC8F7},,0.00833331356051,4.24877285958886e-06
11127,WASSER & WINTERS RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   056801FD,ORL00,281210,RWA-M-690BA,CADNSDI,0.0,,2775.88161423,{3337C329-6B4A-43C7-A320-E6D5B7E57230},,0.33840244679916,0.0012260350593005
11128,PERPETUA FOREST RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   061096FD,ORM00,281230,RWA-M-2000EA,CADNSDI,0.0,,533.03797018,{9F854686-8A01-404B-9365-C7A59E1CE3BA},,0.0687781638148874,0.000236978500045
11129,SUPERIOR LUMBER RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   056844FD,ORM00,281230,RWA-M-2000F,CADNSDI,0.0,,1436.81527798,{F39E27E1-818B-47A9-BAD8-41868210472E},,0.135697078031918,0.0006381945605883
11130,TRISTAR RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   048747FD,ORM00,281230,RWA-M-660,CADNSDI,0.0,,322.20657168,{AF727CFF-98D8-43E5-A3BD-CF243574FACB},,0.0531670789460187,0.0001426554476143
11131,SUPERIOR LUMBER RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,BL,PVI,ADMIN,OROR   056844PT,ORM00,210003,RWA-M-2000F,CADNSDI,0.0,,38.07506392,{67F475D8-4109-40DA-9564-5B5644DBE72D},,0.0166541323295927,1.69641490857104e-05
11132,COAST RANGE RESOURCES RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,BL,PVI,ADMIN,OROR   056842PT,ORM00,210003,RWA-M-2000D,CADNSDI,0.0,,1242.97846707,{BC85902B-01D5-4CB2-8E1E-9C484C71DE39},,0.111581214307936,0.0005516751705018
11133,TRISTAR RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   048747FD,ORM00,281230,RWA-M-660,CADNSDI,0.0,,161.19697077,{EF3CBD93-1F09-40BC-A13A-9A28DAB709C1},,0.0341724878526442,7.13775527426197e-05
11134,INDIAN HILL RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,BL,PVI,ADMIN,OROR   056843PT,ORM00,210003,RWA-M-2000E,CADNSDI,0.0,,474.15249549,{9E5B7856-F680-4B57-9FC7-6E08F26F71B2},,0.0683461569512499,0.0002108850330653
11135,MEDFORD CORPORATION RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   067796FD,ORM00,281230,RWA-M-887,CADNSDI,0.0,,79.79531009,{0545FBD6-3002-497C-8D92-B34943100366},,0.0244116499548502,3.5484668985634e-05
11136,TRISTAR RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,BL,PVI,ADMIN,OROR   048747PT,ORM00,210003,RWA-M-660,CADNSDI,0.0,,281.53454249,{B5162E35-2944-4BD0-84C8-6C19EC82C400},,0.0535336116678812,0.0001240941888021
11137,TRISTAR RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   048747FD,ORM00,281230,RWA-M-660,CADNSDI,0.0,,81.2122828,{65F5ECD9-F008-4416-BAEC-3BC0D025E289},,0.0245064393532109,3.60761329685683e-05
11138,INDIAN HILL RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   056843FD,ORM00,281230,RWA-M-2000E,CADNSDI,0.0,,39.7992097,{62D85FD4-8D5C-4980-AC57-455CA0A1E73E},,0.017116772280782,1.76949969045424e-05
11139,COAST RANGE RESOURCES RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   056842FD,ORM00,281230,RWA-M-2000D,CADNSDI,0.0,,160.25766489,{0EC2C282-FB7A-46C2-B7C6-BBA6229DD894},,0.0439783355757257,7.11180943096757e-05
11140,SILVER BUTTE TIMBER RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   056841FD,ORM00,281210,RWA-M-2000C,SOURCEL,0.0,,582.03118019,{8DA546E3-08C3-448B-BB35-0DCE2E3B26B2},,0.06771562734877,0.0002589721153643
11141,COAST RANGE RESOURCES RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   056842FD,ORM00,281230,RWA-M-2000D,CADNSDI,0.0,,206.3875948,{2E46D722-2F9E-469E-989F-158628ECE484},,0.0495649014345246,9.17565008190302e-05
11142,SUPERIOR LUMBER RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   056844FD,ORM00,281230,RWA-M-2000F,CADNSDI,0.0,,40.91070447,{840181BB-E356-404A-A70F-6F14F2E3D3E9},,0.0172345587281215,1.8083011632639e-05
11143,SILVER BUTTE TIMBER RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   056841FD,ORM00,281210,RWA-M-2000C,CADNSDI,0.0,,80.44291133,{57B18ACC-DEDB-4A40-9DA9-0F7687204D3D},,0.0243269809599856,3.56320403195505e-05
11144,INDIAN HILL RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   056843FD,ORM00,281230,RWA-M-2000E,CADNSDI,0.0,,341.23464788,{0F735844-AD4F-4AB6-B14B-53E0622EAA99},,0.0560752288211401,0.0001517382817573
11145,SILVER BUTTE TIMBER RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,BL,PVI,ADMIN,OROR   056841PT,ORM00,210003,RWA-M-2000C,CADNSDI,0.0,,479.85071587,{58A66778-BDE8-4205-B96C-45C021F0E087},,0.0683993987283009,0.0002131762790792
11146,TRISTAR RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,BL,PVI,ADMIN,OROR   048747PT,ORM00,210003,RWA-M-660,CADNSDI,0.0,,430.70302906,{5658D310-73A3-4117-834E-610A42DC7211},,0.0848686716364814,0.0001916983845646
11147,SUPERIOR LUMBER RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,BL,PVI,ADMIN,OROR   056844PT,ORM00,210003,RWA-M-2000F,CADNSDI,0.0,,159.57445191,{25DF0AD2-C475-4E17-A8B3-515BA4CF2990},,0.034216129374999,7.1008559814804e-05
11148,PERPETUA FOREST RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   061096FD,ORM00,281230,RWA-M-2000EA,CADNSDI,0.0,,534.68177954,{95D3A16E-04FB-42D7-915F-98FC7A304858},,0.0707089035511237,0.0002372129246064
11149,TRISTAR RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   048747FD,ORM00,281230,RWA-M-660,CADNSDI,0.0,,559.20649971,{CA9BCFF6-7D68-4F47-8D19-BE03ACCBB59B},,0.0679724082331178,0.0002471209901726
11150,INDIAN HILL RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   056843FD,ORM00,281230,RWA-M-2000E,CADNSDI,0.0,,613.79983216,{E98F7857-B59C-4AE9-91F7-D3C5D9C94340},,0.0788702620487288,0.0002724348940856
11151,TRISTAR RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,BL,PVI,ADMIN,OROR   048747PT,ORM00,210003,RWA-M-660,CADNSDI,0.0,,162.2594695,{864198C3-AF1C-4CCF-B96A-A233515C7CA2},,0.0343925423182435,7.22040878806239e-05
11152,SILVER BUTTE TIMBER RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   056841FD,ORM00,281210,RWA-M-2000C,CADNSDI,0.0,,234.0281019,{13A320F3-57F5-45B0-AB2A-782433A2998A},,0.05531344313305,0.0001042885051423
11153,SILVER BUTTE TIMBER RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   056841FD,ORM00,281210,RWA-M-2000C,CADNSDI,0.0,,295.6830323,{54D539CE-387B-4595-83D1-5BAA9CF2E8A0},,0.0530518840583869,0.0001317257583442
11154,TRISTAR RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,BL,PVI,ADMIN,OROR   048747PT,ORM00,210003,RWA-M-660,CADNSDI,0.0,,1127.14864057,{55EBC12A-6E27-4DD9-A559-EA77299E8BD4},,0.146078719911557,0.000498238734125
11155,TRISTAR RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   048747FD,ORM00,281230,RWA-M-660,CADNSDI,0.0,,40.77003656,{A6EC27A9-50F4-4E6D-878F-48FEA6F0B9FD},,0.0172135519333791,1.79923471651683e-05
11156,TRISTAR RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,BL,PVI,ADMIN,OROR   048747PT,ORM00,210003,RWA-M-660,CADNSDI,0.0,,242.7848717,{02EB1119-72E6-4013-971E-2BA847B32E80},,0.0414170928837033,0.0001068700810114
11157,TRISTAR RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,BL,PVI,ADMIN,OROR   048747PT,ORM00,210003,RWA-M-660,CADNSDI,0.0,,150.92060093,{1232D704-38F2-423F-A192-04CF470FF306},,0.0331620469077464,6.71606732334592e-05
11158,TRISTAR RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   048747FD,ORM00,281230,RWA-M-660,CADNSDI,0.0,,120.67288417,{F0A5C8AC-FA2D-4A2C-ACAD-0FCC400D088D},,0.0316808837654141,5.35720170360315e-05
11159,TRISTAR RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   048747FD,ORM00,281230,RWA-M-660,CADNSDI,0.0,,1758.02422188,{E26E6991-FF31-428E-85E0-D6CD904F9C70},,0.16610984656704,0.0007814746275768
