OBJECTID,YEAR,LINE861330,FRAME861330,MODEL861330,CAN_NBR861330,FLGTDATE861330,SCALE861330,PRINTSAVAIL,SHAPEAREA,SHAPELEN
96,1986,99,12,99012,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,40164756.8638539,26558.4554698057
97,1986,99,13,99013,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,42486575.8408813,27069.6473331295
98,1986,99,14,99014,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,38827933.074232,26123.287406385
99,1986,99,15,99015,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,42612329.9936438,26886.7582509172
100,1986,99,16,99016,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,35912609.1269352,25029.2980233497
101,1986,99,17,99017,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,41680942.4661063,26292.7851685264
102,1986,99,18,99018,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,34325688.2012633,24318.6371946344
103,1986,99,19,99019,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,40473257.354432,25930.0609051108
104,1986,99,20,99020,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,38764484.6109578,25561.4646818688
105,1986,99,21,99021,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,40399960.1005727,26027.3863790904
106,1986,99,22,99022,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,40453138.6942859,26101.9059279012
107,1986,99,23,99023,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,40965400.3395187,26282.9353959835
108,1986,99,24,99024,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,40566581.8425523,26236.8412858243
109,1986,99,25,99025,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,47280719.827207,27932.0461944452
110,1986,99,26,99026,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,42544291.0730773,26831.8265808849
111,1986,99,27,99027,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,41508462.1566797,26640.0756457531
112,1986,99,28,99028,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,40369341.4236117,26448.2921014728
113,1986,99,29,99029,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,44251878.4043781,27448.2552522191
114,1986,99,31,99031,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,43170900.7594938,27193.051357672
115,1986,98,31,98031,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,41995463.8008453,26502.4342844787
116,1986,98,30,98030,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,41671950.2873508,26485.3262733418
117,1986,98,29,98029,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,42825393.3989805,26957.4357178821
118,1986,98,28,98028,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,43232247.3195563,27289.2426781538
119,1986,98,27,98027,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,47182141.0050664,28334.7824764366
120,1986,98,26,98026,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,44593069.3051375,27869.4550122314
121,1986,98,25,98025,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,44699368.6306242,27939.7608516498
122,1986,98,24,98024,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,47275220.3920594,28558.7897218382
123,1986,98,23,98023,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,47824158.2279289,28728.9935639149
124,1986,98,22,98022,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,44509404.7984523,27993.2155042562
125,1986,98,21,98021,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,45750898.5044367,28220.2317879678
126,1986,98,20,98020,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,47700129.8603649,28555.4138674193
127,1986,98,19,98019,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,44098889.4857898,27636.9618381515
128,1986,98,18,98018,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,35973870.0244453,25678.8942927908
129,1986,98,17,98017,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,41628737.9327328,26903.7691593286
130,1986,98,16,98016,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,43358884.5954234,27249.5741408284
131,1986,98,15,98015,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,37827271.4161375,25894.5650576772
132,1986,98,14,98014,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,42265010.3744594,26888.3048272385
133,1986,98,13,98013,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,37293379.7073633,25675.1270561326
134,1986,98,12,98012,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,44201763.341943,27301.8733346808
135,1986,98,11,98011,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,37962853.5585977,25774.8241072768
136,1986,98,10,98010,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,39897617.6145047,26267.6847680677
137,1986,98,9,98009,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,41965232.2398773,26847.8003078455
138,1986,98,8,98008,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,45903420.7450289,27999.5564145297
139,1986,98,7,98007,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,44843336.6179898,27880.6888946503
140,1986,98,6,98006,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,41138434.6473117,27123.6357496767
141,1986,98,5,98005,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,47985481.0481938,28584.2768916806
142,1986,98,4,98004,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,43232584.6343274,27478.9571239375
143,1986,98,3,98003,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,42972420.1185258,27436.2362467571
144,1986,98,2,98002,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,44064733.2377203,27752.3851812553
145,1986,97,1,97001,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,97305106.5349313,48052.8015942652
146,1986,97,2,97002,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,34030151.4438656,24155.1950501195
147,1986,97,3,97003,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,35544815.1330047,24531.4750029408
148,1986,97,4,97004,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,36270951.9806703,24719.6837683067
149,1986,97,5,97005,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,36444558.022318,24750.6486919058
150,1986,97,6,97006,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,34621919.1100594,24233.9378118563
151,1986,97,7,97007,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,36548893.5916914,24721.4181891491
152,1986,97,8,97008,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,42033314.1743313,26282.5607695382
153,1986,97,9,97009,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,42001307.0949367,26529.5792085208
154,1986,97,10,97010,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,41978530.819443,26774.6494292284
155,1986,97,11,97011,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,41327419.7627953,26816.1514850159
156,1986,97,12,97012,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,42641878.824707,27161.6783332819
157,1986,97,13,97013,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,42639038.8992867,27149.5347582297
158,1986,97,14,97014,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,42885770.3286906,27147.5700106203
159,1986,97,15,97015,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,43571241.4746914,27196.3974679083
160,1986,97,16,97016,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,39255343.937982,26047.6359499368
161,1986,97,17,97017,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,38261841.2021195,25707.8450485354
162,1986,97,18,97018,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,42238084.703925,26613.85695991
163,1986,97,19,97019,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,41021400.823525,26238.3037503153
164,1986,97,20,97020,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,40144158.3260531,25949.0196358459
165,1986,97,21,97021,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,39994715.7070023,25843.0777142253
166,1986,97,22,97022,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,41478197.3396578,26225.0636391213
167,1986,97,23,97023,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,37645875.4089094,25224.5562792764
168,1986,97,24,97024,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,39613442.1855055,25776.4608462587
169,1986,97,25,97025,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,37503919.7867328,25293.1610009494
170,1986,97,26,97026,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,41293027.4372531,26268.3816931593
171,1986,97,27,97027,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,40107313.4039242,26014.0753065527
172,1986,97,28,97028,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,48793192.2178711,28196.2094643086
173,1986,97,29,97029,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,39464279.7238461,25961.9273064835
174,1986,97,31,97031,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,40307190.6044742,26364.7147719581
175,1986,96,31,96031,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,41988279.4310187,26925.2954688007
176,1986,96,30,96030,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,38481571.5508047,26083.1975404416
177,1986,96,29,96029,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,43990096.291875,27307.274663357
178,1986,96,28,96028,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,43296951.7629945,27015.6370333587
179,1986,96,27,96027,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,44569792.9111875,27209.2511343528
180,1986,96,26,96026,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,41535154.2863531,26419.2720414165
181,1986,96,25,96025,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,41881520.0888383,26496.5401769498
182,1986,96,24,96024,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,38826712.8276555,25794.4500040766
183,1986,96,23,96023,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,42693339.7330453,26803.9056877465
184,1986,96,22,96022,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,41599136.3398094,26595.522185347
185,1986,96,21,96021,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,45497664.1469195,27592.3472843163
186,1986,96,20,96020,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,41646920.7475969,26725.8222343982
187,1986,96,19,96019,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,40542786.2965039,26511.2440986537
188,1986,96,18,96018,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,44430703.0799984,27459.1975142249
189,1986,96,17,96017,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,42774703.6872687,27166.2909901901
190,1986,96,16,96016,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,44044566.8478195,27604.5710165443
191,1986,96,15,96015,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,43216829.0443234,27508.8935957724
192,1986,96,14,96014,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,44711153.4869578,27823.1695701069
193,1986,96,13,96013,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,41146916.8176656,26900.570267844
194,1986,96,12,96012,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,41434152.4040031,26883.1811780238
195,1986,96,11,96011,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,43225351.9606977,27284.5478844958
196,1986,96,10,96010,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,41575596.4236352,26887.3883888737
197,1986,96,9,96009,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,41220481.0330125,26774.7155701598
198,1986,96,8,96008,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,42697047.4612922,27093.6362688547
199,1986,96,7,96007,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,43981884.4604328,27392.0458729594
200,1986,96,6,96006,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,43939313.9474055,27373.250008946
201,1986,96,5,96005,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,44464991.6299125,27487.4567243627
202,1986,96,4,96004,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,42644352.1815414,27052.2577666639
203,1986,96,3,96003,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,40660335.9953383,26557.5065263103
204,1986,96,2,96002,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,37778167.6160164,25824.4286916195
205,1986,95,1,95001,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,94028960.8123422,44005.8677053965
206,1986,95,2,95002,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,39051427.9256609,26155.756369244
207,1986,95,3,95003,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,41566940.226593,26718.0020547455
208,1986,95,4,95004,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,45446607.5220828,27609.8314865673
209,1986,95,5,95005,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,40641580.3118469,26431.4598574411
210,1986,95,6,95006,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,42078058.3345938,26747.1950243119
211,1986,95,7,95007,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,40559515.2718703,26351.9464398837
212,1986,95,8,95008,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,42641364.6168461,26836.5500793096
213,1986,95,9,95009,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,39159457.7328563,25952.7966726957
214,1986,95,10,95010,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,42449712.8750219,26707.9101918158
215,1986,95,11,95011,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,40144460.9268211,26053.103883749
216,1986,95,12,95012,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,39366010.8040203,25777.6874821132
217,1986,95,13,95013,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,41686372.2544438,26283.1594954036
218,1986,95,14,95014,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,38029640.7773289,25251.0537763364
219,1986,95,15,95015,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,38016712.4564023,25248.6387736252
220,1986,95,16,95016,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,37797470.2329086,25192.2902171198
