OBJECTID,DONUT,WETLANDS,ATTRIBUTE,DECODE,HGM_CODE,NAME,WETLAND_NAME,WETLAND_REPORT,CATEGORY,SOURCE,P_AREA,SHAPE_Length,SHAPE_Area
717,,,PFOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,46264.76467778,1252.59250459707,46264.7573319638
718,,,PFOC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R3A,,,,,,2991.63019535,439.05735427716,2991.63110082154
719,,,PFOC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R3A,,,,,,1012.84217497,173.306749616709,1012.84309148817
720,,,PUBHh,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R1B,,,,,,2700.87982816,194.143372146044,2700.87972251905
721,,,PFOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,1705.06481224,231.99577132461,1705.07298184293
722,,,PFOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,1527.77854299,251.874522370126,1527.76922223526
723,,,PSSA,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,10920.26134329,3163.76040057759,10920.239801043
724,,,PEMCx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R3A,,,,,,629.24979246,107.970053963839,629.256610544466
725,,,PFOC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R3A,,,,,,17395.68884883,2349.31951985877,17395.6990640875
726,,,E2EMN,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,E2A,,,,,,380038.14830598,7022.4081683525,380038.085042639
727,,,PUBHx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,12369.30531826,428.040381582391,12369.3077115928
728,,,PABHx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2B,,,,,,2153.28623778,190.565112195542,2153.29155509896
729,,,PEMCx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R3A,,,,,,1015.84947094,412.015514298173,1015.84445382208
730,,,PFOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,11647.87646703,875.174793537126,11647.8731260822
731,,,PEM/FOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,2584.17913608,321.970810556249,2584.19090576078
732,,,PSSB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,623.43876597,114.323534926667,623.437135456815
733,,,PFOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2B,,,,,,4269.79560263,351.018286100196,4269.79748509484
734,,,PSSB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,684.62081949,105.344710027924,684.616081592738
735,,,R4SBC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R1A,,,,,,1020.66604957,428.011994192311,1020.66066815562
736,,,PSS/EMB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,3045.76439209,267.812755740454,3045.76140968586
737,,,PFO/SSA,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,3601.6670465,541.672047831912,3601.63352360876
738,,,PEMB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,638.49186073,94.5071223979194,638.491362891385
739,,,PSS/EMB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,800.62453691,112.365778946812,800.623947431755
740,,,PEM/SSC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,6311.21427804,860.175000423841,6311.21083195824
741,,,PABKrx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,51561.3733261,1081.32982302773,51561.3689192286
742,,,PEMCx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R3A,,,,,,4416.61408513,1759.75837446875,4416.59816866268
743,,,PEMCx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,905.52666956,240.778397840146,905.529186835993
744,,,PEM/SSB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,662.83062335,106.040097049822,662.830076134767
745,,,PFO/SSB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,812.75912534,123.419479494653,812.754643012622
746,,,PEM/SSB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,921.48987421,131.43430263036,921.490064945885
747,,,PEMCx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R3A,,,,,,2688.43592802,776.368522967314,2688.41780481996
748,,,PEMCx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R3A,,,,,,1374.78902046,403.4458925792,1374.77670762204
749,,,PEMB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,642.57440059,91.7541511995043,642.572679774643
750,,,R3UBH,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R1A,,,,,,9204.8789142,1253.28559108432,9204.89343400735
751,,,PSSCx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2B,,,,,,36003.89835865,4320.90300860885,36003.9107495511
752,,,PUBHx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2B,,,,,,114815.85712575,2104.29591319951,114815.862717565
753,,,PEMCx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R3A,,,,,,650.56534853,173.96595061874,650.564118126184
754,,,PSSB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,F2B,,,,,,983.78325092,132.686586872769,983.785431858462
755,,,PEMB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,F2B,,,,,,596.1840997,88.0277667021306,596.183385574524
756,,,PEMB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,F2B,,,,,,2504.98445682,197.867867304578,2504.99029249466
