ObjectId,ID,CASENUMBER,CASETYPEID,CASETYPE,STREETADDRESS,ZIP,CITY,STATE,STATUS,DATEOPENED
1325,96299,18ABC1009,1000,ABC Case,1535 BAXTER AVE,40205-0000,LOUISVILLE,KY,Closed,2018/01/03 23:23:26+00
1326,96300,17ABC1269,1000,ABC Case,13600 KINROSS BLVD,40272-0000,LOUISVILLE,KY,Closed,2017/12/19 16:14:01+00
1327,96301,17ABC1194,1000,ABC Case,4105 TAYLOR BLVD,40215-0000,LOUISVILLE,KY,Closed,2017/09/18 19:07:08+00
1328,96302,17ABC1200,1000,ABC Case,3814 FRANKFORT AVE,40207-0000,LOUISVILLE,KY,Closed,2017/09/25 15:37:07+00
1329,96303,17ABC1212,1000,ABC Case,5414 VALLEY STATION RD,40272-0000,LOUISVILLE,KY,Closed,2017/10/04 22:41:21+00
1330,96304,18ABC1024,1000,ABC Case,2728 LINDSAY AVE,40206-0000,LOUISVILLE,KY,Closed,2018/01/18 23:00:05+00
1331,96305,18ABC1150,1000,ABC Case,2501 S 4TH ST,40208-0000,LOUISVILLE,KY,Closed,2018/07/16 17:12:19+00
1332,96306,17ABC1232,1000,ABC Case,2126 S PRESTON ST,40217-0000,LOUISVILLE,KY,Closed,2017/11/06 22:45:14+00
1333,96307,17ABC1258,1000,ABC Case,3940 BARDSTOWN RD,40218-0000,LOUISVILLE,KY,Closed,2017/11/30 16:10:43+00
1334,96308,18ABC1025,1000,ABC Case,9702 WESTPORT RD,40241-0000,LOUISVILLE,KY,Closed,2018/01/19 20:30:42+00
1335,96309,17ABC1214,1000,ABC Case,4116 GREENWOOD AVE,40211-0000,LOUISVILLE,KY,Closed,2017/10/05 22:13:04+00
1336,96310,18ABC1004,1000,ABC Case,5603 GREENWOOD RD,40258-0000,LOUISVILLE,KY,Closed,2018/01/03 22:26:18+00
1337,96311,17ABC1202,1000,ABC Case,934 BAXTER AVE,40204-0000,LOUISVILLE,KY,Closed,2017/09/25 18:53:58+00
1338,96312,17ABC1207,1000,ABC Case,3707 FALCON CREST DR,40219-0000,LOUISVILLE,KY,Closed,2017/09/27 20:12:49+00
1339,96313,17ABC1241,1000,ABC Case,6112 PRESTON HWY,40219-0000,LOUISVILLE,KY,Closed,2017/11/12 22:23:32+00
1340,96314,17ABC1220,1000,ABC Case,1135 S 32ND ST,40211-0000,LOUISVILLE,KY,Closed,2017/10/24 13:35:29+00
1341,96315,17ABC1199,1000,ABC Case,2927 7TH STREET RD,40216-0000,LOUISVILLE,KY,Closed,2017/09/22 19:49:28+00
1342,96316,18ABC1005,1000,ABC Case,6019 PRESTON HWY,40219-0000,LOUISVILLE,KY,Closed,2018/01/03 22:29:26+00
1343,96317,18ABC1128,1000,ABC Case,7208 WHIPPLE RD,40272-0000,LOUISVILLE,KY,Closed,2018/06/26 14:28:14+00
1344,96318,18ABC1010,1000,ABC Case,3814 FRANKFORT AVE,40207-0000,LOUISVILLE,KY,Closed,2018/01/04 20:24:47+00
1345,96319,18ABC1159,1000,ABC Case,414 W OAK ST,40203-0000,LOUISVILLE,KY,Closed,2018/07/23 15:18:02+00
1346,96320,18ABC1036,1000,ABC Case,2219 HOLIDAY MANOR CTR,40222-0000,NORTHFIELD,KY,Closed,2018/02/08 20:54:25+00
1347,96321,17ABC1242,1000,ABC Case,4108 PRESTON HWY,40213-0000,LOUISVILLE,KY,Closed,2017/11/12 23:02:14+00
1348,96322,18ABC1022,1000,ABC Case,2410 ST XAVIER ST,40212-0000,LOUISVILLE,KY,Closed,2018/01/18 17:32:59+00
1349,96323,18ABC1035,1000,ABC Case,1307 CLARA AVE,40215-0000,LOUISVILLE,KY,Closed,2018/02/06 15:19:04+00
1350,96324,18ABC1017,1000,ABC Case,416 S 26TH ST,40212-0000,LOUISVILLE,KY,Closed,2018/01/12 12:59:05+00
1351,96325,18ABC1261,1000,ABC Case,1608 BARDSTOWN RD,40205-0000,LOUISVILLE,KY,Closed,2018/11/20 19:24:54+00
1352,96326,18ABC1030,1000,ABC Case,1506 BERRY BLVD,40215-0000,LOUISVILLE,KY,Closed,2018/01/31 15:06:47+00
1353,96327,18ABC1033,1000,ABC Case,444 S 5TH ST,40202-0000,LOUISVILLE,KY,Closed,2018/02/02 20:13:34+00
1354,96328,18ABC1032,1000,ABC Case,8103 PRESTON HWY,40219-0000,LOUISVILLE,KY,Closed,2018/01/31 19:05:54+00
1355,96329,17ABC1223,1000,ABC Case,3814 FRANKFORT AVE,40207-0000,LOUISVILLE,KY,Closed,2017/10/27 04:45:58+00
1356,96330,18ABC1052,1000,ABC Case,1901 W MAIN ST,40203-0000,LOUISVILLE,KY,Closed,2018/03/09 16:41:02+00
1357,96331,18ABC1055,1000,ABC Case,9302 BLUE LICK RD,40229-0000,LOUISVILLE,KY,Closed,2018/03/09 18:48:38+00
1358,96332,17ABC1204,1000,ABC Case,444 S 5TH ST,40202-0000,LOUISVILLE,KY,Closed,2017/09/26 20:55:21+00
1359,96333,17ABC1219,1000,ABC Case,3814 FRANKFORT AVE,40207-0000,LOUISVILLE,KY,Closed,2017/10/20 20:03:03+00
1360,96334,18ABC1016,1000,ABC Case,1030 GOSS AVE,40217-0000,LOUISVILLE,KY,Closed,2018/01/11 20:17:52+00
1361,96335,18ABC1038,1000,ABC Case,2902 7TH STREET RD,40216-0000,SHIVELY,KY,Closed,2018/02/14 22:24:49+00
1362,96336,17ABC1221,1000,ABC Case,4122 PINECROFT DR,40219-0000,LOUISVILLE,KY,Closed,2017/10/24 14:19:51+00
1363,96337,18ABC1124,1000,ABC Case,3503 7TH STREET RD,40216-0000,LOUISVILLE,KY,Closed,2018/06/19 19:41:45+00
1364,96338,17ABC1239,1000,ABC Case,1904 FRANKFORT AVE,40206-0000,LOUISVILLE,KY,Closed,2017/11/10 19:49:57+00
1365,96339,17ABC1191,1000,ABC Case,3800 FALCON CREST DR,40219-0000,LOUISVILLE,KY,Closed,2017/09/15 17:35:30+00
1366,96340,18ABC1028,1000,ABC Case,2601 W BROADWAY ,40211-0000,LOUISVILLE,KY,Closed,2018/01/24 21:29:06+00
1367,96341,17ABC1196,1000,ABC Case,1004 BARDSTOWN RD,40204-0000,LOUISVILLE,KY,Closed,2017/09/20 18:02:34+00
1368,96342,17ABC1189,1000,ABC Case,1715 BERRY BLVD,40215-0000,LOUISVILLE,KY,Closed,2017/09/14 17:56:35+00
1369,96343,18ABC1267,1000,ABC Case,344 E LEE ST,40208-0000,LOUISVILLE,KY,Closed,2018/11/29 16:53:16+00
1370,96345,18ABC1049,1000,ABC Case, SPRINGHURST BLVD,40241-0000,LOUISVILLE,KY,Closed,2018/03/05 17:39:21+00
1371,96346,18ABC1053,1000,ABC Case,1320 DIXIE HWY,40210-0000,LOUISVILLE,KY,Closed,2018/03/09 18:43:24+00
1372,96347,17ABC1231,1000,ABC Case,3018 RODMAN ST,40208-0000,LOUISVILLE,KY,Closed,2017/11/06 20:53:22+00
1373,96348,18ABC1066,1000,ABC Case, BRECKENRIDGE LN,40220-0000,LOUISVILLE,KY,Closed,2018/03/27 19:17:52+00
1374,96349,18ABC1023,1000,ABC Case,3801 W MARKET ST,40212-0000,LOUISVILLE,KY,Closed,2018/01/18 22:50:22+00
1375,96350,17ABC1266,1000,ABC Case,5011 POPLAR LEVEL RD,40219-0000,LOUISVILLE,KY,Closed,2017/12/11 16:56:11+00
1376,96351,18ABC1015,1000,ABC Case,4836 SOUTHSIDE DR,40214-0000,LOUISVILLE,KY,Closed,2018/01/09 20:23:18+00
1377,96352,18ABC1042,1000,ABC Case,6112 PRESTON HWY,40219-0000,LOUISVILLE,KY,Closed,2018/02/19 16:37:43+00
1378,96353,18ABC1041,1000,ABC Case,2523 W BROADWAY ,40211-0000,LOUISVILLE,KY,Closed,2018/02/16 21:01:48+00
