244, 2014-282T03:50:05.264, 2014-282T05:22:54.712,173.524, MARGINAL / Poor echo centering / High SNR
245, 2014-282T05:22:54.712, 2014-282T06:55:44.191,149.936, MARGINAL / Poor echo centering / High SNR
246, 2014-282T06:55:44.191, 2014-282T08:28:33.607,126.347, MARGINAL / Poor echo centering / High SNR
247, 2014-282T08:28:33.607, 2014-282T10:01:23.015,102.759, MARGINAL / Poor echo centering / High SNR
248, 2014-282T10:01:23.015, 2014-282T11:34:12.511,79.171, MARGINAL / Poor echo centering / High SNR
249, 2014-282T11:34:12.511, 2014-282T13:07:01.988,55.581, MARGINAL / Poor echo centering / High SNR
250, 2014-282T13:07:01.988, 2014-282T14:39:51.433,31.992, BAD / Poor attitude estimation / High SNR
251, 2014-282T14:39:51.433, 2014-282T16:12:40.844,8.403, GOOD / High SNR
252, 2014-282T16:12:40.844, 2014-282T17:45:30.198,-15.185, GOOD / High SNR
253, 2014-282T17:45:30.198, 2014-282T19:18:19.533,-38.773, GOOD / High SNR
254, 2014-282T19:18:19.533, 2014-282T20:51:08.896,-62.363, GOOD / High SNR
255, 2014-282T20:51:08.896, 2014-282T22:23:58.326,-85.954, GOOD / High SNR
256, 2014-282T22:23:58.326, 2014-282T23:56:47.726,-109.545, GOOD / High SNR
257, 2014-282T23:56:47.726, 2014-283T01:29:37.091,-133.134, GOOD / High SNR
258, 2014-283T01:29:37.091, 2014-283T03:02:26.406,-156.722, GOOD / High SNR
259, 2014-283T03:02:26.406, 2014-283T04:35:15.739,179.691, GOOD / High SNR
260, 2014-283T04:35:15.739, 2014-283T06:08:05.107,156.104, GOOD / High SNR
261, 2014-283T06:08:05.107, 2014-283T07:40:54.441,132.515, GOOD / High SNR
262, 2014-283T07:40:54.441, 2014-283T09:13:43.715,108.927, GOOD / High SNR
263, 2014-283T09:13:43.715, 2014-283T10:46:33.094,85.34, GOOD / High SNR
264, 2014-283T10:46:33.094, 2014-283T12:19:22.477,61.751, GOOD / High SNR
265, 2014-283T12:19:22.477, 2014-283T13:52:11.820,38.162, GOOD / High SNR
266, 2014-283T13:52:11.820, 2014-283T15:25:01.150,14.573, GOOD / High SNR
267, 2014-283T15:25:01.150, 2014-283T16:57:50.410,-9.015, GOOD / High SNR
268, 2014-283T16:57:50.410, 2014-283T18:30:39.640,-32.602, GOOD / High SNR
269, 2014-283T18:30:39.640, 2014-283T20:03:28.891,-56.191, GOOD / High SNR
270, 2014-283T20:03:28.891, 2014-283T21:36:18.212,-79.781, GOOD / High SNR
271, 2014-283T21:36:18.212, 2014-283T23:09:07.522,-103.372, GOOD / High SNR
272, 2014-283T23:09:07.522, 2014-284T00:41:56.799,-126.961, GOOD / High SNR
273, 2014-284T00:41:56.799, 2014-284T02:14:46.029,-150.549, GOOD / High SNR
274, 2014-284T02:14:46.029, 2014-284T03:47:35.257,-174.136, GOOD / High SNR
275, 2014-284T03:47:35.257, 2014-284T05:20:24.519,162.277, GOOD / High SNR
276, 2014-284T05:20:24.519, 2014-284T06:53:13.780,138.69, GOOD / High SNR
277, 2014-284T06:53:13.780, 2014-284T08:26:02.956,115.102, GOOD / High SNR
278, 2014-284T08:26:02.956, 2014-284T09:58:52.216,91.515, GOOD / High SNR
279, 2014-284T09:58:52.216, 2014-284T11:31:41.505,67.926, GOOD / High SNR
280, 2014-284T11:31:41.505, 2014-284T13:04:30.762,44.337, GOOD / High SNR
281, 2014-284T13:04:30.762, 2014-284T14:37:19.999,20.75, GOOD / High SNR
282, 2014-284T14:37:19.999, 2014-284T16:10:09.169,-2.838, GOOD / High SNR
283, 2014-284T16:10:09.169, 2014-284T17:42:58.300,-26.425, GOOD / High SNR
284, 2014-284T17:42:58.300, 2014-284T19:15:47.435,-50.013, GOOD / High SNR
285, 2014-284T19:15:47.435, 2014-284T20:48:36.628,-73.602, GOOD / High SNR
286, 2014-284T20:48:36.628, 2014-284T22:21:25.844,-97.193, GOOD / High SNR
287, 2014-284T22:21:25.844, 2014-284T23:54:15.016,-120.782, GOOD / High SNR
288, 2014-284T23:54:15.016, 2014-285T01:27:04.152,-144.37, GOOD / High SNR
289, 2014-285T01:27:04.152, 2014-285T02:59:53.262,-167.957, GOOD / High SNR
290, 2014-285T02:59:53.262, 2014-285T04:32:42.407,168.457, GOOD / High SNR
291, 2014-285T04:32:42.407, 2014-285T06:05:31.572,144.87, GOOD / High SNR
292, 2014-285T06:05:31.572, 2014-285T07:38:20.656,121.282, GOOD / High SNR
293, 2014-285T07:38:20.656, 2014-285T09:11:09.780,97.696, GOOD / High SNR
294, 2014-285T09:11:09.780, 2014-285T10:43:58.969,74.108, GOOD / High SNR
295, 2014-285T10:43:58.969, 2014-285T12:16:48.134,50.52, GOOD / High SNR
296, 2014-285T12:16:48.134, 2014-285T13:49:37.275,26.932, GOOD / High SNR
297, 2014-285T13:49:37.275, 2014-285T15:22:26.366,3.345, GOOD / High SNR
298, 2014-285T15:22:26.366, 2014-285T16:55:15.412,-20.242, GOOD / High SNR
299, 2014-285T16:55:15.412, 2014-285T18:28:04.449,-43.829, GOOD / High SNR
300, 2014-285T18:28:04.449, 2014-285T20:00:53.530,-67.418, GOOD / High SNR
301, 2014-285T20:00:53.530, 2014-285T21:33:42.660,-91.008, GOOD / High SNR
302, 2014-285T21:33:42.660, 2014-285T23:06:31.754,-114.597, GOOD / High SNR
303, 2014-285T23:06:31.754, 2014-286T00:39:20.811,-138.185, GOOD / High SNR
304, 2014-286T00:39:20.811, 2014-286T02:12:09.828,-161.772, GOOD / High SNR
305, 2014-286T02:12:09.828, 2014-286T03:44:58.874,174.643, GOOD / High SNR
306, 2014-286T03:44:58.874, 2014-286T05:17:47.953,151.056, GOOD / High SNR
307, 2014-286T05:17:47.953, 2014-286T06:50:36.978,127.469, GOOD / High SNR
308, 2014-286T06:50:36.978, 2014-286T08:23:25.985,103.883, GOOD / High SNR
309, 2014-286T08:23:25.985, 2014-286T09:56:15.089,80.296, GOOD / High SNR
310, 2014-286T09:56:15.089, 2014-286T11:29:04.179,56.708, GOOD / High SNR
311, 2014-286T11:29:04.179, 2014-286T13:01:53.237,33.12, GOOD / High SNR
312, 2014-286T13:01:53.237, 2014-286T14:34:42.265,9.533, GOOD / High SNR
313, 2014-286T14:34:42.265, 2014-286T16:07:31.237,-14.054, GOOD / High SNR
