Votes,Prec. Count,Party,Dist. Type,Dist. Code,Contest Name,Cand. Num,Cand. Name,Vote For,Ref
3,1,REP,,,County Committeeman BETHEL PARK WARD 5 DIST 3  (Prec-005,2,WRITE-IN,1,
95,1,REP,,,County Committeeman BETHEL PARK WARD 6 DIST 1  (Prec-005,1,Delvin Rapp,1,
0,1,REP,,,County Committeeman BETHEL PARK WARD 6 DIST 1  (Prec-005,2,WRITE-IN,1,
93,1,REP,,,County Committeeman BETHEL PARK WARD 6 DIST 2  (Prec-005,1,Stan E. Buczkowski,1,
0,1,REP,,,County Committeeman BETHEL PARK WARD 6 DIST 2  (Prec-005,2,WRITE-IN,1,
51,1,REP,,,County Committeeman BETHEL PARK WARD 6 DIST 3  (Prec-005,1,John E. Schnatterly,1,
49,1,REP,,,County Committeeman BETHEL PARK WARD 6 DIST 3  (Prec-005,2,David C. Yasko,1,
0,1,REP,,,County Committeeman BETHEL PARK WARD 6 DIST 3  (Prec-005,3,WRITE-IN,1,
59,1,REP,,,County Committeeman BETHEL PARK WARD 8 DIST 2  (Prec-006,1,Timothy J. Moury,1,
0,1,REP,,,County Committeeman BETHEL PARK WARD 8 DIST 2  (Prec-006,2,WRITE-IN,1,
123,1,REP,,,County Committeeman BETHEL PARK WARD 9 DIST 3  (Prec-006,1,Bob Keibler,1,
0,1,REP,,,County Committeeman BETHEL PARK WARD 9 DIST 3  (Prec-006,2,WRITE-IN,1,
176,1,REP,,,County Committeeman COLLIER DIST 1  (Prec-0128),1,Douglas Price,1,
2,1,REP,,,County Committeeman COLLIER DIST 1  (Prec-0128),2,WRITE-IN,1,
86,1,REP,,,County Committeeman COLLIER DIST 2  (Prec-0129),1,Robert Schuler,1,
0,1,REP,,,County Committeeman COLLIER DIST 2  (Prec-0129),2,WRITE-IN,1,
23,1,REP,,,County Committeeman COLLIER DIST 4  (Prec-0131),1,Tim Young,1,
0,1,REP,,,County Committeeman COLLIER DIST 4  (Prec-0131),2,WRITE-IN,1,
90,1,REP,,,County Committeeman CRESCENT WARD 1  (Prec-0145),1,Henry J. Niemeyer,1,
2,1,REP,,,County Committeeman CRESCENT WARD 1  (Prec-0145),2,WRITE-IN,1,
25,1,REP,,,County Committeeman EAST DEER WARD 2  (Prec-0171),1,Paul J. Smolak,1,
0,1,REP,,,County Committeeman EAST DEER WARD 2  (Prec-0171),2,WRITE-IN,1,
32,1,REP,,,County Committeeman EDGEWOOD DIST 1  (Prec-0178),1,John F. Bright,1,
1,1,REP,,,County Committeeman EDGEWOOD DIST 1  (Prec-0178),2,WRITE-IN,1,
65,1,REP,,,County Committeeman EDGEWOOD DIST 2  (Prec-0179),1,"John R. Vojtko, Jr.",1,
0,1,REP,,,County Committeeman EDGEWOOD DIST 2  (Prec-0179),2,WRITE-IN,1,
40,1,REP,,,County Committeeman EDGEWOOD DIST 3  (Prec-0180),1,John L. Wainright,1,
0,1,REP,,,County Committeeman EDGEWOOD DIST 3  (Prec-0180),2,WRITE-IN,1,
70,1,REP,,,County Committeeman ELIZABETH BR  (Prec-0183),1,David G. Householder,1,
7,1,REP,,,County Committeeman ELIZABETH BR  (Prec-0183),2,WRITE-IN,1,
123,1,REP,,,County Committeeman ELIZABETH TP WARD 3  (Prec-0187),1,Robert H. Keefer,1,
3,1,REP,,,County Committeeman ELIZABETH TP WARD 3  (Prec-0187),2,WRITE-IN,1,
64,1,REP,,,County Committeeman FINDLAY DIST 1  (Prec-0203),1,Neal Hurley,1,
0,1,REP,,,County Committeeman FINDLAY DIST 1  (Prec-0203),2,WRITE-IN,1,
119,1,REP,,,County Committeeman FINDLAY DIST 2  (Prec-0204),1,Robert Sterner,1,
1,1,REP,,,County Committeeman FINDLAY DIST 2  (Prec-0204),2,WRITE-IN,1,
113,1,REP,,,County Committeeman FINDLAY DIST 3  (Prec-0205),1,Christopher D. Clay,1,
0,1,REP,,,County Committeeman FINDLAY DIST 3  (Prec-0205),2,WRITE-IN,1,
170,1,REP,,,County Committeeman FRANKLIN PK WARD 1 DIST 1  (Prec-022,1,Robert Vescio,1,
1,1,REP,,,County Committeeman FRANKLIN PK WARD 1 DIST 1  (Prec-022,2,WRITE-IN,1,
133,1,REP,,,County Committeeman FRANKLIN PK WARD 1 DIST 2  (Prec-022,1,Charles Hamilton,1,
0,1,REP,,,County Committeeman FRANKLIN PK WARD 1 DIST 2  (Prec-022,2,WRITE-IN,1,
198,1,REP,,,County Committeeman FRANKLIN PK WARD 2 DIST 1  (Prec-022,1,Duane Wist,1,
2,1,REP,,,County Committeeman FRANKLIN PK WARD 2 DIST 1  (Prec-022,2,WRITE-IN,1,
169,1,REP,,,County Committeeman FRANKLIN PK WARD 2 DIST 2  (Prec-022,1,Eric L. Bradley,1,
0,1,REP,,,County Committeeman FRANKLIN PK WARD 2 DIST 2  (Prec-022,2,WRITE-IN,1,
141,1,REP,,,County Committeeman FRANKLIN PK WARD 3 DIST 1  (Prec-022,1,Thomas C. Schwartzmier,1,
0,1,REP,,,County Committeeman FRANKLIN PK WARD 3 DIST 1  (Prec-022,2,WRITE-IN,1,
108,1,REP,,,County Committeeman FRANKLIN PK WARD 3 DIST 2  (Prec-022,1,William Boucek,1,
0,1,REP,,,County Committeeman FRANKLIN PK WARD 3 DIST 2  (Prec-022,2,WRITE-IN,1,
98,1,REP,,,County Committeeman GREEN TREE DIST 2  (Prec-0240),1,Edward Stewart,1,
2,1,REP,,,County Committeeman GREEN TREE DIST 2  (Prec-0240),2,WRITE-IN,1,
42,1,REP,,,County Committeeman GREEN TREE DIST 4  (Prec-0242),1,Jeffrey E. Roth,1,
0,1,REP,,,County Committeeman GREEN TREE DIST 4  (Prec-0242),2,WRITE-IN,1,
142,1,REP,,,County Committeeman HAMPTON DIST 1  (Prec-0243),1,Peter S. Russ,1,
