X,Y,OBJECTID,TNF_LS_NO,SLIDE_NO,INVENTORY,CONFID_DAT,YR_INT_TYP,YR_OCCURANCE,LATEST_YEAR_NOTSEEN,FIRST_YEAR_SEEN,TREATMENT,RD_RELATED,STRM_IMPAC,PRED_COVER,COVER_SPP,COVER_PERCENT,FAIL_TYPE,VEG_CLASS,EXAMINER,SLOPE_PER,SLOPE_SHA,BDRK_F_ZON,PM_F_ZONE,LANDSLIDE_NAME,LANDWEHR_N,GROUPED_SL,RECURRANCE,NUMBER_
-132.341022793,54.957909961,36263,6069,C1564,T10,E00001960,2005P,1960,1948.0,1971,,N,Y,BATR,ALRU2,100,SOAR-DEFL-FLOW,AL,Dennis Landwehr,,,,,,,,,
-132.354803213,54.958434632,36264,6045,C1565,T10,E00001960,2005P,1960,1948.0,1971,,N,Y,BATR,ALRU2,100,SOAR-DEFL-FLOW,AL,Dennis Landwehr,,,,,,,,,
-132.316734108,54.963292697,36265,6129,C1624,T10,E00001960,2006P,1960,1948.0,1971,,N,N,BATR,CON1,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.302911295,54.958969892,36266,6130,C1625,T10,E000-1948,2006P,-1948,,1948,,N,N,BASH,ALSI3,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.332948698,54.923649792,36267,6133,C1628,T10,E00001960,2006P,1960,1948.0,1971,,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.281086774,54.92788646,36268,6134,C1629,T10,E00001960,2006P,1960,1948.0,1971,,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.283585539,54.917955024,36269,6135,C1630,T10,E00001960,2006P,1960,1948.0,1971,,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.285599411,54.911196164,36270,6136,C1631,T10,E00002001,2006P,2001,1997.0,2006,,N,N,BARE,CON1,10,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.567683211,55.13355794,36271,6169,C1632,T10,E00001960,2006P,1960,1948.0,1971,,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.575499476,55.132045271,36272,6170,C1633,T10,E00001960,2006P,1960,1948.0,1971,,N,N,BATR,ALRU2,90,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.507078785,54.907885109,36273,6178,C1641,T10,E00002001,2006P,2001,1997.0,2006,,N,N,BARE,,0,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.522527869,54.947567123,36274,6179,C1642,T10,E00002001,2006P,2001,1997.0,2006,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.532148267,54.966783521,36275,6180,C1643,T10,E000-1948,2006P,-1948,,1948,,N,N,BARE,ALRU2,100,TRZO-DEFL-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.510329927,55.13642463,36276,6190,C1653,T10,E00002001,2006P,2001,1997.0,2006,,N,N,BARE,CON1,60,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.154886562,54.702231831,36277,6203,C1666,T10,E00002001,2005P,2001,1997.0,2007,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.146053136,54.779184213,36278,6204,C1667,T10,E00002001,2005P,2001,1997.0,2005,,N,N,BARE,CON1,35,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.129141745,54.904519751,36279,6205,C1668,T10,E00002001,2005P,2001,1997.0,2008,,Y,N,BARE,ALRU2,20,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.127897725,54.904521493,36280,6206,C1669,T10,E00002001,2005P,2001,1997.0,2008,,Y,N,BARE,ALRU2,20,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.124340451,54.920135985,36281,6207,C1670,T10,E00001978,2005P,1978,1971.0,1985,,N,N,BARE,CON1,10,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.135659794,54.938781101,36282,6208,C1671,T10,E00001960,2005P,1960,1948.0,1971,,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.072796666,54.903714623,36283,6217,C1680,T10,E00002001,2005P,2001,1997.0,2008,,N,N,BARE,ALRU2,40,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.096716664,54.73201876,36284,6218,C1681,T10,E000-1948,2005P,-1948,,1948,,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,UN,Dennis Landwehr,,,,,,,,,
-132.097666868,54.7302536,36285,6219,C1682,T10,E000-1948,2005P,-1948,,1948,,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Dennis Landwehr,,,,,,,,,
-132.050057811,54.829924364,36286,6220,C1683,T10,E00002001,2005P,2001,1997.0,2005,,N,N,BARE,ALRU2,30,SOAR-DEAV-FLOW,UN,Dennis Landwehr,,,,,,,,,
-132.039439008,54.854869841,36287,6221,C1684,T10,E00001991,2005P,1991,1985.0,1997,,N,N,BARE,CON1,10,SOAR-DEAV-FLOW,UN,Dennis Landwehr,,,,,,,,,
-132.043083167,54.947843823,36288,6222,C1685,T10,E00001960,2005P,1960,1948.0,1971,,N,N,BATR,ALRU2,95,SOAR-DEFL-FLOW,AL,Dennis Landwehr,,,,,,,,,
-132.031766796,54.948233885,36289,6223,C1686,T10,E00002001,2005P,2001,1997.0,2008,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,Yes,
-132.018980536,54.693973939,36290,6225,C1688,T10,E00001991,2005P,1991,1985.0,1997,,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Dennis Landwehr,,,,,,,,,
-132.02885927,54.700191062,36291,6226,C1689,T10,E00001978,2006P,1978,1971.0,1985,,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Dennis Landwehr,,,,,,,,,
-132.021168911,54.706452562,36292,6227,C1690,T10,E00001960,2005P,1960,1948.0,1971,,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Dennis Landwehr,,,,,,,,,
