OBJECTID,cons_pct,bldg_dens,avg_parcsz,pop_chg,threatF1,threatF2,threatF3,threatF4,threat,ThreatF5,F1rcl,F1raw,F2rcl,F2raw,F3rcl,F3raw,F4rcl,F4raw,F5rcl,F5raw,F6rcl,F6raw,F7rcl,F7raw,F8rcl,F8raw,F9rcl,F9raw,F10rcl,F10raw,F11rcl,F11raw,Fwght,Fwghtrcl,threatrcl,ACRES,Shapearea,Shapelen
3399,0.0,3.02564001,50.60779953,2.23318004,10,10,9,1,6.2,1,5,66.49410247,2,0.15892861,0,0,0,0.0,1,77.0047727,1,1.64810563,0,0.0,10,43.0007113,0,0.0,8,11.58411314,0,0,2.1,2,6,77.00476111,311628.45859057,3721.16499846994
3400,0.0,5.0,50.60779953,2.23318004,9,10,9,1,7.8,10,10,11.45530033,1,0.05720303,0,0,0,0.0,1,27.31435807,10,0.0,0,0.0,8,13.62741159,0,0.0,9,13.62741159,10,100,4.1,5,8,27.31436122,110537.74030728,1949.72468428557
3401,0.0,30.0,19.18790054,8.1066904,2,5,6,1,4.8,10,5,69.54440307,2,0.12481123,0,0,0,0.0,1,20.60463673,10,0.0,0,0.0,8,11.29998082,0,0.0,8,11.29998082,0,0,2.9,3,5,20.60463806,83384.34543908,2268.43758582962
3402,0.0,13.47220039,20.35750007,4.70390987,4,5,7,1,4.4,5,9,19.20639991,2,0.15895106,2,2,0,0.0,1,75.89888398,5,0.30609145,9,2.00305975,7,5.68756715,0,0.0,8,8.24338866,0,0,3.6,4,4,75.89888215,307153.10730768,3462.30042977795
3403,0.0,19.2777996,20.35750007,4.70390987,3,5,7,1,5.2,10,9,17.25,1,0.06971705,0,0,0,0.0,1,33.28978559,10,0.0,9,2.38391442,10,49.80026066,0,0.0,10,28.20516814,0,0,4.05,5,5,33.28978964,134719.53790133,2846.96181440947
3404,0.0,6.73581981,32.96329879,8.16259002,8,8,6,1,6.2,8,6,48.90340042,1,0.05908073,0,0,4,25.24900658,5,1127.13820643,8,0.02645993,4,0.13962795,3,0.52234055,0,0.0,3,1.28904156,0,0,3.65,4,6,1127.13819156,4561384.67500494,25512.6201824614
3405,9.27957904,2.32569003,49.25970077,2.39234995,10,10,9,5,7.8,5,6,40.92020034,5,0.84801014,0,0,6,44.1158742,5,1729.69484077,5,0.32612457,2,0.0166908,5,2.0008327,0,0.0,3,2.0430332,0,0,4.05,5,8,1729.69480467,6999854.52848191,42139.8055276314
3406,0.0,25.56570053,8.33819961,-19.59230041,2,1,10,1,4.8,10,9,14.62590026,1,0.1135163,0,0,0,0.0,2,196.55406617,10,0.0,0,0.0,2,0.17842418,0,0.0,8,8.96209391,0,0,3.25,4,5,196.55406712,795429.27058985,7056.73147362738
3407,9.89663422,21.2940998,20.35750007,4.70390987,3,5,7,5,4.6,3,8,21.7520008,3,0.22943409,2,2,0,0.0,2,109.5544177,3,0.61748308,0,0.0,7,8.01325969,0,0.0,8,8.01325969,0,0,3.05,3,4,109.55441857,443352.77584068,7058.41866533013
3408,18.38869539,7.75,27.48800086,8.14037036,7,7,6,6,7.2,10,7,38.98410034,4,0.39197461,0,0,5,34.46457491,4,799.51457607,10,0.0,4,0.11710855,2,0.27332835,0,0.0,5,3.17784825,0,0,4.35,5,7,799.5145553,3235533.55507259,17641.9019147204
3409,0.0,6.05713987,8.33819961,-19.59230041,8,1,10,1,6.0,10,3,117.98000335,4,0.4147242,2,2,0,0.0,1,68.46532503,10,0.0,5,0.15818226,9,19.42384702,0,0.0,8,11.09116183,0,0,3.3,4,6,68.46532789,277070.46016648,2321.67055857685
3410,0.0,11.78619956,20.17440032,7.02987003,5,5,6,1,5.2,9,6,45.92670059,6,2.50423375,0,0,4,20.82637276,5,1213.36203286,9,0.00432517,4,0.09936028,6,4.54031018,9,3.0,8,9.01835371,0,0,5.1,6,5,1213.36203209,4910321.57354526,26843.9129054343
3411,0.0,10.51159954,20.17440032,7.02987003,6,5,6,1,5.6,10,5,59.2981987,4,0.52742618,0,0,0,0.0,3,255.55078848,10,0.0,9,1.41983518,7,5.31322954,9,3.0,6,4.84875827,0,0,4.15,5,6,255.55077834,1034181.44532672,9260.51595221116
3412,5.18208141,8.05743026,27.79240036,7.70459985,7,7,6,4,6.4,8,8,27.26269912,2,0.15484185,1,1,8,60.34232103,6,2954.06204065,8,0.03247595,4,0.11447626,3,0.62809445,5,1.50428998,3,1.21361296,0,0,5.15,6,6,2954.06205291,11954712.809814,28356.7136506735
3413,0.0,6.0,32.96329879,8.16259002,8,8,6,1,6.4,9,6,51.29629898,3,0.20870202,0,0,0,0.0,2,101.12119501,9,0.00316451,7,0.54854968,6,4.02655447,0,0.0,2,0.98543139,0,0,3.15,4,6,101.12119649,409224.60037234,3526.35092486907
3414,49.31166575,9.02941036,37.02880096,4.50168991,6,9,8,9,8.4,10,9,17.17000007,2,0.13622236,0,0,0,0.0,1,66.00304309,10,0.0,0,0.0,3,0.93959304,9,3.0,2,0.93959304,10,99,3.9,5,9,66.00304137,267105.90031044,3155.96881652282
3415,56.72412696,22.38330078,20.35750007,4.70390987,3,5,7,9,6.4,8,8,26.82819938,5,0.69772891,3,4,0,0.0,2,115.18555418,8,0.02166938,10,4.35723041,10,53.5245938,0,0.0,7,7.15589733,0,0,4.45,5,6,115.18555267,466141.25815656,5766.27642621136
3416,0.0,7.69013977,20.35750007,4.70390987,7,5,7,1,5.4,7,9,19.88179969,5,0.93262912,2,2,0,0.0,4,563.78394537,7,0.14961759,9,1.51832986,8,8.37969941,0,0.0,6,4.57480214,0,0,4.5,5,5,563.78394147,2281561.79062974,15832.6263856537
3417,9.46699669,5.4007101,50.60779953,2.23318004,9,10,9,5,8.6,10,9,20.07530021,3,0.27253285,0,0,0,0.0,4,555.88801466,10,0.0,2,0.02052571,2,0.39213653,0,0.0,2,0.39213653,10,99,4.05,5,9,555.88800153,2249607.92757681,15106.3271548338
3418,0.0,4.02448987,50.60779953,2.23318004,10,10,9,1,8.0,10,6,50.08300018,5,0.68060696,0,0,0,0.0,3,489.40840466,10,0.0,0,0.0,5,2.71676985,0,0.0,5,3.12592915,0,0,3.35,4,8,489.40839555,1980573.43102407,14498.1576302377
3419,0.0,3.35714006,50.60779953,2.23318004,10,10,9,1,8.0,10,7,40.04309844,1,0.06853373,0,0,0,0.0,1,49.28098805,10,0.0,4,0.10612611,7,5.58592696,0,0.0,6,3.97914099,0,0,3.15,4,8,49.28097988,199433.8476654,3981.09016619884
3420,30.69698737,12.15050029,29.47809982,2.51513004,5,7,9,8,7.0,6,8,24.78689956,6,1.62331024,0,0,0,0.0,4,786.53320937,6,0.29504666,8,0.82850919,6,4.60012362,6,1.93734002,7,5.2900093,0,0,4.35,5,7,786.53320808,3182999.69656016,21097.6259974482
