OBJECTID,MODEL91,LINE91,FRAME91,YEAR,CAN_NBR91,FLGTDATE91,SCALE91,PRINTSAVAIL,SHAPEAREA,SHAPELEN
136,8026,8,26,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,9373768.76447109,12997.1791925154
137,8025,8,25,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,12653079.6220344,16852.9007863501
138,8024,8,24,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,14071060.7952531,16760.5331950544
139,8023,8,23,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,15013843.025732,16632.1612240718
140,8022,8,22,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,12485746.923475,15562.3748777298
141,8021,8,21,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,13269104.3420328,15694.1765084077
142,8020,8,20,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,14444598.8987898,16022.6776118693
143,8019,8,19,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,14264643.6002297,15893.8734585067
144,8017,8,17,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,13995207.9021008,15872.6438371738
145,8016,8,16,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,12898419.8664297,15492.8895361049
146,8015,8,15,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,12936696.3210781,15517.7125435372
147,8013,8,13,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,14572660.7494094,16080.1851516634
148,8012,8,12,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,13955652.9242148,15784.016415024
149,8011,8,11,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,13922857.6776219,15733.890833785
150,8010,8,10,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11266572.2912633,14666.7614230144
151,8009,8,9,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,13108574.4619531,15710.1929961951
152,8008,8,8,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11803400.6559328,14802.1247254338
153,8007,8,7,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,13039496.1020492,15254.8574063997
154,8006,8,6,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,13161230.7313,15264.2324668006
155,8005,8,5,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,12257409.0039547,14864.8071306466
156,8004,8,4,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,13547259.9378172,15350.2177071836
157,8003,8,3,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,12216717.2542086,14771.8353848116
158,8002,8,2,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,13546953.0246023,15283.4030079447
