ObjectId,Street_,Dir,Post_Dir,Street,Type_,Loc,Zip,Council,Neighborhood,Referred,Down___Clear
181,666,S,,26th Garage,St,Rear,,,,,2005/04/19 03:59:59+00
182,1702,W,,Kentucky,St,Garage,40210.0,6.0,California,,2005/04/20 03:59:59+00
183,322,N,,27th,St,Entire,,,,,2005/05/04 03:59:59+00
184,2408,W,,Market ,St,Entire,,,,,2005/05/04 03:59:59+00
185,834,,,Marshall,St,Entire,,,,,2005/05/04 03:59:59+00
186,1733,,,Rowan,St,Entire,,,,,2005/05/04 03:59:59+00
187,2019,,,Rowan,St,Entire,,,,,2005/06/20 03:59:59+00
188,2007,W,,Market,St,Entire,,,,,2005/06/30 03:59:59+00
189,1661,W,,Oak,St,Entire,,,,,2005/06/30 03:59:59+00
190,4713,S,,Overbrook,Dr,Entire,,,,,2005/06/30 03:59:59+00
191,5104,S,,Overbrook,Dr,Entire,,,,,2005/06/30 03:59:59+00
192,1605-07,W,,Market,St,Entire,,,,,2005/07/18 03:59:59+00
193,3003,,,Rodman,St,Entire,,,,,2005/08/02 03:59:59+00
194,2115,W,,Muhammad Ali,Blvd,Entire,,,,,2005/08/12 03:59:59+00
195,3914,,,Pflanz,Ave,Rear,,,,,2005/08/16 03:59:59+00
196,923,E,,Oak,St,Entire,,,,,2005/09/09 03:59:59+00
197,7610,,,Norwood,Dr,Entire,,,,,2005/09/28 03:59:59+00
198,5209,,,Red Oak ,Ln,Entire,,,,,2005/09/28 03:59:59+00
199,523,N ,,27th,St,Entire,,,,,2005/10/01 03:59:59+00
200,512,E,,Ormsby,Ave,Entire,,,,,2005/10/14 03:59:59+00
201,13327,,,Horncastle,Way,Entire,,,,,2007/12/12 05:00:00+00
202,2300,,,Howard,St,Entire,,,,,2007/12/12 05:00:00+00
203,2309,,,Howard,St,Entire,,,,,2007/12/12 05:00:00+00
204,2012,,,Penile,Rd,Entire,,,,,2007/12/12 05:00:00+00
205,2311,,,Howard,St,Entire,,,,,2007/12/17 05:00:00+00
206,326,N,,24Th,St,Entire,,,,,2008/01/02 05:00:00+00
207,328,N,,24Th,St,Entire,,,,,2008/01/02 05:00:00+00
208,432,N,,42nd,St,Entire,,,,,2008/01/02 05:00:00+00
209,2506,,,Howard,St,Entire,,,,,2008/01/02 05:00:00+00
210,2715,,,Howard,St,Entire,,,,,2008/01/02 05:00:00+00
211,17016,,,Abbotts Beach,Rd,Entire,,,,,2008/01/07 05:00:00+00
212,307,N,,38th,St,Entire,,,,,2008/01/08 05:00:00+00
213,5300,E,,Indian,Trl,Entire,,,,,2008/01/08 05:00:00+00
