X,Y,OBJECTID,STOPID,STOPABBR,STOPNAME,LON,LAT
1207537.35124999,271088.032499999,1331,3815,11110,W Oak @ S 2nd,-85.757127,38.234692
1208024.98999999,271026.152500004,1332,3817,11115,W Oak @ S 1st,-85.755426,38.234544
1208614.44,270936.033749998,1333,3818,11120,E Oak @ S Brook,-85.753369,38.234323
1209055.89375,270877.841250002,1334,3819,11125,E Oak @ S Floyd,-85.751829,38.234183
1209678.63249999,270802.863749996,1335,3820,11130,E Oak @ S Preston,-85.749657,38.234005
1210279.77875,270848.441249996,1336,3821,11135,E Oak @ S Jackson,-85.747567,38.234157
1210815.73375,270771.625,1337,3822,11140,E Oak @ S Hancock,-85.745697,38.23397
1211407.83625001,270684.802499995,1338,3823,11145,E Oak @ S Clay,-85.743631,38.233758
1212000.74250001,270523.316249996,1339,3824,11150,E Oak @ S Shelby,-85.741558,38.233341
1212552.76875,270426.971249998,1340,3827,11155,E Oak @ S Logan,-85.739631,38.233101
1213187.28375,270332.946250007,1341,3829,11165,E Oak @ S Swan,-85.737417,38.232871
1213848.28749999,270349.231250003,1342,3830,11170,E Oak @ Reutlinger,-85.735117,38.232945
1214243.465,270520.232500002,1343,3831,11175,E Oak @  Fischer,-85.733751,38.233432
1214706.32250001,270737.863749996,1344,3832,11180,E Oak @ Rammers,-85.732152,38.23405
1216001.9375,271293.591250002,1345,3835,11195,E Oak @ Barret,-85.727673,38.235633
1209161.13875,258314.4375,1346,137,1120,Crittenden @ KFEC Gate 3,-85.75075,38.199693
1216479.95375,271598.418750003,1347,3836,11200,Winter @ Edward,-85.726026,38.236491
1216961.0475,271880.989999995,1348,3837,11205,Winter @ Rubel,-85.724367,38.237288
1217517.10124999,272037.444999993,1349,3838,11210,Winter @ Baxter,-85.72244,38.237742
1217924.49250001,272238.900000006,1350,3839,11215,Grinstead @ Bardstown,-85.721033,38.238313
1218306.20874999,272505.963750005,1351,3840,11220,Grinstead @ Cherokee,-85.719719,38.239063
1218761.175,272791.533749998,1352,3841,11225,Grinstead @ Everett,-85.718151,38.239867
1219284.785,272391.665000007,1353,3842,11230,Everett @ Patterson,-85.716306,38.238792
1209220.02375001,259423.596249998,1354,139,1125,Crittenden @ Central,-85.750608,38.202741
1221933.02500001,273846.903750002,1355,5651,11270,Grinstead @ Glenmary,-85.707167,38.242903
1219731.36875001,273035.767499998,1356,3845,11280,Grinstead @ Willow,-85.714787,38.24058
1220179.50875001,273309.086250007,1357,3846,11285,Grinstead @ Grinstead Court,-85.713242,38.24135
1220928.62375,273815.102500007,1358,3847,11290,Grinstead @ Ray,-85.710662,38.242772
1222821.20125,274249.522499993,1359,3851,11300,Grinstead @ Etly,-85.704097,38.244047
1209215.33875,259982.737499997,1360,141,1135,Crittenden @ Cracker Barrel,-85.750656,38.204276
1230449.72875001,275801.897499993,1361,3864,11360,Lexington @ Cherry,-85.677622,38.248637
1230829.13625,275783.272499993,1362,3865,11365,Lexington @ Briar Hill,-85.6763,38.248602
