OBJECTID,SUBJ_FIRE1890,SHAPE_Length,SHAPE_Area
53,50_99,0.124996282985253,0.0006707333022826
54,0_49,0.512187439221294,0.0041182853458382
55,50_99,0.116374628022555,0.0006908015980199
56,200+,0.539344329540656,0.006348969125877
57,50_99,0.105281819001756,0.000467234693026
58,50_99,0.155087751579232,0.0013872978307726
59,50_99,0.131797468701922,0.0008542901285213
60,50_99,0.192051137628093,0.0019653356050886
61,50_99,0.312201374486147,0.0024503404349886
62,100_199,0.483452638787402,0.0075391886548048
63,0_49,0.268880698315073,0.0024797160538
64,50_99,0.0851107779753291,0.0004513073180241
65,0_49,0.0818979264262709,0.0003661187857849
66,50_99,0.0902660762617413,0.0003693587497529
67,50_99,0.138201221784895,0.0010406568098572
68,50_99,0.1117732732735,0.0004763048052766
69,50_99,0.126976646204178,0.0007408675852917
70,0_49,0.291529489211865,0.0025705596947029
71,0_49,0.133493767683684,0.000773260329754
72,100_199,0.155655098981459,0.0015423685496395
73,50_99,0.155220469886183,0.0007757804245189
74,0_49,0.0808163261914308,0.0003702194686088
75,0_49,0.617740551850007,0.006564522360818
76,100_199,0.116670265302194,0.0009233180653292
77,0_49,0.159076102036862,0.0013893964314251
78,0_49,0.669977317470148,0.0075379158261081
79,100_199,0.153424031367261,0.0015366671763021
80,0_49,0.208288355034707,0.0013703084433245
81,50_99,0.158541768087211,0.0008699851679206
82,200+,0.0980823838208666,0.0004484402419648
83,100_199,0.752856238900572,0.0106305341892775
84,50_99,0.392543185631559,0.0071036801993614
85,200+,0.37880268023596,0.005531483903201
86,0_49,4.3779581437447,0.0808170461834015
87,50_99,0.373546803597325,0.0025335240917439
88,BURNED,0.127622516550789,0.0008098149172937
89,0_49,0.218542185910593,0.0013015211308321
90,BURNED,0.380109502183787,0.0032097639035788
91,50_99,1.17486253684146,0.0134722555111955
92,BURNED,0.28462686053649,0.0016173995346834
93,50_99,0.27182141142001,0.0026027626368351
94,BURNED,0.861189801807589,0.008051182180915
95,0_49,0.183496329148394,0.0009213009107134
96,BURNED,0.165928107603774,0.0008307105949631
