OBJECTID,NAME,TYPE,VISIBLE,RRSYM,DRAW_SYMBOL,GlobalID,CreationDate,Creator,EditDate,Editor,Shape__Length
1352,FORT BELVOIR MILITARY RESERVATION,RAILWAY,Y,204.0,,b9ace5e9-955f-4150-ae09-32838452d59b,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,1160.60729559508
1353,FORT BELVOIR MILITARY RESERVATION,RAILWAY,Y,204.0,,22c4eccc-2966-462e-9cfc-15ffff18f608,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,1165.71221971659
1354,FORT BELVOIR MILITARY RESERVATION,RAILWAY,Y,204.0,,f09e1fa7-ee3e-4c3c-bc15-d741ae07641e,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,206.447288342769
1355,FORT BELVOIR MILITARY RESERVATION,RAILWAY,Y,204.0,,2041f7c5-7ebc-49f2-b224-45d868ef1d9c,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,353.218858674269
1356,FORT BELVOIR MILITARY RESERVATION,RAILWAY,Y,204.0,,82ade010-6852-4c68-91e6-ad53c281066d,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,407.151400924685
1357,FORT BELVOIR MILITARY RESERVATION,RAILWAY,Y,204.0,,d0ea4021-0744-4889-b8a4-384472074be5,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,263.434241027941
1359,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,55055f36-8f67-41ba-95cf-f58afbd27017,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,1640.67595644358
1360,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,5344019d-026c-4ef0-9bcf-e4026d0ae663,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,723.309390611215
1361,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,a4b69e23-8a19-41a2-84b5-2517c4848f21,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,520.368470390477
1362,RICHMOND FREDERICKSBURG AND POTOMAC,ABANDONED,Y,204.0,,eb7e704e-6e0e-4648-a08d-5b9481771bcd,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,615.262610538985
1363,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,c74a01cb-3c5b-435f-bbe8-dfa836c7063a,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,428.810165821941
1364,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,4df3ce10-0253-46b6-92e4-5348b6c9218c,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,3525.73951294206
1365,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,132d0d60-ea98-46f8-b3b5-45a3dac1f43b,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,5166.38257026592
1366,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,4122ee74-0ebd-475a-a75c-4946efb41e57,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,2834.74241638787
1367,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,a074dd97-c1a4-4422-9714-db489d614c60,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,2782.42176297975
1368,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,229c76ce-3f8e-4257-a172-a15dee56a986,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,882.160269121224
1369,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,b29b4ebe-c0f2-40ad-b5ed-35f399ff20f1,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,875.591777031859
1370,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,558e20e6-6931-4359-b639-7713bab5da39,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,734.050732582665
1371,RICHMOND FREDERICKSBURG AND POTOMAC,RAILWAY,Y,204.0,,ceb28f67-2df8-4c3a-8e99-70031f08afea,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,750.46417170894
1533,UNKNOWN,OLD GRADE,N,214.0,,17bbd9e1-1d63-4dda-b53f-3385e9dbc1ea,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,573.684407396716
1534,UNKNOWN,OLD GRADE,N,214.0,,65349ccc-e2db-46b7-a390-37fecfa747ea,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,535.519301786199
