OBJECTID,MNL_FEA_KEY,MNL_CMPNT_KEY,MNL_UPS_FEATURE_KEY,MNL_DNS_FEATURE_KEY,MNL_EQNUM_ID,MNL_UPS_ENDPT_ID,MNL_DNS_ENDPT_ID,MNL_MNLPT_ID,MNL_MAP_AREA_ID,MNL_SSC2001_ID,MNL_NPDES_ID,MNL_FEATYPE_CODE,MNL_FEATYPE_TEXT,MNL_OWNER_CODE,MNL_OWNER_NAME,MNL_PARALLEL_CODE,MNL_PARALLEL_TEXT,MNL_PRBL_FLOW_CODE,MNL_PRBL_FLOW_TEXT,MNL_USE_PERMIT_CODE,MNL_USE_PERMIT_TEXT,MNL_MATERIAL_CODE,MNL_MATERIAL_TYPE,MNL_PIPE_SHP_CODE,MNL_PIPE_SHP_TEXT,MNL_LIFECYCLE_CODE,MNL_LIFECYCLE_STAT,MNL_CNVYNC_TYPE,MNL_DSTNTN_TYPE,MNL_OVRFLW_FLAG,MNL_PUMP_FLAG,MNL_CUNETTE_FLAG,MNL_CASING_FLAG,MNL_LINING_FLAG,MNL_PERF_PIPE_FLAG,MNL_LENGTH_FT_NBR,MNL_FCNLENGTH_FT_NBR,MNL_WIDTH_IN_NBR,MNL_HEIGHT_IN_NBR,MNL_SLOPE_PCT_NBR,MNL_UPS_DEPTH_FT_NBR,MNL_DNS_DEPTH_FT_NBR,MNL_UPS_ELEV_FT_NBR,MNL_DNS_ELEV_FT_NBR,MNL_PRBL_FLOW_SYM_NUM,MNL_USE_PERMIT_SYM_NUM,MNL_INC_MNL_NBR,MNL_INSTALL_DATE,MNL_RETIRE_DATE,MNL_LST_UPDT_DATE,MNL_STREAM_NAME,MNL_CCTV_DATE,MNL_CCTV_COLLAPSE_FLAG,SHAPE_Length
37653,2195997,-19273,584781,579220.0,,017-024,017-023,017-024 017-023,017,2033-3,,MNL,Mainline,PRI,Private,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,109.47,109.47,8.0,8.0,4.80000019073486,5.3,6.5,44.7,39.5,16,16,,1963/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,109.472462048838
37925,2200440,-104959,1829705,1830236.0,,D072-431,D072-432,D072-431 D072-432,072,,,MNL,Mainline,PRI,Private,,Not Parallel,D,Drainage,D,Drainage,UNK,Unknown,CIR,Circular,C,Connected,,,N,N,N,N,N,N,267.68,267.68,24.0,24.0,,,,,,15,15,,,,2017/12/02 00:00:00+00,,,N,267.679496643497
37963,2201151,174440,19200,19159.0,,208-112,208-111,208-112 208-111,208,LC1483,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,220.83,220.83,8.0,8.0,1.0,7.5,5.66,405.64,403.34,16,16,,1959/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,220.825243106942
37964,2201153,174420,17226,16129.0,,208-102,208-097,208-102 208-097,208,LC1625,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,295.18,295.18,8.0,8.0,0.5,10.96,12.56,433.04,431.44,16,16,,1959/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,295.180337624995
37975,2201318,193154,2032489,2032482.0,780093.0,317-033,317-030,317-033 317-030,317,3780-5,,MNL,Mainline,PRI,Private,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,139.92,139.92,6.0,6.0,15.5,8.3,13.1,327.7,306.0,16,16,,1944/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,139.918255783623
37977,2201348,174143,1196,1186.0,,203-060,203-059,203-060 203-059,203,LC1570-9,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,130.91,130.91,8.0,8.0,1.0,-0.94,1.36,401.94,400.64,16,16,,1968/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,130.912101804085
37978,2201356,174349,11279,11862.0,,208-068,208-074,208-068 208-074,208,LC1628,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,177.47,177.47,8.0,8.0,-2.90000009536743,17.56,21.56,422.44,427.5,16,16,,1959/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,177.470583306878
37979,2201360,174326,9615,9632.0,,208-056,208-057,208-056 208-057,208,LC1538,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,280.99,280.99,8.0,8.0,7.5,12.36,17.26,460.64,439.7,16,16,,1959/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,280.985318427297
37980,2201375,174488,6202,7573.0,,209-007,209-085,209-007 209-085,209,LC1833,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,388.84,388.84,8.0,8.0,2.0,13.36,14.86,396.64,388.74,16,16,,1959/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,388.841172092856
37981,2201384,174763,11349,10794.0,,209-146,209-147,209-146 209-147,209,LC1880-1A,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,246.19,246.19,8.0,8.0,0.899999976158142,13.66,11.96,368.24,366.04,16,16,,1960/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,246.189884147621
