COUNTY1_00,COUNTY2_00,DIR_FLY,FRAME,MODEL00,OBJECTID,LINE00,SEQUENCE00,YEAR,CAN_NBR00,FLGTDATE00,SCALE00,PRINTSAVAIL,SHAPEAREA,SHAPELEN
Oldham, ,W-E,02&03,015002,57,015,2,2000,1044,2000/03/31 00:00:00+00,1 in.=660 ft.,YES,9323972.95058906,12661.9039439258
Jefferson, ,E-W,02&03,018002,58,018,2,2000,1044,2000/03/31 00:00:00+00,1 in.=660 ft.,YES,9323999.57017422,12661.9223831363
Jefferson, ,E-W,02&03,019002,59,019,2,2000,1043,2000/03/26 00:00:00+00,1 in.=660 ft.,YES,9324454.75257813,12662.3120564954
Jefferson, ,W-E,02&03,020002,60,020,2,2000,1043,2000/03/26 00:00:00+00,1 in.=660 ft.,YES,9324634.08170234,12662.4668500041
Jefferson, ,W-E,02&03,021002,61,021,2,2000,1044,2000/03/31 00:00:00+00,1 in.=660 ft.,YES,9324635.77234531,12662.469232413
Jefferson, ,E-W,02&03,022002,62,022,2,2000,1044,2000/03/31 00:00:00+00,1 in.=660 ft.,YES,9324641.8390125,12662.4753675578
Jefferson, ,E-W,02&03,017002,63,017,2,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9323790.69036094,12661.74493306
Jefferson, ,W-E,02&03,023002,64,023,2,2000,1044,2000/03/31 00:00:00+00,1 in.=660 ft.,YES,9324641.03325938,12662.4765029786
Jefferson, ,W-E,02&03,026002,65,026,2,2000,1043,2000/03/26 00:00:00+00,1 in.=660 ft.,YES,9324767.52549375,12662.5699156037
Jefferson, ,W-E,02&03,027002,66,027,2,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9324776.09157969,12662.5772997163
Jefferson, ,W-E,02&03,028002,67,028,2,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9324832.35100781,12662.6184412579
Jefferson, ,W-E,02&03,029002,68,029,2,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9324842.37568125,12662.6270783141
Jefferson, ,E-W,02&03,024002,69,024,2,2000,1043,2000/03/26 00:00:00+00,1 in.=660 ft.,YES,9324700.19885703,12662.5201386156
Jefferson, ,E-W,02&03,025002,70,025,2,2000,1043,2000/03/26 00:00:00+00,1 in.=660 ft.,YES,9324761.45148281,12662.5637745345
Jefferson, ,E-W,02&03,030002,71,030,2,2000,1043,2000/03/26 00:00:00+00,1 in.=660 ft.,YES,9324850.94306719,12662.6344632536
Jefferson, ,E-W,02&03,031002,72,031,2,2000,1043,2000/03/26 00:00:00+00,1 in.=660 ft.,YES,9324864.93322813,12662.6456056477
Jefferson, ,E-W,02&03,032002,73,032,2,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9325079.06937031,12662.7980194875
Jefferson, ,E-W,02&03,033002,74,033,2,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9325294.19228125,12662.9503812509
Jefferson, ,E-W,02&03,034002,75,034,2,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9325731.980375,12663.1995090949
Jefferson, ,W-E,02&03,036002,76,036,2,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9326530.91038281,12663.7076323107
