ObjectId,incident_number,ucr_category,type_of_firearm,firearm_manufacturer,firearm_model,firearm_caliber,recovery_date,address_geocode_type,recovery_block_address,city,state,recovery_zipcode,person_recovered_from_race,person_recovered_from_sex,person_recovered_from_age,address_concat,x,y,longitude,latitude,confidence,source
2704,80-10-100904,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Raven Arms,Mp-25,25C,2010/12/23 00:00:00+00,INTERSECTION,S 6th St / Bluegrass Ave,Louisville,KY,40214.0,Black,M,23.0,S 6th St / Bluegrass Ave Louisville KY 40214,,,,,,
2705,80-14-081935,Narcotics,"Rifle, Semi-automatic                                  ",,715t,22C,2014/10/24 00:00:00+00,INTERSECTION,S 6th St / Central Ave,Louisville,KY,40208.0,Black,M,20.0,S 6th St / Central Ave Louisville KY 40208,,,,,,
2706,80-12-059181,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Beretta (industria S.A.),,25C,2012/07/26 00:00:00+00,INTERSECTION,S 6th St / Expressway Ave,Louisville,KY,40214.0,White,M,52.0,S 6th St / Expressway Ave Louisville KY 40214,,,,,,
2707,80-12-087235,Narcotics,"Pistol, Revolver                                       ",Taurus International,,357C,2012/11/02 00:00:00+00,INTERSECTION,S 6th St / Hill Top Ct,Louisville,KY,40214.0,Black,M,47.0,S 6th St / Hill Top Ct Louisville KY 40214,,,,,,
2708,80-16-054408,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Century Arms International,V. Z. O. R.,32C,2016/06/27 00:00:00+00,INTERSECTION,S 6th St / W Breckinridge St,Louisville,KY,40203.0,Black,M,18.0,S 6th St / W Breckinridge St Louisville KY 40203,,,,,,
2709,80-12-008904,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Sig-sauer,P250,357C,2012/02/02 00:00:00+00,INTERSECTION,S 6th St / W Breckinridge St,Louisville,KY,40203.0,Black,F,21.0,S 6th St / W Breckinridge St Louisville KY 40203,,,,,,
2710,80-16-017300,Aggravated Assault,"Pistol, Semi-automatic                                 ",Smith & Wesson,Pistols: Sigma,9MM,2016/02/28 00:00:00+00,INTERSECTION,S 6th St / W Breckinridge St,Louisville,KY,40203.0,Black,M,38.0,S 6th St / W Breckinridge St Louisville KY 40203,,,,,,
2711,80-14-008253,Narcotics,"Shotgun, Pump Action                                   ",Benelli S.P.A.,Any Model Not L,12GA,2014/02/02 00:00:00+00,INTERSECTION,S 6th St / W Broadway,Louisville,KY,40202.0,Black,M,21.0,S 6th St / W Broadway Louisville KY 40202,,,,,,
2712,80-14-008253,Narcotics,"Shotgun, Pump Action                                   ",Benelli S.P.A.,Any Model Not L,12GA,2014/02/02 00:00:00+00,INTERSECTION,S 6th St / W Broadway,Louisville,KY,40202.0,Black,M,21.0,S 6th St / W Broadway Louisville KY 40202,,,,,,
2713,80-12-081637,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Colt,,380C,2012/10/14 00:00:00+00,INTERSECTION,S 6th St / W Broadway,Louisville,KY,40202.0,Black,M,25.0,S 6th St / W Broadway Louisville KY 40202,,,,,,
2714,80-12-081637,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Smith & Wesson,,40C,2012/10/14 00:00:00+00,INTERSECTION,S 6th St / W Broadway,Louisville,KY,40202.0,Black,M,25.0,S 6th St / W Broadway Louisville KY 40202,,,,,,
2715,80-14-039455,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Smith & Wesson,Sw40,40C,2014/06/01 00:00:00+00,INTERSECTION,S 6th St / W Broadway,Louisville,KY,40202.0,Black,M,22.0,S 6th St / W Broadway Louisville KY 40202,,,,,,
2716,80-15-092881,Wpns Law Violation,"Pistol, Revolver                                       ",Rohm,,22C,2015/11/15 00:00:00+00,INTERSECTION,S 6th St / W Jefferson St,Louisville,KY,40202.0,Black,M,15.0,S 6th St / W Jefferson St Louisville KY 40202,,,,,,
2717,80-11-031894,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Makarov,,9MM,2011/04/28 00:00:00+00,INTERSECTION,S 6th St / W Jefferson St,Louisville,KY,40202.0,White,M,59.0,S 6th St / W Jefferson St Louisville KY 40202,,,,,,
2718,80-11-026100,Robbery,"Pistol, Semi-automatic                                 ",Interamrs,,9MM,2011/04/09 00:00:00+00,INTERSECTION,S 6th St / W Jefferson St,Louisville,KY,40202.0,Black,M,24.0,S 6th St / W Jefferson St Louisville KY 40202,,,,,,
2719,80-11-026100,Robbery,"Pistol, Semi-automatic                                 ",Interamrs,,9MM,2011/04/09 00:00:00+00,INTERSECTION,S 6th St / W Jefferson St,Louisville,KY,40202.0,Black,M,24.0,S 6th St / W Jefferson St Louisville KY 40202,,,,,,
2720,80-11-026100,Robbery,"Pistol, Semi-automatic                                 ",Interamrs,,9MM,2011/04/09 00:00:00+00,INTERSECTION,S 6th St / W Jefferson St,Louisville,KY,40202.0,Black,M,24.0,S 6th St / W Jefferson St Louisville KY 40202,,,,,,
2721,80-16-050337,Wpns Law Violation,"Pistol, Semi-automatic                                 ",,Cpx-2,9MM,2016/06/14 00:00:00+00,INTERSECTION,S 6th St / W Magnolia Ave,Louisville,KY,40208.0,Black,M,34.0,S 6th St / W Magnolia Ave Louisville KY 40208,,,,,,
2722,80-13-070382,Narcotics,"Pistol, Semi-automatic                                 ",Hipoint,Cf-380,380C,2013/09/15 00:00:00+00,INTERSECTION,S 6th St / W Market St,Louisville,KY,40202.0,White,M,25.0,S 6th St / W Market St Louisville KY 40202,,,,,,
2723,80-10-077740,Wpns Law Violation,"Pistol, Revolver                                       ",Taurus Internat,,357C,2010/10/02 00:00:00+00,INTERSECTION,S 6th St / W Oak St,Louisville,KY,40203.0,Black,M,40.0,S 6th St / W Oak St Louisville KY 40203,,,,,,
2724,80-14-050021,Wpns Law Violation,"Pistol, Revolver                                       ",Rg Industries,Rg 14,22C,2014/07/07 00:00:00+00,INTERSECTION,S 6th St / Winkler Ave,Louisville,KY,40208.0,Black,M,49.0,S 6th St / Winkler Ave Louisville KY 40208,1204281.25125,262399.5,-85.7679629722731,38.2106896109482,,LOJIC
2725,80-14-050021,Wpns Law Violation,"Pistol, Revolver                                       ",Rg Industries,Rg 14,22C,2014/07/07 00:00:00+00,INTERSECTION,S 6th St / Winkler Ave,Louisville,KY,40208.0,Black,M,49.0,S 6th St / Winkler Ave Louisville KY 40208,1204281.25125,262399.5,-85.7679629722731,38.2106896109482,,LOJIC
2726,80-16-086164,Wpns Law Violation,"Pistol, Revolver                                       ",Rossi - Amadeo Rossi & Co,,22C,2016/10/08 00:00:00+00,INTERSECTION,S 7th St / Algonquin Pky,Louisville,KY,40208.0,Black,M,21.0,S 7th St / Algonquin Pky Louisville KY 40208,,,,,,
2727,80-14-081215,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Hipoint,C9,9MM,2014/10/22 00:00:00+00,INTERSECTION,S 7th St / Algonquin Pky,Louisville,KY,40208.0,Black,M,25.0,S 7th St / Algonquin Pky Louisville KY 40208,,,,,,
2728,80-14-081215,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Hipoint,C9,9MM,2014/10/22 00:00:00+00,INTERSECTION,S 7th St / Algonquin Pky,Louisville,KY,40208.0,Black,M,25.0,S 7th St / Algonquin Pky Louisville KY 40208,,,,,,
2729,80-16-087667,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Taurus International,Model Pt111,9MM,2016/10/13 00:00:00+00,INTERSECTION,S 7th St / Algonquin Pky,Louisville,KY,40208.0,Black,M,27.0,S 7th St / Algonquin Pky Louisville KY 40208,,,,,,
2730,80-16-028714,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Hipoint,C9,9MM,2016/04/06 00:00:00+00,INTERSECTION,S 7th St / College Ct,Louisville,KY,40203.0,Null,,,S 7th St / College Ct Louisville KY 40203,,,,,,
2731,80-16-028714,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Hipoint,C9,9MM,2016/04/06 00:00:00+00,INTERSECTION,S 7th St / College Ct,Louisville,KY,40203.0,Null,,,S 7th St / College Ct Louisville KY 40203,,,,,,
2732,80-16-058406,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Taurus International,,6666,2016/07/10 00:00:00+00,INTERSECTION,S 7th St / Industry Rd,Louisville,KY,40208.0,Black,M,20.0,S 7th St / Industry Rd Louisville KY 40208,,,,,,
2733,80-16-076465,Wpns Law Violation,"Shotgun, Pump Action                                   ",Winchester,1200,12GA,2016/09/07 00:00:00+00,INTERSECTION,S 7th St / Industry Rd,Louisville,KY,40208.0,Black,F,38.0,S 7th St / Industry Rd Louisville KY 40208,,,,,,
2734,80-16-076465,Wpns Law Violation,"Pistol, Revolver                                       ",Rohm,,38C,2016/09/07 00:00:00+00,INTERSECTION,S 7th St / Industry Rd,Louisville,KY,40208.0,Black,F,57.0,S 7th St / Industry Rd Louisville KY 40208,,,,,,
2735,80-13-024475,Intimidation,"Pistol, Semi-automatic                                 ",American Tactical Imports (ati),,9MM,2013/04/09 00:00:00+00,INTERSECTION,S 7th St / Industry Rd,Louisville,KY,40208.0,Black,M,36.0,S 7th St / Industry Rd Louisville KY 40208,,,,,,
2736,80-11-099800,Wpns Law Violation,"Pistol, Semi-automatic                                 ","Glock, Inc.                                            ",Model 17/17c (9,9MM,2011/12/08 00:00:00+00,INTERSECTION,S 7th St / S 9th St,Louisville,KY,40208.0,Hispanic,M,21.0,S 7th St / S 9th St Louisville KY 40208,1204807.375,270025.5,-85.7665691300957,38.2316516699338,,LOJIC
2737,80-16-059796,Wpns Law Violation,"Pistol, Revolver                                       ",Taurus International,,38C,2016/07/14 00:00:00+00,INTERSECTION,S 7th St / W Broadway,Louisville,KY,40202.0,Hispanic,M,46.0,S 7th St / W Broadway Louisville KY 40202,,,,,,
2738,80-14-011550,Wpns Law Violation,"Pistol, Revolver                                       ",Interamrs,,38C,2014/02/16 00:00:00+00,INTERSECTION,S 7th St / W Burnett Ave,Louisville,KY,40208.0,Black,M,19.0,S 7th St / W Burnett Ave Louisville KY 40208,,,,,,
2739,80-16-022204,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Taurus International,,9MM,2016/03/15 00:00:00+00,INTERSECTION,S 7th St / W Chestnut St,Louisville,KY,40203.0,Black,M,39.0,S 7th St / W Chestnut St Louisville KY 40203,,,,,,
2740,80-11-017765,Wpns Law Violation,"Pistol, Revolver                                       ",,,22C,2011/03/11 00:00:00+00,INTERSECTION,S 7th St / W Hill St,Louisville,KY,40208.0,Black,M,31.0,S 7th St / W Hill St Louisville KY 40208,,,,,,
2741,80-14-090236,Stolen Property,"Pistol, Revolver                                       ",Smith & Wesson,,38C,2014/11/22 00:00:00+00,INTERSECTION,S 7th St / W Hill St,Louisville,KY,40208.0,Black,M,21.0,S 7th St / W Hill St Louisville KY 40208,,,,,,
2742,80-13-037225,Theft Other,"Pistol, Semi-automatic                                 ","Springfield Armory,geneseo,il                          ",Pistol: Model X,40C,2013/11/24 00:00:00+00,INTERSECTION,S 7th St / W Hill St,Louisville,KY,40208.0,Black,M,20.0,S 7th St / W Hill St Louisville KY 40208,,,,,,
2743,80-16-102685,Wpns Law Violation,"Pistol, Semi-automatic                                 ",,,9MM,2016/12/01 00:00:00+00,INTERSECTION,S 7th St / W Hill St,Louisville,KY,40208.0,Black,M,27.0,S 7th St / W Hill St Louisville KY 40208,,,,,,
2744,80-17-006179,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Smith & Wesson,Sd9ve,9MM,2017/01/21 00:00:00+00,INTERSECTION,S 9th St / W Broadway,Louisville,KY,40203.0,White,M,30.0,S 9th St / W Broadway Louisville KY 40203,,,,,,
2745,80-16-102407,Wpns Law Violation,"Pistol, Semi-automatic                                 ","Lucznik, Fabryka Broni (z M Lucznik)                   ",,9MM,2016/12/01 00:00:00+00,INTERSECTION,S 7th St / W Hill St,Louisville,KY,40208.0,White,M,38.0,S 7th St / W Hill St Louisville KY 40208,,,,,,
