ScoreRecent,GradeRecent,DateRecent,Score2,Grade2,Date2,Score3,Grade3,Date3,permit_number,facility_type,facility_type_description,subtype,subtype_description,premise_name,premise_address,premise_city,premise_state,premise_zip,opening_date,ObjectId
100,A,2023/05/23 00:00:00,96,A,2022/11/16 00:00:00,100,A,2022/05/11 00:00:00,48491,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,LONNIE'S BEST TASTE OF CHICAGO,121 ST MATTHEWS AVE,LOUISVILLE,KY,40207,2003/09/11 00:00:00,37
97,A,2023/04/04 00:00:00,98,A,2022/09/09 00:00:00,97,A,2021/12/02 00:00:00,48613,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,EL MUNDO,2345 FRANKFORT AVE,LOUISVILLE,KY,40206,2010/02/10 00:00:00,38
97,A,2023/07/07 00:00:00,97,A,2022/12/05 00:00:00,98,A,2022/03/31 00:00:00,49174,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,GRAPE LEAF,2217 FRANKFORT AVE,LOUISVILLE,KY,40206,1994/06/22 00:00:00,39
100,A,2023/10/18 00:00:00,100,A,2023/04/04 00:00:00,100,A,2022/09/16 00:00:00,50068,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,BOURBON'S BISTRO,2255 FRANKFORT AVE,LOUISVILLE,KY,40206,2005/04/15 00:00:00,40
92,A,2023/06/16 00:00:00,92,A,2022/12/06 00:00:00,93,A,2022/06/08 00:00:00,52124,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,FRANKFORT AVENUE BEER DEPOT,3204 FRANKFORT AVE,LOUISVILLE,KY,40206,1994/12/06 00:00:00,41
100,A,2023/09/22 00:00:00,98,A,2023/03/16 00:00:00,98,A,2022/08/05 00:00:00,53397,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,MCDONALD'S,287 N HUBBARDS LN,LOUISVILLE,KY,40207,1995/06/22 00:00:00,42
100,A,2023/05/02 00:00:00,100,A,2022/10/10 00:00:00,100,A,2022/04/27 00:00:00,54791,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,DIVINITY CATERING LTD,2052 FRANKFORT AVE,LOUISVILLE,KY,40206,1996/02/12 00:00:00,43
97,A,2023/06/05 00:00:00,96,A,2022/11/28 00:00:00,97,A,2022/06/27 00:00:00,55172,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,PAPA JOHN'S #25,4123 SHELBYVILLE RD,LOUISVILLE,KY,40207,2010/01/11 00:00:00,44
100,A,2023/10/13 00:00:00,100,,2023/10/13 00:00:00,100,A,2023/04/13 00:00:00,61685,607,RETAIL/FOOD ESTABLISHMENT,54,"RETAIL-FOOD  10,000 SQ FT OR LESS",RAINBOW BLOSSOM,3738 LEXINGTON RD,LOUISVILLE,KY,40207,1999/01/29 00:00:00,45
100,A,2023/08/22 00:00:00,100,A,2023/02/07 00:00:00,100,A,2022/08/11 00:00:00,64818,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,LOTSA PASTA EXTENSION,121 BAUER AVE,LOUISVILLE,KY,40207,2000/10/03 00:00:00,46
100,A,2023/07/05 00:00:00,96,A,2022/12/01 00:00:00,100,A,2022/06/17 00:00:00,66139,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,MCDONALD'S,2314 BROWNSBORO RD,LOUISVILLE,KY,40206,2001/06/27 00:00:00,47
100,A,2023/06/28 00:00:00,99,A,2022/10/26 00:00:00,95,A,2022/01/25 00:00:00,67435,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,VOLARE RISTORANTE,2300 FRANKFORT AVE,LOUISVILLE,KY,40206,2004/07/27 00:00:00,48
